"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Bethel School District","=""0090011""","ELA","F",26,"*","*","*","*","*","*","*","*","*","*",502
"Bethel School District","=""0090011""","ELA","N",158,14,8.9,14,8.9,99,62.7,31,19.6,130,82.3,551
"Bethel School District","=""0090011""","ELA","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Math","F",26,"*","*","*","*","*","*","*","*","*","*",481
"Bethel School District","=""0090011""","Math","N",158,16,10.1,46,29.1,79,50.0,17,10.8,96,60.8,540
"Bethel School District","=""0090011""","Math","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","ELA","F",54,"*","*","*","*","*","*","*","*","*","*",451
"Bloomfield School District","=""0110011""","ELA","N",99,26,26.3,"*","*",44,44.4,"*","*","*","*",477
"Bloomfield School District","=""0110011""","ELA","R",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Math","F",54,"*","*","*","*","*","*",0,0.0,"*","*",434
"Bloomfield School District","=""0110011""","Math","N",99,26,26.3,56,56.6,"*","*","*","*",17,17.2,463
"Bloomfield School District","=""0110011""","Math","R",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","F",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","N",58,"*","*","*","*","*","*","*","*","*","*",574
"Bolton School District","=""0120011""","Math","F",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","N",58,"*","*","*","*","*","*","*","*","*","*",539
"Branford School District","=""0140011""","ELA","F",41,"*","*","*","*","*","*","*","*","*","*",467
"Branford School District","=""0140011""","ELA","N",187,22,11.8,37,19.8,87,46.5,41,21.9,128,68.4,535
"Branford School District","=""0140011""","ELA","R",17,"*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Math","F",41,"*","*","*","*","*","*","*","*","*","*",452
"Branford School District","=""0140011""","Math","N",187,34,18.2,78,41.7,50,26.7,25,13.4,75,40.1,513
"Branford School District","=""0140011""","Math","R",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","ELA","F",19,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","ELA","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","ELA","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","F",20,"*","*","*","*",10,50.0,0,0.0,10,50.0,492
"Bridgeport Achievement First District","=""2850013""","Math","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","F",1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bridgeport School District","=""0150011""","Math","F",1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""","ELA","F",150,35,23.3,"*","*",70,46.7,"*","*","*","*",483
"Bristol School District","=""0170011""","ELA","N",371,"*","*",60,16.2,235,63.3,"*","*","*","*",528
"Bristol School District","=""0170011""","ELA","R",33,"*","*",10,30.3,16,48.5,"*","*","*","*",503
"Bristol School District","=""0170011""","Math","F",150,43,28.7,75,50.0,"*","*","*","*",32,21.3,464
"Bristol School District","=""0170011""","Math","N",371,57,15.4,167,45.0,126,34.0,21,5.7,147,39.6,503
"Bristol School District","=""0170011""","Math","R",33,"*","*",16,48.5,8,24.2,"*","*","*","*",492
"Brookfield School District","=""0180011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELA","N",205,8,3.9,22,10.7,120,58.5,55,26.8,175,85.4,567
"Brookfield School District","=""0180011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Math","N",205,13,6.3,73,35.6,91,44.4,28,13.7,119,58.0,545
"Brookfield School District","=""0180011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","N",100,"*","*","*","*",54,54.0,33,33.0,87,87.0,579
"Canton School District","=""0230011""","ELA","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Math","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Math","N",100,9,9.0,31,31.0,43,43.0,17,17.0,60,60.0,554
"Canton School District","=""0230011""","Math","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","F",13,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","F",13,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","F",205,68,33.2,67,32.7,"*","*","*","*",70,34.1,453
"Capitol Region Education Council","=""2410014""","ELA","N",242,22,9.1,42,17.4,105,43.4,73,30.2,178,73.6,551
"Capitol Region Education Council","=""2410014""","ELA","R",40,"*","*",8,20.0,22,55.0,"*","*","*","*",500
"Capitol Region Education Council","=""2410014""","Math","F",205,99,48.3,89,43.4,"*","*","*","*",17,8.3,420
"Capitol Region Education Council","=""2410014""","Math","N",242,46,19.0,103,42.6,66,27.3,27,11.2,93,38.4,510
"Capitol Region Education Council","=""2410014""","Math","R",40,12,30.0,21,52.5,"*","*","*","*",7,17.5,466
"Cheshire School District","=""0250011""","ELA","F",20,"*","*","*","*","*","*",0,0.0,"*","*",484
"Cheshire School District","=""0250011""","ELA","N",344,"*","*",33,9.6,199,57.8,"*","*","*","*",573
"Cheshire School District","=""0250011""","ELA","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Math","F",20,"*","*","*","*","*","*","*","*","*","*",486
"Cheshire School District","=""0250011""","Math","N",344,24,7.0,97,28.2,144,41.9,79,23.0,223,64.8,568
"Cheshire School District","=""0250011""","Math","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","ELA","F",13,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","ELA","N",105,6,5.7,19,18.1,58,55.2,22,21.0,80,76.2,546
"Clinton School District","=""0270011""","ELA","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Math","F",12,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Math","N",105,"*","*",49,46.7,33,31.4,"*","*","*","*",482
"Clinton School District","=""0270011""","Math","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","ELA","F",24,"*","*","*","*","*","*","*","*","*","*",509
"Colchester School District","=""0280011""","ELA","N",158,10,6.3,18,11.4,95,60.1,35,22.2,130,82.3,560
"Colchester School District","=""0280011""","ELA","R",12,"*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Math","F",23,"*","*","*","*","*","*","*","*","*","*",491
"Colchester School District","=""0280011""","Math","N",158,16,10.1,70,44.3,58,36.7,14,8.9,72,45.6,520
"Colchester School District","=""0280011""","Math","R",12,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELA","F",11,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELA","N",22,"*","*","*","*",10,45.5,"*","*","*","*",519
"Common Ground High School District","=""2680013""","ELA","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Math","F",11,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Math","N",22,6,27.3,12,54.5,"*","*","*","*","*","*",459
"Common Ground High School District","=""2680013""","Math","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","ELA","F",956,"*","*",330,34.5,319,33.4,"*","*","*","*",450
"Connecticut Technical High School System","=""9000016""","ELA","N",1290,249,19.3,369,28.6,594,46.0,78,6.0,672,52.1,484
"Connecticut Technical High School System","=""9000016""","ELA","R",199,"*","*",68,34.2,82,41.2,"*","*","*","*",466
"Connecticut Technical High School System","=""9000016""","Math","F",955,391,40.9,477,49.9,"*","*","*","*",87,9.1,432
"Connecticut Technical High School System","=""9000016""","Math","N",1290,384,29.8,669,51.9,222,17.2,15,1.2,237,18.4,457
"Connecticut Technical High School System","=""9000016""","Math","R",199,65,32.7,109,54.8,"*","*","*","*",25,12.6,447
"Cooperative Educational Services","=""2430014""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","ELA","N",6,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","N",6,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","N",105,"*","*","*","*",65,61.9,20,19.0,85,81.0,547
"Coventry School District","=""0320011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Math","F","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Coventry School District","=""0320011""","Math","N",105,"*","*",41,39.0,47,44.8,"*","*","*","*",528
"Coventry School District","=""0320011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","ELA","F",21,"*","*","*","*","*","*",0,0.0,"*","*",486
"Cromwell School District","=""0330011""","ELA","N",110,15,13.6,"*","*",63,57.3,"*","*","*","*",543
"Cromwell School District","=""0330011""","ELA","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Math","F",21,"*","*","*","*","*","*",0,0.0,"*","*",482
"Cromwell School District","=""0330011""","Math","N",110,"*","*",40,36.4,41,37.3,"*","*","*","*",518
"Cromwell School District","=""0330011""","Math","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","ELA","F",202,94,46.5,"*","*",53,26.2,"*","*","*","*",435
"Danbury School District","=""0340011""","ELA","N",381,62,16.3,74,19.4,183,48.0,62,16.3,245,64.3,515
"Danbury School District","=""0340011""","ELA","R",59,23,39.0,"*","*",22,37.3,"*","*","*","*",464
"Danbury School District","=""0340011""","Math","F",201,103,51.2,73,36.3,"*","*","*","*",25,12.4,422
"Danbury School District","=""0340011""","Math","N",381,100,26.2,156,40.9,97,25.5,28,7.3,125,32.8,485
"Danbury School District","=""0340011""","Math","R",59,22,37.3,29,49.2,"*","*","*","*",8,13.6,447
"Darien School District","=""0350011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","ELA","N",302,6,2.0,9,3.0,124,41.1,163,54.0,287,95.0,621
"Darien School District","=""0350011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","N",302,6,2.0,40,13.2,114,37.7,142,47.0,256,84.8,628
"Darien School District","=""0350011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","ELA","F",44,15,34.1,17,38.6,"*","*","*","*",12,27.3,442
"Derby School District","=""0370011""","ELA","N",32,"*","*","*","*","*","*","*","*","*","*",446
"Derby School District","=""0370011""","ELA","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Math","F",44,23,52.3,"*","*","*","*",0,0.0,"*","*",420
"Derby School District","=""0370011""","Math","N",32,"*","*","*","*","*","*",0,0.0,"*","*",433
"Derby School District","=""0370011""","Math","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","ELA","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","ELA","N",52,"*","*","*","*","*","*","*","*","*","*",568
"East Granby School District","=""0400011""","Math","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Math","N",52,"*","*","*","*","*","*","*","*","*","*",531
"East Haddam School District","=""0410011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELA","N",69,7,10.1,8,11.6,43,62.3,11,15.9,54,78.3,533
"East Haddam School District","=""0410011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Math","N",69,"*","*",35,50.7,15,21.7,"*","*","*","*",488
"East Haddam School District","=""0410011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","ELA","N",108,"*","*","*","*",64,59.3,24,22.2,88,81.5,556
"East Hampton School District","=""0420011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Math","N",108,19,17.6,40,37.0,42,38.9,7,6.5,49,45.4,514
"East Hampton School District","=""0420011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","ELA","F",233,86,36.9,"*","*",70,30.0,"*","*","*","*",448
"East Hartford School District","=""0430011""","ELA","N",168,45,26.8,24,14.3,82,48.8,17,10.1,99,58.9,495
"East Hartford School District","=""0430011""","ELA","R",48,"*","*",15,31.3,18,37.5,"*","*","*","*",463
"East Hartford School District","=""0430011""","Math","F",231,89,38.5,112,48.5,"*","*","*","*",30,13.0,441
"East Hartford School District","=""0430011""","Math","N",168,49,29.2,69,41.1,40,23.8,10,6.0,50,29.8,475
"East Hartford School District","=""0430011""","Math","R",48,15,31.3,22,45.8,"*","*","*","*",11,22.9,459
"East Haven School District","=""0440011""","ELA","F",70,30,42.9,"*","*","*","*","*","*","*","*",453
"East Haven School District","=""0440011""","ELA","N",127,"*","*",31,24.4,61,48.0,"*","*","*","*",500
"East Haven School District","=""0440011""","ELA","R",18,"*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Math","F",70,39,55.7,"*","*","*","*",0,0.0,"*","*",415
"East Haven School District","=""0440011""","Math","N",127,"*","*",59,46.5,25,19.7,"*","*","*","*",473
"East Haven School District","=""0440011""","Math","R",18,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","ELA","F",32,"*","*","*","*","*","*","*","*","*","*",515
"East Lyme School District","=""0450011""","ELA","N",216,"*","*","*","*",122,56.5,72,33.3,194,89.8,586
"East Lyme School District","=""0450011""","ELA","R",8,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Math","F",32,"*","*","*","*","*","*","*","*","*","*",473
"East Lyme School District","=""0450011""","Math","N",216,13,6.0,64,29.6,89,41.2,50,23.1,139,64.4,566
"East Lyme School District","=""0450011""","Math","R",8,"*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","ELA","F",21,"*","*","*","*","*","*","*","*","*","*",482
"East Windsor School District","=""0470011""","ELA","N",35,"*","*",8,22.9,21,60.0,"*","*","*","*",517
"East Windsor School District","=""0470011""","ELA","R",9,"*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","Math","F",21,"*","*","*","*","*","*",0,0.0,"*","*",460
"East Windsor School District","=""0470011""","Math","N",35,"*","*",16,45.7,13,37.1,"*","*","*","*",499
"East Windsor School District","=""0470011""","Math","R",9,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","N",46,13,28.3,"*","*",21,45.7,"*","*","*","*",497
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","F","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","N",46,22,47.8,16,34.8,8,17.4,0,0.0,8,17.4,431
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","N",187,14,7.5,28,15.0,111,59.4,34,18.2,145,77.5,545
"Ellington School District","=""0480011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Math","N",187,17,9.1,75,40.1,72,38.5,23,12.3,95,50.8,533
"Ellington School District","=""0480011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","ELA","F",21,"*","*","*","*",11,52.4,0,0.0,11,52.4,467
"Elm City College Preparatory School District","=""2890013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","F",21,"*","*",10,47.6,"*","*",0,0.0,"*","*",460
"Elm City College Preparatory School District","=""2890013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","F",84,"*","*",30,35.7,26,31.0,"*","*","*","*",468
"Enfield School District","=""0490011""","ELA","N",239,27,11.3,47,19.7,145,60.7,20,8.4,165,69.0,513
"Enfield School District","=""0490011""","ELA","R",23,"*","*",8,34.8,8,34.8,"*","*","*","*",480
"Enfield School District","=""0490011""","Math","F",84,22,26.2,43,51.2,"*","*","*","*","*","*",465
"Enfield School District","=""0490011""","Math","N",239,"*","*",101,42.3,76,31.8,"*","*","*","*",498
"Enfield School District","=""0490011""","Math","R",23,"*","*",12,52.2,"*","*",0,0.0,"*","*",460
"Explorations District","=""2720013""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","N",15,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","N",15,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","ELA","F",70,"*","*","*","*","*","*","*","*","*","*",500
"Fairfield School District","=""0510011""","ELA","N",632,32,5.1,42,6.6,347,54.9,211,33.4,558,88.3,581
"Fairfield School District","=""0510011""","ELA","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Math","F",70,"*","*","*","*","*","*","*","*","*","*",475
"Fairfield School District","=""0510011""","Math","N",632,34,5.4,170,26.9,304,48.1,124,19.6,428,67.7,567
"Fairfield School District","=""0510011""","Math","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","ELA","F",27,"*","*","*","*","*","*","*","*","*","*",506
"Farmington School District","=""0520011""","ELA","N",267,15,5.6,21,7.9,127,47.6,104,39.0,231,86.5,585
"Farmington School District","=""0520011""","ELA","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Math","F",27,"*","*","*","*","*","*","*","*","*","*",481
"Farmington School District","=""0520011""","Math","N",267,17,6.4,74,27.7,94,35.2,82,30.7,176,65.9,578
"Farmington School District","=""0520011""","Math","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","ELA","F",53,"*","*","*","*","*","*","*","*","*","*",507
"Glastonbury School District","=""0540011""","ELA","N",420,11,2.6,37,8.8,242,57.6,130,31.0,372,88.6,580
"Glastonbury School District","=""0540011""","ELA","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Math","F",53,"*","*","*","*","*","*","*","*","*","*",510
"Glastonbury School District","=""0540011""","Math","N",420,15,3.6,99,23.6,181,43.1,125,29.8,306,72.9,591
"Glastonbury School District","=""0540011""","Math","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","ELA","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","ELA","N",134,"*","*","*","*",74,55.2,41,30.6,115,85.8,574
"Granby School District","=""0560011""","ELA","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Math","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Math","N",134,6,4.5,39,29.1,65,48.5,24,17.9,89,66.4,562
"Granby School District","=""0560011""","Math","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","ELA","F",38,11,28.9,"*","*",14,36.8,"*","*","*","*",471
"Greenwich School District","=""0570011""","ELA","N",547,30,5.5,48,8.8,254,46.4,215,39.3,469,85.7,587
"Greenwich School District","=""0570011""","ELA","R",32,"*","*",10,31.3,13,40.6,"*","*","*","*",482
"Greenwich School District","=""0570011""","Math","F",38,12,31.6,15,39.5,"*","*","*","*",11,28.9,462
"Greenwich School District","=""0570011""","Math","N",547,36,6.6,133,24.3,176,32.2,202,36.9,378,69.1,589
"Greenwich School District","=""0570011""","Math","R",32,9,28.1,16,50.0,"*","*","*","*",7,21.9,470
"Griswold School District","=""0580011""","ELA","F",27,"*","*","*","*","*","*","*","*","*","*",461
"Griswold School District","=""0580011""","ELA","N",88,12,13.6,12,13.6,50,56.8,14,15.9,64,72.7,531
"Griswold School District","=""0580011""","ELA","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Math","F",27,"*","*","*","*","*","*",0,0.0,"*","*",460
"Griswold School District","=""0580011""","Math","N",88,"*","*",43,48.9,29,33.0,"*","*","*","*",494
"Griswold School District","=""0580011""","Math","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","ELA","F",55,14,25.5,"*","*",22,40.0,"*","*","*","*",464
"Groton School District","=""0590011""","ELA","N",164,13,7.9,28,17.1,84,51.2,39,23.8,123,75.0,547
"Groton School District","=""0590011""","ELA","R",21,8,38.1,"*","*",8,38.1,"*","*","*","*",474
"Groton School District","=""0590011""","Math","F",55,18,32.7,29,52.7,"*","*","*","*","*","*",450
"Groton School District","=""0590011""","Math","N",164,"*","*",64,39.0,53,32.3,"*","*","*","*",521
