"CT School Day SAT, 2015-16"
"All Districts, All Subjects, English Learner Status (EL)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"East Haven School District","=""0440011""","ELA","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Math","N",207,"*","*","*","*","*","*","*","*","*","*",452
"East Haven School District","=""0440011""","Math","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","ELA","N",65,10,15.4,14,21.5,35,53.8,6,9.2,41,63.1,501
"East Windsor School District","=""0470011""","Math","N",65,"*","*",31,47.7,18,27.7,"*","*","*","*",477
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","N",72,19,26.4,12,16.7,33,45.8,8,11.1,41,56.9,488
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","N",72,35,48.6,28,38.9,9,12.5,0,0.0,9,12.5,429
"Education Connection","=""2420014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","N",203,19,9.4,29,14.3,121,59.6,34,16.7,155,76.4,540
"Ellington School District","=""0480011""","Math","N",203,23,11.3,80,39.4,76,37.4,24,11.8,100,49.3,528
"Elm City College Preparatory School District","=""2890013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","N",21,"*","*",10,47.6,"*","*","*","*","*","*",479
"Explorations District","=""2720013""","Math","N",21,"*","*",11,52.4,"*","*",0,0.0,"*","*",440
"Fairfield School District","=""0510011""","ELA","N",706,"*","*","*","*","*","*","*","*","*","*",573
"Fairfield School District","=""0510011""","ELA","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Math","N",706,"*","*","*","*","*","*","*","*","*","*",558
"Fairfield School District","=""0510011""","Math","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","ELA","N",475,"*","*","*","*","*","*","*","*","*","*",573
"Glastonbury School District","=""0540011""","ELA","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Math","N",475,"*","*","*","*","*","*","*","*","*","*",584
"Glastonbury School District","=""0540011""","Math","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","ELA","N",151,9,6.0,16,10.6,83,55.0,43,28.5,126,83.4,565
"Granby School District","=""0560011""","Math","N",151,7,4.6,49,32.5,70,46.4,25,16.6,95,62.9,555
"Greenwich School District","=""0570011""","ELA","N",600,"*","*","*","*","*","*","*","*","*","*",579
"Greenwich School District","=""0570011""","ELA","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Math","N",600,"*","*","*","*","*","*","*","*","*","*",578
"Greenwich School District","=""0570011""","Math","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","ELA","N",125,21,16.8,23,18.4,63,50.4,18,14.4,81,64.8,515
"Griswold School District","=""0580011""","Math","N",125,"*","*",63,50.4,37,29.6,"*","*","*","*",486
"Groton School District","=""0590011""","ELA","N",234,"*","*","*","*","*","*","*","*","*","*",526
"Groton School District","=""0590011""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Math","N",234,"*","*","*","*","*","*","*","*","*","*",502
"Groton School District","=""0590011""","Math","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","ELA","N",254,9,3.5,20,7.9,139,54.7,86,33.9,225,88.6,587
"Guilford School District","=""0600011""","Math","N",253,19,7.5,73,28.9,115,45.5,46,18.2,161,63.6,561
"Hamden School District","=""0620011""","ELA","N",365,"*","*","*","*","*","*","*","*","*","*",522
"Hamden School District","=""0620011""","ELA","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Math","N",365,"*","*","*","*","*","*","*","*","*","*",491
"Hamden School District","=""0620011""","Math","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","ELA","N",1018,402,39.5,222,21.8,"*","*","*","*","*","*",459
"Hartford School District","=""0640011""","ELA","Y",144,120,83.3,"*","*","*","*",0,0.0,"*","*",376
"Hartford School District","=""0640011""","Math","N",1017,471,46.3,379,37.3,"*","*","*","*","*","*",437
"Hartford School District","=""0640011""","Math","Y",144,108,75.0,"*","*","*","*",0,0.0,"*","*",378
"Highville Charter School District","=""2860013""","ELA","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","ELA","N",173,26,15.0,27,15.6,110,63.6,10,5.8,120,69.4,506
"Killingly School District","=""0690011""","Math","N",173,46,26.6,94,54.3,"*","*","*","*",33,19.1,464
"Learn","=""2450014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","ELA","N",83,6,7.2,6,7.2,60,72.3,11,13.3,71,85.5,547
"Lebanon School District","=""0710011""","Math","N",83,6,7.2,33,39.8,31,37.3,13,15.7,44,53.0,541
"Ledyard School District","=""0720011""","ELA","N",199,24,12.1,38,19.1,101,50.8,36,18.1,137,68.8,527
"Ledyard School District","=""0720011""","Math","N",199,32,16.1,85,42.7,57,28.6,25,12.6,82,41.2,515
"Litchfield School District","=""0740011""","ELA","N",74,7,9.5,10,13.5,41,55.4,16,21.6,57,77.0,544
"Litchfield School District","=""0740011""","Math","N",74,9,12.2,23,31.1,33,44.6,9,12.2,42,56.8,530
"Madison School District","=""0760011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","ELA","N",339,"*","*","*","*","*","*","*","*","*","*",482
"Manchester School District","=""0770011""","ELA","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Math","N",339,"*","*","*","*","*","*","*","*","*","*",457
"Manchester School District","=""0770011""","Math","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","ELA","N",425,130,30.6,101,23.8,"*","*","*","*","*","*",472
"Meriden School District","=""0800011""","ELA","Y",53,43,81.1,"*","*","*","*",0,0.0,"*","*",375
"Meriden School District","=""0800011""","Math","N",424,201,47.4,158,37.3,"*","*","*","*",65,15.3,431
"Meriden School District","=""0800011""","Math","Y",53,45,84.9,8,15.1,0,0.0,0,0.0,0,0.0,355
"Middletown School District","=""0830011""","ELA","N",275,"*","*","*","*","*","*","*","*","*","*",496
"Middletown School District","=""0830011""","ELA","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Math","N",273,"*","*","*","*","*","*","*","*","*","*",468
"Middletown School District","=""0830011""","Math","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","ELA","N",136,19,14.0,23,16.9,80,58.8,14,10.3,94,69.1,515
"Montville School District","=""0860011""","Math","N",135,25,18.5,59,43.7,44,32.6,7,5.2,51,37.8,500
"Naugatuck School District","=""0880011""","ELA","N",283,"*","*","*","*","*","*","*","*","*","*",475
"Naugatuck School District","=""0880011""","ELA","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Math","N",280,"*","*","*","*","*","*","*","*","*","*",450
"Naugatuck School District","=""0880011""","Math","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","ELA","N",399,182,45.6,"*","*",106,26.6,"*","*","*","*",438
"New Britain School District","=""0890011""","ELA","Y",72,"*","*","*","*",0,0.0,0,0.0,0,0.0,367
"New Britain School District","=""0890011""","Math","N",399,191,47.9,155,38.8,39,9.8,14,3.5,53,13.3,431
"New Britain School District","=""0890011""","Math","Y",72,65,90.3,7,9.7,0,0.0,0,0.0,0,0.0,362
"New Canaan School District","=""0900011""","ELA","N",319,6,1.9,6,1.9,170,53.3,137,42.9,307,96.2,607
"New Canaan School District","=""0900011""","Math","N",319,8,2.5,43,13.5,151,47.3,117,36.7,268,84.0,609
"New Fairfield School District","=""0910011""","ELA","N",227,15,6.6,21,9.3,130,57.3,61,26.9,191,84.1,564
"New Fairfield School District","=""0910011""","Math","N",227,28,12.3,92,40.5,84,37.0,23,10.1,107,47.1,523
"New Haven School District","=""0930011""","ELA","N",1033,340,32.9,246,23.8,"*","*","*","*","*","*",465
"New Haven School District","=""0930011""","ELA","Y",112,104,92.9,"*","*","*","*",0,0.0,"*","*",365
"New Haven School District","=""0930011""","Math","N",1033,424,41.0,457,44.2,"*","*","*","*","*","*",439
"New Haven School District","=""0930011""","Math","Y",112,93,83.0,"*","*","*","*",0,0.0,"*","*",367
"New London School District","=""0950011""","ELA","N",138,39,28.3,"*","*",46,33.3,"*","*","*","*",474
"New London School District","=""0950011""","ELA","Y",32,"*","*","*","*",0,0.0,0,0.0,0,0.0,362
"New London School District","=""0950011""","Math","N",138,48,34.8,"*","*",28,20.3,"*","*","*","*",466
"New London School District","=""0950011""","Math","Y",32,"*","*","*","*",0,0.0,0,0.0,0,0.0,353
"New Milford School District","=""0960011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","ELA","N",293,"*","*","*","*","*","*","*","*","*","*",538
"Newington School District","=""0940011""","ELA","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","Math","N",293,"*","*","*","*","*","*","*","*","*","*",524
"Newington School District","=""0940011""","Math","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","=""0970011""","ELA","N",403,14,3.5,32,7.9,236,58.6,121,30.0,357,88.6,577
"Newtown School District","=""0970011""","Math","N",403,25,6.2,114,28.3,188,46.7,76,18.9,264,65.5,562
"North Branford School District","=""0990011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwalk School District","=""1030011""","ELA","N",695,110,15.8,146,21.0,"*","*","*","*","*","*",508
"Norwalk School District","=""1030011""","ELA","Y",57,45,78.9,"*","*","*","*",0,0.0,"*","*",392
"Norwalk School District","=""1030011""","Math","N",695,142,20.4,334,48.1,171,24.6,48,6.9,219,31.5,490
"Norwalk School District","=""1030011""","Math","Y",57,46,80.7,11,19.3,0,0.0,0,0.0,0,0.0,381
"Norwich Free Academy District","=""9010022""","ELA","N",526,89,16.9,"*","*","*","*","*","*","*","*",522
"Norwich Free Academy District","=""9010022""","ELA","Y",44,36,81.8,"*","*","*","*","*","*","*","*",385
"Norwich Free Academy District","=""9010022""","Math","N",526,125,23.8,213,40.5,"*","*","*","*","*","*",491
"Norwich Free Academy District","=""9010022""","Math","Y",43,29,67.4,11,25.6,"*","*","*","*","*","*",400
"Norwich School District","=""1040011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","ELA","N",146,22,15.1,33,22.6,77,52.7,14,9.6,91,62.3,508
"Plainfield School District","=""1090011""","Math","N",146,"*","*",75,51.4,33,22.6,"*","*","*","*",478
"Plainville School District","=""1100011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
