"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Gender"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Glastonbury School District","=""0540011""","Math","Female",264,16,6.1,68,25.8,106,40.2,74,28.0,180,68.2,578
"Glastonbury School District","=""0540011""","Math","Male",219,15,6.8,49,22.4,98,44.7,57,26.0,155,70.8,583
"Granby School District","=""0560011""","ELA","Female",70,"*","*","*","*",35,50.0,22,31.4,57,81.4,569
"Granby School District","=""0560011""","ELA","Male",81,"*","*","*","*",48,59.3,21,25.9,69,85.2,562
"Granby School District","=""0560011""","Math","Female",70,"*","*",21,30.0,32,45.7,"*","*","*","*",550
"Granby School District","=""0560011""","Math","Male",81,"*","*",28,34.6,38,46.9,"*","*","*","*",560
"Greenwich School District","=""0570011""","ELA","Female",303,24,7.9,31,10.2,141,46.5,107,35.3,248,81.8,575
"Greenwich School District","=""0570011""","ELA","Male",314,24,7.6,37,11.8,140,44.6,113,36.0,253,80.6,574
"Greenwich School District","=""0570011""","Math","Female",303,28,9.2,100,33.0,89,29.4,86,28.4,175,57.8,561
"Greenwich School District","=""0570011""","Math","Male",314,29,9.2,64,20.4,99,31.5,122,38.9,221,70.4,589
"Griswold School District","=""0580011""","ELA","Female",71,9,12.7,13,18.3,39,54.9,10,14.1,49,69.0,530
"Griswold School District","=""0580011""","ELA","Male",54,12,22.2,10,18.5,24,44.4,8,14.8,32,59.3,495
"Griswold School District","=""0580011""","Math","Female",71,"*","*",34,47.9,24,33.8,"*","*","*","*",485
"Griswold School District","=""0580011""","Math","Male",54,"*","*",29,53.7,13,24.1,"*","*","*","*",488
"Groton School District","=""0590011""","ELA","Female",130,15,11.5,27,20.8,64,49.2,24,18.5,88,67.7,532
"Groton School District","=""0590011""","ELA","Male",110,20,18.2,22,20.0,50,45.5,18,16.4,68,61.8,510
"Groton School District","=""0590011""","Math","Female",130,27,20.8,61,46.9,32,24.6,10,7.7,42,32.3,495
"Groton School District","=""0590011""","Math","Male",110,24,21.8,43,39.1,31,28.2,12,10.9,43,39.1,504
"Guilford School District","=""0600011""","ELA","Female",132,"*","*","*","*",69,52.3,52,39.4,121,91.7,596
"Guilford School District","=""0600011""","ELA","Male",122,"*","*","*","*",70,57.4,34,27.9,104,85.2,577
"Guilford School District","=""0600011""","Math","Female",131,10,7.6,36,27.5,66,50.4,19,14.5,85,64.9,563
"Guilford School District","=""0600011""","Math","Male",122,9,7.4,37,30.3,49,40.2,27,22.1,76,62.3,558
"Hamden School District","=""0620011""","ELA","Female",184,24,13.0,34,18.5,95,51.6,31,16.8,126,68.5,523
"Hamden School District","=""0620011""","ELA","Male",190,32,16.8,40,21.1,84,44.2,34,17.9,118,62.1,515
"Hamden School District","=""0620011""","Math","Female",184,40,21.7,89,48.4,45,24.5,10,5.4,55,29.9,481
"Hamden School District","=""0620011""","Math","Male",190,48,25.3,74,38.9,49,25.8,19,10.0,68,35.8,496
"Hartford School District","=""0640011""","ELA","Female",577,237,41.1,141,24.4,171,29.6,28,4.9,199,34.5,451
"Hartford School District","=""0640011""","ELA","Male",585,285,48.7,103,17.6,157,26.8,40,6.8,197,33.7,447
"Hartford School District","=""0640011""","Math","Female",577,286,49.6,218,37.8,64,11.1,9,1.6,73,12.7,427
"Hartford School District","=""0640011""","Math","Male",584,293,50.2,192,32.9,72,12.3,27,4.6,99,17.0,432
"Highville Charter School District","=""2860013""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","ELA","Female",95,"*","*",19,20.0,62,65.3,"*","*","*","*",518
"Killingly School District","=""0690011""","ELA","Male",78,19,24.4,"*","*",48,61.5,"*","*","*","*",492
"Killingly School District","=""0690011""","Math","Female",95,21,22.1,60,63.2,14,14.7,0,0.0,14,14.7,468
"Killingly School District","=""0690011""","Math","Male",78,25,32.1,34,43.6,"*","*","*","*",19,24.4,459
"Learn","=""2450014""","ELA","Female",110,26,23.6,18,16.4,47,42.7,19,17.3,66,60.0,503
"Learn","=""2450014""","ELA","Male",76,14,18.4,12,15.8,31,40.8,19,25.0,50,65.8,535
"Learn","=""2450014""","Math","Female",109,"*","*",50,45.9,29,26.6,"*","*","*","*",474
"Learn","=""2450014""","Math","Male",76,"*","*",30,39.5,23,30.3,"*","*","*","*",496
"Lebanon School District","=""0710011""","ELA","Female",46,"*","*","*","*",33,71.7,"*","*","*","*",538
"Lebanon School District","=""0710011""","ELA","Male",37,"*","*","*","*",27,73.0,"*","*","*","*",557
"Lebanon School District","=""0710011""","Math","Female",46,"*","*",20,43.5,17,37.0,"*","*","*","*",532
"Lebanon School District","=""0710011""","Math","Male",37,"*","*",13,35.1,14,37.8,"*","*","*","*",552
"Ledyard School District","=""0720011""","ELA","Female",114,8,7.0,22,19.3,64,56.1,20,17.5,84,73.7,534
"Ledyard School District","=""0720011""","ELA","Male",85,16,18.8,16,18.8,37,43.5,16,18.8,53,62.4,517
"Ledyard School District","=""0720011""","Math","Female",114,16,14.0,52,45.6,33,28.9,13,11.4,46,40.4,516
"Ledyard School District","=""0720011""","Math","Male",85,16,18.8,33,38.8,24,28.2,12,14.1,36,42.4,515
"Litchfield School District","=""0740011""","ELA","Female",33,"*","*","*","*",16,48.5,9,27.3,25,75.8,553
"Litchfield School District","=""0740011""","ELA","Male",41,"*","*","*","*",25,61.0,7,17.1,32,78.0,537
"Litchfield School District","=""0740011""","Math","Female",33,"*","*",8,24.2,16,48.5,"*","*","*","*",536
"Litchfield School District","=""0740011""","Math","Male",41,"*","*",15,36.6,17,41.5,"*","*","*","*",525
"Madison School District","=""0760011""","ELA","Female",136,"*","*","*","*",80,58.8,51,37.5,131,96.3,599
"Madison School District","=""0760011""","ELA","Male",160,"*","*","*","*",85,53.1,60,37.5,145,90.6,596
"Madison School District","=""0760011""","Math","Female",136,7,5.1,35,25.7,68,50.0,26,19.1,94,69.1,568
"Madison School District","=""0760011""","Math","Male",160,9,5.6,39,24.4,65,40.6,47,29.4,112,70.0,587
"Manchester School District","=""0770011""","ELA","Female",202,47,23.3,44,21.8,96,47.5,15,7.4,111,55.0,487
"Manchester School District","=""0770011""","ELA","Male",150,54,36.0,28,18.7,57,38.0,11,7.3,68,45.3,467
"Manchester School District","=""0770011""","Math","Female",202,64,31.7,94,46.5,38,18.8,6,3.0,44,21.8,461
"Manchester School District","=""0770011""","Math","Male",150,61,40.7,61,40.7,22,14.7,6,4.0,28,18.7,444
"Meriden School District","=""0800011""","ELA","Female",251,84,33.5,59,23.5,88,35.1,20,8.0,108,43.0,469
"Meriden School District","=""0800011""","ELA","Male",227,89,39.2,51,22.5,77,33.9,10,4.4,87,38.3,454
"Meriden School District","=""0800011""","Math","Female",250,132,52.8,86,34.4,"*","*","*","*",32,12.8,422
"Meriden School District","=""0800011""","Math","Male",227,114,50.2,80,35.2,"*","*","*","*",33,14.5,424
"Middletown School District","=""0830011""","ELA","Female",134,27,20.1,33,24.6,58,43.3,16,11.9,74,55.2,500
"Middletown School District","=""0830011""","ELA","Male",151,43,28.5,28,18.5,69,45.7,11,7.3,80,53.0,484
"Middletown School District","=""0830011""","Math","Female",133,37,27.8,66,49.6,"*","*","*","*",30,22.6,462
"Middletown School District","=""0830011""","Math","Male",150,51,34.0,56,37.3,"*","*","*","*",43,28.7,469
"Milford School District","=""0840011""","ELA","Female",234,13,5.6,36,15.4,152,65.0,33,14.1,185,79.1,540
"Milford School District","=""0840011""","ELA","Male",218,24,11.0,38,17.4,128,58.7,28,12.8,156,71.6,525
"Milford School District","=""0840011""","Math","Female",234,36,15.4,115,49.1,72,30.8,11,4.7,83,35.5,499
"Milford School District","=""0840011""","Math","Male",217,30,13.8,106,48.8,66,30.4,15,6.9,81,37.3,505
