"CT School Day SAT, 2015-16"
"All Districts, ELA, Special Education Status (SWD)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Brooklyn School District","=""0190011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",103,"*","*","*","*","*","*","*","*","*","*",586
"Canton School District","=""0230011""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","N",430,"*","*",103,24.0,177,41.2,"*","*","*","*",517
"Capitol Region Education Council","=""2410014""","Y",57,30,52.6,14,24.6,"*","*","*","*",13,22.8,420
"Cheshire School District","=""0250011""","N",343,7,2.0,28,8.2,208,60.6,100,29.2,308,89.8,577
"Cheshire School District","=""0250011""","Y",31,12,38.7,8,25.8,11,35.5,0,0.0,11,35.5,454
"Clinton School District","=""0270011""","N",116,"*","*","*","*","*","*","*","*","*","*",546
"Clinton School District","=""0270011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","N",175,"*","*","*","*","*","*","*","*","*","*",563
"Colchester School District","=""0280011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","N",33,"*","*","*","*","*","*","*","*","*","*",461
"Common Ground High School District","=""2680013""","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","N",2273,"*","*",722,31.8,977,43.0,"*","*","*","*",474
"Connecticut Technical High School System","=""9000016""","Y",172,105,61.0,45,26.2,"*","*","*","*",22,12.8,411
"Cooperative Educational Services","=""2430014""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",118,"*","*","*","*","*","*","*","*","*","*",549
"Coventry School District","=""0320011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","N",127,"*","*","*","*","*","*","*","*","*","*",547
"Cromwell School District","=""0330011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",578,129,22.3,125,21.6,"*","*","*","*","*","*",497
"Danbury School District","=""0340011""","Y",64,50,78.1,"*","*","*","*",0,0.0,"*","*",381
"Darien School District","=""0350011""","N",274,"*","*","*","*",104,38.0,"*","*","*","*",632
"Darien School District","=""0350011""","Y",38,"*","*","*","*",26,68.4,"*","*","*","*",524
"Derby School District","=""0370011""","N",79,"*","*","*","*","*","*","*","*","*","*",454
"Derby School District","=""0370011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",55,"*","*","*","*","*","*","*","*","*","*",571
"East Granby School District","=""0400011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",71,"*","*","*","*","*","*","*","*","*","*",543
"East Haddam School District","=""0410011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","N",119,"*","*","*","*","*","*","*","*","*","*",561
"East Hampton School District","=""0420011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","N",404,109,27.0,102,25.2,"*","*","*","*","*","*",477
"East Hartford School District","=""0430011""","Y",45,36,80.0,"*","*","*","*",0,0.0,"*","*",380
"East Haven School District","=""0440011""","N",179,33,18.4,43,24.0,"*","*","*","*","*","*",496
"East Haven School District","=""0440011""","Y",36,24,66.7,"*","*","*","*",0,0.0,"*","*",404
"East Lyme School District","=""0450011""","N",232,"*","*","*","*",134,57.8,"*","*","*","*",582
"East Lyme School District","=""0450011""","Y",24,"*","*","*","*",10,41.7,"*","*","*","*",507
"East Windsor School District","=""0470011""","N",55,"*","*","*","*","*","*","*","*","*","*",516
"East Windsor School District","=""0470011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",54,"*","*","*","*","*","*","*","*","*","*",510
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",186,"*","*","*","*","*","*","*","*","*","*",551
"Ellington School District","=""0480011""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","N",305,31,10.2,72,23.6,"*","*","*","*","*","*",513
"Enfield School District","=""0490011""","Y",41,24,58.5,"*","*","*","*",0,0.0,"*","*",402
"Explorations District","=""2720013""","N",14,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","N",643,25,3.9,42,6.5,366,56.9,210,32.7,576,89.6,582
"Fairfield School District","=""0510011""","Y",70,25,35.7,18,25.7,19,27.1,8,11.4,27,38.6,474
"Farmington School District","=""0520011""","N",268,"*","*",19,7.1,133,49.6,"*","*","*","*",590
"Farmington School District","=""0520011""","Y",32,10,31.3,"*","*",11,34.4,"*","*","*","*",460
"Glastonbury School District","=""0540011""","N",444,"*","*",37,8.3,259,58.3,"*","*","*","*",580
"Glastonbury School District","=""0540011""","Y",39,"*","*",12,30.8,15,38.5,"*","*","*","*",461
"Granby School District","=""0560011""","N",135,"*","*","*","*","*","*","*","*","*","*",578
"Granby School District","=""0560011""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","N",546,"*","*",47,8.6,260,47.6,"*","*","*","*",590
"Greenwich School District","=""0570011""","Y",71,25,35.2,"*","*",21,29.6,"*","*","*","*",456
"Griswold School District","=""0580011""","N",114,"*","*","*","*","*","*","*","*","*","*",529
"Griswold School District","=""0580011""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","N",216,"*","*",41,19.0,"*","*",42,19.4,"*","*",533
"Groton School District","=""0590011""","Y",24,11,45.8,"*","*","*","*",0,0.0,"*","*",422
"Guilford School District","=""0600011""","N",230,"*","*","*","*",128,55.7,"*","*","*","*",595
"Guilford School District","=""0600011""","Y",24,"*","*","*","*",11,45.8,"*","*","*","*",511
"Hamden School District","=""0620011""","N",336,"*","*",60,17.9,"*","*",65,19.3,"*","*",532
"Hamden School District","=""0620011""","Y",38,20,52.6,"*","*","*","*",0,0.0,"*","*",402
"Hartford School District","=""0640011""","N",1018,408,40.1,"*","*",316,31.0,"*","*","*","*",457
"Hartford School District","=""0640011""","Y",144,114,79.2,15,10.4,"*","*","*","*",15,10.4,392
"Highville Charter School District","=""2860013""","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","N",158,"*","*","*","*","*","*","*","*","*","*",518
"Killingly School District","=""0690011""","Y",15,"*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","N",169,"*","*","*","*","*","*","*","*","*","*",525
"Learn","=""2450014""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","N",76,"*","*","*","*","*","*","*","*","*","*",559
"Lebanon School District","=""0710011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","N",167,"*","*",27,16.2,93,55.7,"*","*","*","*",541
"Ledyard School District","=""0720011""","Y",32,12,37.5,11,34.4,"*","*","*","*",9,28.1,452
"Litchfield School District","=""0740011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","N",264,"*","*",6,2.3,151,57.2,"*","*","*","*",609
"Madison School District","=""0760011""","Y",32,"*","*",7,21.9,14,43.8,"*","*","*","*",500
"Manchester School District","=""0770011""","N",309,73,23.6,"*","*",146,47.2,"*","*","*","*",489
"Manchester School District","=""0770011""","Y",43,28,65.1,"*","*",7,16.3,"*","*","*","*",407
"Meriden School District","=""0800011""","N",413,121,29.3,99,24.0,"*","*","*","*","*","*",475
"Meriden School District","=""0800011""","Y",65,52,80.0,"*","*","*","*",0,0.0,"*","*",378
"Middletown School District","=""0830011""","N",259,56,21.6,55,21.2,"*","*","*","*",148,57.1,499
"Middletown School District","=""0830011""","Y",26,14,53.8,6,23.1,"*","*","*","*",6,23.1,419
"Milford School District","=""0840011""","N",410,20,4.9,60,14.6,269,65.6,61,14.9,330,80.5,543
"Milford School District","=""0840011""","Y",42,17,40.5,14,33.3,11,26.2,0,0.0,11,26.2,434
"Monroe School District","=""0850011""","N",248,"*","*","*","*",140,56.5,74,29.8,214,86.3,574
"Monroe School District","=""0850011""","Y",22,14,63.6,"*","*","*","*",0,0.0,"*","*",417
"Montville School District","=""0860011""","N",120,"*","*","*","*","*","*","*","*","*","*",531
"Montville School District","=""0860011""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","N",240,47,19.6,58,24.2,"*","*","*","*","*","*",489
"Naugatuck School District","=""0880011""","Y",51,35,68.6,"*","*","*","*",0,0.0,"*","*",395
"New Britain School District","=""0890011""","N",428,209,48.8,"*","*","*","*",14,3.3,"*","*",434
"New Britain School District","=""0890011""","Y",43,40,93.0,"*","*","*","*",0,0.0,"*","*",360
"New Canaan School District","=""0900011""","N",291,"*","*","*","*",151,51.9,"*","*","*","*",617
"New Canaan School District","=""0900011""","Y",28,"*","*","*","*",19,67.9,"*","*","*","*",504
"New Fairfield School District","=""0910011""","N",208,"*","*","*","*","*","*","*","*","*","*",576
"New Fairfield School District","=""0910011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","N",1022,355,34.7,"*","*",375,36.7,"*","*","*","*",463
"New Haven School District","=""0930011""","Y",123,89,72.4,19,15.4,"*","*","*","*",15,12.2,388
"New London School District","=""0950011""","N",139,46,33.1,"*","*","*","*","*","*","*","*",465
"New London School District","=""0950011""","Y",31,21,67.7,"*","*","*","*","*","*","*","*",397
"New Milford School District","=""0960011""","N",274,16,5.8,38,13.9,167,60.9,53,19.3,220,80.3,550
"New Milford School District","=""0960011""","Y",28,13,46.4,9,32.1,6,21.4,0,0.0,6,21.4,423
"Newington School District","=""0940011""","N",270,"*","*",38,14.1,"*","*",57,21.1,"*","*",548
"Newington School District","=""0940011""","Y",30,"*","*",16,53.3,"*","*",0,0.0,"*","*",419
"Newtown School District","=""0970011""","N",381,7,1.8,"*","*",225,59.1,"*","*","*","*",583
"Newtown School District","=""0970011""","Y",22,7,31.8,"*","*",11,50.0,"*","*","*","*",460
"North Branford School District","=""0990011""","N",128,"*","*",21,16.4,"*","*",20,15.6,"*","*",533
"North Branford School District","=""0990011""","Y",26,15,57.7,"*","*","*","*",0,0.0,"*","*",397
"North Haven School District","=""1010011""","N",228,"*","*","*","*","*","*","*","*","*","*",546
"North Haven School District","=""1010011""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","N",55,7,12.7,6,10.9,32,58.2,10,18.2,42,76.4,548
"Norwalk School District","=""1030011""","N",694,118,17.0,142,20.5,359,51.7,75,10.8,434,62.5,508
"Norwalk School District","=""1030011""","Y",58,37,63.8,13,22.4,8,13.8,0,0.0,8,13.8,401
"Norwich Free Academy District","=""9010022""","N",516,90,17.4,"*","*",251,48.6,"*","*","*","*",523
"Norwich Free Academy District","=""9010022""","Y",54,35,64.8,10,18.5,"*","*","*","*",9,16.7,405
"Norwich School District","=""1040011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N",89,"*","*","*","*","*","*","*","*","*","*",559
"Old Saybrook School District","=""1060011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N",158,"*","*","*","*","*","*","*","*","*","*",558
"Oxford School District","=""1080011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","N",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","N",137,"*","*","*","*","*","*","*","*","*","*",515
"Plainfield School District","=""1090011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","N",161,"*","*",36,22.4,"*","*",20,12.4,"*","*",521
"Plainville School District","=""1100011""","Y",20,11,55.0,"*","*","*","*",0,0.0,"*","*",399
"Plymouth School District","=""1110011""","N",101,"*","*","*","*","*","*","*","*","*","*",505
"Plymouth School District","=""1110011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","N",47,"*","*","*","*","*","*","*","*","*","*",494
"Putnam School District","=""1160011""","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","N",93,"*","*","*","*","*","*","*","*","*","*",554
"Regional School District 01","=""2010012""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","N",133,"*","*","*","*","*","*","*","*","*","*",580
"Regional School District 04","=""2040012""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""","N",312,"*","*",25,8.0,167,53.5,"*","*","*","*",589
"Regional School District 05","=""2050012""","Y",32,10,31.3,"*","*",12,37.5,"*","*","*","*",460
"Regional School District 06","=""2060012""","N",100,"*","*","*","*","*","*","*","*","*","*",544
"Regional School District 06","=""2060012""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","N",173,"*","*","*","*","*","*","*","*","*","*",568
"Regional School District 07","=""2070012""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","N",217,"*","*",11,5.1,135,62.2,"*","*","*","*",581
"Regional School District 08","=""2080012""","Y",26,"*","*",6,23.1,7,26.9,"*","*","*","*",434
"Regional School District 09","=""2090012""","N",242,"*","*",11,4.5,145,59.9,"*","*","*","*",595
"Regional School District 09","=""2090012""","Y",21,"*","*",9,42.9,7,33.3,"*","*","*","*",495
"Regional School District 10","=""2100012""","N",170,"*","*","*","*","*","*","*","*","*","*",574
"Regional School District 10","=""2100012""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","N",36,"*","*","*","*","*","*","*","*","*","*",531
"Regional School District 11","=""2110012""","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","N",40,"*","*","*","*","*","*","*","*","*","*",583
"Regional School District 12","=""2120012""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","N",127,"*","*","*","*","*","*","*","*","*","*",575
"Regional School District 13","=""2130012""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","N",160,"*","*","*","*","*","*","*","*","*","*",544
"Regional School District 14","=""2140012""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","N",274,"*","*",29,10.6,164,59.9,"*","*","*","*",578
"Regional School District 15","=""2150012""","Y",33,"*","*",8,24.2,12,36.4,"*","*","*","*",450
"Regional School District 16","=""2160012""","N",147,"*","*","*","*","*","*","*","*","*","*",549
"Regional School District 16","=""2160012""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","N",129,"*","*","*","*","*","*","*","*","*","*",581
"Regional School District 17","=""2170012""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","N",106,"*","*","*","*","*","*","*","*","*","*",583
"Regional School District 18","=""2180012""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","N",241,"*","*",25,10.4,142,58.9,"*","*","*","*",571
"Regional School District 19","=""2190012""","Y",27,"*","*",9,33.3,9,33.3,"*","*","*","*",464
"Ridgefield School District","=""1180011""","N",399,0,0.0,"*","*","*","*","*","*","*","*",613
"Ridgefield School District","=""1180011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","N",153,"*","*","*","*","*","*","*","*","*","*",552
"Rocky Hill School District","=""1190011""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Salem School District","=""1210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","N",138,"*","*","*","*","*","*","*","*","*","*",515
"Seymour School District","=""1240011""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""","N",342,"*","*",50,14.6,"*","*",63,18.4,"*","*",551
"Shelton School District","=""1260011""","Y",29,17,58.6,"*","*","*","*",0,0.0,"*","*",404
"Simsbury School District","=""1280011""","N",317,"*","*","*","*",160,50.5,133,42.0,293,92.4,601
"Simsbury School District","=""1280011""","Y",44,"*","*",8,18.2,17,38.6,"*","*","*","*",501
"Somers School District","=""1290011""","N",96,"*","*","*","*","*","*","*","*","*","*",553
"Somers School District","=""1290011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"South Windsor School District","=""1320011""","N",292,"*","*","*","*",183,62.7,72,24.7,255,87.3,570
"South Windsor School District","=""1320011""","Y",34,"*","*","*","*",14,41.2,0,0.0,14,41.2,452
"Southington School District","=""1310011""","N",418,"*","*",58,13.9,250,59.8,"*","*","*","*",555
"Southington School District","=""1310011""","Y",52,25,48.1,17,32.7,"*","*","*","*",10,19.2,424
"Stafford School District","=""1340011""","N",89,"*","*","*","*","*","*","*","*","*","*",557
"Stafford School District","=""1340011""","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Stamford Academy District","=""2820013""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Stamford Academy District","=""2820013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","N",989,"*","*",213,21.5,465,47.0,"*","*","*","*",506
"Stamford School District","=""1350011""","Y",109,70,64.2,25,22.9,"*","*","*","*",14,12.8,404
"Stonington School District","=""1370011""","N",149,"*","*","*","*","*","*","*","*","*","*",554
"Stonington School District","=""1370011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","N",425,64,15.1,83,19.5,232,54.6,46,10.8,278,65.4,511
"Stratford School District","=""1380011""","Y",39,25,64.1,8,20.5,6,15.4,0,0.0,6,15.4,406
"Suffield School District","=""1390011""","N",160,"*","*","*","*","*","*","*","*","*","*",569
"Suffield School District","=""1390011""","Y",20,"*","*","*","*","*","*","*","*","*","*",454
"The Bridge Academy District","=""2690013""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"The Bridge Academy District","=""2690013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District","=""9020022""","N",88,"*","*","*","*","*","*","*","*","*","*",510
"The Gilbert School District","=""9020022""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Thomaston School District","=""1400011""","N",53,"*","*","*","*","*","*","*","*","*","*",513
"Thomaston School District","=""1400011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Thompson School District","=""1410011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Thompson School District","=""1410011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Tolland School District","=""1420011""","N",183,"*","*","*","*","*","*","*","*","*","*",582
"Tolland School District","=""1420011""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","N",174,27,15.5,38,21.8,"*","*","*","*","*","*",501
"Torrington School District","=""1430011""","Y",23,13,56.5,"*","*","*","*",0,0.0,"*","*",409
"Trumbull School District","=""1440011""","N",454,"*","*",47,10.4,275,60.6,"*","*","*","*",565
"Trumbull School District","=""1440011""","Y",41,"*","*",13,31.7,13,31.7,"*","*","*","*",474
"Unified School District #2","=""3470015""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","N",173,"*","*","*","*","*","*","*","*","*","*",529
"Vernon School District","=""1460011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","N",423,"*","*",61,14.4,273,64.5,"*","*","*","*",532
"Wallingford School District","=""1480011""","Y",37,23,62.2,"*","*",7,18.9,"*","*","*","*",414
"Waterbury School District","=""1510011""","N",895,293,32.7,255,28.5,302,33.7,45,5.0,347,38.8,461
"Waterbury School District","=""1510011""","Y",160,126,78.8,26,16.3,8,5.0,0,0.0,8,5.0,374
"Waterford School District","=""1520011""","N",180,"*","*","*","*",114,63.3,30,16.7,144,80.0,543
"Waterford School District","=""1520011""","Y",23,"*","*","*","*",10,43.5,0,0.0,10,43.5,453
"Watertown School District","=""1530011""","N",182,"*","*","*","*","*","*","*","*","*","*",526
"Watertown School District","=""1530011""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","=""1550011""","N",682,"*","*",73,10.7,336,49.3,"*","*","*","*",571
"West Hartford School District","=""1550011""","Y",70,31,44.3,22,31.4,"*","*","*","*",17,24.3,436
"West Haven School District","=""1560011""","N",284,72,25.4,74,26.1,"*","*","*","*","*","*",478
"West Haven School District","=""1560011""","Y",20,12,60.0,"*","*","*","*",0,0.0,"*","*",385
"Westbrook School District","=""1540011""","N",68,"*","*","*","*","*","*","*","*","*","*",525
"Westbrook School District","=""1540011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","N",186,"*","*","*","*","*","*","*","*","*","*",590
"Weston School District","=""1570011""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Westport School District","=""1580011""","N",390,13,3.3,"*","*",177,45.4,"*","*","*","*",609
"Westport School District","=""1580011""","Y",43,10,23.3,"*","*",23,53.5,"*","*","*","*",499
"Wethersfield School District","=""1590011""","N",228,"*","*","*","*",140,61.4,32,14.0,172,75.4,531
"Wethersfield School District","=""1590011""","Y",24,16,66.7,"*","*","*","*",0,0.0,"*","*",427
"Wilton School District","=""1610011""","N",292,"*","*",6,2.1,144,49.3,"*","*","*","*",613
"Wilton School District","=""1610011""","Y",36,"*","*",7,19.4,19,52.8,"*","*","*","*",528
"Windham School District","=""1630011""","N",82,32,39.0,"*","*","*","*","*","*","*","*",443
"Windham School District","=""1630011""","Y",21,16,76.2,"*","*","*","*","*","*","*","*",388
"Windsor Locks School District","=""1650011""","N",82,"*","*","*","*","*","*","*","*","*","*",497
"Windsor Locks School District","=""1650011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","N",219,"*","*",59,26.9,116,53.0,"*","*","*","*",517
"Windsor School District","=""1640011""","Y",43,23,53.5,11,25.6,"*","*","*","*",9,20.9,426
"Wolcott School District","=""1660011""","N",173,"*","*","*","*","*","*","*","*","*","*",546
"Wolcott School District","=""1660011""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","N",249,"*","*","*","*","*","*","*","*","*","*",544
"Woodstock Academy District","=""9030022""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"

