"CT School Day SAT, 2015-16"
"All Districts, Math, Special Education Status (SWD)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Derby School District","=""0370011""","N",79,"*","*","*","*","*","*",0,0.0,"*","*",438
"Derby School District","=""0370011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",55,"*","*","*","*","*","*","*","*","*","*",531
"East Granby School District","=""0400011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",71,"*","*","*","*","*","*","*","*","*","*",490
"East Haddam School District","=""0410011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","N",119,"*","*","*","*","*","*","*","*","*","*",520
"East Hampton School District","=""0420011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","N",404,119,29.5,195,48.3,"*","*","*","*","*","*",465
"East Hartford School District","=""0430011""","Y",43,34,79.1,"*","*","*","*",0,0.0,"*","*",367
"East Haven School District","=""0440011""","N",179,52,29.1,"*","*","*","*",7,3.9,"*","*",466
"East Haven School District","=""0440011""","Y",36,30,83.3,"*","*","*","*",0,0.0,"*","*",370
"East Lyme School District","=""0450011""","N",232,"*","*",68,29.3,98,42.2,"*","*","*","*",565
"East Lyme School District","=""0450011""","Y",24,"*","*",11,45.8,0,0.0,"*","*","*","*",429
"East Windsor School District","=""0470011""","N",55,"*","*","*","*","*","*","*","*","*","*",489
"East Windsor School District","=""0470011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",54,"*","*","*","*","*","*",0,0.0,"*","*",445
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",186,"*","*","*","*","*","*","*","*","*","*",539
"Ellington School District","=""0480011""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","N",305,47,15.4,145,47.5,"*","*","*","*","*","*",500
"Enfield School District","=""0490011""","Y",41,28,68.3,"*","*","*","*",0,0.0,"*","*",392
"Explorations District","=""2720013""","N",14,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","N",643,"*","*",179,27.8,315,49.0,"*","*","*","*",569
"Fairfield School District","=""0510011""","Y",70,31,44.3,27,38.6,"*","*","*","*",12,17.1,446
"Farmington School District","=""0520011""","N",268,"*","*",75,28.0,"*","*",84,31.3,"*","*",583
"Farmington School District","=""0520011""","Y",32,"*","*",16,50.0,"*","*",0,0.0,"*","*",442
"Glastonbury School District","=""0540011""","N",444,14,3.2,102,23.0,197,44.4,131,29.5,328,73.9,593
"Glastonbury School District","=""0540011""","Y",39,17,43.6,15,38.5,7,17.9,0,0.0,7,17.9,439
"Granby School District","=""0560011""","N",135,"*","*","*","*","*","*","*","*","*","*",567
"Granby School District","=""0560011""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","N",546,"*","*",134,24.5,181,33.2,"*","*","*","*",594
"Greenwich School District","=""0570011""","Y",71,31,43.7,30,42.3,"*","*","*","*",10,14.1,432
"Griswold School District","=""0580011""","N",114,"*","*","*","*","*","*","*","*","*","*",497
"Griswold School District","=""0580011""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","N",216,32,14.8,"*","*","*","*","*","*","*","*",511
"Groton School District","=""0590011""","Y",24,19,79.2,"*","*","*","*","*","*","*","*",385
"Guilford School District","=""0600011""","N",229,9,3.9,64,27.9,"*","*","*","*","*","*",572
"Guilford School District","=""0600011""","Y",24,10,41.7,9,37.5,"*","*","*","*","*","*",450
"Hamden School District","=""0620011""","N",336,57,17.0,156,46.4,94,28.0,29,8.6,123,36.6,503
"Hamden School District","=""0620011""","Y",38,31,81.6,7,18.4,0,0.0,0,0.0,0,0.0,367
"Hartford School District","=""0640011""","N",1017,466,45.8,382,37.6,"*","*","*","*","*","*",437
"Hartford School District","=""0640011""","Y",144,113,78.5,28,19.4,"*","*","*","*","*","*",374
"Highville Charter School District","=""2860013""","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","N",158,"*","*","*","*","*","*","*","*","*","*",473
"Killingly School District","=""0690011""","Y",15,"*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","N",168,"*","*","*","*","*","*","*","*","*","*",492
"Learn","=""2450014""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","N",76,"*","*","*","*","*","*","*","*","*","*",554
"Lebanon School District","=""0710011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","N",167,"*","*",71,42.5,"*","*",25,15.0,"*","*",532
"Ledyard School District","=""0720011""","Y",32,16,50.0,"*","*","*","*",0,0.0,"*","*",429
"Litchfield School District","=""0740011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","N",264,"*","*",62,23.5,"*","*","*","*","*","*",593
"Madison School District","=""0760011""","Y",32,"*","*",12,37.5,"*","*","*","*","*","*",458
"Manchester School District","=""0770011""","N",309,91,29.4,148,47.9,"*","*","*","*","*","*",464
"Manchester School District","=""0770011""","Y",43,34,79.1,"*","*","*","*",0,0.0,"*","*",381
"Meriden School District","=""0800011""","N",413,189,45.8,159,38.5,"*","*","*","*",65,15.7,435
"Meriden School District","=""0800011""","Y",64,57,89.1,7,10.9,0,0.0,0,0.0,0,0.0,344
"Middletown School District","=""0830011""","N",258,72,27.9,114,44.2,"*","*","*","*","*","*",472
"Middletown School District","=""0830011""","Y",25,16,64.0,"*","*","*","*",0,0.0,"*","*",396
"Milford School District","=""0840011""","N",410,41,10.0,207,50.5,"*","*","*","*","*","*",512
"Milford School District","=""0840011""","Y",41,25,61.0,"*","*","*","*",0,0.0,"*","*",404
"Monroe School District","=""0850011""","N",248,"*","*",71,28.6,"*","*",44,17.7,"*","*",564
"Monroe School District","=""0850011""","Y",21,13,61.9,"*","*","*","*",0,0.0,"*","*",404
"Montville School District","=""0860011""","N",120,"*","*","*","*","*","*","*","*","*","*",512
"Montville School District","=""0860011""","Y",15,"*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","N",238,73,30.7,108,45.4,"*","*","*","*",57,23.9,464
"Naugatuck School District","=""0880011""","Y",50,40,80.0,10,20.0,0,0.0,0,0.0,0,0.0,368
"New Britain School District","=""0890011""","N",428,217,50.7,"*","*",39,9.1,"*","*","*","*",427
"New Britain School District","=""0890011""","Y",43,"*","*","*","*",0,0.0,0,0.0,0,0.0,353
"New Canaan School District","=""0900011""","N",291,"*","*",33,11.3,141,48.5,"*","*","*","*",620
"New Canaan School District","=""0900011""","Y",28,"*","*",10,35.7,10,35.7,"*","*","*","*",504
"New Fairfield School District","=""0910011""","N",208,"*","*","*","*","*","*","*","*","*","*",534
"New Fairfield School District","=""0910011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","N",1022,413,40.4,458,44.8,"*","*","*","*","*","*",440
"New Haven School District","=""0930011""","Y",123,104,84.6,17,13.8,"*","*","*","*","*","*",364
"New London School District","=""0950011""","N",139,52,37.4,"*","*",28,20.1,"*","*","*","*",459
"New London School District","=""0950011""","Y",31,25,80.6,"*","*",0,0.0,"*","*","*","*",381
"New Milford School District","=""0960011""","N",274,"*","*",117,42.7,"*","*",36,13.1,"*","*",538
"New Milford School District","=""0960011""","Y",28,17,60.7,"*","*","*","*",0,0.0,"*","*",404
"Newington School District","=""0940011""","N",270,"*","*",114,42.2,"*","*",28,10.4,"*","*",534
"Newington School District","=""0940011""","Y",30,17,56.7,"*","*","*","*",0,0.0,"*","*",411
"Newtown School District","=""0970011""","N",381,"*","*",108,28.3,"*","*",76,19.9,"*","*",571
"Newtown School District","=""0970011""","Y",22,13,59.1,"*","*","*","*",0,0.0,"*","*",420
"North Branford School District","=""0990011""","N",128,17,13.3,"*","*","*","*",6,4.7,"*","*",514
"North Branford School District","=""0990011""","Y",25,19,76.0,"*","*","*","*",0,0.0,"*","*",385
"North Haven School District","=""1010011""","N",228,"*","*","*","*","*","*","*","*","*","*",515
"North Haven School District","=""1010011""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","N",55,8,14.5,16,29.1,23,41.8,8,14.5,31,56.4,538
"Norwalk School District","=""1030011""","N",694,151,21.8,324,46.7,171,24.6,48,6.9,219,31.6,490
"Norwalk School District","=""1030011""","Y",58,37,63.8,21,36.2,0,0.0,0,0.0,0,0.0,384
"Norwich Free Academy District","=""9010022""","N",515,114,22.1,212,41.2,"*","*","*","*","*","*",496
"Norwich Free Academy District","=""9010022""","Y",54,40,74.1,"*","*","*","*",0,0.0,"*","*",372
"Norwich School District","=""1040011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N",89,"*","*","*","*","*","*","*","*","*","*",541
"Old Saybrook School District","=""1060011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N",158,"*","*","*","*","*","*","*","*","*","*",522
"Oxford School District","=""1080011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","N",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","N",137,"*","*","*","*","*","*","*","*","*","*",484
"Plainfield School District","=""1090011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","N",161,27,16.8,"*","*","*","*",12,7.5,"*","*",507
"Plainville School District","=""1100011""","Y",20,15,75.0,"*","*","*","*",0,0.0,"*","*",399
"Plymouth School District","=""1110011""","N",101,"*","*","*","*","*","*","*","*","*","*",490
"Plymouth School District","=""1110011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","N",47,"*","*","*","*","*","*","*","*","*","*",463
"Putnam School District","=""1160011""","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","N",93,"*","*","*","*","*","*","*","*","*","*",517
"Regional School District 01","=""2010012""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","N",133,"*","*","*","*","*","*","*","*","*","*",538
"Regional School District 04","=""2040012""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""","N",312,"*","*",80,25.6,"*","*",82,26.3,"*","*",577
"Regional School District 05","=""2050012""","Y",32,15,46.9,"*","*","*","*",0,0.0,"*","*",423
"Regional School District 06","=""2060012""","N",100,"*","*","*","*","*","*","*","*","*","*",518
"Regional School District 06","=""2060012""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","N",173,"*","*","*","*","*","*","*","*","*","*",550
"Regional School District 07","=""2070012""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","N",217,"*","*",62,28.6,"*","*",53,24.4,"*","*",578
"Regional School District 08","=""2080012""","Y",25,"*","*",6,24.0,"*","*",0,0.0,"*","*",424
"Regional School District 09","=""2090012""","N",242,"*","*","*","*",128,52.9,"*","*","*","*",583
"Regional School District 09","=""2090012""","Y",21,"*","*","*","*",7,33.3,"*","*","*","*",466
"Regional School District 10","=""2100012""","N",170,"*","*","*","*","*","*","*","*","*","*",562
"Regional School District 10","=""2100012""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","N",36,"*","*","*","*","*","*","*","*","*","*",504
"Regional School District 11","=""2110012""","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","N",40,"*","*","*","*","*","*","*","*","*","*",568
"Regional School District 12","=""2120012""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","N",127,"*","*","*","*","*","*","*","*","*","*",544
"Regional School District 13","=""2130012""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","N",160,"*","*","*","*","*","*","*","*","*","*",541
"Regional School District 14","=""2140012""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","N",274,9,3.3,82,29.9,"*","*","*","*","*","*",564
"Regional School District 15","=""2150012""","Y",33,15,45.5,13,39.4,"*","*","*","*","*","*",433
"Regional School District 16","=""2160012""","N",147,"*","*","*","*","*","*","*","*","*","*",509
"Regional School District 16","=""2160012""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","N",129,"*","*","*","*","*","*","*","*","*","*",550
"Regional School District 17","=""2170012""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","N",106,"*","*","*","*","*","*","*","*","*","*",561
"Regional School District 18","=""2180012""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","N",241,14,5.8,89,36.9,92,38.2,46,19.1,138,57.3,557
"Regional School District 19","=""2190012""","Y",27,12,44.4,9,33.3,6,22.2,0,0.0,6,22.2,434
"Ridgefield School District","=""1180011""","N",399,"*","*","*","*","*","*","*","*","*","*",610
"Ridgefield School District","=""1180011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","N",153,"*","*","*","*","*","*","*","*","*","*",546
"Rocky Hill School District","=""1190011""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Salem School District","=""1210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","N",138,"*","*","*","*","*","*","*","*","*","*",510
"Seymour School District","=""1240011""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""","N",342,"*","*",112,32.7,"*","*",36,10.5,"*","*",535
"Shelton School District","=""1260011""","Y",29,21,72.4,"*","*","*","*",0,0.0,"*","*",395
"Simsbury School District","=""1280011""","N",317,"*","*",64,20.2,131,41.3,"*","*","*","*",601
"Simsbury School District","=""1280011""","Y",44,"*","*",13,29.5,17,38.6,"*","*","*","*",493
"Somers School District","=""1290011""","N",96,"*","*","*","*","*","*","*","*","*","*",543
"Somers School District","=""1290011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"South Windsor School District","=""1320011""","N",292,"*","*",83,28.4,"*","*",57,19.5,"*","*",564
"South Windsor School District","=""1320011""","Y",34,"*","*",16,47.1,"*","*",0,0.0,"*","*",430
"Southington School District","=""1310011""","N",418,"*","*",163,39.0,"*","*",60,14.4,"*","*",550
"Southington School District","=""1310011""","Y",52,"*","*",26,50.0,"*","*",0,0.0,"*","*",422
"Stafford School District","=""1340011""","N",89,"*","*","*","*","*","*","*","*","*","*",542
"Stafford School District","=""1340011""","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Stamford Academy District","=""2820013""","N","*","*","*","*","*",0,0.0,0,0.0,0,0.0,"*"
"Stamford Academy District","=""2820013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","N",988,244,24.7,393,39.8,"*","*","*","*","*","*",494
"Stamford School District","=""1350011""","Y",106,83,78.3,21,19.8,"*","*","*","*","*","*",383
"Stonington School District","=""1370011""","N",149,"*","*","*","*","*","*","*","*","*","*",543
"Stonington School District","=""1370011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","N",425,105,24.7,190,44.7,104,24.5,26,6.1,130,30.6,485
"Stratford School District","=""1380011""","Y",39,30,76.9,9,23.1,0,0.0,0,0.0,0,0.0,371
"Suffield School District","=""1390011""","N",160,"*","*",57,35.6,"*","*",21,13.1,"*","*",546
"Suffield School District","=""1390011""","Y",20,9,45.0,"*","*","*","*",0,0.0,"*","*",436
"The Bridge Academy District","=""2690013""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"The Bridge Academy District","=""2690013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District","=""9020022""","N",88,"*","*","*","*","*","*","*","*","*","*",513
"The Gilbert School District","=""9020022""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Thomaston School District","=""1400011""","N",53,"*","*","*","*","*","*","*","*","*","*",489
"Thomaston School District","=""1400011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Thompson School District","=""1410011""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Thompson School District","=""1410011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Tolland School District","=""1420011""","N",183,"*","*","*","*","*","*","*","*","*","*",583
"Tolland School District","=""1420011""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","N",174,37,21.3,"*","*",41,23.6,"*","*","*","*",479
"Torrington School District","=""1430011""","Y",23,"*","*","*","*",0,0.0,0,0.0,0,0.0,367
"Trumbull School District","=""1440011""","N",454,23,5.1,149,32.8,"*","*","*","*",282,62.1,567
"Trumbull School District","=""1440011""","Y",41,17,41.5,17,41.5,"*","*","*","*",7,17.1,450
"Unified School District #2","=""3470015""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","N",173,"*","*","*","*","*","*","*","*","*","*",505
"Vernon School District","=""1460011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","N",423,61,14.4,210,49.6,"*","*","*","*","*","*",501
"Wallingford School District","=""1480011""","Y",37,21,56.8,"*","*","*","*",0,0.0,"*","*",395
"Waterbury School District","=""1510011""","N",892,420,47.1,375,42.0,"*","*","*","*","*","*",427
"Waterbury School District","=""1510011""","Y",157,134,85.4,"*","*","*","*",0,0.0,"*","*",362
"Waterford School District","=""1520011""","N",180,20,11.1,75,41.7,60,33.3,25,13.9,85,47.2,526
"Waterford School District","=""1520011""","Y",23,12,52.2,11,47.8,0,0.0,0,0.0,0,0.0,410
"Watertown School District","=""1530011""","N",182,"*","*","*","*","*","*","*","*","*","*",494
"Watertown School District","=""1530011""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","=""1550011""","N",681,64,9.4,200,29.4,"*","*","*","*","*","*",560
"West Hartford School District","=""1550011""","Y",70,44,62.9,21,30.0,"*","*","*","*","*","*",402
"West Haven School District","=""1560011""","N",284,87,30.6,"*","*",45,15.8,"*","*","*","*",459
"West Haven School District","=""1560011""","Y",20,"*","*","*","*",0,0.0,0,0.0,0,0.0,368
"Westbrook School District","=""1540011""","N",68,"*","*","*","*","*","*","*","*","*","*",497
"Westbrook School District","=""1540011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","N",186,"*","*","*","*","*","*","*","*","*","*",591
"Weston School District","=""1570011""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Westport School District","=""1580011""","N",390,11,2.8,60,15.4,"*","*","*","*",319,81.8,616
"Westport School District","=""1580011""","Y",43,21,48.8,14,32.6,"*","*","*","*",8,18.6,448
"Wethersfield School District","=""1590011""","N",228,27,11.8,84,36.8,"*","*","*","*","*","*",530
"Wethersfield School District","=""1590011""","Y",24,14,58.3,"*","*","*","*",0,0.0,"*","*",403
"Wilton School District","=""1610011""","N",291,"*","*",50,17.2,124,42.6,"*","*","*","*",607
"Wilton School District","=""1610011""","Y",36,"*","*",16,44.4,11,30.6,"*","*","*","*",509
"Windham School District","=""1630011""","N",82,49,59.8,"*","*","*","*",0,0.0,"*","*",417
"Windham School District","=""1630011""","Y",21,15,71.4,"*","*","*","*",0,0.0,"*","*",378
"Windsor Locks School District","=""1650011""","N",82,"*","*","*","*","*","*","*","*","*","*",481
"Windsor Locks School District","=""1650011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","N",219,38,17.4,111,50.7,"*","*","*","*","*","*",497
"Windsor School District","=""1640011""","Y",43,28,65.1,11,25.6,"*","*","*","*","*","*",404
"Wolcott School District","=""1660011""","N",173,"*","*","*","*","*","*","*","*","*","*",530
"Wolcott School District","=""1660011""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","N",249,"*","*","*","*","*","*","*","*","*","*",544
"Woodstock Academy District","=""9030022""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"

