"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Capitol Region Education Council","=""2410014""","Math","N",223,"*","*",97,43.5,63,28.3,"*","*","*","*",517
"Cheshire School District","=""0250011""","ELA","Y",59,"*","*",12,20.3,30,50.8,"*","*","*","*",478
"Cheshire School District","=""0250011""","ELA","N",315,"*","*",24,7.6,189,60.0,"*","*","*","*",584
"Cheshire School District","=""0250011""","Math","Y",59,20,33.9,25,42.4,"*","*","*","*",14,23.7,463
"Cheshire School District","=""0250011""","Math","N",315,"*","*",82,26.0,142,45.1,"*","*","*","*",581
"Clinton School District","=""0270011""","ELA","Y",26,"*","*",8,30.8,10,38.5,"*","*","*","*",463
"Clinton School District","=""0270011""","ELA","N",99,"*","*",15,15.2,58,58.6,"*","*","*","*",554
"Clinton School District","=""0270011""","Math","Y",25,12,48.0,"*","*","*","*",0,0.0,"*","*",420
"Clinton School District","=""0270011""","Math","N",99,16,16.2,49,49.5,"*","*","*","*","*","*",489
"Colchester School District","=""0280011""","ELA","Y",50,"*","*",16,32.0,20,40.0,"*","*","*","*",480
"Colchester School District","=""0280011""","ELA","N",144,"*","*",13,9.0,92,63.9,"*","*","*","*",573
"Colchester School District","=""0280011""","Math","Y",49,18,36.7,20,40.8,"*","*","*","*",11,22.4,443
"Colchester School District","=""0280011""","Math","N",144,"*","*",66,45.8,58,40.3,"*","*","*","*",535
"Common Ground High School District","=""2680013""","ELA","Y",20,"*","*","*","*","*","*","*","*","*","*",416
"Common Ground High School District","=""2680013""","ELA","N",19,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Math","Y",20,"*","*","*","*","*","*",0,0.0,"*","*",393
"Common Ground High School District","=""2680013""","Math","N",19,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","ELA","Y",1269,405,31.9,433,34.1,418,32.9,13,1.0,431,34.0,450
"Connecticut Technical High School System","=""9000016""","ELA","N",1176,190,16.2,334,28.4,577,49.1,75,6.4,652,55.4,491
"Connecticut Technical High School System","=""9000016""","Math","Y",1268,527,41.6,623,49.1,"*","*","*","*",118,9.3,431
"Connecticut Technical High School System","=""9000016""","Math","N",1176,313,26.6,632,53.7,"*","*","*","*",231,19.6,463
"Cooperative Educational Services","=""2430014""","ELA","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","Y",29,"*","*",10,34.5,10,34.5,"*","*","*","*",478
"Coventry School District","=""0320011""","ELA","N",99,"*","*",12,12.1,64,64.6,"*","*","*","*",555
"Coventry School District","=""0320011""","Math","Y",29,15,51.7,"*","*","*","*",0,0.0,"*","*",433
"Coventry School District","=""0320011""","Math","N",99,6,6.1,41,41.4,"*","*","*","*","*","*",537
"Cromwell School District","=""0330011""","ELA","Y",51,"*","*",10,19.6,21,41.2,"*","*","*","*",464
"Cromwell School District","=""0330011""","ELA","N",95,"*","*",8,8.4,61,64.2,"*","*","*","*",563
"Cromwell School District","=""0330011""","Math","Y",51,"*","*",17,33.3,"*","*",0,0.0,"*","*",453
"Cromwell School District","=""0330011""","Math","N",95,"*","*",38,40.0,40,42.1,"*","*","*","*",539
"Danbury School District","=""0340011""","ELA","Y",314,152,48.4,72,22.9,81,25.8,9,2.9,90,28.7,434
"Danbury School District","=""0340011""","ELA","N",328,27,8.2,62,18.9,177,54.0,62,18.9,239,72.9,535
"Danbury School District","=""0340011""","Math","Y",313,165,52.7,115,36.7,"*","*","*","*",33,10.5,420
"Danbury School District","=""0340011""","Math","N",328,"*","*",143,43.6,97,29.6,"*","*","*","*",502
"Darien School District","=""0350011""","ELA","Y",44,"*","*","*","*",29,65.9,"*","*","*","*",526
"Darien School District","=""0350011""","ELA","N",268,"*","*","*","*",101,37.7,"*","*","*","*",634
"Darien School District","=""0350011""","Math","Y",44,"*","*",21,47.7,12,27.3,"*","*","*","*",514
"Darien School District","=""0350011""","Math","N",268,"*","*",22,8.2,106,39.6,"*","*","*","*",644
"Derby School District","=""0370011""","ELA","Y",61,"*","*",21,34.4,14,23.0,"*","*","*","*",433
"Derby School District","=""0370011""","ELA","N",25,"*","*",8,32.0,11,44.0,"*","*","*","*",476
"Derby School District","=""0370011""","Math","Y",61,33,54.1,"*","*","*","*",0,0.0,"*","*",419
"Derby School District","=""0370011""","Math","N",25,"*","*",10,40.0,"*","*",0,0.0,"*","*",459
"East Granby School District","=""0400011""","ELA","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","ELA","N",46,"*","*","*","*","*","*","*","*","*","*",588
"East Granby School District","=""0400011""","Math","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Math","N",46,"*","*","*","*","*","*","*","*","*","*",549
"East Haddam School District","=""0410011""","ELA","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELA","N",65,"*","*","*","*","*","*","*","*","*","*",540
"East Haddam School District","=""0410011""","Math","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Math","N",65,"*","*","*","*","*","*","*","*","*","*",494
"East Hampton School District","=""0420011""","ELA","Y",27,"*","*",9,33.3,11,40.7,"*","*","*","*",489
"East Hampton School District","=""0420011""","ELA","N",102,"*","*",13,12.7,64,62.7,"*","*","*","*",565
"East Hampton School District","=""0420011""","Math","Y",27,10,37.0,9,33.3,"*","*","*","*",8,29.6,456
"East Hampton School District","=""0420011""","Math","N",102,"*","*",40,39.2,42,41.2,"*","*","*","*",523
"East Hartford School District","=""0430011""","ELA","Y",301,114,37.9,88,29.2,90,29.9,9,3.0,99,32.9,447
"East Hartford School District","=""0430011""","ELA","N",148,31,20.9,20,13.5,80,54.1,17,11.5,97,65.5,508
"East Hartford School District","=""0430011""","Math","Y",299,120,40.1,137,45.8,"*","*","*","*",42,14.0,439
"East Hartford School District","=""0430011""","Math","N",148,"*","*",66,44.6,39,26.4,"*","*","*","*",490
"East Haven School District","=""0440011""","ELA","Y",102,43,42.2,"*","*",31,30.4,"*","*","*","*",449
"East Haven School District","=""0440011""","ELA","N",113,"*","*",26,23.0,58,51.3,"*","*","*","*",510
"East Haven School District","=""0440011""","Math","Y",102,55,53.9,38,37.3,9,8.8,0,0.0,9,8.8,415
"East Haven School District","=""0440011""","Math","N",113,27,23.9,56,49.6,23,20.4,7,6.2,30,26.5,482
"East Lyme School District","=""0450011""","ELA","Y",57,"*","*",12,21.1,29,50.9,"*","*","*","*",518
"East Lyme School District","=""0450011""","ELA","N",199,"*","*","*","*",115,57.8,68,34.2,183,92.0,592
"East Lyme School District","=""0450011""","Math","Y",57,18,31.6,24,42.1,9,15.8,6,10.5,15,26.3,471
"East Lyme School District","=""0450011""","Math","N",199,7,3.5,55,27.6,89,44.7,48,24.1,137,68.8,576
"East Windsor School District","=""0470011""","ELA","Y",31,"*","*",6,19.4,14,45.2,"*","*","*","*",477
"East Windsor School District","=""0470011""","ELA","N",34,"*","*",8,23.5,21,61.8,"*","*","*","*",522
"East Windsor School District","=""0470011""","Math","Y",31,"*","*",15,48.4,"*","*",0,0.0,"*","*",448
"East Windsor School District","=""0470011""","Math","N",34,"*","*",16,47.1,"*","*","*","*","*","*",503
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y",39,"*","*","*","*",15,38.5,"*","*","*","*",454
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","N",33,"*","*","*","*",18,54.5,"*","*","*","*",528
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","Y",39,21,53.8,"*","*","*","*",0,0.0,"*","*",414
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","N",33,14,42.4,"*","*","*","*",0,0.0,"*","*",448
"Education Connection","=""2420014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","Y",29,11,37.9,7,24.1,11,37.9,0,0.0,11,37.9,451
"Ellington School District","=""0480011""","ELA","N",174,8,4.6,22,12.6,110,63.2,34,19.5,144,82.8,554
"Ellington School District","=""0480011""","Math","Y",29,13,44.8,11,37.9,"*","*","*","*","*","*",444
"Ellington School District","=""0480011""","Math","N",174,10,5.7,69,39.7,"*","*","*","*","*","*",542
"Elm City College Preparatory School District","=""2890013""","ELA","Y",23,"*","*","*","*","*","*","*","*","*","*",475
"Elm City College Preparatory School District","=""2890013""","ELA","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","Y",23,"*","*","*","*","*","*","*","*","*","*",467
"Elm City College Preparatory School District","=""2890013""","Math","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","Y",128,39,30.5,46,35.9,36,28.1,7,5.5,43,33.6,459
"Enfield School District","=""0490011""","ELA","N",218,16,7.3,39,17.9,143,65.6,20,9.2,163,74.8,524
"Enfield School District","=""0490011""","Math","Y",128,43,33.6,60,46.9,"*","*","*","*",25,19.5,451
"Enfield School District","=""0490011""","Math","N",218,"*","*",96,44.0,75,34.4,"*","*","*","*",509
"Explorations District","=""2720013""","ELA","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","ELA","Y",138,38,27.5,32,23.2,53,38.4,15,10.9,68,49.3,489
"Fairfield School District","=""0510011""","ELA","N",575,12,2.1,28,4.9,332,57.7,203,35.3,535,93.0,591
"Fairfield School District","=""0510011""","Math","Y",138,42,30.4,61,44.2,"*","*","*","*",35,25.4,469
"Fairfield School District","=""0510011""","Math","N",575,"*","*",145,25.2,295,51.3,"*","*","*","*",578
"Farmington School District","=""0520011""","ELA","Y",59,"*","*",14,23.7,26,44.1,"*","*","*","*",483
"Farmington School District","=""0520011""","ELA","N",241,"*","*",14,5.8,118,49.0,"*","*","*","*",599
"Farmington School District","=""0520011""","Math","Y",59,17,28.8,30,50.8,"*","*","*","*",12,20.3,464
"Farmington School District","=""0520011""","Math","N",241,"*","*",61,25.3,90,37.3,"*","*","*","*",593
"Glastonbury School District","=""0540011""","ELA","Y",91,15,16.5,23,25.3,44,48.4,9,9.9,53,58.2,495
"Glastonbury School District","=""0540011""","ELA","N",392,7,1.8,26,6.6,230,58.7,129,32.9,359,91.6,588
"Glastonbury School District","=""0540011""","Math","Y",91,25,27.5,32,35.2,28,30.8,6,6.6,34,37.4,490
"Glastonbury School District","=""0540011""","Math","N",392,6,1.5,85,21.7,176,44.9,125,31.9,301,76.8,602
"Granby School District","=""0560011""","ELA","Y",29,"*","*",6,20.7,13,44.8,"*","*","*","*",492
"Granby School District","=""0560011""","ELA","N",122,"*","*",10,8.2,70,57.4,"*","*","*","*",583
"Granby School District","=""0560011""","Math","Y",29,"*","*",16,55.2,8,27.6,"*","*","*","*",487
"Granby School District","=""0560011""","Math","N",122,"*","*",33,27.0,62,50.8,"*","*","*","*",571
"Greenwich School District","=""0570011""","ELA","Y",134,40,29.9,37,27.6,48,35.8,9,6.7,57,42.5,470
"Greenwich School District","=""0570011""","ELA","N",483,8,1.7,31,6.4,233,48.2,211,43.7,444,91.9,603
"Greenwich School District","=""0570011""","Math","Y",134,44,32.8,58,43.3,20,14.9,12,9.0,32,23.9,462
"Greenwich School District","=""0570011""","Math","N",483,13,2.7,106,21.9,168,34.8,196,40.6,364,75.4,607
"Griswold School District","=""0580011""","ELA","Y",41,13,31.7,"*","*",13,31.7,"*","*","*","*",467
"Griswold School District","=""0580011""","ELA","N",84,"*","*",12,14.3,50,59.5,"*","*","*","*",538
"Griswold School District","=""0580011""","Math","Y",41,12,29.3,20,48.8,"*","*","*","*",9,22.0,457
"Griswold School District","=""0580011""","Math","N",84,"*","*",43,51.2,29,34.5,"*","*","*","*",500
"Groton School District","=""0590011""","ELA","Y",90,27,30.0,"*","*",34,37.8,"*","*","*","*",461
"Groton School District","=""0590011""","ELA","N",150,"*","*",23,15.3,80,53.3,"*","*","*","*",558
"Groton School District","=""0590011""","Math","Y",90,35,38.9,43,47.8,"*","*","*","*",12,13.3,443
"Groton School District","=""0590011""","Math","N",150,"*","*",61,40.7,53,35.3,"*","*","*","*",532
"Guilford School District","=""0600011""","ELA","Y",40,"*","*",6,15.0,25,62.5,"*","*","*","*",517
"Guilford School District","=""0600011""","ELA","N",214,"*","*",14,6.5,114,53.3,"*","*","*","*",600
"Guilford School District","=""0600011""","Math","Y",40,"*","*",16,40.0,8,20.0,"*","*","*","*",460
"Guilford School District","=""0600011""","Math","N",213,"*","*",57,26.8,107,50.2,"*","*","*","*",580
"Hamden School District","=""0620011""","ELA","Y",168,45,26.8,48,28.6,63,37.5,12,7.1,75,44.6,471
"Hamden School District","=""0620011""","ELA","N",206,11,5.3,26,12.6,116,56.3,53,25.7,169,82.0,558
"Hamden School District","=""0620011""","Math","Y",168,64,38.1,71,42.3,24,14.3,9,5.4,33,19.6,450
"Hamden School District","=""0620011""","Math","N",206,24,11.7,92,44.7,70,34.0,20,9.7,90,43.7,521
"Hartford School District","=""0640011""","ELA","Y",934,482,51.6,203,21.7,229,24.5,20,2.1,249,26.7,430
"Hartford School District","=""0640011""","ELA","N",228,40,17.5,41,18.0,99,43.4,48,21.1,147,64.5,526
"Hartford School District","=""0640011""","Math","Y",933,526,56.4,321,34.4,76,8.1,10,1.1,86,9.2,413
"Hartford School District","=""0640011""","Math","N",228,53,23.2,89,39.0,60,26.3,26,11.4,86,37.7,499
"Highville Charter School District","=""2860013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","ELA","Y",64,16,25.0,"*","*",35,54.7,"*","*","*","*",469
"Killingly School District","=""0690011""","ELA","N",109,"*","*",15,13.8,75,68.8,"*","*","*","*",527
"Killingly School District","=""0690011""","Math","Y",64,28,43.8,26,40.6,"*","*","*","*",10,15.6,437
"Killingly School District","=""0690011""","Math","N",109,"*","*",68,62.4,22,20.2,"*","*","*","*",480
"Learn","=""2450014""","ELA","Y",88,"*","*","*","*",23,26.1,"*","*","*","*",448
"Learn","=""2450014""","ELA","N",98,"*","*","*","*",55,56.1,"*","*","*","*",577
"Learn","=""2450014""","Math","Y",87,34,39.1,39,44.8,14,16.1,0,0.0,14,16.1,435
"Learn","=""2450014""","Math","N",98,9,9.2,41,41.8,38,38.8,10,10.2,48,49.0,527
"Lebanon School District","=""0710011""","ELA","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","ELA","N",72,"*","*","*","*","*","*","*","*","*","*",559
"Lebanon School District","=""0710011""","Math","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Math","N",72,"*","*","*","*","*","*","*","*","*","*",553
"Ledyard School District","=""0720011""","ELA","Y",68,"*","*",23,33.8,26,38.2,"*","*","*","*",475
"Ledyard School District","=""0720011""","ELA","N",131,"*","*",15,11.5,75,57.3,"*","*","*","*",554
"Ledyard School District","=""0720011""","Math","Y",68,22,32.4,33,48.5,"*","*","*","*",13,19.1,461
"Ledyard School District","=""0720011""","Math","N",131,"*","*",52,39.7,46,35.1,"*","*","*","*",544
"Litchfield School District","=""0740011""","ELA","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","ELA","N",60,"*","*","*","*","*","*","*","*","*","*",557
"Litchfield School District","=""0740011""","Math","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Math","N",60,"*","*","*","*","*","*","*","*","*","*",550
"Madison School District","=""0760011""","ELA","Y",41,"*","*","*","*",19,46.3,6,14.6,25,61.0,509
"Madison School District","=""0760011""","ELA","N",255,"*","*","*","*",146,57.3,105,41.2,251,98.4,612
"Madison School District","=""0760011""","Math","Y",41,"*","*",14,34.1,9,22.0,"*","*","*","*",480
"Madison School District","=""0760011""","Math","N",255,"*","*",60,23.5,124,48.6,"*","*","*","*",594
"Manchester School District","=""0770011""","ELA","Y",191,84,44.0,"*","*",65,34.0,"*","*","*","*",442
"Manchester School District","=""0770011""","ELA","N",161,"*","*",32,19.9,88,54.7,"*","*","*","*",522
"Manchester School District","=""0770011""","Math","Y",191,97,50.8,76,39.8,"*","*","*","*",18,9.4,421
"Manchester School District","=""0770011""","Math","N",161,"*","*",79,49.1,43,26.7,"*","*","*","*",493
"Meriden School District","=""0800011""","ELA","Y",312,155,49.7,81,26.0,"*","*","*","*",76,24.4,428
"Meriden School District","=""0800011""","ELA","N",166,"*","*",29,17.5,93,56.0,"*","*","*","*",525
"Meriden School District","=""0800011""","Math","Y",311,197,63.3,95,30.5,19,6.1,0,0.0,19,6.1,396
"Meriden School District","=""0800011""","Math","N",166,49,29.5,71,42.8,"*","*","*","*",46,27.7,473
"Middletown School District","=""0830011""","ELA","Y",133,48,36.1,34,25.6,43,32.3,8,6.0,51,38.3,457
"Middletown School District","=""0830011""","ELA","N",152,22,14.5,27,17.8,84,55.3,19,12.5,103,67.8,522
"Middletown School District","=""0830011""","Math","Y",131,58,44.3,55,42.0,"*","*","*","*",18,13.7,433
"Middletown School District","=""0830011""","Math","N",152,"*","*",67,44.1,49,32.2,"*","*","*","*",494
"Milford School District","=""0840011""","ELA","Y",112,"*","*",30,26.8,52,46.4,"*","*","*","*",474
"Milford School District","=""0840011""","ELA","N",340,"*","*",44,12.9,228,67.1,"*","*","*","*",552
"Milford School District","=""0840011""","Math","Y",111,41,36.9,49,44.1,"*","*","*","*",21,18.9,451
"Milford School District","=""0840011""","Math","N",340,"*","*",172,50.6,119,35.0,"*","*","*","*",519
"Monroe School District","=""0850011""","ELA","Y",51,"*","*",8,15.7,24,47.1,"*","*","*","*",476
"Monroe School District","=""0850011""","ELA","N",219,"*","*",21,9.6,122,55.7,"*","*","*","*",581
"Monroe School District","=""0850011""","Math","Y",50,16,32.0,20,40.0,"*","*","*","*",14,28.0,467
"Monroe School District","=""0850011""","Math","N",219,"*","*",58,26.5,110,50.2,"*","*","*","*",571
"Montville School District","=""0860011""","ELA","Y",53,"*","*",13,24.5,23,43.4,"*","*","*","*",464
"Montville School District","=""0860011""","ELA","N",83,"*","*",10,12.0,57,68.7,"*","*","*","*",547
"Montville School District","=""0860011""","Math","Y",52,16,30.8,24,46.2,12,23.1,0,0.0,12,23.1,459
"Montville School District","=""0860011""","Math","N",83,9,10.8,35,42.2,32,38.6,7,8.4,39,47.0,526
"Naugatuck School District","=""0880011""","ELA","Y",163,71,43.6,"*","*",47,28.8,"*","*","*","*",437
"Naugatuck School District","=""0880011""","ELA","N",128,"*","*",28,21.9,80,62.5,"*","*","*","*",519
"Naugatuck School District","=""0880011""","Math","Y",161,86,53.4,61,37.9,"*","*","*","*",14,8.7,415
"Naugatuck School District","=""0880011""","Math","N",127,"*","*",57,44.9,41,32.3,"*","*","*","*",489
"New Britain School District","=""0890011""","ELA","Y",347,214,61.7,77,22.2,"*","*","*","*",56,16.1,407
"New Britain School District","=""0890011""","ELA","N",124,35,28.2,"*","*",54,43.5,"*","*","*","*",482
"New Britain School District","=""0890011""","Math","Y",347,223,64.3,107,30.8,"*","*","*","*",17,4.9,400
"New Britain School District","=""0890011""","Math","N",124,33,26.6,55,44.4,"*","*","*","*",36,29.0,478
"New Canaan School District","=""0900011""","ELA","Y",28,"*","*","*","*",19,67.9,"*","*","*","*",504
"New Canaan School District","=""0900011""","ELA","N",291,"*","*","*","*",151,51.9,"*","*","*","*",617
"New Canaan School District","=""0900011""","Math","Y",28,"*","*",10,35.7,10,35.7,"*","*","*","*",504
"New Canaan School District","=""0900011""","Math","N",291,"*","*",33,11.3,141,48.5,"*","*","*","*",620
