"CT School Day SAT, 2015-16"
"All Districts, Math, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Brookfield School District","=""0180011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",100,9,9.0,31,31.0,43,43.0,17,17.0,60,60.0,554
"Canton School District","=""0230011""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","F",13,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","F",205,99,48.3,89,43.4,"*","*","*","*",17,8.3,420
"Capitol Region Education Council","=""2410014""","N",242,46,19.0,103,42.6,66,27.3,27,11.2,93,38.4,510
"Capitol Region Education Council","=""2410014""","R",40,12,30.0,21,52.5,"*","*","*","*",7,17.5,466
"Cheshire School District","=""0250011""","F",20,"*","*","*","*","*","*","*","*","*","*",486
"Cheshire School District","=""0250011""","N",344,24,7.0,97,28.2,144,41.9,79,23.0,223,64.8,568
"Cheshire School District","=""0250011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","F",12,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","N",105,"*","*",49,46.7,33,31.4,"*","*","*","*",482
"Clinton School District","=""0270011""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","F",23,"*","*","*","*","*","*","*","*","*","*",491
"Colchester School District","=""0280011""","N",158,16,10.1,70,44.3,58,36.7,14,8.9,72,45.6,520
"Colchester School District","=""0280011""","R",12,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","F",11,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","N",22,6,27.3,12,54.5,"*","*","*","*","*","*",459
"Common Ground High School District","=""2680013""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","F",955,391,40.9,477,49.9,"*","*","*","*",87,9.1,432
"Connecticut Technical High School System","=""9000016""","N",1290,384,29.8,669,51.9,222,17.2,15,1.2,237,18.4,457
"Connecticut Technical High School System","=""9000016""","R",199,65,32.7,109,54.8,"*","*","*","*",25,12.6,447
"Cooperative Educational Services","=""2430014""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",6,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","F","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Coventry School District","=""0320011""","N",105,"*","*",41,39.0,47,44.8,"*","*","*","*",528
"Coventry School District","=""0320011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","F",21,"*","*","*","*","*","*",0,0.0,"*","*",482
"Cromwell School District","=""0330011""","N",110,"*","*",40,36.4,41,37.3,"*","*","*","*",518
"Cromwell School District","=""0330011""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","F",201,103,51.2,73,36.3,"*","*","*","*",25,12.4,422
"Danbury School District","=""0340011""","N",381,100,26.2,156,40.9,97,25.5,28,7.3,125,32.8,485
"Danbury School District","=""0340011""","R",59,22,37.3,29,49.2,"*","*","*","*",8,13.6,447
"Darien School District","=""0350011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","N",302,6,2.0,40,13.2,114,37.7,142,47.0,256,84.8,628
"Darien School District","=""0350011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","F",44,23,52.3,"*","*","*","*",0,0.0,"*","*",420
"Derby School District","=""0370011""","N",32,"*","*","*","*","*","*",0,0.0,"*","*",433
"Derby School District","=""0370011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",52,"*","*","*","*","*","*","*","*","*","*",531
"East Haddam School District","=""0410011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",69,"*","*",35,50.7,15,21.7,"*","*","*","*",488
"East Haddam School District","=""0410011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","N",108,19,17.6,40,37.0,42,38.9,7,6.5,49,45.4,514
"East Hampton School District","=""0420011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","F",231,89,38.5,112,48.5,"*","*","*","*",30,13.0,441
"East Hartford School District","=""0430011""","N",168,49,29.2,69,41.1,40,23.8,10,6.0,50,29.8,475
"East Hartford School District","=""0430011""","R",48,15,31.3,22,45.8,"*","*","*","*",11,22.9,459
"East Haven School District","=""0440011""","F",70,39,55.7,"*","*","*","*",0,0.0,"*","*",415
"East Haven School District","=""0440011""","N",127,"*","*",59,46.5,25,19.7,"*","*","*","*",473
"East Haven School District","=""0440011""","R",18,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","F",32,"*","*","*","*","*","*","*","*","*","*",473
"East Lyme School District","=""0450011""","N",216,13,6.0,64,29.6,89,41.2,50,23.1,139,64.4,566
"East Lyme School District","=""0450011""","R",8,"*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","F",21,"*","*","*","*","*","*",0,0.0,"*","*",460
"East Windsor School District","=""0470011""","N",35,"*","*",16,45.7,13,37.1,"*","*","*","*",499
"East Windsor School District","=""0470011""","R",9,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","F","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",46,22,47.8,16,34.8,8,17.4,0,0.0,8,17.4,431
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",187,17,9.1,75,40.1,72,38.5,23,12.3,95,50.8,533
"Ellington School District","=""0480011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","F",21,"*","*",10,47.6,"*","*",0,0.0,"*","*",460
"Elm City College Preparatory School District","=""2890013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","F",84,22,26.2,43,51.2,"*","*","*","*","*","*",465
"Enfield School District","=""0490011""","N",239,"*","*",101,42.3,76,31.8,"*","*","*","*",498
"Enfield School District","=""0490011""","R",23,"*","*",12,52.2,"*","*",0,0.0,"*","*",460
"Explorations District","=""2720013""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",15,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","F",70,"*","*","*","*","*","*","*","*","*","*",475
"Fairfield School District","=""0510011""","N",632,34,5.4,170,26.9,304,48.1,124,19.6,428,67.7,567
"Fairfield School District","=""0510011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","F",27,"*","*","*","*","*","*","*","*","*","*",481
"Farmington School District","=""0520011""","N",267,17,6.4,74,27.7,94,35.2,82,30.7,176,65.9,578
"Farmington School District","=""0520011""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","F",53,"*","*","*","*","*","*","*","*","*","*",510
"Glastonbury School District","=""0540011""","N",420,15,3.6,99,23.6,181,43.1,125,29.8,306,72.9,591
"Glastonbury School District","=""0540011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","N",134,6,4.5,39,29.1,65,48.5,24,17.9,89,66.4,562
"Granby School District","=""0560011""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","F",38,12,31.6,15,39.5,"*","*","*","*",11,28.9,462
"Greenwich School District","=""0570011""","N",547,36,6.6,133,24.3,176,32.2,202,36.9,378,69.1,589
"Greenwich School District","=""0570011""","R",32,9,28.1,16,50.0,"*","*","*","*",7,21.9,470
"Griswold School District","=""0580011""","F",27,"*","*","*","*","*","*",0,0.0,"*","*",460
"Griswold School District","=""0580011""","N",88,"*","*",43,48.9,29,33.0,"*","*","*","*",494
"Griswold School District","=""0580011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","F",55,18,32.7,29,52.7,"*","*","*","*","*","*",450
"Groton School District","=""0590011""","N",164,"*","*",64,39.0,53,32.3,"*","*","*","*",521
"Groton School District","=""0590011""","R",21,"*","*",11,52.4,"*","*",0,0.0,"*","*",455
"Guilford School District","=""0600011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","N",230,9,3.9,65,28.3,110,47.8,46,20.0,156,67.8,571
"Guilford School District","=""0600011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","F",111,40,36.0,49,44.1,"*","*","*","*",22,19.8,450
"Hamden School District","=""0620011""","N",225,37,16.4,97,43.1,71,31.6,20,8.9,91,40.4,510
"Hamden School District","=""0620011""","R",38,11,28.9,17,44.7,"*","*","*","*",10,26.3,476
"Hartford School District","=""0640011""","F",845,485,57.4,284,33.6,"*","*","*","*",76,9.0,411
"Hartford School District","=""0640011""","N",275,81,29.5,104,37.8,"*","*","*","*",90,32.7,483
"Hartford School District","=""0640011""","R",41,13,31.7,22,53.7,"*","*","*","*",6,14.6,450
"Highville Charter School District","=""2860013""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","F",42,"*","*","*","*","*","*",0,0.0,"*","*",441
"Killingly School District","=""0690011""","N",119,26,21.8,70,58.8,"*","*","*","*",23,19.3,471
"Killingly School District","=""0690011""","R",12,"*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","F",74,30,40.5,"*","*","*","*",0,0.0,"*","*",434
"Learn","=""2450014""","N",105,"*","*",43,41.0,39,37.1,"*","*","*","*",517
"Learn","=""2450014""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","N",77,6,7.8,29,37.7,30,39.0,12,15.6,42,54.5,542
"Lebanon School District","=""0710011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","F",29,"*","*","*","*","*","*","*","*","*","*",471
"Ledyard School District","=""0720011""","N",153,18,11.8,64,41.8,48,31.4,23,15.0,71,46.4,530
"Ledyard School District","=""0720011""","R",17,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","F",11,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","N",63,"*","*","*","*","*","*","*","*","*","*",543
"Madison School District","=""0760011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","N",285,13,4.6,71,24.9,129,45.3,72,25.3,201,70.5,581
"Madison School District","=""0760011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","F",147,75,51.0,59,40.1,"*","*","*","*","*","*",419
"Manchester School District","=""0770011""","N",178,"*","*",83,46.6,44,24.7,"*","*","*","*",483
"Manchester School District","=""0770011""","R",27,"*","*",13,48.1,"*","*",0,0.0,"*","*",450
"Meriden School District","=""0800011""","F",253,163,64.4,"*","*","*","*",0,0.0,"*","*",396
"Meriden School District","=""0800011""","N",188,66,35.1,76,40.4,"*","*","*","*",46,24.5,460
"Meriden School District","=""0800011""","R",36,"*","*",17,47.2,"*","*",0,0.0,"*","*",415
"Middletown School District","=""0830011""","F",106,47,44.3,"*","*","*","*","*","*","*","*",431
"Middletown School District","=""0830011""","N",166,"*","*",71,42.8,50,30.1,"*","*","*","*",487
"Middletown School District","=""0830011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","F",56,18,32.1,27,48.2,11,19.6,0,0.0,11,19.6,457
"Milford School District","=""0840011""","N",371,"*","*",185,49.9,120,32.3,"*","*","*","*",510
"Milford School District","=""0840011""","R",24,"*","*",9,37.5,7,29.2,"*","*","*","*",486
"Monroe School District","=""0850011""","F",17,"*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","N",238,20,8.4,65,27.3,111,46.6,42,17.6,153,64.3,558
"Monroe School District","=""0850011""","R",14,"*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","F",33,"*","*","*","*","*","*",0,0.0,"*","*",457
"Montville School District","=""0860011""","N",89,"*","*",38,42.7,33,37.1,"*","*","*","*",520
"Montville School District","=""0860011""","R",13,"*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","F",111,64,57.7,"*","*","*","*",0,0.0,"*","*",413
"Naugatuck School District","=""0880011""","N",145,"*","*",65,44.8,41,28.3,"*","*","*","*",476
"Naugatuck School District","=""0880011""","R",32,12,37.5,17,53.1,"*","*","*","*","*","*",436
"New Britain School District","=""0890011""","F",302,196,64.9,91,30.1,"*","*","*","*","*","*",400
"New Britain School District","=""0890011""","N",141,48,34.0,57,40.4,"*","*","*","*",36,25.5,463
"New Britain School District","=""0890011""","R",28,"*","*",14,50.0,"*","*",0,0.0,"*","*",426
"New Canaan School District","=""0900011""","N",319,8,2.5,43,13.5,151,47.3,117,36.7,268,84.0,609
"New Fairfield School District","=""0910011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","N",210,23,11.0,86,41.0,78,37.1,23,11.0,101,48.1,526
"New Fairfield School District","=""0910011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","F",556,303,54.5,214,38.5,"*","*","*","*",39,7.0,411
"New Haven School District","=""0930011""","N",497,181,36.4,213,42.9,81,16.3,22,4.4,103,20.7,453
"New Haven School District","=""0930011""","R",92,33,35.9,48,52.2,"*","*","*","*",11,12.0,443
"New London School District","=""0950011""","F",92,52,56.5,30,32.6,"*","*","*","*","*","*",412
"New London School District","=""0950011""","N",63,"*","*","*","*",18,28.6,7,11.1,25,39.7,489
"New London School District","=""0950011""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","F",38,"*","*",16,42.1,"*","*","*","*","*","*",491
"New Milford School District","=""0960011""","N",244,23,9.4,99,40.6,89,36.5,33,13.5,122,50.0,535
"New Milford School District","=""0960011""","R",20,"*","*",11,55.0,"*","*","*","*","*","*",473
"Newington School District","=""0940011""","F",38,"*","*","*","*","*","*",0,0.0,"*","*",477
"Newington School District","=""0940011""","N",247,"*","*",101,40.9,97,39.3,"*","*","*","*",533
"Newington School District","=""0940011""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","=""0970011""","F",25,"*","*","*","*","*","*","*","*","*","*",530
"Newtown School District","=""0970011""","N",367,19,5.2,101,27.5,173,47.1,74,20.2,247,67.3,567
"Newtown School District","=""0970011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","F",20,"*","*","*","*","*","*","*","*","*","*",438
"North Branford School District","=""0990011""","N",124,"*","*",55,44.4,43,34.7,"*","*","*","*",504
"North Branford School District","=""0990011""","R",9,"*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","N",223,38,17.0,87,39.0,79,35.4,19,8.5,98,43.9,507
"North Haven School District","=""1010011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","N",46,"*","*",13,28.3,21,45.7,"*","*","*","*",553
"North Stonington School District","=""1020011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwalk School District","=""1030011""","F",279,112,40.1,123,44.1,38,13.6,6,2.2,44,15.8,442
"Norwalk School District","=""1030011""","N",426,70,16.4,194,45.5,120,28.2,42,9.9,162,38.0,508
"Norwalk School District","=""1030011""","R",47,6,12.8,28,59.6,13,27.7,0,0.0,13,27.7,483
"Norwich Free Academy District","=""9010022""","F",214,102,47.7,79,36.9,"*","*","*","*",33,15.4,430
"Norwich Free Academy District","=""9010022""","N",315,40,12.7,130,41.3,107,34.0,38,12.1,145,46.0,522
"Norwich Free Academy District","=""9010022""","R",40,12,30.0,15,37.5,"*","*","*","*",13,32.5,484
"Norwich School District","=""1040011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N",83,8,9.6,30,36.1,33,39.8,12,14.5,45,54.2,543
"Old Saybrook School District","=""1060011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N",156,16,10.3,73,46.8,48,30.8,19,12.2,67,42.9,520
"Oxford School District","=""1080011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","F",43,18,41.9,"*","*","*","*",0,0.0,"*","*",442
"Plainfield School District","=""1090011""","N",81,"*","*",47,58.0,19,23.5,"*","*","*","*",499
"Plainfield School District","=""1090011""","R",22,"*","*",13,59.1,"*","*",0,0.0,"*","*",470
"Plainville School District","=""1100011""","F",37,"*","*","*","*","*","*","*","*","*","*",462
"Plainville School District","=""1100011""","N",133,26,19.5,56,42.1,42,31.6,9,6.8,51,38.3,504
"Plainville School District","=""1100011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","F",23,"*","*","*","*","*","*",0,0.0,"*","*",424
"Plymouth School District","=""1110011""","N",77,"*","*",35,45.5,28,36.4,"*","*","*","*",503
"Plymouth School District","=""1110011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","N",77,"*","*",30,39.0,28,36.4,"*","*","*","*",559
"Portland School District","=""1130011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","F",23,15,65.2,"*","*","*","*","*","*","*","*",411
"Putnam School District","=""1160011""","N",23,"*","*",14,60.9,"*","*","*","*","*","*",482
"Putnam School District","=""1160011""","R",9,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","N",88,"*","*",39,44.3,34,38.6,"*","*","*","*",514
"Regional School District 01","=""2010012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","N",131,19,14.5,45,34.4,46,35.1,21,16.0,67,51.1,533
"Regional School District 04","=""2040012""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""","N",327,27,8.3,88,26.9,131,40.1,81,24.8,212,64.8,566
"Regional School District 05","=""2050012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","F",12,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","N",95,"*","*",40,42.1,39,41.1,"*","*","*","*",513
"Regional School District 06","=""2060012""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","N",170,15,8.8,53,31.2,79,46.5,23,13.5,102,60.0,546
"Regional School District 07","=""2070012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","N",226,16,7.1,63,27.9,96,42.5,51,22.6,147,65.0,567
"Regional School District 08","=""2080012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 09","=""2090012""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 09","=""2090012""","N",250,12,4.8,55,22.0,130,52.0,53,21.2,183,73.2,574
"Regional School District 09","=""2090012""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","N",175,7,4.0,59,33.7,84,48.0,25,14.3,109,62.3,554
"Regional School District 10","=""2100012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","F",8,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","N",34,"*","*","*","*","*","*","*","*","*","*",508
"Regional School District 12","=""2120012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","N",45,"*","*",13,28.9,20,44.4,"*","*","*","*",550
"Regional School District 12","=""2120012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","N",129,11,8.5,49,38.0,54,41.9,15,11.6,69,53.5,534
"Regional School District 13","=""2130012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","N",147,13,8.8,56,38.1,58,39.5,20,13.6,78,53.1,536
"Regional School District 14","=""2140012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","F","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Regional School District 15","=""2150012""","N",282,"*","*",83,29.4,136,48.2,"*","*","*","*",559
"Regional School District 15","=""2150012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","N",136,26,19.1,53,39.0,45,33.1,12,8.8,57,41.9,507
"Regional School District 16","=""2160012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","N",135,12,8.9,48,35.6,61,45.2,14,10.4,75,55.6,533
"Regional School District 17","=""2170012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","N",114,14,12.3,32,28.1,52,45.6,16,14.0,68,59.6,543
