"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Bristol School District","=""0170011""","ELA","N",371,31,8.4,60,16.2,235,63.3,45,12.1,280,75.5,528
"Bristol School District","=""0170011""","Math","Y",183,50,27.3,91,49.7,"*","*","*","*",42,23.0,469
"Bristol School District","=""0170011""","Math","N",371,"*","*",167,45.0,126,34.0,"*","*","*","*",503
"Brookfield School District","=""0180011""","ELA","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELA","N",205,"*","*","*","*","*","*","*","*","*","*",567
"Brookfield School District","=""0180011""","Math","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Math","N",205,"*","*","*","*","*","*","*","*","*","*",545
"Brooklyn School District","=""0190011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","N",100,"*","*","*","*","*","*","*","*","*","*",579
"Canton School District","=""0230011""","Math","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Math","N",100,"*","*","*","*","*","*","*","*","*","*",554
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","N",12,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","N",12,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","Y",245,74,30.2,75,30.6,84,34.3,12,4.9,96,39.2,461
"Capitol Region Education Council","=""2410014""","ELA","N",242,22,9.1,42,17.4,105,43.4,73,30.2,178,73.6,551
"Capitol Region Education Council","=""2410014""","Math","Y",245,111,45.3,110,44.9,"*","*","*","*",24,9.8,428
"Capitol Region Education Council","=""2410014""","Math","N",242,"*","*",103,42.6,66,27.3,"*","*","*","*",510
"Cheshire School District","=""0250011""","ELA","Y",30,"*","*","*","*",20,66.7,"*","*","*","*",500
"Cheshire School District","=""0250011""","ELA","N",344,"*","*","*","*",199,57.8,"*","*","*","*",573
"Cheshire School District","=""0250011""","Math","Y",30,"*","*",10,33.3,9,30.0,"*","*","*","*",499
"Cheshire School District","=""0250011""","Math","N",344,"*","*",97,28.2,144,41.9,"*","*","*","*",568
"Clinton School District","=""0270011""","ELA","Y",20,"*","*","*","*",10,50.0,"*","*","*","*",479
"Clinton School District","=""0270011""","ELA","N",105,"*","*","*","*",58,55.2,"*","*","*","*",546
"Clinton School District","=""0270011""","Math","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Math","N",105,"*","*","*","*","*","*","*","*","*","*",482
"Colchester School District","=""0280011""","ELA","Y",36,"*","*",11,30.6,17,47.2,"*","*","*","*",501
"Colchester School District","=""0280011""","ELA","N",158,"*","*",18,11.4,95,60.1,"*","*","*","*",560
"Colchester School District","=""0280011""","Math","Y",35,"*","*",16,45.7,10,28.6,"*","*","*","*",476
"Colchester School District","=""0280011""","Math","N",158,"*","*",70,44.3,58,36.7,"*","*","*","*",520
"Common Ground High School District","=""2680013""","ELA","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELA","N",22,"*","*","*","*","*","*","*","*","*","*",519
"Common Ground High School District","=""2680013""","Math","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Math","N",22,"*","*","*","*","*","*","*","*","*","*",459
"Connecticut Technical High School System","=""9000016""","ELA","Y",1155,346,30.0,398,34.5,401,34.7,10,0.9,411,35.6,453
"Connecticut Technical High School System","=""9000016""","ELA","N",1290,249,19.3,369,28.6,594,46.0,78,6.0,672,52.1,484
"Connecticut Technical High School System","=""9000016""","Math","Y",1154,456,39.5,586,50.8,"*","*","*","*",112,9.7,434
"Connecticut Technical High School System","=""9000016""","Math","N",1290,384,29.8,669,51.9,"*","*","*","*",237,18.4,457
"Cooperative Educational Services","=""2430014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","Y",23,"*","*",7,30.4,9,39.1,"*","*","*","*",496
"Coventry School District","=""0320011""","ELA","N",105,"*","*",15,14.3,65,61.9,"*","*","*","*",547
"Coventry School District","=""0320011""","Math","Y",23,"*","*",9,39.1,"*","*",0,0.0,"*","*",449
"Coventry School District","=""0320011""","Math","N",105,12,11.4,41,39.0,"*","*","*","*","*","*",528
"Cromwell School District","=""0330011""","ELA","Y",36,8,22.2,9,25.0,19,52.8,0,0.0,19,52.8,485
"Cromwell School District","=""0330011""","ELA","N",110,15,13.6,9,8.2,63,57.3,23,20.9,86,78.2,543
"Cromwell School District","=""0330011""","Math","Y",36,7,19.4,15,41.7,14,38.9,0,0.0,14,38.9,483
"Cromwell School District","=""0330011""","Math","N",110,17,15.5,40,36.4,41,37.3,12,10.9,53,48.2,518
"Danbury School District","=""0340011""","ELA","Y",261,117,44.8,60,23.0,75,28.7,9,3.4,84,32.2,442
"Danbury School District","=""0340011""","ELA","N",381,62,16.3,74,19.4,183,48.0,62,16.3,245,64.3,515
"Danbury School District","=""0340011""","Math","Y",260,125,48.1,102,39.2,"*","*","*","*",33,12.7,428
"Danbury School District","=""0340011""","Math","N",381,100,26.2,156,40.9,"*","*","*","*",125,32.8,485
"Darien School District","=""0350011""","ELA","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","ELA","N",302,"*","*","*","*","*","*","*","*","*","*",621
"Darien School District","=""0350011""","Math","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","N",302,"*","*","*","*","*","*","*","*","*","*",628
"Derby School District","=""0370011""","ELA","Y",54,18,33.3,21,38.9,"*","*","*","*",15,27.8,445
"Derby School District","=""0370011""","ELA","N",32,12,37.5,"*","*",11,34.4,"*","*","*","*",446
"Derby School District","=""0370011""","Math","Y",54,27,50.0,"*","*","*","*",0,0.0,"*","*",430
"Derby School District","=""0370011""","Math","N",32,16,50.0,"*","*","*","*",0,0.0,"*","*",433
"East Granby School District","=""0400011""","ELA","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","ELA","N",52,"*","*","*","*","*","*","*","*","*","*",568
"East Granby School District","=""0400011""","Math","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Math","N",52,"*","*","*","*","*","*","*","*","*","*",531
"East Haddam School District","=""0410011""","ELA","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELA","N",69,"*","*","*","*","*","*","*","*","*","*",533
"East Haddam School District","=""0410011""","Math","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Math","N",69,"*","*","*","*","*","*","*","*","*","*",488
"East Hampton School District","=""0420011""","ELA","Y",21,"*","*",6,28.6,11,52.4,"*","*","*","*",513
"East Hampton School District","=""0420011""","ELA","N",108,"*","*",16,14.8,64,59.3,"*","*","*","*",556
"East Hampton School District","=""0420011""","Math","Y",21,"*","*",9,42.9,7,33.3,"*","*","*","*",481
"East Hampton School District","=""0420011""","Math","N",108,"*","*",40,37.0,42,38.9,"*","*","*","*",514
"East Hartford School District","=""0430011""","ELA","Y",281,100,35.6,84,29.9,88,31.3,9,3.2,97,34.5,451
"East Hartford School District","=""0430011""","ELA","N",168,45,26.8,24,14.3,82,48.8,17,10.1,99,58.9,495
"East Hartford School District","=""0430011""","Math","Y",279,104,37.3,134,48.0,"*","*","*","*",41,14.7,444
"East Hartford School District","=""0430011""","Math","N",168,49,29.2,69,41.1,"*","*","*","*",50,29.8,475
"East Haven School District","=""0440011""","ELA","Y",88,37,42.0,"*","*",28,31.8,"*","*","*","*",452
"East Haven School District","=""0440011""","ELA","N",127,"*","*",31,24.4,61,48.0,"*","*","*","*",500
"East Haven School District","=""0440011""","Math","Y",88,46,52.3,35,39.8,7,8.0,0,0.0,7,8.0,418
"East Haven School District","=""0440011""","Math","N",127,36,28.3,59,46.5,25,19.7,7,5.5,32,25.2,473
"East Lyme School District","=""0450011""","ELA","Y",40,"*","*",8,20.0,22,55.0,"*","*","*","*",515
"East Lyme School District","=""0450011""","ELA","N",216,"*","*",18,8.3,122,56.5,"*","*","*","*",586
"East Lyme School District","=""0450011""","Math","Y",40,12,30.0,15,37.5,"*","*","*","*",13,32.5,480
"East Lyme School District","=""0450011""","Math","N",216,"*","*",64,29.6,89,41.2,"*","*","*","*",566
"East Windsor School District","=""0470011""","ELA","Y",30,"*","*",6,20.0,14,46.7,"*","*","*","*",481
"East Windsor School District","=""0470011""","ELA","N",35,"*","*",8,22.9,21,60.0,"*","*","*","*",517
"East Windsor School District","=""0470011""","Math","Y",30,"*","*",15,50.0,"*","*",0,0.0,"*","*",451
"East Windsor School District","=""0470011""","Math","N",35,"*","*",16,45.7,"*","*","*","*","*","*",499
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y",26,6,23.1,"*","*",12,46.2,"*","*","*","*",471
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","N",46,13,28.3,"*","*",21,45.7,"*","*","*","*",497
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","Y",26,13,50.0,"*","*","*","*",0,0.0,"*","*",427
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","N",46,22,47.8,"*","*","*","*",0,0.0,"*","*",431
"Education Connection","=""2420014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","N",187,"*","*","*","*","*","*","*","*","*","*",545
"Ellington School District","=""0480011""","Math","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Math","N",187,"*","*","*","*","*","*","*","*","*","*",533
"Elm City College Preparatory School District","=""2890013""","ELA","Y",23,"*","*","*","*","*","*","*","*","*","*",475
"Elm City College Preparatory School District","=""2890013""","ELA","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","Y",23,"*","*","*","*","*","*","*","*","*","*",467
"Elm City College Preparatory School District","=""2890013""","Math","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","Y",107,28,26.2,38,35.5,34,31.8,7,6.5,41,38.3,471
"Enfield School District","=""0490011""","ELA","N",239,27,11.3,47,19.7,145,60.7,20,8.4,165,69.0,513
"Enfield School District","=""0490011""","Math","Y",107,28,26.2,55,51.4,"*","*","*","*",24,22.4,464
"Enfield School District","=""0490011""","Math","N",239,"*","*",101,42.3,76,31.8,"*","*","*","*",498
"Explorations District","=""2720013""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","N",15,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","N",15,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","ELA","Y",81,18,22.2,18,22.2,38,46.9,7,8.6,45,55.6,497
"Fairfield School District","=""0510011""","ELA","N",632,32,5.1,42,6.6,347,54.9,211,33.4,558,88.3,581
"Fairfield School District","=""0510011""","Math","Y",81,"*","*",36,44.4,21,25.9,"*","*","*","*",478
"Fairfield School District","=""0510011""","Math","N",632,"*","*",170,26.9,304,48.1,"*","*","*","*",567
"Farmington School District","=""0520011""","ELA","Y",33,"*","*",7,21.2,17,51.5,"*","*","*","*",505
"Farmington School District","=""0520011""","ELA","N",267,"*","*",21,7.9,127,47.6,"*","*","*","*",585
"Farmington School District","=""0520011""","Math","Y",33,8,24.2,17,51.5,"*","*","*","*",8,24.2,482
"Farmington School District","=""0520011""","Math","N",267,"*","*",74,27.7,94,35.2,"*","*","*","*",578
"Glastonbury School District","=""0540011""","ELA","Y",63,11,17.5,12,19.0,32,50.8,8,12.7,40,63.5,504
"Glastonbury School District","=""0540011""","ELA","N",420,11,2.6,37,8.8,242,57.6,130,31.0,372,88.6,580
"Glastonbury School District","=""0540011""","Math","Y",63,16,25.4,18,28.6,23,36.5,6,9.5,29,46.0,509
"Glastonbury School District","=""0540011""","Math","N",420,15,3.6,99,23.6,181,43.1,125,29.8,306,72.9,591
"Granby School District","=""0560011""","ELA","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","ELA","N",134,"*","*","*","*","*","*","*","*","*","*",574
"Granby School District","=""0560011""","Math","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Math","N",134,"*","*","*","*","*","*","*","*","*","*",562
"Greenwich School District","=""0570011""","ELA","Y",70,"*","*",20,28.6,27,38.6,"*","*","*","*",476
"Greenwich School District","=""0570011""","ELA","N",547,"*","*",48,8.8,254,46.4,"*","*","*","*",587
"Greenwich School District","=""0570011""","Math","Y",70,21,30.0,31,44.3,12,17.1,6,8.6,18,25.7,466
"Greenwich School District","=""0570011""","Math","N",547,36,6.6,133,24.3,176,32.2,202,36.9,378,69.1,589
"Griswold School District","=""0580011""","ELA","Y",37,"*","*",11,29.7,13,35.1,"*","*","*","*",478
"Griswold School District","=""0580011""","ELA","N",88,"*","*",12,13.6,50,56.8,"*","*","*","*",531
"Griswold School District","=""0580011""","Math","Y",37,"*","*",20,54.1,8,21.6,"*","*","*","*",468
"Griswold School District","=""0580011""","Math","N",88,"*","*",43,48.9,29,33.0,"*","*","*","*",494
"Groton School District","=""0590011""","ELA","Y",76,22,28.9,"*","*",30,39.5,"*","*","*","*",467
"Groton School District","=""0590011""","ELA","N",164,"*","*",28,17.1,84,51.2,"*","*","*","*",547
"Groton School District","=""0590011""","Math","Y",76,25,32.9,40,52.6,"*","*","*","*",11,14.5,451
"Groton School District","=""0590011""","Math","N",164,"*","*",64,39.0,53,32.3,"*","*","*","*",521
"Guilford School District","=""0600011""","ELA","Y",23,"*","*","*","*",19,82.6,0,0.0,19,82.6,519
"Guilford School District","=""0600011""","ELA","N",231,"*","*","*","*",120,51.9,86,37.2,206,89.2,593
"Guilford School District","=""0600011""","Math","Y",23,10,43.5,"*","*","*","*",0,0.0,"*","*",454
"Guilford School District","=""0600011""","Math","N",230,"*","*",65,28.3,"*","*",46,20.0,"*","*",571
"Hamden School District","=""0620011""","ELA","Y",149,38,25.5,40,26.8,59,39.6,12,8.1,71,47.7,476
"Hamden School District","=""0620011""","ELA","N",225,18,8.0,34,15.1,120,53.3,53,23.6,173,76.9,547
"Hamden School District","=""0620011""","Math","Y",149,51,34.2,66,44.3,23,15.4,9,6.0,32,21.5,457
"Hamden School District","=""0620011""","Math","N",225,37,16.4,97,43.1,71,31.6,20,8.9,91,40.4,510
"Hartford School District","=""0640011""","ELA","Y",887,449,50.6,197,22.2,223,25.1,18,2.0,241,27.2,431
"Hartford School District","=""0640011""","ELA","N",275,73,26.5,47,17.1,105,38.2,50,18.2,155,56.4,505
"Hartford School District","=""0640011""","Math","Y",886,498,56.2,306,34.5,73,8.2,9,1.0,82,9.3,413
"Hartford School District","=""0640011""","Math","N",275,81,29.5,104,37.8,63,22.9,27,9.8,90,32.7,483
"Highville Charter School District","=""2860013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","ELA","Y",54,"*","*",10,18.5,33,61.1,"*","*","*","*",484
"Killingly School District","=""0690011""","ELA","N",119,"*","*",17,14.3,77,64.7,"*","*","*","*",516
"Killingly School District","=""0690011""","Math","Y",54,20,37.0,24,44.4,"*","*","*","*",10,18.5,449
"Killingly School District","=""0690011""","Math","N",119,26,21.8,70,58.8,"*","*","*","*",23,19.3,471
"Learn","=""2450014""","ELA","Y",81,31,38.3,24,29.6,"*","*","*","*",26,32.1,451
"Learn","=""2450014""","ELA","N",105,9,8.6,"*","*",57,54.3,"*","*","*","*",566
"Learn","=""2450014""","Math","Y",80,30,37.5,37,46.3,13,16.3,0,0.0,13,16.3,439
"Learn","=""2450014""","Math","N",105,13,12.4,43,41.0,39,37.1,10,9.5,49,46.7,517
"Lebanon School District","=""0710011""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","ELA","N",77,"*","*","*","*","*","*","*","*","*","*",550
"Lebanon School District","=""0710011""","Math","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Math","N",77,"*","*","*","*","*","*","*","*","*","*",542
"Ledyard School District","=""0720011""","ELA","Y",46,"*","*",15,32.6,19,41.3,"*","*","*","*",477
"Ledyard School District","=""0720011""","ELA","N",153,"*","*",23,15.0,82,53.6,"*","*","*","*",542
"Ledyard School District","=""0720011""","Math","Y",46,14,30.4,21,45.7,"*","*","*","*",11,23.9,468
"Ledyard School District","=""0720011""","Math","N",153,"*","*",64,41.8,48,31.4,"*","*","*","*",530
"Litchfield School District","=""0740011""","ELA","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","ELA","N",63,"*","*","*","*","*","*","*","*","*","*",549
"Litchfield School District","=""0740011""","Math","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Math","N",63,"*","*","*","*","*","*","*","*","*","*",543
"Madison School District","=""0760011""","ELA","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","ELA","N",285,"*","*","*","*","*","*","*","*","*","*",601
"Madison School District","=""0760011""","Math","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Math","N",285,"*","*","*","*","*","*","*","*","*","*",581
"Manchester School District","=""0770011""","ELA","Y",174,74,42.5,"*","*",63,36.2,"*","*","*","*",445
"Manchester School District","=""0770011""","ELA","N",178,"*","*",36,20.2,90,50.6,"*","*","*","*",512
"Manchester School District","=""0770011""","Math","Y",174,85,48.9,72,41.4,"*","*","*","*",17,9.8,424
"Manchester School District","=""0770011""","Math","N",178,"*","*",83,46.6,44,24.7,"*","*","*","*",483
"Meriden School District","=""0800011""","ELA","Y",290,138,47.6,78,26.9,"*","*","*","*",74,25.5,431
"Meriden School District","=""0800011""","ELA","N",188,35,18.6,"*","*",95,50.5,"*","*","*","*",508
"Meriden School District","=""0800011""","Math","Y",289,180,62.3,90,31.1,19,6.6,0,0.0,19,6.6,399
"Meriden School District","=""0800011""","Math","N",188,66,35.1,76,40.4,"*","*","*","*",46,24.5,460
"Middletown School District","=""0830011""","ELA","Y",119,42,35.3,30,25.2,40,33.6,7,5.9,47,39.5,457
"Middletown School District","=""0830011""","ELA","N",166,28,16.9,31,18.7,87,52.4,20,12.0,107,64.5,516
"Middletown School District","=""0830011""","Math","Y",117,49,41.9,51,43.6,"*","*","*","*",17,14.5,435
"Middletown School District","=""0830011""","Math","N",166,"*","*",71,42.8,50,30.1,"*","*","*","*",487
"Milford School District","=""0840011""","ELA","Y",80,"*","*",18,22.5,43,53.8,"*","*","*","*",487
"Milford School District","=""0840011""","ELA","N",372,"*","*",56,15.1,237,63.7,"*","*","*","*",543
"Milford School District","=""0840011""","Math","Y",80,25,31.3,36,45.0,"*","*","*","*",19,23.8,466
"Milford School District","=""0840011""","Math","N",371,"*","*",185,49.9,120,32.3,"*","*","*","*",510
"Monroe School District","=""0850011""","ELA","Y",31,"*","*",7,22.6,18,58.1,"*","*","*","*",515
"Monroe School District","=""0850011""","ELA","N",239,"*","*",22,9.2,128,53.6,"*","*","*","*",568
"Monroe School District","=""0850011""","Math","Y",31,"*","*",13,41.9,11,35.5,"*","*","*","*",505
"Monroe School District","=""0850011""","Math","N",238,"*","*",65,27.3,111,46.6,"*","*","*","*",558
"Montville School District","=""0860011""","ELA","Y",47,13,27.7,"*","*",20,42.6,"*","*","*","*",465
"Montville School District","=""0860011""","ELA","N",89,"*","*",11,12.4,60,67.4,"*","*","*","*",541
"Montville School District","=""0860011""","Math","Y",46,14,30.4,21,45.7,11,23.9,0,0.0,11,23.9,461
"Montville School District","=""0860011""","Math","N",89,11,12.4,38,42.7,33,37.1,7,7.9,40,44.9,520
"Naugatuck School District","=""0880011""","ELA","Y",144,59,41.0,"*","*",45,31.3,"*","*","*","*",441
"Naugatuck School District","=""0880011""","ELA","N",147,"*","*",33,22.4,82,55.8,"*","*","*","*",504
"Naugatuck School District","=""0880011""","Math","Y",143,76,53.1,53,37.1,"*","*","*","*",14,9.8,418
"Naugatuck School District","=""0880011""","Math","N",145,"*","*",65,44.8,41,28.3,"*","*","*","*",476
"New Britain School District","=""0890011""","ELA","Y",330,198,60.0,76,23.0,"*","*","*","*",56,17.0,409
"New Britain School District","=""0890011""","ELA","N",141,51,36.2,"*","*",54,38.3,"*","*","*","*",468
"New Britain School District","=""0890011""","Math","Y",330,208,63.0,105,31.8,"*","*","*","*",17,5.2,402
"New Britain School District","=""0890011""","Math","N",141,48,34.0,57,40.4,"*","*","*","*",36,25.5,463
"New Canaan School District","=""0900011""","ELA","N",319,6,1.9,6,1.9,170,53.3,137,42.9,307,96.2,607
"New Canaan School District","=""0900011""","Math","N",319,8,2.5,43,13.5,151,47.3,117,36.7,268,84.0,609
"New Fairfield School District","=""0910011""","ELA","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
