"CT School Day SAT, 2015-16"
"All Districts, ELA, Free/Reduced Price Meal Eligibility (3-level"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Canton School District","=""0230011""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","F",13,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","F",205,68,33.2,67,32.7,"*","*","*","*",70,34.1,453
"Capitol Region Education Council","=""2410014""","N",242,22,9.1,42,17.4,105,43.4,73,30.2,178,73.6,551
"Capitol Region Education Council","=""2410014""","R",40,"*","*",8,20.0,22,55.0,"*","*","*","*",500
"Cheshire School District","=""0250011""","F",20,"*","*","*","*","*","*",0,0.0,"*","*",484
"Cheshire School District","=""0250011""","N",344,"*","*",33,9.6,199,57.8,"*","*","*","*",573
"Cheshire School District","=""0250011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","F",13,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","N",105,6,5.7,19,18.1,58,55.2,22,21.0,80,76.2,546
"Clinton School District","=""0270011""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","F",24,"*","*","*","*","*","*","*","*","*","*",509
"Colchester School District","=""0280011""","N",158,10,6.3,18,11.4,95,60.1,35,22.2,130,82.3,560
"Colchester School District","=""0280011""","R",12,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","F",11,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","N",22,"*","*","*","*",10,45.5,"*","*","*","*",519
"Common Ground High School District","=""2680013""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","F",956,"*","*",330,34.5,319,33.4,"*","*","*","*",450
"Connecticut Technical High School System","=""9000016""","N",1290,249,19.3,369,28.6,594,46.0,78,6.0,672,52.1,484
"Connecticut Technical High School System","=""9000016""","R",199,"*","*",68,34.2,82,41.2,"*","*","*","*",466
"Cooperative Educational Services","=""2430014""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",6,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",105,"*","*","*","*",65,61.9,20,19.0,85,81.0,547
"Coventry School District","=""0320011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","F",21,"*","*","*","*","*","*",0,0.0,"*","*",486
"Cromwell School District","=""0330011""","N",110,15,13.6,"*","*",63,57.3,"*","*","*","*",543
"Cromwell School District","=""0330011""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","F",202,94,46.5,"*","*",53,26.2,"*","*","*","*",435
"Danbury School District","=""0340011""","N",381,62,16.3,74,19.4,183,48.0,62,16.3,245,64.3,515
"Danbury School District","=""0340011""","R",59,23,39.0,"*","*",22,37.3,"*","*","*","*",464
"Darien School District","=""0350011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","N",302,6,2.0,9,3.0,124,41.1,163,54.0,287,95.0,621
"Darien School District","=""0350011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","F",44,15,34.1,17,38.6,"*","*","*","*",12,27.3,442
"Derby School District","=""0370011""","N",32,"*","*","*","*","*","*","*","*","*","*",446
"Derby School District","=""0370011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",52,"*","*","*","*","*","*","*","*","*","*",568
"East Haddam School District","=""0410011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",69,7,10.1,8,11.6,43,62.3,11,15.9,54,78.3,533
"East Haddam School District","=""0410011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","N",108,"*","*","*","*",64,59.3,24,22.2,88,81.5,556
"East Hampton School District","=""0420011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","F",233,86,36.9,"*","*",70,30.0,"*","*","*","*",448
"East Hartford School District","=""0430011""","N",168,45,26.8,24,14.3,82,48.8,17,10.1,99,58.9,495
"East Hartford School District","=""0430011""","R",48,"*","*",15,31.3,18,37.5,"*","*","*","*",463
"East Haven School District","=""0440011""","F",70,30,42.9,"*","*","*","*","*","*","*","*",453
"East Haven School District","=""0440011""","N",127,"*","*",31,24.4,61,48.0,"*","*","*","*",500
"East Haven School District","=""0440011""","R",18,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","F",32,"*","*","*","*","*","*","*","*","*","*",515
"East Lyme School District","=""0450011""","N",216,"*","*","*","*",122,56.5,72,33.3,194,89.8,586
"East Lyme School District","=""0450011""","R",8,"*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","F",21,"*","*","*","*","*","*","*","*","*","*",482
"East Windsor School District","=""0470011""","N",35,"*","*",8,22.9,21,60.0,"*","*","*","*",517
"East Windsor School District","=""0470011""","R",9,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",46,13,28.3,"*","*",21,45.7,"*","*","*","*",497
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",187,14,7.5,28,15.0,111,59.4,34,18.2,145,77.5,545
"Ellington School District","=""0480011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","F",21,"*","*","*","*",11,52.4,0,0.0,11,52.4,467
"Elm City College Preparatory School District","=""2890013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","F",84,"*","*",30,35.7,26,31.0,"*","*","*","*",468
"Enfield School District","=""0490011""","N",239,27,11.3,47,19.7,145,60.7,20,8.4,165,69.0,513
"Enfield School District","=""0490011""","R",23,"*","*",8,34.8,8,34.8,"*","*","*","*",480
"Explorations District","=""2720013""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",15,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","F",70,"*","*","*","*","*","*","*","*","*","*",500
"Fairfield School District","=""0510011""","N",632,32,5.1,42,6.6,347,54.9,211,33.4,558,88.3,581
"Fairfield School District","=""0510011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","F",27,"*","*","*","*","*","*","*","*","*","*",506
"Farmington School District","=""0520011""","N",267,15,5.6,21,7.9,127,47.6,104,39.0,231,86.5,585
"Farmington School District","=""0520011""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","F",53,"*","*","*","*","*","*","*","*","*","*",507
"Glastonbury School District","=""0540011""","N",420,11,2.6,37,8.8,242,57.6,130,31.0,372,88.6,580
"Glastonbury School District","=""0540011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","N",134,"*","*","*","*",74,55.2,41,30.6,115,85.8,574
"Granby School District","=""0560011""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","F",38,11,28.9,"*","*",14,36.8,"*","*","*","*",471
"Greenwich School District","=""0570011""","N",547,30,5.5,48,8.8,254,46.4,215,39.3,469,85.7,587
"Greenwich School District","=""0570011""","R",32,"*","*",10,31.3,13,40.6,"*","*","*","*",482
"Griswold School District","=""0580011""","F",27,"*","*","*","*","*","*","*","*","*","*",461
"Griswold School District","=""0580011""","N",88,12,13.6,12,13.6,50,56.8,14,15.9,64,72.7,531
"Griswold School District","=""0580011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","F",55,14,25.5,"*","*",22,40.0,"*","*","*","*",464
"Groton School District","=""0590011""","N",164,13,7.9,28,17.1,84,51.2,39,23.8,123,75.0,547
"Groton School District","=""0590011""","R",21,8,38.1,"*","*",8,38.1,"*","*","*","*",474
"Guilford School District","=""0600011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","N",231,6,2.6,19,8.2,120,51.9,86,37.2,206,89.2,593
"Guilford School District","=""0600011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","F",111,"*","*",31,27.9,42,37.8,"*","*","*","*",471
"Hamden School District","=""0620011""","N",225,18,8.0,34,15.1,120,53.3,53,23.6,173,76.9,547
"Hamden School District","=""0620011""","R",38,"*","*",9,23.7,17,44.7,"*","*","*","*",492
"Hartford School District","=""0640011""","F",846,440,52.0,"*","*",205,24.2,"*","*","*","*",429
"Hartford School District","=""0640011""","N",275,73,26.5,47,17.1,105,38.2,50,18.2,155,56.4,505
"Hartford School District","=""0640011""","R",41,"*","*",10,24.4,18,43.9,"*","*","*","*",481
"Highville Charter School District","=""2860013""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","F",42,"*","*","*","*","*","*",0,0.0,"*","*",476
"Killingly School District","=""0690011""","N",119,"*","*",17,14.3,77,64.7,"*","*","*","*",516
"Killingly School District","=""0690011""","R",12,"*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","F",74,29,39.2,24,32.4,"*","*","*","*","*","*",445
"Learn","=""2450014""","N",105,"*","*","*","*",57,54.3,33,31.4,90,85.7,566
"Learn","=""2450014""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","N",77,"*","*","*","*",56,72.7,10,13.0,66,85.7,550
"Lebanon School District","=""0710011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","F",29,"*","*","*","*","*","*",0,0.0,"*","*",474
"Ledyard School District","=""0720011""","N",153,"*","*",23,15.0,82,53.6,"*","*","*","*",542
"Ledyard School District","=""0720011""","R",17,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","F",11,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","N",63,"*","*","*","*","*","*","*","*","*","*",549
"Madison School District","=""0760011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","N",285,"*","*","*","*",161,56.5,110,38.6,271,95.1,601
"Madison School District","=""0760011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","F",147,66,44.9,"*","*",53,36.1,"*","*","*","*",443
"Manchester School District","=""0770011""","N",178,"*","*",36,20.2,90,50.6,"*","*","*","*",512
"Manchester School District","=""0770011""","R",27,8,29.6,9,33.3,10,37.0,0,0.0,10,37.0,456
"Meriden School District","=""0800011""","F",254,123,48.4,70,27.6,"*","*","*","*",61,24.0,429
"Meriden School District","=""0800011""","N",188,35,18.6,"*","*",95,50.5,"*","*","*","*",508
"Meriden School District","=""0800011""","R",36,15,41.7,8,22.2,13,36.1,0,0.0,13,36.1,444
"Middletown School District","=""0830011""","F",108,41,38.0,"*","*","*","*","*","*","*","*",452
"Middletown School District","=""0830011""","N",166,"*","*",31,18.7,87,52.4,"*","*","*","*",516
"Middletown School District","=""0830011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","F",56,"*","*","*","*",28,50.0,"*","*","*","*",482
"Milford School District","=""0840011""","N",372,22,5.9,56,15.1,237,63.7,57,15.3,294,79.0,543
"Milford School District","=""0840011""","R",24,"*","*","*","*",15,62.5,"*","*","*","*",499
"Monroe School District","=""0850011""","F",17,"*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","N",239,17,7.1,22,9.2,128,53.6,72,30.1,200,83.7,568
"Monroe School District","=""0850011""","R",14,"*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","F",34,8,23.5,11,32.4,"*","*","*","*","*","*",465
"Montville School District","=""0860011""","N",89,"*","*","*","*",60,67.4,12,13.5,72,80.9,541
"Montville School District","=""0860011""","R",13,"*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","F",112,49,43.8,"*","*",31,27.7,"*","*","*","*",434
"Naugatuck School District","=""0880011""","N",147,23,15.6,33,22.4,82,55.8,9,6.1,91,61.9,504
"Naugatuck School District","=""0880011""","R",32,10,31.3,"*","*",14,43.8,"*","*","*","*",465
"New Britain School District","=""0890011""","F",302,187,61.9,67,22.2,"*","*","*","*",48,15.9,406
"New Britain School District","=""0890011""","N",141,51,36.2,"*","*",54,38.3,"*","*","*","*",468
"New Britain School District","=""0890011""","R",28,11,39.3,9,32.1,8,28.6,0,0.0,8,28.6,445
"New Canaan School District","=""0900011""","N",319,6,1.9,6,1.9,170,53.3,137,42.9,307,96.2,607
"New Fairfield School District","=""0910011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","N",210,13,6.2,21,10.0,117,55.7,59,28.1,176,83.8,565
"New Fairfield School District","=""0910011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","F",556,271,48.7,"*","*",140,25.2,"*","*","*","*",430
"New Haven School District","=""0930011""","N",497,151,30.4,93,18.7,208,41.9,45,9.1,253,50.9,480
"New Haven School District","=""0930011""","R",92,"*","*",27,29.3,41,44.6,"*","*","*","*",471
"New London School District","=""0950011""","F",92,48,52.2,"*","*","*","*",0,0.0,"*","*",414
"New London School District","=""0950011""","N",63,"*","*","*","*",25,39.7,"*","*","*","*",508
"New London School District","=""0950011""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","F",38,"*","*","*","*",19,50.0,"*","*","*","*",500
"New Milford School District","=""0960011""","N",244,17,7.0,37,15.2,145,59.4,45,18.4,190,77.9,547
"New Milford School District","=""0960011""","R",20,"*","*","*","*",9,45.0,"*","*","*","*",511
"Newington School District","=""0940011""","F",38,"*","*","*","*","*","*","*","*","*","*",493
"Newington School District","=""0940011""","N",247,15,6.1,37,15.0,142,57.5,53,21.5,195,78.9,546
"Newington School District","=""0940011""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","=""0970011""","F",25,"*","*","*","*","*","*","*","*","*","*",544
"Newtown School District","=""0970011""","N",367,11,3.0,26,7.1,214,58.3,116,31.6,330,89.9,581
"Newtown School District","=""0970011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","F",20,"*","*","*","*","*","*",0,0.0,"*","*",457
"North Branford School District","=""0990011""","N",125,"*","*",21,16.8,68,54.4,"*","*","*","*",522
"North Branford School District","=""0990011""","R",9,"*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","N",223,15,6.7,33,14.8,128,57.4,47,21.1,175,78.5,544
"North Haven School District","=""1010011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","N",46,"*","*","*","*",27,58.7,10,21.7,37,80.4,561
"North Stonington School District","=""1020011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwalk School District","=""1030011""","F",279,104,37.3,"*","*",93,33.3,"*","*","*","*",452
"Norwalk School District","=""1030011""","N",426,41,9.6,71,16.7,248,58.2,66,15.5,314,73.7,532
"Norwalk School District","=""1030011""","R",47,"*","*",10,21.3,26,55.3,"*","*","*","*",485
"Norwich Free Academy District","=""9010022""","F",214,90,42.1,"*","*",65,30.4,"*","*","*","*",452
"Norwich Free Academy District","=""9010022""","N",316,26,8.2,39,12.3,173,54.7,78,24.7,251,79.4,553
"Norwich Free Academy District","=""9010022""","R",40,9,22.5,"*","*",20,50.0,"*","*","*","*",498
"Norwich School District","=""1040011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N",83,"*","*","*","*",50,60.2,20,24.1,70,84.3,560
"Old Saybrook School District","=""1060011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N",156,8,5.1,18,11.5,94,60.3,36,23.1,130,83.3,557
"Oxford School District","=""1080011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","F",43,12,27.9,"*","*",19,44.2,"*","*","*","*",472
"Plainfield School District","=""1090011""","N",81,"*","*",19,23.5,42,51.9,"*","*","*","*",528
"Plainfield School District","=""1090011""","R",22,"*","*","*","*",16,72.7,0,0.0,16,72.7,505
"Plainville School District","=""1100011""","F",37,"*","*","*","*","*","*","*","*","*","*",474
"Plainville School District","=""1100011""","N",133,17,12.8,31,23.3,67,50.4,18,13.5,85,63.9,518
"Plainville School District","=""1100011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","F",23,"*","*","*","*","*","*",0,0.0,"*","*",442
"Plymouth School District","=""1110011""","N",77,"*","*",17,22.1,43,55.8,"*","*","*","*",512
"Plymouth School District","=""1110011""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","N",77,"*","*","*","*",46,59.7,23,29.9,69,89.6,579
"Portland School District","=""1130011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","F",23,10,43.5,"*","*","*","*",0,0.0,"*","*",442
"Putnam School District","=""1160011""","N",23,"*","*",6,26.1,14,60.9,"*","*","*","*",526
"Putnam School District","=""1160011""","R",9,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","N",88,8,9.1,11,12.5,48,54.5,21,23.9,69,78.4,547
"Regional School District 01","=""2010012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","N",131,8,6.1,17,13.0,58,44.3,48,36.6,106,80.9,575
"Regional School District 04","=""2040012""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""","N",327,19,5.8,31,9.5,173,52.9,104,31.8,277,84.7,580
"Regional School District 05","=""2050012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","F",12,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","N",95,"*","*",16,16.8,62,65.3,"*","*","*","*",544
"Regional School District 06","=""2060012""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","N",170,9,5.3,16,9.4,102,60.0,43,25.3,145,85.3,563
"Regional School District 07","=""2070012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","N",227,13,5.7,15,6.6,135,59.5,64,28.2,199,87.7,570
"Regional School District 08","=""2080012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 09","=""2090012""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 09","=""2090012""","N",250,"*","*","*","*",148,59.2,82,32.8,230,92.0,589
"Regional School District 09","=""2090012""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","N",175,10,5.7,9,5.1,112,64.0,44,25.1,156,89.1,568
"Regional School District 10","=""2100012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","F",8,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","N",34,"*","*","*","*","*","*","*","*","*","*",526
"Regional School District 12","=""2120012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","N",45,"*","*","*","*",26,57.8,13,28.9,39,86.7,567
"Regional School District 12","=""2120012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","N",129,11,8.5,8,6.2,74,57.4,36,27.9,110,85.3,563
"Regional School District 13","=""2130012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","N",147,16,10.9,17,11.6,87,59.2,27,18.4,114,77.6,541
"Regional School District 14","=""2140012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","F","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Regional School District 15","=""2150012""","N",282,"*","*",26,9.2,169,59.9,"*","*","*","*",572
"Regional School District 15","=""2150012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","N",136,6,4.4,22,16.2,83,61.0,25,18.4,108,79.4,546
"Regional School District 16","=""2160012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","N",135,8,5.9,10,7.4,81,60.0,36,26.7,117,86.7,564
"Regional School District 17","=""2170012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","N",114,6,5.3,12,10.5,60,52.6,36,31.6,96,84.2,569
"Regional School District 18","=""2180012""","R","*","*","*","*","*","*","*","*","*","*","*","*"
