"CT School Day SAT, 2015-16"
"All Districts, Math, Gender"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Connecticut Technical High School System","=""9000016""","Female",946,365,38.6,489,51.7,"*","*","*","*",92,9.7,435
"Connecticut Technical High School System","=""9000016""","Male",1498,475,31.7,766,51.1,"*","*","*","*",257,17.2,454
"Cooperative Educational Services","=""2430014""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Female",71,"*","*",36,50.7,26,36.6,"*","*","*","*",508
"Coventry School District","=""0320011""","Male",57,"*","*",14,24.6,26,45.6,"*","*","*","*",520
"Cromwell School District","=""0330011""","Female",69,"*","*",27,39.1,30,43.5,"*","*","*","*",512
"Cromwell School District","=""0330011""","Male",77,"*","*",28,36.4,25,32.5,"*","*","*","*",506
"Danbury School District","=""0340011""","Female",314,116,36.9,129,41.1,58,18.5,11,3.5,69,22.0,452
"Danbury School District","=""0340011""","Male",327,109,33.3,129,39.4,67,20.5,22,6.7,89,27.2,472
"Darien School District","=""0350011""","Female",151,"*","*","*","*",66,43.7,65,43.0,131,86.8,623
"Darien School District","=""0350011""","Male",161,"*","*","*","*",52,32.3,78,48.4,130,80.7,628
"Derby School District","=""0370011""","Female",40,22,55.0,"*","*","*","*",0,0.0,"*","*",420
"Derby School District","=""0370011""","Male",46,21,45.7,"*","*","*","*",0,0.0,"*","*",440
"East Granby School District","=""0400011""","Female",31,"*","*",10,32.3,10,32.3,"*","*","*","*",515
"East Granby School District","=""0400011""","Male",31,"*","*",13,41.9,12,38.7,"*","*","*","*",515
"East Haddam School District","=""0410011""","Female",51,"*","*",25,49.0,8,15.7,"*","*","*","*",462
"East Haddam School District","=""0410011""","Male",27,"*","*",12,44.4,9,33.3,"*","*","*","*",516
"East Hampton School District","=""0420011""","Female",75,"*","*",28,37.3,31,41.3,"*","*","*","*",512
"East Hampton School District","=""0420011""","Male",54,"*","*",21,38.9,18,33.3,"*","*","*","*",504
"East Hartford School District","=""0430011""","Female",234,67,28.6,115,49.1,44,18.8,8,3.4,52,22.2,465
"East Hartford School District","=""0430011""","Male",213,86,40.4,88,41.3,33,15.5,6,2.8,39,18.3,446
"East Haven School District","=""0440011""","Female",92,31,33.7,48,52.2,"*","*","*","*",13,14.1,448
"East Haven School District","=""0440011""","Male",123,51,41.5,46,37.4,"*","*","*","*",26,21.1,452
"East Lyme School District","=""0450011""","Female",125,13,10.4,42,33.6,50,40.0,20,16.0,70,56.0,547
"East Lyme School District","=""0450011""","Male",131,12,9.2,37,28.2,48,36.6,34,26.0,82,62.6,557
"East Windsor School District","=""0470011""","Female",33,8,24.2,16,48.5,9,27.3,0,0.0,9,27.3,474
"East Windsor School District","=""0470011""","Male",32,"*","*",15,46.9,9,28.1,"*","*","*","*",480
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",46,20,43.5,"*","*","*","*",0,0.0,"*","*",440
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",26,15,57.7,"*","*","*","*",0,0.0,"*","*",412
"Education Connection","=""2420014""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Female",97,10,10.3,32,33.0,44,45.4,11,11.3,55,56.7,534
"Ellington School District","=""0480011""","Male",106,13,12.3,48,45.3,32,30.2,13,12.3,45,42.5,522
"Elm City College Preparatory School District","=""2890013""","Female",14,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Male",19,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Female",169,"*","*",79,46.7,52,30.8,"*","*","*","*",483
"Enfield School District","=""0490011""","Male",177,"*","*",77,43.5,45,25.4,"*","*","*","*",491
"Explorations District","=""2720013""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Female",357,24,6.7,102,28.6,175,49.0,56,15.7,231,64.7,555
"Fairfield School District","=""0510011""","Male",356,31,8.7,104,29.2,150,42.1,71,19.9,221,62.1,558
"Farmington School District","=""0520011""","Female",127,12,9.4,38,29.9,44,34.6,33,26.0,77,60.6,562
"Farmington School District","=""0520011""","Male",173,13,7.5,53,30.6,56,32.4,51,29.5,107,61.8,572
"Glastonbury School District","=""0540011""","Female",264,16,6.1,68,25.8,106,40.2,74,28.0,180,68.2,578
"Glastonbury School District","=""0540011""","Male",219,15,6.8,49,22.4,98,44.7,57,26.0,155,70.8,583
"Granby School District","=""0560011""","Female",70,"*","*",21,30.0,32,45.7,"*","*","*","*",550
"Granby School District","=""0560011""","Male",81,"*","*",28,34.6,38,46.9,"*","*","*","*",560
"Greenwich School District","=""0570011""","Female",303,28,9.2,100,33.0,89,29.4,86,28.4,175,57.8,561
"Greenwich School District","=""0570011""","Male",314,29,9.2,64,20.4,99,31.5,122,38.9,221,70.4,589
"Griswold School District","=""0580011""","Female",71,"*","*",34,47.9,24,33.8,"*","*","*","*",485
"Griswold School District","=""0580011""","Male",54,"*","*",29,53.7,13,24.1,"*","*","*","*",488
"Groton School District","=""0590011""","Female",130,27,20.8,61,46.9,32,24.6,10,7.7,42,32.3,495
"Groton School District","=""0590011""","Male",110,24,21.8,43,39.1,31,28.2,12,10.9,43,39.1,504
"Guilford School District","=""0600011""","Female",131,10,7.6,36,27.5,66,50.4,19,14.5,85,64.9,563
"Guilford School District","=""0600011""","Male",122,9,7.4,37,30.3,49,40.2,27,22.1,76,62.3,558
"Hamden School District","=""0620011""","Female",184,40,21.7,89,48.4,45,24.5,10,5.4,55,29.9,481
"Hamden School District","=""0620011""","Male",190,48,25.3,74,38.9,49,25.8,19,10.0,68,35.8,496
"Hartford School District","=""0640011""","Female",577,286,49.6,218,37.8,64,11.1,9,1.6,73,12.7,427
"Hartford School District","=""0640011""","Male",584,293,50.2,192,32.9,72,12.3,27,4.6,99,17.0,432
"Highville Charter School District","=""2860013""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Female",95,21,22.1,60,63.2,14,14.7,0,0.0,14,14.7,468
"Killingly School District","=""0690011""","Male",78,25,32.1,34,43.6,"*","*","*","*",19,24.4,459
"Learn","=""2450014""","Female",109,"*","*",50,45.9,29,26.6,"*","*","*","*",474
"Learn","=""2450014""","Male",76,"*","*",30,39.5,23,30.3,"*","*","*","*",496
"Lebanon School District","=""0710011""","Female",46,"*","*",20,43.5,17,37.0,"*","*","*","*",532
"Lebanon School District","=""0710011""","Male",37,"*","*",13,35.1,14,37.8,"*","*","*","*",552
"Ledyard School District","=""0720011""","Female",114,16,14.0,52,45.6,33,28.9,13,11.4,46,40.4,516
"Ledyard School District","=""0720011""","Male",85,16,18.8,33,38.8,24,28.2,12,14.1,36,42.4,515
"Litchfield School District","=""0740011""","Female",33,"*","*",8,24.2,16,48.5,"*","*","*","*",536
"Litchfield School District","=""0740011""","Male",41,"*","*",15,36.6,17,41.5,"*","*","*","*",525
"Madison School District","=""0760011""","Female",136,7,5.1,35,25.7,68,50.0,26,19.1,94,69.1,568
"Madison School District","=""0760011""","Male",160,9,5.6,39,24.4,65,40.6,47,29.4,112,70.0,587
"Manchester School District","=""0770011""","Female",202,64,31.7,94,46.5,38,18.8,6,3.0,44,21.8,461
"Manchester School District","=""0770011""","Male",150,61,40.7,61,40.7,22,14.7,6,4.0,28,18.7,444
"Meriden School District","=""0800011""","Female",250,132,52.8,86,34.4,"*","*","*","*",32,12.8,422
"Meriden School District","=""0800011""","Male",227,114,50.2,80,35.2,"*","*","*","*",33,14.5,424
"Middletown School District","=""0830011""","Female",133,37,27.8,66,49.6,"*","*","*","*",30,22.6,462
"Middletown School District","=""0830011""","Male",150,51,34.0,56,37.3,"*","*","*","*",43,28.7,469
"Milford School District","=""0840011""","Female",234,36,15.4,115,49.1,72,30.8,11,4.7,83,35.5,499
"Milford School District","=""0840011""","Male",217,30,13.8,106,48.8,66,30.4,15,6.9,81,37.3,505
"Monroe School District","=""0850011""","Female",130,12,9.2,36,27.7,62,47.7,20,15.4,82,63.1,549
"Monroe School District","=""0850011""","Male",139,13,9.4,42,30.2,60,43.2,24,17.3,84,60.4,554
"Montville School District","=""0860011""","Female",65,"*","*",27,41.5,25,38.5,"*","*","*","*",505
"Montville School District","=""0860011""","Male",70,"*","*",32,45.7,19,27.1,"*","*","*","*",495
"Naugatuck School District","=""0880011""","Female",140,54,38.6,62,44.3,24,17.1,0,0.0,24,17.1,446
"Naugatuck School District","=""0880011""","Male",148,59,39.9,56,37.8,"*","*","*","*",33,22.3,449
"New Britain School District","=""0890011""","Female",235,124,52.8,84,35.7,"*","*","*","*",27,11.5,421
"New Britain School District","=""0890011""","Male",236,132,55.9,78,33.1,"*","*","*","*",26,11.0,420
"New Canaan School District","=""0900011""","Female",155,"*","*","*","*",73,47.1,51,32.9,124,80.0,596
"New Canaan School District","=""0900011""","Male",164,"*","*","*","*",78,47.6,66,40.2,144,87.8,622
"New Fairfield School District","=""0910011""","Female",102,11,10.8,50,49.0,31,30.4,10,9.8,41,40.2,519
"New Fairfield School District","=""0910011""","Male",125,17,13.6,42,33.6,53,42.4,13,10.4,66,52.8,526
"New Haven School District","=""0930011""","Female",612,281,45.9,249,40.7,70,11.4,12,2.0,82,13.4,430
"New Haven School District","=""0930011""","Male",533,236,44.3,226,42.4,56,10.5,15,2.8,71,13.3,433
"New London School District","=""0950011""","Female",86,36,41.9,30,34.9,"*","*","*","*",20,23.3,447
"New London School District","=""0950011""","Male",84,41,48.8,25,29.8,"*","*","*","*",18,21.4,442
"New Milford School District","=""0960011""","Female",148,12,8.1,77,52.0,45,30.4,14,9.5,59,39.9,521
"New Milford School District","=""0960011""","Male",154,24,15.6,49,31.8,59,38.3,22,14.3,81,52.6,530
"Newington School District","=""0940011""","Female",165,20,12.1,66,40.0,63,38.2,16,9.7,79,47.9,521
"Newington School District","=""0940011""","Male",135,16,11.9,59,43.7,48,35.6,12,8.9,60,44.4,522
"Newtown School District","=""0970011""","Female",186,8,4.3,60,32.3,89,47.8,29,15.6,118,63.4,557
"Newtown School District","=""0970011""","Male",217,17,7.8,54,24.9,99,45.6,47,21.7,146,67.3,567
"North Branford School District","=""0990011""","Female",77,"*","*",33,42.9,25,32.5,"*","*","*","*",501
"North Branford School District","=""0990011""","Male",76,"*","*",31,40.8,22,28.9,"*","*","*","*",485
"North Haven School District","=""1010011""","Female",134,21,15.7,56,41.8,48,35.8,9,6.7,57,42.5,505
"North Haven School District","=""1010011""","Male",111,20,18.0,41,36.9,39,35.1,11,9.9,50,45.0,511
"North Stonington School District","=""1020011""","Female",21,0,0.0,"*","*",12,57.1,"*","*","*","*",549
"North Stonington School District","=""1020011""","Male",34,"*","*",8,23.5,11,32.4,"*","*","*","*",532
"Norwalk School District","=""1030011""","Female",344,82,23.8,165,48.0,72,20.9,25,7.3,97,28.2,484
"Norwalk School District","=""1030011""","Male",408,106,26.0,180,44.1,99,24.3,23,5.6,122,29.9,480
"Norwich Free Academy District","=""9010022""","Female",311,83,26.7,125,40.2,87,28.0,16,5.1,103,33.1,482
"Norwich Free Academy District","=""9010022""","Male",258,71,27.5,99,38.4,57,22.1,31,12.0,88,34.1,488
"Norwich School District","=""1040011""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Female",50,"*","*",22,44.0,18,36.0,"*","*","*","*",518
"Old Saybrook School District","=""1060011""","Male",46,"*","*",15,32.6,18,39.1,"*","*","*","*",550
"Oxford School District","=""1080011""","Female",74,"*","*",41,55.4,22,29.7,"*","*","*","*",515
"Oxford School District","=""1080011""","Male",93,"*","*",41,44.1,27,29.0,"*","*","*","*",518
"Path Academy District","=""2930013""","Female",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Female",80,"*","*",43,53.8,18,22.5,"*","*","*","*",472
"Plainfield School District","=""1090011""","Male",66,"*","*",32,48.5,15,22.7,"*","*","*","*",485
"Plainville School District","=""1100011""","Female",88,"*","*",50,56.8,19,21.6,"*","*","*","*",485
"Plainville School District","=""1100011""","Male",93,26,28.0,"*","*",35,37.6,"*","*","*","*",505
"Plymouth School District","=""1110011""","Female",45,"*","*",20,44.4,13,28.9,"*","*","*","*",469
"Plymouth School District","=""1110011""","Male",66,"*","*",27,40.9,20,30.3,"*","*","*","*",483
"Portland School District","=""1130011""","Female",47,"*","*",23,48.9,13,27.7,"*","*","*","*",525
"Portland School District","=""1130011""","Male",45,"*","*",13,28.9,19,42.2,"*","*","*","*",563
"Putnam School District","=""1160011""","Female",32,13,40.6,16,50.0,"*","*","*","*","*","*",448
"Putnam School District","=""1160011""","Male",23,10,43.5,9,39.1,"*","*","*","*","*","*",446
"Regional School District 01","=""2010012""","Female",63,"*","*",25,39.7,23,36.5,"*","*","*","*",491
"Regional School District 01","=""2010012""","Male",44,"*","*",21,47.7,16,36.4,"*","*","*","*",520
"Regional School District 04","=""2040012""","Female",77,11,14.3,29,37.7,26,33.8,11,14.3,37,48.1,527
"Regional School District 04","=""2040012""","Male",67,12,17.9,23,34.3,22,32.8,10,14.9,32,47.8,523
"Regional School District 05","=""2050012""","Female",163,12,7.4,46,28.2,67,41.1,38,23.3,105,64.4,565
"Regional School District 05","=""2050012""","Male",181,19,10.5,47,26.0,71,39.2,44,24.3,115,63.5,562
"Regional School District 06","=""2060012""","Female",60,"*","*",26,43.3,23,38.3,"*","*","*","*",506
"Regional School District 06","=""2060012""","Male",53,"*","*",19,35.8,22,41.5,"*","*","*","*",510
"Regional School District 07","=""2070012""","Female",109,7,6.4,40,36.7,47,43.1,15,13.8,62,56.9,544
"Regional School District 07","=""2070012""","Male",78,12,15.4,21,26.9,37,47.4,8,10.3,45,57.7,533
"Regional School District 08","=""2080012""","Female",122,9,7.4,28,23.0,58,47.5,27,22.1,85,69.7,567
"Regional School District 08","=""2080012""","Male",120,11,9.2,40,33.3,43,35.8,26,21.7,69,57.5,558
"Regional School District 09","=""2090012""","Female",119,6,5.0,30,25.2,64,53.8,19,16.0,83,69.7,562
"Regional School District 09","=""2090012""","Male",144,7,4.9,29,20.1,71,49.3,37,25.7,108,75.0,583
"Regional School District 10","=""2100012""","Female",84,"*","*",32,38.1,37,44.0,"*","*","*","*",552
"Regional School District 10","=""2100012""","Male",102,"*","*",32,31.4,51,50.0,"*","*","*","*",549
"Regional School District 11","=""2110012""","Female",23,"*","*","*","*","*","*",0,0.0,"*","*",473
"Regional School District 11","=""2110012""","Male",19,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Female",22,"*","*",8,36.4,10,45.5,"*","*","*","*",552
"Regional School District 12","=""2120012""","Male",27,"*","*",8,29.6,10,37.0,"*","*","*","*",533
"Regional School District 13","=""2130012""","Female",66,"*","*",25,37.9,30,45.5,"*","*","*","*",528
"Regional School District 13","=""2130012""","Male",74,"*","*",28,37.8,27,36.5,"*","*","*","*",529
"Regional School District 14","=""2140012""","Female",106,"*","*",46,43.4,44,41.5,"*","*","*","*",538
"Regional School District 14","=""2140012""","Male",65,"*","*",26,40.0,20,30.8,"*","*","*","*",522
"Regional School District 15","=""2150012""","Female",144,11,7.6,52,36.1,60,41.7,21,14.6,81,56.3,543
"Regional School District 15","=""2150012""","Male",163,13,8.0,43,26.4,81,49.7,26,16.0,107,65.6,556
"Regional School District 16","=""2160012""","Female",91,"*","*",38,41.8,25,27.5,"*","*","*","*",497
"Regional School District 16","=""2160012""","Male",73,"*","*",28,38.4,27,37.0,"*","*","*","*",505
"Regional School District 17","=""2170012""","Female",78,"*","*",31,39.7,35,44.9,"*","*","*","*",533
"Regional School District 17","=""2170012""","Male",68,"*","*",22,32.4,29,42.6,"*","*","*","*",529
"Regional School District 18","=""2180012""","Female",55,7,12.7,17,30.9,25,45.5,6,10.9,31,56.4,540
"Regional School District 18","=""2180012""","Male",64,8,12.5,16,25.0,30,46.9,10,15.6,40,62.5,545
"Regional School District 19","=""2190012""","Female",142,8,5.6,61,43.0,58,40.8,15,10.6,73,51.4,536
"Regional School District 19","=""2190012""","Male",126,18,14.3,37,29.4,40,31.7,31,24.6,71,56.3,555
"Ridgefield School District","=""1180011""","Female",208,"*","*","*","*",101,48.6,63,30.3,164,78.8,597
"Ridgefield School District","=""1180011""","Male",210,"*","*","*","*",93,44.3,79,37.6,172,81.9,610
"Rocky Hill School District","=""1190011""","Female",72,7,9.7,27,37.5,29,40.3,9,12.5,38,52.8,529
"Rocky Hill School District","=""1190011""","Male",99,13,13.1,32,32.3,38,38.4,16,16.2,54,54.5,534
"Salem School District","=""1210011""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","Female",69,"*","*",32,46.4,22,31.9,"*","*","*","*",495
"Seymour School District","=""1240011""","Male",82,"*","*",34,41.5,22,26.8,"*","*","*","*",498
"Shelton School District","=""1260011""","Female",181,21,11.6,59,32.6,85,47.0,16,8.8,101,55.8,527
"Shelton School District","=""1260011""","Male",190,31,16.3,60,31.6,79,41.6,20,10.5,99,52.1,522
"Simsbury School District","=""1280011""","Female",174,12,6.9,43,24.7,72,41.4,47,27.0,119,68.4,577
"Simsbury School District","=""1280011""","Male",187,10,5.3,34,18.2,76,40.6,67,35.8,143,76.5,598
"Somers School District","=""1290011""","Female",51,"*","*",22,43.1,24,47.1,"*","*","*","*",535
"Somers School District","=""1290011""","Male",52,"*","*",16,30.8,17,32.7,"*","*","*","*",539
"South Windsor School District","=""1320011""","Female",181,15,8.3,62,34.3,79,43.6,25,13.8,104,57.5,544
"South Windsor School District","=""1320011""","Male",145,17,11.7,37,25.5,59,40.7,32,22.1,91,62.8,558
"Southington School District","=""1310011""","Female",242,16,6.6,107,44.2,92,38.0,27,11.2,119,49.2,533
"Southington School District","=""1310011""","Male",228,25,11.0,82,36.0,88,38.6,33,14.5,121,53.1,539
"Stafford School District","=""1340011""","Female",45,"*","*",17,37.8,15,33.3,"*","*","*","*",519
"Stafford School District","=""1340011""","Male",56,"*","*",23,41.1,22,39.3,"*","*","*","*",532
"Stamford Academy District","=""2820013""","Female",8,"*","*","*","*","*","*","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","Female",539,162,30.1,230,42.7,100,18.6,47,8.7,147,27.3,476
"Stamford School District","=""1350011""","Male",555,165,29.7,184,33.2,142,25.6,64,11.5,206,37.1,491
"Stonington School District","=""1370011""","Female",89,9,10.1,37,41.6,27,30.3,16,18.0,43,48.3,537
"Stonington School District","=""1370011""","Male",79,13,16.5,31,39.2,23,29.1,12,15.2,35,44.3,519
"Stratford School District","=""1380011""","Female",242,60,24.8,113,46.7,60,24.8,9,3.7,69,28.5,479
"Stratford School District","=""1380011""","Male",222,75,33.8,86,38.7,44,19.8,17,7.7,61,27.5,471
"Suffield School District","=""1390011""","Female",90,8,8.9,31,34.4,41,45.6,10,11.1,51,56.7,541
"Suffield School District","=""1390011""","Male",90,10,11.1,33,36.7,36,40.0,11,12.2,47,52.2,527
"The Bridge Academy District","=""2690013""","Female",25,"*","*","*","*","*","*",0,0.0,"*","*",439
"The Bridge Academy District","=""2690013""","Male",15,"*","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District","=""9020022""","Female",42,"*","*",18,42.9,12,28.6,"*","*","*","*",494
"The Gilbert School District","=""9020022""","Male",59,19,32.2,18,30.5,"*","*","*","*",22,37.3,503
"Thomaston School District","=""1400011""","Female",32,"*","*",22,68.8,"*","*","*","*","*","*",468
"Thomaston School District","=""1400011""","Male",30,"*","*",10,33.3,"*","*",0,0.0,"*","*",489
"Thompson School District","=""1410011""","Female",23,"*","*","*","*",6,26.1,0,0.0,6,26.1,485
"Thompson School District","=""1410011""","Male",21,"*","*","*","*",6,28.6,0,0.0,6,28.6,456
"Tolland School District","=""1420011""","Female",107,"*","*",36,33.6,50,46.7,"*","*","*","*",558
"Tolland School District","=""1420011""","Male",94,"*","*","*","*",43,45.7,28,29.8,71,75.5,582
"Torrington School District","=""1430011""","Female",91,22,24.2,47,51.6,"*","*","*","*",22,24.2,469
"Torrington School District","=""1430011""","Male",106,35,33.0,44,41.5,"*","*","*","*",27,25.5,463
"Trumbull School District","=""1440011""","Female",266,22,8.3,105,39.5,91,34.2,48,18.0,139,52.3,544
"Trumbull School District","=""1440011""","Male",229,18,7.9,61,26.6,91,39.7,59,25.8,150,65.5,572
"Unified School District #2","=""3470015""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Female",104,"*","*",44,42.3,33,31.7,"*","*","*","*",491
"Vernon School District","=""1460011""","Male",88,"*","*",34,38.6,31,35.2,"*","*","*","*",495
"Wallingford School District","=""1480011""","Female",247,42,17.0,132,53.4,62,25.1,11,4.5,73,29.6,491
"Wallingford School District","=""1480011""","Male",213,40,18.8,93,43.7,73,34.3,7,3.3,80,37.6,494
"Waterbury School District","=""1510011""","Female",529,259,49.0,214,40.5,"*","*","*","*",56,10.6,423
"Waterbury School District","=""1510011""","Male",520,295,56.7,183,35.2,"*","*","*","*",42,8.1,413
"Waterford School District","=""1520011""","Female",88,14,15.9,34,38.6,25,28.4,15,17.0,40,45.5,525
"Waterford School District","=""1520011""","Male",115,18,15.7,52,45.2,35,30.4,10,8.7,45,39.1,504
"Watertown School District","=""1530011""","Female",99,21,21.2,55,55.6,"*","*","*","*",23,23.2,475
"Watertown School District","=""1530011""","Male",100,"*","*",48,48.0,26,26.0,"*","*","*","*",496
"West Hartford School District","=""1550011""","Female",362,61,16.9,114,31.5,123,34.0,64,17.7,187,51.7,534
"West Hartford School District","=""1550011""","Male",389,47,12.1,107,27.5,138,35.5,97,24.9,235,60.4,555
"West Haven School District","=""1560011""","Female",158,37,23.4,93,58.9,"*","*","*","*",28,17.7,469
"West Haven School District","=""1560011""","Male",146,67,45.9,56,38.4,"*","*","*","*",23,15.8,437
"Westbrook School District","=""1540011""","Female",35,"*","*",19,54.3,8,22.9,"*","*","*","*",477
"Westbrook School District","=""1540011""","Male",40,"*","*",16,40.0,16,40.0,"*","*","*","*",498
"Weston School District","=""1570011""","Female",85,8,9.4,14,16.5,33,38.8,30,35.3,63,74.1,587
"Weston School District","=""1570011""","Male",112,17,15.2,18,16.1,36,32.1,41,36.6,77,68.8,578
"Westport School District","=""1580011""","Female",219,11,5.0,41,18.7,94,42.9,73,33.3,167,76.3,593
