"Five-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,,"Graduates",
"Regional School District 05","=""2050012""",396,381,96.2
"Regional School District 06","=""2060012""",97,"*","*"
"Regional School District 07","=""2070012""",193,187,96.9
"Regional School District 08","=""2080012""",284,266,93.7
"Regional School District 09","=""2090012""",238,229,96.2
"Regional School District 10","=""2100012""",198,188,94.9
"Regional School District 11","=""2110012""",44,38,86.4
"Regional School District 12","=""2120012""",90,80,88.9
"Regional School District 13","=""2130012""",157,144,91.7
"Regional School District 14","=""2140012""",202,189,93.6
"Regional School District 15","=""2150012""",319,310,97.2
"Regional School District 16","=""2160012""",186,170,91.4
"Regional School District 17","=""2170012""",164,159,97.0
"Regional School District 18","=""2180012""",113,109,96.5
"Regional School District 19","=""2190012""",314,291,92.7
"Ridgefield School District","=""1180011""",414,404,97.6
"Rocky Hill School District","=""1190011""",177,165,93.2
"Seymour School District","=""1240011""",180,159,88.3
"Shelton School District","=""1260011""",394,363,92.1
"Simsbury School District","=""1280011""",400,392,98.0
"Somers School District","=""1290011""",147,143,97.3
"South Windsor School District","=""1320011""",386,371,96.1
"Southington School District","=""1310011""",488,463,94.9
"Stafford School District","=""1340011""",129,116,89.9
"Stamford Academy District","=""2820013""",36,16,44.4
"Stamford School District","=""1350011""",1211,1110,91.7
"Stonington School District","=""1370011""",201,194,96.5
"Stratford School District","=""1380011""",560,513,91.6
"Suffield School District","=""1390011""",219,207,94.5
"The Bridge Academy District","=""2690013""",36,"*","*"
"The Gilbert School District","=""9020022""",86,72,83.7
"Thomaston School District","=""1400011""",78,74,94.9
"Thompson School District","=""1410011""",85,79,92.9
"Tolland School District","=""1420011""",244,230,94.3
"Torrington School District","=""1430011""",275,246,89.5
"Trumbull School District","=""1440011""",550,541,98.4
"Unified School District #1","=""3360015""",447,10,2.2
"Unified School District #2","=""3470015""",45,"*","*"
"Vernon School District","=""1460011""",238,203,85.3
"Wallingford School District","=""1480011""",535,496,92.7
"Waterbury School District","=""1510011""",1297,890,68.6
"Waterford School District","=""1520011""",242,223,92.1
"Watertown School District","=""1530011""",272,242,89.0
"West Hartford School District","=""1550011""",832,790,95.0
"West Haven School District","=""1560011""",437,311,71.2
"Westbrook School District","=""1540011""",78,"*","*"
"Weston School District","=""1570011""",208,"*","*"
"Westport School District","=""1580011""",465,"*","*"
"Wethersfield School District","=""1590011""",269,247,91.8
"Wilton School District","=""1610011""",326,315,96.6
"Windham School District","=""1630011""",194,159,82.0
"Windsor Locks School District","=""1650011""",140,128,91.4
"Windsor School District","=""1640011""",345,312,90.4
"Wolcott School District","=""1660011""",221,209,94.6
"Woodstock Academy District","=""9030022""",282,271,96.1

