"Five-Year Graduation Rates, 2010-11"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",
"Darien School District","Eligible For Free Lunch","*","*","*"
"Darien School District","Eligible For Reduced Lunch","*","*","*"
"Darien School District","Not Eligible For Lunch",323,314,97.2
"Derby School District","Eligible For Free Lunch",39,29,74.4
"Derby School District","Eligible For Reduced Lunch",12,10,83.3
"Derby School District","Not Eligible For Lunch",72,60,83.3
"East Granby School District","Not Eligible For Lunch",76,74,97.4
"East Haddam School District","Eligible For Free Lunch","*","*","*"
"East Haddam School District","Eligible For Reduced Lunch","*","*","*"
"East Haddam School District","Not Eligible For Lunch",88,82,93.2
"East Hampton School District","Eligible For Free Lunch","*","*","*"
"East Hampton School District","Eligible For Reduced Lunch","*","*","*"
"East Hampton School District","Not Eligible For Lunch",130,120,92.3
"East Hartford School District","Eligible For Free Lunch",250,197,78.8
"East Hartford School District","Eligible For Reduced Lunch",72,66,91.7
"East Hartford School District","Not Eligible For Lunch",279,242,86.7
"East Haven School District","Eligible For Free Lunch",46,32,69.6
"East Haven School District","Eligible For Reduced Lunch",22,17,77.3
"East Haven School District","Not Eligible For Lunch",232,209,90.1
"East Lyme School District","Eligible For Free Lunch","*","*","*"
"East Lyme School District","Eligible For Reduced Lunch","*","*","*"
"East Lyme School District","Not Eligible For Lunch",314,306,97.5
"East Windsor School District","Eligible For Free Lunch","*","*","*"
"East Windsor School District","Eligible For Reduced Lunch","*","*","*"
"East Windsor School District","Not Eligible For Lunch",62,57,91.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Eligible For Free Lunch","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Eligible For Reduced Lunch","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Not Eligible For Lunch",45,33,73.3
"Ellington School District","Eligible For Free Lunch","*","*","*"
"Ellington School District","Eligible For Reduced Lunch","*","*","*"
"Ellington School District","Not Eligible For Lunch",175,168,96.0
"Enfield School District","Eligible For Free Lunch",64,41,64.1
"Enfield School District","Eligible For Reduced Lunch",29,25,86.2
"Enfield School District","Not Eligible For Lunch",426,381,89.4
"Explorations District","Eligible For Free Lunch","*","*","*"
"Explorations District","Eligible For Reduced Lunch","*","*","*"
"Explorations District","Not Eligible For Lunch",22,15,68.2
"Fairfield School District","Eligible For Free Lunch",32,28,87.5
"Fairfield School District","Eligible For Reduced Lunch",11,11,100.0
"Fairfield School District","Not Eligible For Lunch",612,590,96.4
"Farmington School District","Eligible For Free Lunch",16,11,68.8
"Farmington School District","Eligible For Reduced Lunch",10,8,80.0
"Farmington School District","Not Eligible For Lunch",310,302,97.4
"Glastonbury School District","Eligible For Free Lunch",17,15,88.2
"Glastonbury School District","Eligible For Reduced Lunch",10,9,90.0
"Glastonbury School District","Not Eligible For Lunch",523,512,97.9
"Granby School District","Eligible For Free Lunch","*","*","*"
"Granby School District","Eligible For Reduced Lunch","*","*","*"
"Granby School District","Not Eligible For Lunch",188,185,98.4
"Greenwich School District","Eligible For Free Lunch",40,36,90.0
"Greenwich School District","Eligible For Reduced Lunch",24,23,95.8
"Greenwich School District","Not Eligible For Lunch",569,556,97.7
"Griswold School District","Eligible For Free Lunch",28,"*","*"
"Griswold School District","Eligible For Reduced Lunch",8,"*","*"
"Griswold School District","Not Eligible For Lunch",165,145,87.9
"Groton School District","Eligible For Free Lunch",69,43,62.3
"Groton School District","Eligible For Reduced Lunch",34,23,67.6
"Groton School District","Not Eligible For Lunch",231,207,89.6
"Guilford School District","Eligible For Free Lunch","*","*","*"
"Guilford School District","Eligible For Reduced Lunch","*","*","*"
"Guilford School District","Not Eligible For Lunch",255,247,96.9
"Hamden School District","Eligible For Free Lunch",123,90,73.2
"Hamden School District","Eligible For Reduced Lunch",17,15,88.2
"Hamden School District","Not Eligible For Lunch",444,404,91.0
"Hartford School District","Eligible For Free Lunch",1391,924,66.4
"Hartford School District","Eligible For Reduced Lunch",40,32,80.0
"Hartford School District","Not Eligible For Lunch",168,143,85.1
"Killingly School District","Eligible For Free Lunch",42,20,47.6
"Killingly School District","Eligible For Reduced Lunch",15,10,66.7
"Killingly School District","Not Eligible For Lunch",139,114,82.0
"Lebanon School District","Eligible For Free Lunch",13,"*","*"
"Lebanon School District","Eligible For Reduced Lunch",6,"*","*"
"Lebanon School District","Not Eligible For Lunch",141,134,95.0
"Ledyard School District","Eligible For Free Lunch",20,15,75.0
"Ledyard School District","Eligible For Reduced Lunch",15,15,100.0
"Ledyard School District","Not Eligible For Lunch",197,182,92.4
"Lisbon School District","Not Eligible For Lunch","*","*","*"
"Litchfield School District","Eligible For Free Lunch","*","*","*"
"Litchfield School District","Eligible For Reduced Lunch","*","*","*"
"Litchfield School District","Not Eligible For Lunch",88,84,95.5
"Madison School District","Eligible For Free Lunch",9,8,88.9
"Madison School District","Not Eligible For Lunch",308,300,97.4
"Manchester School District","Eligible For Free Lunch",158,94,59.5
"Manchester School District","Eligible For Reduced Lunch",37,26,70.3
"Manchester School District","Not Eligible For Lunch",337,284,84.3
"Meriden School District","Eligible For Free Lunch",326,215,66.0
"Meriden School District","Eligible For Reduced Lunch",13,9,69.2
"Meriden School District","Not Eligible For Lunch",280,240,85.7
"Middletown School District","Eligible For Free Lunch",85,53,62.4
"Middletown School District","Eligible For Reduced Lunch",24,17,70.8
"Middletown School District","Not Eligible For Lunch",239,208,87.0
"Milford School District","Eligible For Free Lunch",54,42,77.8
"Milford School District","Eligible For Reduced Lunch",21,17,81.0
"Milford School District","Not Eligible For Lunch",418,390,93.3
"Monroe School District","Eligible For Free Lunch","*","*","*"
"Monroe School District","Eligible For Reduced Lunch","*","*","*"
"Monroe School District","Not Eligible For Lunch",354,347,98.0
"Montville School District","Eligible For Free Lunch",28,23,82.1
"Montville School District","Eligible For Reduced Lunch",8,8,100.0
"Montville School District","Not Eligible For Lunch",168,146,86.9
"Naugatuck School District","Eligible For Free Lunch",88,67,76.1
"Naugatuck School District","Eligible For Reduced Lunch",32,25,78.1
"Naugatuck School District","Not Eligible For Lunch",249,221,88.8
"New Britain School District","Eligible For Free Lunch",431,225,52.2
"New Britain School District","Eligible For Reduced Lunch",72,49,68.1
"New Britain School District","Not Eligible For Lunch",249,171,68.7
"New Canaan School District","Eligible For Reduced Lunch","*","*","*"
"New Canaan School District","Not Eligible For Lunch","*","*","*"
"New Fairfield School District","Eligible For Free Lunch","*","*","*"
"New Fairfield School District","Eligible For Reduced Lunch","*","*","*"
"New Fairfield School District","Not Eligible For Lunch",230,220,95.7
"New Haven School District","Eligible For Free Lunch",939,606,64.5
"New Haven School District","Eligible For Reduced Lunch",73,60,82.2
"New Haven School District","Not Eligible For Lunch",424,323,76.2
"New London School District","Eligible For Free Lunch",142,90,63.4
"New London School District","Eligible For Reduced Lunch",31,21,67.7
"New London School District","Not Eligible For Lunch",93,70,75.3
"New Milford School District","Eligible For Free Lunch",25,17,68.0
"New Milford School District","Eligible For Reduced Lunch",13,10,76.9
"New Milford School District","Not Eligible For Lunch",364,328,90.1
"Newington School District","Eligible For Free Lunch",47,34,72.3
"Newington School District","Eligible For Reduced Lunch",19,18,94.7
"Newington School District","Not Eligible For Lunch",346,315,91.0
"Newtown School District","Eligible For Free Lunch","*","*","*"
"Newtown School District","Eligible For Reduced Lunch","*","*","*"
"Newtown School District","Not Eligible For Lunch",432,416,96.3
"North Branford School District","Eligible For Free Lunch",13,"*","*"
"North Branford School District","Eligible For Reduced Lunch",6,"*","*"
"North Branford School District","Not Eligible For Lunch",178,172,96.6
"North Haven School District","Eligible For Free Lunch",30,25,83.3
"North Haven School District","Eligible For Reduced Lunch",9,9,100.0
"North Haven School District","Not Eligible For Lunch",268,236,88.1
"North Stonington School District","Eligible For Free Lunch",6,"*","*"
"North Stonington School District","Eligible For Reduced Lunch",6,"*","*"
"North Stonington School District","Not Eligible For Lunch",55,52,94.5
"Norwalk School District","Eligible For Free Lunch",212,161,75.9
"Norwalk School District","Eligible For Reduced Lunch",52,51,98.1
"Norwalk School District","Not Eligible For Lunch",628,565,90.0
"Norwich Free Academy District","Eligible For Free Lunch",119,84,70.6
"Norwich Free Academy District","Eligible For Reduced Lunch",40,35,87.5
"Norwich Free Academy District","Not Eligible For Lunch",469,401,85.5
"Norwich School District","Eligible For Free Lunch",17,6,35.3
"Norwich School District","Eligible For Reduced Lunch","*","*","*"
"Norwich School District","Not Eligible For Lunch","*","*","*"
"Old Saybrook School District","Eligible For Free Lunch","*","*","*"
"Old Saybrook School District","Eligible For Reduced Lunch","*","*","*"
"Old Saybrook School District","Not Eligible For Lunch",116,110,94.8
"Oxford School District","Eligible For Free Lunch","*","*","*"
"Oxford School District","Eligible For Reduced Lunch","*","*","*"
"Oxford School District","Not Eligible For Lunch",149,143,96.0
"Plainfield School District","Eligible For Free Lunch",31,21,67.7
"Plainfield School District","Eligible For Reduced Lunch",16,14,87.5
"Plainfield School District","Not Eligible For Lunch",183,170,92.9
"Plainville School District","Eligible For Free Lunch",15,9,60.0
"Plainville School District","Eligible For Reduced Lunch",13,13,100.0
"Plainville School District","Not Eligible For Lunch",205,189,92.2
"Plymouth School District","Eligible For Free Lunch",9,8,88.9
"Plymouth School District","Eligible For Reduced Lunch",7,7,100.0
"Plymouth School District","Not Eligible For Lunch",123,119,96.7
"Portland School District","Eligible For Free Lunch",12,7,58.3
"Portland School District","Not Eligible For Lunch",85,75,88.2
"Putnam School District","Eligible For Free Lunch",22,"*","*"
"Putnam School District","Eligible For Reduced Lunch",6,"*","*"
"Putnam School District","Not Eligible For Lunch",45,42,93.3
"Regional School District 01","Eligible For Free Lunch","*","*","*"
"Regional School District 01","Eligible For Reduced Lunch","*","*","*"
"Regional School District 01","Not Eligible For Lunch",121,107,88.4
"Regional School District 04","Eligible For Free Lunch","*","*","*"
"Regional School District 04","Eligible For Reduced Lunch","*","*","*"
"Regional School District 04","Not Eligible For Lunch",157,146,93.0
"Regional School District 05","Eligible For Free Lunch","*","*","*"
"Regional School District 05","Eligible For Reduced Lunch","*","*","*"
"Regional School District 05","Not Eligible For Lunch",395,376,95.2
"Regional School District 06","Eligible For Free Lunch","*","*","*"
"Regional School District 06","Eligible For Reduced Lunch","*","*","*"
"Regional School District 06","Not Eligible For Lunch",93,83,89.2
"Regional School District 07","Eligible For Free Lunch","*","*","*"
"Regional School District 07","Eligible For Reduced Lunch","*","*","*"
"Regional School District 07","Not Eligible For Lunch",192,184,95.8
"Regional School District 08","Eligible For Free Lunch","*","*","*"
"Regional School District 08","Eligible For Reduced Lunch","*","*","*"
"Regional School District 08","Not Eligible For Lunch",256,230,89.8
"Regional School District 09","Eligible For Free Lunch","*","*","*"
"Regional School District 09","Not Eligible For Lunch","*","*","*"
"Regional School District 10","Eligible For Free Lunch",7,7,100.0
"Regional School District 10","Not Eligible For Lunch",168,163,97.0
"Regional School District 11","Eligible For Free Lunch","*","*","*"
"Regional School District 11","Eligible For Reduced Lunch","*","*","*"
"Regional School District 11","Not Eligible For Lunch",29,24,82.8
"Regional School District 12","Eligible For Free Lunch","*","*","*"
"Regional School District 12","Eligible For Reduced Lunch","*","*","*"
"Regional School District 12","Not Eligible For Lunch",90,78,86.7
"Regional School District 13","Eligible For Free Lunch","*","*","*"
"Regional School District 13","Not Eligible For Lunch","*","*","*"
"Regional School District 14","Eligible For Free Lunch",12,"*","*"
"Regional School District 14","Eligible For Reduced Lunch",7,"*","*"
"Regional School District 14","Not Eligible For Lunch",199,195,98.0
"Regional School District 15","Eligible For Free Lunch",11,8,72.7
"Regional School District 15","Eligible For Reduced Lunch",9,6,66.7
"Regional School District 15","Not Eligible For Lunch",369,351,95.1
"Regional School District 16","Eligible For Free Lunch",17,"*","*"
"Regional School District 16","Eligible For Reduced Lunch",7,"*","*"
"Regional School District 16","Not Eligible For Lunch",173,157,90.8
"Regional School District 17","Eligible For Free Lunch","*","*","*"
"Regional School District 17","Eligible For Reduced Lunch","*","*","*"
"Regional School District 17","Not Eligible For Lunch",174,166,95.4
"Regional School District 18","Eligible For Free Lunch","*","*","*"
"Regional School District 18","Eligible For Reduced Lunch","*","*","*"
"Regional School District 18","Not Eligible For Lunch",131,127,96.9
"Regional School District 19","Eligible For Free Lunch",19,"*","*"
"Regional School District 19","Eligible For Reduced Lunch",6,"*","*"
"Regional School District 19","Not Eligible For Lunch",259,228,88.0
"Ridgefield School District","Eligible For Free Lunch","*","*","*"
"Ridgefield School District","Eligible For Reduced Lunch","*","*","*"
"Ridgefield School District","Not Eligible For Lunch",423,410,96.9
"Rocky Hill School District","Eligible For Free Lunch","*","*","*"
"Rocky Hill School District","Eligible For Reduced Lunch","*","*","*"
"Rocky Hill School District","Not Eligible For Lunch",167,155,92.8
"Seymour School District","Eligible For Free Lunch",28,"*","*"
"Seymour School District","Eligible For Reduced Lunch",9,"*","*"
"Seymour School District","Not Eligible For Lunch",152,140,92.1
"Shelton School District","Eligible For Free Lunch",41,33,80.5
"Shelton School District","Eligible For Reduced Lunch",20,17,85.0
"Shelton School District","Not Eligible For Lunch",338,315,93.2
"Simsbury School District","Eligible For Free Lunch",13,12,92.3
"Simsbury School District","Eligible For Reduced Lunch",6,6,100.0
"Simsbury School District","Not Eligible For Lunch",339,327,96.5
"Somers School District","Eligible For Free Lunch","*","*","*"
"Somers School District","Eligible For Reduced Lunch","*","*","*"
"Somers School District","Not Eligible For Lunch",138,133,96.4
"South Windsor School District","Eligible For Free Lunch",16,10,62.5
"South Windsor School District","Eligible For Reduced Lunch",11,8,72.7
"South Windsor School District","Not Eligible For Lunch",398,376,94.5
"Southington School District","Eligible For Free Lunch",26,20,76.9
"Southington School District","Eligible For Reduced Lunch",14,14,100.0
"Southington School District","Not Eligible For Lunch",503,477,94.8
"Stafford School District","Eligible For Free Lunch",13,10,76.9
"Stafford School District","Eligible For Reduced Lunch",10,8,80.0
"Stafford School District","Not Eligible For Lunch",113,99,87.6
"Stamford Academy District","Eligible For Free Lunch",37,20,54.1
"Stamford Academy District","Eligible For Reduced Lunch","*","*","*"
"Stamford Academy District","Not Eligible For Lunch","*","*","*"
"Stamford School District","Eligible For Free Lunch",361,299,82.8
"Stamford School District","Eligible For Reduced Lunch",110,99,90.0
"Stamford School District","Not Eligible For Lunch",718,656,91.4
"Stonington School District","Eligible For Free Lunch","*","*","*"
"Stonington School District","Eligible For Reduced Lunch","*","*","*"
"Stonington School District","Not Eligible For Lunch",190,182,95.8
"Stratford School District","Eligible For Free Lunch",118,98,83.1
"Stratford School District","Eligible For Reduced Lunch",56,51,91.1
"Stratford School District","Not Eligible For Lunch",405,370,91.4
"Suffield School District","Eligible For Free Lunch","*","*","*"
"Suffield School District","Eligible For Reduced Lunch","*","*","*"
"Suffield School District","Not Eligible For Lunch",204,199,97.5
"The Bridge Academy District","Eligible For Free Lunch",18,17,94.4
"The Bridge Academy District","Eligible For Reduced Lunch","*","*","*"
"The Bridge Academy District","Not Eligible For Lunch","*","*","*"
"The Gilbert School District","Eligible For Free Lunch",13,7,53.8
"The Gilbert School District","Eligible For Reduced Lunch",8,7,87.5
"The Gilbert School District","Not Eligible For Lunch",52,46,88.5
"Thomaston School District","Eligible For Free Lunch",7,"*","*"
"Thomaston School District","Eligible For Reduced Lunch",7,"*","*"
"Thomaston School District","Not Eligible For Lunch",90,86,95.6
"Thompson School District","Eligible For Free Lunch","*","*","*"
"Thompson School District","Eligible For Reduced Lunch","*","*","*"
"Thompson School District","Not Eligible For Lunch",79,75,94.9
"Tolland School District","Eligible For Free Lunch","*","*","*"
"Tolland School District","Not Eligible For Lunch","*","*","*"
"Torrington School District","Eligible For Free Lunch",58,35,60.3
"Torrington School District","Eligible For Reduced Lunch",17,11,64.7
"Torrington School District","Not Eligible For Lunch",211,184,87.2
"Trumbull School District","Eligible For Free Lunch",12,12,100.0
"Trumbull School District","Eligible For Reduced Lunch",9,9,100.0
"Trumbull School District","Not Eligible For Lunch",481,475,98.8
"Unified School District #1","Eligible For Free Lunch",497,6,1.2
"Unified School District #1","Eligible For Reduced Lunch",22,"*","*"
"Unified School District #1","Not Eligible For Lunch",111,"*","*"
"Unified School District #2","Eligible For Free Lunch",28,14,50.0
"Unified School District #2","Eligible For Reduced Lunch","*","*","*"
"Unified School District #2","Not Eligible For Lunch","*","*","*"
"Vernon School District","Eligible For Free Lunch",54,37,68.5
"Vernon School District","Eligible For Reduced Lunch",14,10,71.4
"Vernon School District","Not Eligible For Lunch",223,198,88.8
"Wallingford School District","Eligible For Free Lunch",26,20,76.9
"Wallingford School District","Eligible For Reduced Lunch",16,12,75.0
"Wallingford School District","Not Eligible For Lunch",519,469,90.4
"Waterbury School District","Eligible For Free Lunch",748,466,62.3
"Waterbury School District","Eligible For Reduced Lunch",140,115,82.1
"Waterbury School District","Not Eligible For Lunch",415,312,75.2
"Waterford School District","Eligible For Free Lunch","*","*","*"
"Waterford School District","Eligible For Reduced Lunch","*","*","*"
"Waterford School District","Not Eligible For Lunch",254,237,93.3
"Watertown School District","Eligible For Free Lunch",20,16,80.0
"Watertown School District","Eligible For Reduced Lunch",8,7,87.5
"Watertown School District","Not Eligible For Lunch",218,199,91.3
"West Hartford School District","Eligible For Free Lunch",102,82,80.4
"West Hartford School District","Eligible For Reduced Lunch",29,22,75.9
"West Hartford School District","Not Eligible For Lunch",698,668,95.7
"West Haven School District","Eligible For Free Lunch",161,96,59.6
"West Haven School District","Eligible For Reduced Lunch",40,30,75.0
"West Haven School District","Not Eligible For Lunch",257,201,78.2
"Westbrook School District","Eligible For Free Lunch","*","*","*"
"Westbrook School District","Eligible For Reduced Lunch","*","*","*"
"Westbrook School District","Not Eligible For Lunch",71,68,95.8
"Weston School District","Eligible For Free Lunch","*","*","*"
"Weston School District","Not Eligible For Lunch","*","*","*"
"Westport School District","Eligible For Free Lunch","*","*","*"
"Westport School District","Eligible For Reduced Lunch","*","*","*"
"Westport School District","Not Eligible For Lunch",465,453,97.4
"Wethersfield School District","Eligible For Free Lunch",28,24,85.7
"Wethersfield School District","Eligible For Reduced Lunch",11,10,90.9
"Wethersfield School District","Not Eligible For Lunch",266,249,93.6
"Wilton School District","Eligible For Free Lunch","*","*","*"
"Wilton School District","Not Eligible For Lunch","*","*","*"
"Windham School District","Eligible For Free Lunch",130,67,51.5
"Windham School District","Eligible For Reduced Lunch",13,11,84.6
"Windham School District","Not Eligible For Lunch",117,100,85.5
"Windsor Locks School District","Eligible For Free Lunch",18,11,61.1
"Windsor Locks School District","Eligible For Reduced Lunch",6,6,100.0
"Windsor Locks School District","Not Eligible For Lunch",109,100,91.7
"Windsor School District","Eligible For Free Lunch",66,50,75.8
"Windsor School District","Eligible For Reduced Lunch",31,28,90.3
"Windsor School District","Not Eligible For Lunch",255,228,89.4
"Wolcott School District","Eligible For Free Lunch",21,18,85.7
"Wolcott School District","Eligible For Reduced Lunch",17,15,88.2
"Wolcott School District","Not Eligible For Lunch",188,181,96.3
"Woodstock Academy District","Eligible For Free Lunch","*","*","*"
"Woodstock Academy District","Eligible For Reduced Lunch","*","*","*"
"Woodstock Academy District","Not Eligible For Lunch",287,272,94.8

