"Five-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,,"Graduates",
"Regional School District 14","=""2140012""",218,211,96.8
"Regional School District 15","=""2150012""",389,365,93.8
"Regional School District 16","=""2160012""",197,176,89.3
"Regional School District 17","=""2170012""",180,170,94.4
"Regional School District 18","=""2180012""",135,131,97.0
"Regional School District 19","=""2190012""",284,245,86.3
"Ridgefield School District","=""1180011""",434,420,96.8
"Rocky Hill School District","=""1190011""",176,163,92.6
"Seymour School District","=""1240011""",189,164,86.8
"Shelton School District","=""1260011""",399,365,91.5
"Simsbury School District","=""1280011""",358,345,96.4
"Somers School District","=""1290011""",144,138,95.8
"South Windsor School District","=""1320011""",425,394,92.7
"Southington School District","=""1310011""",543,511,94.1
"Stafford School District","=""1340011""",136,117,86.0
"Stamford Academy District","=""2820013""",52,30,57.7
"Stamford School District","=""1350011""",1189,1054,88.6
"Stonington School District","=""1370011""",212,200,94.3
"Stratford School District","=""1380011""",579,519,89.6
"Suffield School District","=""1390011""",215,208,96.7
"The Bridge Academy District","=""2690013""",28,"*","*"
"The Gilbert School District","=""9020022""",73,60,82.2
"Thomaston School District","=""1400011""",104,97,93.3
"Thompson School District","=""1410011""",95,85,89.5
"Tolland School District","=""1420011""",224,211,94.2
"Torrington School District","=""1430011""",286,230,80.4
"Trumbull School District","=""1440011""",502,496,98.8
"Unified School District #1","=""3360015""",630,12,1.9
"Unified School District #2","=""3470015""",38,16,42.1
"Vernon School District","=""1460011""",291,245,84.2
"Wallingford School District","=""1480011""",561,501,89.3
"Waterbury School District","=""1510011""",1303,893,68.5
"Waterford School District","=""1520011""",271,251,92.6
"Watertown School District","=""1530011""",246,222,90.2
"West Hartford School District","=""1550011""",829,772,93.1
"West Haven School District","=""1560011""",458,327,71.4
"Westbrook School District","=""1540011""",75,71,94.7
"Weston School District","=""1570011""",195,"*","*"
"Westport School District","=""1580011""",475,462,97.3
"Wethersfield School District","=""1590011""",305,283,92.8
"Wilton School District","=""1610011""",306,303,99.0
"Windham School District","=""1630011""",260,178,68.5
"Windsor Locks School District","=""1650011""",133,117,88.0
"Windsor School District","=""1640011""",352,306,86.9
"Wolcott School District","=""1660011""",226,214,94.7
"Woodstock Academy District","=""9030022""",299,284,95.0

