"Five-Year Graduation Rates, Trend"
"All Districts, All Students"

"","Graduates",,,
"Wallingford School District",89.3,92.9,92.7,92.8
"Waterbury School District",68.5,66.9,68.6,71.3
"Waterford School District",92.6,92.6,92.1,93.1
"Watertown School District",90.2,92.3,89.0,94.3
"West Hartford School District",93.1,95.5,95.0,95.5
"West Haven School District",71.4,74.9,71.2,77.9
"Westbrook School District",94.7,95.1,96.2,95.8
"Weston School District",99.0,99.5,99.0,97.2
"Westport School District",97.3,98.1,99.1,98.9
"Wethersfield School District",92.8,92.1,91.8,94.7
"Wilton School District",99.0,99.0,96.6,98.3
"Windham School District",68.5,76.0,82.0,81.5
"Windsor Locks School District",88.0,92.6,91.4,94.2
"Windsor School District",86.9,89.3,90.4,93.2
"Wolcott School District",94.7,95.0,94.6,96.3
"Woodstock Academy District",95.0,95.8,96.1,97.8

