"Five-Year Graduation Rates, 2013-14"
"All Districts, Special Education Status"

"",,,"Graduates",
"Plainville School District","Non-Special Education",152,143,94.1
"Plainville School District","Special Education",25,18,72.0
"Plymouth School District","Non-Special Education",116,109,94.0
"Plymouth School District","Special Education",22,13,59.1
"Portland School District","Non-Special Education",101,97,96.0
"Portland School District","Special Education",12,10,83.3
"Putnam School District","Non-Special Education",52,49,94.2
"Putnam School District","Special Education",15,11,73.3
"Regional School District 01","Non-Special Education",103,96,93.2
"Regional School District 01","Special Education",18,17,94.4
"Regional School District 04","Non-Special Education",117,115,98.3
"Regional School District 04","Special Education",19,18,94.7
"Regional School District 05","Non-Special Education",363,358,98.6
"Regional School District 05","Special Education",56,49,87.5
"Regional School District 06","Non-Special Education",77,73,94.8
"Regional School District 06","Special Education",17,15,88.2
"Regional School District 07","Non-Special Education",186,181,97.3
"Regional School District 07","Special Education",29,18,62.1
"Regional School District 08","Non-Special Education",250,243,97.2
"Regional School District 08","Special Education",46,40,87.0
"Regional School District 09","Non-Special Education",218,214,98.2
"Regional School District 09","Special Education",34,32,94.1
"Regional School District 10","Non-Special Education",186,182,97.8
"Regional School District 10","Special Education",30,25,83.3
"Regional School District 11","Non-Special Education","*","*","*"
"Regional School District 11","Special Education","*","*","*"
"Regional School District 12","Non-Special Education",63,63,100.0
"Regional School District 12","Special Education",18,14,77.8
"Regional School District 13","Non-Special Education",110,108,98.2
"Regional School District 13","Special Education",26,20,76.9
"Regional School District 14","Non-Special Education",187,185,98.9
"Regional School District 14","Special Education",23,20,87.0
"Regional School District 15","Non-Special Education",283,280,98.9
"Regional School District 15","Special Education",46,42,91.3
"Regional School District 16","Non-Special Education",158,155,98.1
"Regional School District 16","Special Education",23,19,82.6
"Regional School District 17","Non-Special Education",124,124,100.0
"Regional School District 17","Special Education",29,27,93.1
"Regional School District 18","Non-Special Education",100,99,99.0
"Regional School District 18","Special Education",7,6,85.7
"Regional School District 19","Non-Special Education",247,241,97.6
"Regional School District 19","Special Education",44,38,86.4
"Ridgefield School District","Non-Special Education",417,413,99.0
"Ridgefield School District","Special Education",41,36,87.8
"Rocky Hill School District","Non-Special Education",167,157,94.0
"Rocky Hill School District","Special Education",14,13,92.9
"Seymour School District","Non-Special Education",122,112,91.8
"Seymour School District","Special Education",14,10,71.4
"Shelton School District","Non-Special Education",337,324,96.1
"Shelton School District","Special Education",32,20,62.5
"Simsbury School District","Non-Special Education",346,340,98.3
"Simsbury School District","Special Education",60,43,71.7
"Somers School District","Non-Special Education",115,114,99.1
"Somers School District","Special Education",15,13,86.7
"South Windsor School District","Non-Special Education",292,289,99.0
"South Windsor School District","Special Education",54,43,79.6
"Southington School District","Non-Special Education",440,434,98.6
"Southington School District","Special Education",71,56,78.9
"Stafford School District","Non-Special Education",125,121,96.8
"Stafford School District","Special Education",16,13,81.3
"Stamford Academy District","Non-Special Education",45,"*","*"
"Stamford Academy District","Special Education",10,"*","*"
"Stamford School District","Non-Special Education",1046,983,94.0
"Stamford School District","Special Education",146,124,84.9
"Stonington School District","Non-Special Education",161,158,98.1
"Stonington School District","Special Education",16,9,56.3
"Stratford School District","Non-Special Education",582,560,96.2
"Stratford School District","Special Education",61,49,80.3
"Suffield School District","Non-Special Education",188,184,97.9
"Suffield School District","Special Education",26,21,80.8
"The Bridge Academy District","Non-Special Education","*","*","*"
"The Bridge Academy District","Special Education","*","*","*"
"The Gilbert School District","Non-Special Education",79,74,93.7
"The Gilbert School District","Special Education",10,7,70.0
"Thomaston School District","Non-Special Education",60,58,96.7
"Thomaston School District","Special Education",12,9,75.0
"Thompson School District","Non-Special Education",75,70,93.3
"Thompson School District","Special Education",10,8,80.0
"Tolland School District","Non-Special Education",204,193,94.6
"Tolland School District","Special Education",24,18,75.0
"Torrington School District","Non-Special Education",229,208,90.8
"Torrington School District","Special Education",36,28,77.8
"Trumbull School District","Non-Special Education",500,493,98.6
"Trumbull School District","Special Education",55,43,78.2
"Unified School District #1","Non-Special Education",283,"*","*"
"Unified School District #1","Special Education",140,"*","*"
"Unified School District #2","Non-Special Education",22,9,40.9
"Unified School District #2","Special Education",22,12,54.5
"Vernon School District","Non-Special Education",255,229,89.8
"Vernon School District","Special Education",40,25,62.5
"Wallingford School District","Non-Special Education",416,395,95.0
"Wallingford School District","Special Education",69,55,79.7
"Waterbury School District","Non-Special Education",1114,823,73.9
"Waterbury School District","Special Education",229,134,58.5
"Waterford School District","Non-Special Education",181,172,95.0
"Waterford School District","Special Education",21,16,76.2
"Watertown School District","Non-Special Education",203,197,97.0
"Watertown School District","Special Education",25,18,72.0
"West Hartford School District","Non-Special Education",649,638,98.3
"West Hartford School District","Special Education",91,69,75.8
"West Haven School District","Non-Special Education",374,303,81.0
"West Haven School District","Special Education",46,24,52.2
"Westbrook School District","Non-Special Education","*","*","*"
"Westbrook School District","Special Education","*","*","*"
"Weston School District","Non-Special Education",162,161,99.4
"Weston School District","Special Education",18,14,77.8
"Westport School District","Non-Special Education",386,384,99.5
"Westport School District","Special Education",64,61,95.3
"Wethersfield School District","Non-Special Education",277,267,96.4
"Wethersfield School District","Special Education",27,21,77.8
"Wilton School District","Non-Special Education",260,259,99.6
"Wilton School District","Special Education",41,37,90.2
"Windham School District","Non-Special Education",144,122,84.7
"Windham School District","Special Education",24,15,62.5
"Windsor Locks School District","Non-Special Education",125,121,96.8
"Windsor Locks School District","Special Education",12,8,66.7
"Windsor School District","Non-Special Education",252,240,95.2
"Windsor School District","Special Education",44,36,81.8
"Wolcott School District","Non-Special Education",225,219,97.3
"Wolcott School District","Special Education",17,14,82.4
"Woodstock Academy District","Non-Special Education",255,250,98.0
"Woodstock Academy District","Special Education",20,19,95.0

