"Student Counts by School and Grade"
"All Districts, All Schools"
"Trend"

"",,,,"Grade",,,,,,,,,,,,,,
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",0,0,0,0,0,0,2383,2479,2526,2578,0,0,0,0,9966
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,0,0,0,0,0,0,0,0,2482,2587,2620,2701,10390
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",0,0,0,0,0,0,0,0,0,0,9,24,29,30,92
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",138,148,149,118,78,39,0,0,0,0,0,0,0,0,670
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",339,824,791,701,648,618,551,514,483,469,0,0,0,0,5938
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",453,522,575,538,529,508,432,401,0,0,0,0,0,0,3958
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",123,547,518,479,435,403,368,292,159,128,0,0,0,0,3452
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",357,1080,1119,1073,1060,1044,999,1066,1617,1699,0,0,0,0,11114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",55,47,55,68,62,53,44,43,31,30,30,27,564
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",455,611,598,568,536,528,462,345,0,0,0,0,0,0,4103
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",1194,1179,1194,1223,1318,1248,1222,1271,1113,"*",0,0,0,11380
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",33,425,446,479,484,508,472,383,138,89,0,0,0,0,3457
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",428,1101,1108,1027,907,822,750,595,462,"*","*",0,0,0,7579
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",65,499,470,397,400,362,353,318,565,572,0,0,0,0,4001
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",651,319,272,272,273,224,234,266,227,186,0,0,0,0,2924
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",158,416,385,373,365,340,292,257,467,506,0,0,0,0,3559
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",65,415,431,422,443,400,340,283,0,0,0,0,0,0,2799
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",27,54,50,37,29,26,28,27,0,0,0,0,0,0,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",159,994,966,844,847,779,769,718,786,735,0,0,0,0,7597
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",177,471,497,489,452,438,422,339,0,0,0,0,0,0,3285
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",651,319,272,272,273,224,234,266,227,186,0,0,0,0,2924
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",424,650,691,635,615,623,557,560,727,681,0,0,0,0,6163
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",85,278,277,250,247,195,178,160,246,274,0,0,0,0,2190
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",209,786,849,879,880,908,854,781,1236,1325,0,0,0,0,8707
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""",18,51,33,25,15,45,0,0,0,0,0,0,0,0,187
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""","*",0,0,0,0,0,0,0,0,0,0,0,0,0,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",292,562,566,555,562,546,522,485,469,463,0,0,0,0,5022
"Bridgeport School District","=""0150011""","Read School","=""0152511""",299,1016,1015,941,920,914,877,838,929,1003,0,0,0,0,8752
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",380,730,788,678,545,513,427,488,557,553,0,0,0,0,5659
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",2334,179,0,0,0,0,0,0,0,0,0,0,0,0,2513
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",213,603,653,596,598,561,507,469,440,431,0,0,0,0,5071
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",36,714,750,720,714,777,791,764,858,909,0,0,0,0,7033
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",0,741,694,671,662,647,608,647,962,1001,0,0,0,0,6633
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,448,429,430,426,430,376,298,0,0,0,0,0,0,2837
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,459,467,485,472,476,471,468,486,487,0,0,0,0,4271
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",0,411,434,434,427,462,432,431,516,524,0,0,0,0,4071
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,805,801,805,803,810,751,"*","*",0,0,0,0,0,5335
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,472,476,498,503,508,511,539,552,541,0,0,0,0,4600
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,0,0,0,0,0,0,"*",82,110,"*",0,0,0,199
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,0,0,0,0,0,0,7,23,30,23,10,9,102
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",0,0,0,0,0,0,0,0,11,12,25,"*","*",0,57
"Bridgeport School District","=""0150011""","The University School","=""0159111""",0,0,0,0,0,0,0,0,0,"*","*",40,28,15,98
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",0,0,0,0,0,0,0,0,0,0,602,482,317,183,1584
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",0,0,0,0,0,0,0,0,0,0,3823,2926,2364,2043,11156
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",0,0,0,0,0,0,0,0,0,0,567,479,311,200,1557
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",0,0,0,0,0,0,0,0,0,0,403,274,181,90,948
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",0,0,0,0,0,0,0,0,0,0,15,28,21,7,71
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",0,0,0,0,0,0,0,0,0,0,5583,5134,4865,4425,20007
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",0,0,0,0,0,0,0,0,0,0,3714,3423,3314,2740,13191
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",0,0,0,0,0,0,0,0,0,0,582,493,324,196,1595
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",0,0,0,0,0,0,0,0,0,0,13,39,34,12,98
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",0,0,0,0,0,0,0,0,0,0,7,0,0,15,22
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",223,0,0,0,0,0,0,0,0,0,0,0,0,0,223
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",134,287,294,276,266,271,265,0,0,0,0,0,0,0,1793
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",20,565,593,603,616,602,587,0,0,0,0,0,0,0,3586
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",601,695,710,695,688,657,675,0,0,0,0,0,0,0,4721
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",295,764,757,746,766,772,773,497,488,484,0,0,0,0,6342
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",170,597,609,608,637,687,677,0,0,0,0,0,0,0,3985
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",632,518,513,537,547,557,557,0,0,0,0,0,0,0,3861
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",23,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"Bristol School District","=""0170011""","South Side School","=""0171111""",393,744,837,846,843,863,878,0,0,0,0,0,0,0,5404
"Bristol School District","=""0170011""","Stafford School","=""0171211""",479,741,751,711,703,741,739,0,0,0,0,0,0,0,4865
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",119,470,502,489,520,523,525,492,465,467,0,0,0,0,4572
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",0,102,133,117,123,122,134,0,0,0,0,0,0,0,731
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""",0,"*","*","*",0,0,"*",0,0,0,0,0,0,0,8
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",0,"*","*","*","*","*",9,0,0,0,0,0,0,0,24
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",0,290,309,288,296,310,341,0,0,0,0,0,0,0,1834
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",0,"*","*",6,0,0,0,0,0,0,0,0,0,0,16
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,"*","*","*",0,"*",0,0,0,0,0,0,0,0,11
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",0,"*","*",11,8,8,7,0,0,0,0,0,0,0,43
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",0,0,0,"*","*",0,0,0,0,0,0,0,0,0,14
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",0,0,0,"*","*","*","*",0,0,0,0,0,0,0,15
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,0,0,"*",13,27,24,31,27,31,28,13,"*",200
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""",0,0,0,0,"*","*","*",0,0,0,0,0,0,0,10
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,0,0,0,"*","*",9,0,0,0,0,0,0,0,19
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",0,0,0,0,0,0,0,"*","*",10,0,0,0,0,21
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",0,0,0,0,0,0,0,2692,2692,2725,0,0,0,0,8109
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",0,0,0,0,0,0,0,14,12,6,0,0,0,0,32
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",0,0,0,0,0,0,0,"*","*",10,0,0,0,0,21
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,"*"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",0,0,0,0,0,0,0,873,874,909,0,0,0,0,2656
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""",0,0,0,0,0,0,0,6,"*","*",0,0,0,0,12
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",0,0,0,0,0,0,0,"*","*",6,0,0,0,0,17
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",0,0,0,0,0,0,0,1660,1702,1725,0,0,0,0,5087
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",0,0,0,0,0,0,0,0,0,0,3646,3095,3119,3011,12871
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,0,0,0,0,0,0,0,0,0,3536,3114,3102,3074,12826
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",0,0,0,0,0,0,0,0,0,0,34,40,39,25,138
"Bristol School District","=""0170011""","ACCESS","=""0170211""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,0,0,0,0,0,0,0,0,0,0,0,0,102,102
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",378,1653,1834,0,0,0,0,0,0,0,0,0,0,0,3865
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",0,0,0,1861,1978,2034,0,0,0,0,0,0,0,0,5873
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,0,0,0,0,0,2111,2207,2272,2316,0,0,0,0,8906
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,0,0,0,0,0,0,0,0,0,2286,2363,2395,2420,9464
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",1080,845,886,861,907,900,0,0,0,0,0,0,0,0,5479
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",0,0,0,0,0,"*",928,967,969,975,"*",0,0,0,3843
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",377,472,492,494,510,521,0,0,0,0,0,0,0,0,2866
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,0,0,0,0,0,548,560,574,595,0,0,0,0,2277
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",277,1129,1216,1260,1302,0,0,0,0,0,0,0,0,0,5184
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,0,0,0,1332,1350,1371,0,0,0,0,0,0,4053
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,0,0,0,0,0,0,1374,1363,0,0,0,0,2737
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,0,0,0,0,0,0,0,0,1306,1277,1267,1216,5066
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",9
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",505,280,221,157,88,0,0,0,0,0,0,0,0,0,1251
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",233,0,0,0,0,0,0,397,358,378,536,403,293,175,2773
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",509,302,250,199,129,64,0,0,0,0,0,0,0,0,1453
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",688,361,307,240,172,96,34,0,0,0,0,0,0,0,1898
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",233,0,0,0,0,0,0,397,358,378,536,403,293,175,2773
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",688,361,307,240,172,96,34,0,0,0,0,0,0,0,1898
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",305,522,541,550,532,510,465,0,0,0,0,0,0,0,3425
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",898,522,455,393,309,259,199,0,0,0,0,0,0,0,3035
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",27,12,14,12,11,14,16,15,42,85,166,169,147,156,886
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",233,0,0,0,0,0,0,397,358,378,536,403,293,175,2773
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",829,445,450,426,410,404,367,95,0,0,0,0,0,0,3426
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",645,354,342,324,303,239,176,0,0,0,0,0,0,0,2383
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",980,525,443,367,290,211,151,0,0,0,0,0,0,0,2967
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",106,39,49,46,46,56,52,48,38,29,20,"*","*",0,538
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","*","*",19,34,42,64,77,86,105,113,110,124,126,422,1329
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",458,33,16,15,14,8,9,10,12,14,18,22,25,22,676
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",739,637,632,633,606,575,523,0,0,0,0,0,0,0,4345
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,"*","*","*","*","*","*","*","*","*","*",6,8,17,60
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",0,8,11,"*","*",0,0,0,0,0,0,0,0,0,26
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",0,0,0,"*","*",10,6,0,0,0,0,0,0,0,21
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,0,0,0,0,0,0,662,699,695,748,537,393,240,3974
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,0,0,0,0,0,"*","*",14,30,43,36,45,180
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,0,0,0,0,0,0,563,535,405,0,0,0,0,1503
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",0,0,0,0,0,0,0,1068,1102,1121,1090,997,866,846,7090
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",0,0,0,0,0,0,0,445,574,492,679,492,323,227,3232
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""",0,0,0,0,0,0,0,"*",0,0,0,"*",0,"*",6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""",0,0,0,0,0,0,0,"*",0,0,0,0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",0,0,0,0,0,0,0,2235,2178,1991,0,0,0,0,6404
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,0,0,0,0,0,"*","*",11,23,18,15,73
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""",0,0,0,0,0,0,0,0,0,"*",0,0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",0,0,0,0,0,0,0,0,0,0,1083,946,825,608,3462
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",0,0,0,0,0,0,0,0,0,0,"*","*","*",12,18
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",0,0,0,0,0,0,0,0,0,0,530,410,280,175,1395
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",0,0,0,0,0,0,0,0,0,0,0,277,406,356,1039
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",276,228,220,208,203,210,230,235,0,0,0,0,0,0,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",293,124,82,47,0,0,0,0,0,0,0,0,0,0,546
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",759,2166,0,0,0,0,0,0,0,0,0,0,0,0,2925
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,171,1131,1202,1273,1352,1410,1457,0,0,0,0,0,0,7996
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,111,461,478,497,524,542,565,0,0,0,0,0,0,3178
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,165,659,687,739,777,777,812,0,0,0,0,0,0,4616
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,0,790,816,828,880,905,934,0,0,0,0,0,0,5153
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",0,0,0,0,0,0,0,0,3855,3923,0,0,0,0,7778
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",0,0,0,0,0,0,0,0,0,0,3786,3839,3801,3869,15295
