"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2011-12"

"",,,,"Special Education Status",,
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",495,48,543
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",565,94,659
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",911,162,1073
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",335,53,388
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",276,29,305
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",957,109,1066
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",51
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",382,31,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1954,227,2181
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1007,139,1146
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",272,18,290
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",472,51,523
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",372,59,431
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",554,61,615
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",301,11,312
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",307,37,344
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",222,29,251
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",744,113,857
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",278,32,310
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",304,31,335
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1118,191,1309
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",417,12,429
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",368,48,416
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",301,11,312
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",546,124,670
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",390,64,454
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",780,117,897
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",439,71,510
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","*","*",39
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",451,33,484
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",474,49,523
"Bridgeport School District","=""0150011""","Read School","=""0152511""",771,79,850
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",452,82,534
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",113,116,229
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",396,87,483
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",683,46,729
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,17,17
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1134,183,1317
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1119,189,1308
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",693,124,817
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",305,43,348
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,15,15
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",363,29,392
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",484,76,560
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",308,29,337
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",349,74,423
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",346,41,387
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",441,71,512
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",321,49,370
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",479,81,560
"Bristol School District","=""0170011""","South Side School","=""0171111""",521,72,593
"Bristol School District","=""0170011""","Stafford School","=""0171211""",386,107,493
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",906,60,966
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",350,59,409
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",537,54,591
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",784,87,871
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",485,49,534
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",339,57,396
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",73,13,86
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",271,27,298
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",193,24,217
"Canton School District","=""0230011""","Canton High School","=""0236111""",475,47,522
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",373,35,408
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",229,29,258
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",513,37,550
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",356,34,390
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",264,14,278
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",140,10,150
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",264,14,278
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",140,10,150
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",24
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",246,13,259
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",220,26,246
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",368,32,400
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,"*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",284,27,311
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",47
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,8,8
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",264,14,278
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",666,53,719
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",315,35,350
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",253,18,271
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",322,67,389
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",254,30,284
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",7,51,58
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,147,147
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",56,41,97
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",608,76,684
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",389,52,441
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",164,18,182
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",276,18,294
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1393,156,1549
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",278,58,336
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",694,80,774
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",496,41,537
"Cheshire School District","=""0250011""","Highland School","=""0250411""",735,60,795
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",7,18,25
"Cheshire School District","=""0250011""","Norton School","=""0250511""",440,40,480
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",228,32,260
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",283,31,314
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",404,62,466
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",596,62,658
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",504,61,565
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",881,102,983
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",574,106,680
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",586,68,654
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",612,88,700
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",87,12,99
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",482,42,524
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",150,15,165
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",699,56,755
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",857,17,874
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",575,43,618
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",478,43,521
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",503,66,569
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",500,46,546
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",728,44,772
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",494,46,540
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",544,94,638
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",640,33,673
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",604,52,656
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",619,50,669
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",848,37,885
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",532,75,607
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",750,11,761
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",525,47,572
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,90,90
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,51,51
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,11,11
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","*","*",51
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",436,27,463
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,147,147
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",91,15,106
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",409,43,452
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,23,23
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",352,28,380
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",452,72,524
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",367,34,401
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",494,52,546
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",449,51,500
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",430,50,480
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",408,48,456
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",72,19,91
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",965,157,1122
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2612,277,2889
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",336,42,378
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",269,45,314
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",354,42,396
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",350,22,372
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",385,30,415
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",75,73,148
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",379,47,426
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",365,41,406
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",389,37,426
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",303,63,366
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",987,123,1110
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",388,31,419
"Danbury School District","=""0340011""","South Street School","=""0341011""",321,22,343
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",432,35,467
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",371,18,389
"Darien School District","=""0350011""","Darien High School","=""0356111""",1167,148,1315
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",491,79,570
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",369,50,419
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1020,134,1154
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",399,66,465
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",362,47,409
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",412,71,483
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",322,35,357
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",313,38,351
"Derby School District","=""0370011""","Derby High School","=""0376111""",323,36,359
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",297,37,334
"Derby School District","=""0370011""","Irving School","=""0370411""",362,40,402
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",223,15,238
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",236,27,263
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",187,29,216
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",116,13,129
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",317,54,371
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",356,50,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",433,64,497
"East Hampton School District","=""0420011""","Center School","=""0420311""",280,23,303
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",517,33,550
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",432,37,469
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",565,56,621
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,"*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",245,29,274
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",188
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",362,39,401
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",330,51,381
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",272,41,313
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1499,233,1732
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",879,172,1051
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",325,36,361
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",256,41,297
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",295,53,348
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",464,83,547
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",256,31,287
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",121,30,151
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",121,30,151
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",361,43,404
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",180,53,233
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",14,172,186
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",273,12,285
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",229,37,266
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",257,48,305
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",219,32,251
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",792,93,885
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",172,24,196
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",568,79,647
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",138,28,166
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",215,21,236
"East Haven School District","=""0440011""","Pathways","=""0449011""","*","*",36
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1012,150,1162
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",753,101,854
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",328,34,362
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",28,23,51
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",300,38,338
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",192,19,211
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",473,59,532
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",329,45,374
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",326,52,378
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",114,12,126
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",114,12,126
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",0,59,59
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",0,59,59
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",96,14,110
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",149,27,176
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",363,28,391
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",612,54,666
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",185,12,197
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",0,24,24
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",185,12,197
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",0,24,24
"Ellington School District","=""0480011""","Center School","=""0480111""",391,57,448
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",204,13,217
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",714,86,800
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",379,42,421
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",369,50,419
"Ellington School District","=""0480011""","Windermere School","=""0480611""",402,40,442
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",572,28,600
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",353,48,401
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",359,57,416
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",668,76,744
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",265,35,300
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",0,10,10
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",915,143,1058
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",285,81,366
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",98,6,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",319,43,362
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",1063,138,1201
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",225,33,258
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",369,64,433
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",490,68,558
"Explorations District","=""2720013""","Explorations","=""2726113""",57,17,74
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",402,41,443
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",255,36,291
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",45,85,130
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1377,160,1537
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1235,118,1353
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",684,85,769
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",314,38,352
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",322,39,361
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",406,47,453
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",408,51,459
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",436,49,485
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",487,55,542
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",365,54,419
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",895,102,997
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",433,23,456
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",457,54,511
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",683,73,756
"Farmington School District","=""0520011""","East Farms School","=""0520411""",426,38,464
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",45,24,69
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1183,110,1293
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",583,69,652
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",315,26,341
"Farmington School District","=""0520011""","Union School","=""0520111""",279,28,307
"Farmington School District","=""0520011""","West District School","=""0520311""",309,38,347
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",515,60,575
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",180,24,204
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",490,55,545
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",280,40,320
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",460,46,506
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1986,218,2204
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",439,27,466
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",433,48,481
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",405,46,451
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",596,50,646
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",992,84,1076
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",362,30,392
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",704,52,756
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",322,34,356
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""",292,35,327
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",292,35,327
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",301,26,327
