"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2013-14"

"",,,,"Special Education Status",,
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",204,16,220
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",292,26,318
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*",13
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",203,28,231
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",285,36,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",472,56,528
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",308,26,334
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",214,29,243
"Branford School District","=""0140011""","Branford High School","=""0146111""",922,128,1050
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",804,138,942
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",17,19,36
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",347,27,374
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",356,44,400
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",387,33,420
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",109,6,115
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",777,58,835
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",221,14,235
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",501,125,626
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",919,201,1120
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",332,44,376
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",215,14,229
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",354,52,406
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1021,106,1127
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",57
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",96,20,116
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",369,44,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1609,229,1838
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1044,129,1173
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",315,25,340
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",798,88,886
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",353,60,413
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",651,86,737
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",270,33,303
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",214,37,251
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",730,113,843
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",257,18,275
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",294,38,332
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",924,181,1105
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",399,23,422
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",340,47,387
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",222,14,236
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",485,26,511
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",526,129,655
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",780,124,904
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",476,63,539
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",414,35,449
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",443,48,491
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",47,10,57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",775,64,839
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",510,54,564
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",162,142,304
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",442,72,514
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",630,55,685
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,14,14
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1048,194,1242
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1096,203,1299
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",598,120,718
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,13,13
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",311,44,355
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",356,68,424
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",785,105,890
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",329,68,397
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",372,65,437
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",376,77,453
"Bristol School District","=""0170011""","South Side School","=""0171111""",423,80,503
"Bristol School District","=""0170011""","Stafford School","=""0171211""",405,99,504
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",834,111,945
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",809,92,901
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",332,48,380
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",553,71,624
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",759,100,859
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",489,56,545
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",333,41,374
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",66,11,77
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",198,27,225
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",215,18,233
"Canton School District","=""0230011""","Canton High School","=""0236111""",442,57,499
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",390,44,434
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",244,21,265
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",457,33,490
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",498,64,562
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",202,20,222
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",335,26,361
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",201,16,217
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",264,18,282
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",22
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",387,23,410
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",397,41,438
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",272,55,327
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,"*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",383,32,415
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",53
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,8,8
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",660,62,722
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",285,57,342
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",375,30,405
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",330,74,404
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",335,57,392
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",10,54,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,145,145
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",40,43,83
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,8,8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",164,25,189
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",585,75,660
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",369,72,441
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",160,23,183
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",274,24,298
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1380,158,1538
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",242,51,293
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",685,62,747
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",482,47,529
"Cheshire School District","=""0250011""","Highland School","=""0250411""",673,67,740
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",10,10,20
"Cheshire School District","=""0250011""","Norton School","=""0250511""",388,41,429
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",194,34,228
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",263,33,296
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",414,48,462
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",573,65,638
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",506,52,558
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",788,112,900
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",472,79,551
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",519,95,614
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",591,77,668
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",84,15,99
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",421,46,467
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",149,31,180
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",735,66,801
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",786,19,805
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",591,55,646
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",489,53,542
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",467,68,535
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",511,56,567
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",750,51,801
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",531,54,585
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",569,68,637
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",615,52,667
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",638,42,680
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",594,53,647
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",782,54,836
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",550,106,656
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",728,15,743
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",482,68,550
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,94,94
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,51,51
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,12,12
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","*","*",54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",429,42,471
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,140,140
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",88,17,105
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",350,43,393
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,20,20
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",345,32,377
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",444,74,518
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",334,43,377
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",491,58,549
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",409,45,454
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",427,41,468
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",432,45,477
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",64,19,83
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",927,165,1092
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",92,47,139
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2528,350,2878
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",405,30,435
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",306,50,356
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",394,75,469
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",336,34,370
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",390,27,417
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",363,49,412
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",415,53,468
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",397,36,433
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",304,72,376
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",1055,145,1200
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",390,26,416
"Danbury School District","=""0340011""","South Street School","=""0341011""",354,21,375
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",398,34,432
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",407,16,423
"Darien School District","=""0350011""","Darien High School","=""0356111""",1207,147,1354
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",507,58,565
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",414,40,454
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",998,130,1128
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",415,43,458
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",398,54,452
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",433,59,492
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",290,40,330
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",329,47,376
"Derby School District","=""0370011""","Derby High School","=""0376111""",331,50,381
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",318,46,364
"Derby School District","=""0370011""","Irving School","=""0370411""",327,51,378
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",175,19,194
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",234,25,259
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",189,19,208
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",181,26,207
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",276,50,326
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",324,48,372
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",413,75,488
"East Hampton School District","=""0420011""","Center School","=""0420311""",269,26,295
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",487,33,520
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",390,33,423
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",566,60,626
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",267,29,296
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",197,0,197
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",333,31,364
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",355,47,402
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",475,58,533
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1441,241,1682
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",893,208,1101
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",312,31,343
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",289,33,322
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",243,58,301
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",429,69,498
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",268,36,304
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",77,28,105
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",221,32,253
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",184,47,231
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",13,186,199
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",241,28,269
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",191,24,215
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",289,40,329
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",179,23,202
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",789,118,907
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",156,17,173
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",499,72,571
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",131,21,152
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",176,17,193
"East Haven School District","=""0440011""","Pathways","=""0449011""","*","*",40
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",926,137,1063
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",752,123,875
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",319,35,354
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",20,21,41
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",299,40,339
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",175,15,190
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",438,68,506
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",290,58,348
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",289,56,345
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",126,18,144
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*",95
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",100,27,127
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",129,23,152
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",325,26,351
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",549,61,610
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",189,0,189
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*","*",40
"Ellington School District","=""0480011""","Center School","=""0480111""",341,52,393
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",187,16,203
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",707,90,797
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",361,48,409
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",373,43,416
"Ellington School District","=""0480011""","Windermere School","=""0480611""",390,49,439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",581,43,624
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",288,48,336
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",320,64,384
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",616,91,707
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",255,33,288
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",0,15,15
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",809,109,918
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",270,84,354
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",92,12,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",301,39,340
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",975,146,1121
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",195,26,221
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",364,54,418
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",430,78,508
"Explorations District","=""2720013""","Explorations","=""2726113""",56,27,83
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",412,41,453
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",264,42,306
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",36,74,110
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1352,157,1509
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1307,152,1459
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",827,99,926
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",365,33,398
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",295,32,327
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",415,43,458
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",384,45,429
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",408,36,444
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",480,46,526
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",362,37,399
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",755,105,860
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",427,30,457
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",446,51,497
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",618,80,698
"Farmington School District","=""0520011""","East Farms School","=""0520411""",404,29,433
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",46,30,76
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1175,139,1314
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",514,57,571
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",312,26,338
"Farmington School District","=""0520011""","Union School","=""0520111""",287,29,316
"Farmington School District","=""0520011""","West District School","=""0520311""",302,39,341
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",542,78,620
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",157,24,181
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",433,46,479
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",255,39,294
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",463,46,509
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1955,185,2140
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",417,24,441
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",397,41,438
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",0,38,38
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",382,31,413
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",550,59,609
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",942,92,1034
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",353,37,390
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",665,59,724
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",304,28,332
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",283,33,316
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",261,27,288
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",537,58,595
