"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2010-11"

"",,,,"Special Education Status",,
"Branford School District","=""0140011""","Branford High School","=""0146111""",976,122,1098
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",892,148,1040
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",17,36,53
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",329,39,368
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",377,49,426
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",383,48,431
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",379,30,409
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",544,88,632
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",998,173,1171
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",325,45,370
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",255,28,283
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1004,110,1114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",50
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",377,62,439
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2078,225,2303
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",947,116,1063
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",311,23,334
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",583,80,663
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",351,57,408
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",534,62,596
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",278,37,315
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",230,25,255
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",767,101,868
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",276,30,306
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",285,31,316
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1197,197,1394
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",419,12,431
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",404,59,463
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*","*",130
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",559,95,654
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",377,49,426
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",747,107,854
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",462,81,543
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","*","*",27
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",435,22,457
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""",0,"*","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",10
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",449,62,511
"Bridgeport School District","=""0150011""","Read School","=""0152511""",750,72,822
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",384,78,462
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",124,122,246
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",449,88,537
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",664,55,719
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,27,27
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1143,167,1310
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1157,195,1352
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",750,131,881
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",294,49,343
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,16,16
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",371,25,396
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",451,69,520
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",311,43,354
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",359,61,420
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",332,34,366
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",454,61,515
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",333,47,380
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",489,74,563
"Bristol School District","=""0170011""","South Side School","=""0171111""",540,70,610
"Bristol School District","=""0170011""","Stafford School","=""0171211""",425,119,544
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",940,56,996
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",347,53,400
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",525,58,583
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",815,75,890
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",516,46,562
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",334,51,385
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",73,13,86
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",284,34,318
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",181,25,206
"Canton School District","=""0230011""","Canton High School","=""0236111""",465,50,515
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",374,31,405
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",240,26,266
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",548,43,591
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",203,11,214
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",170,9,179
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",20,0,20
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",21
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",243,19,262
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",256,28,284
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",348,24,372
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,"*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",224,20,244
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",46
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,9,9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",666,45,711
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",309,28,337
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",244,49,293
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",237,18,255
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",7,45,52
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,151,151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",51,52,103
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",593,65,658
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",388,42,430
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",167,20,187
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",213,12,225
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",275,25,300
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1372,144,1516
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",286,57,343
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",702,84,786
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",482,35,517
"Cheshire School District","=""0250011""","Highland School","=""0250411""",750,77,827
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",8,14,22
"Cheshire School District","=""0250011""","Norton School","=""0250511""",453,34,487
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",243,32,275
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",272,32,304
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",423,69,492
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",617,66,683
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",476,81,557
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",890,97,987
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",594,104,698
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",619,69,688
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",611,94,705
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",95,17,112
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",490,49,539
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",143,20,163
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",682,44,726
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",857,15,872
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",546,50,596
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",499,40,539
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",532,51,583
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",491,44,535
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",735,59,794
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",516,42,558
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",540,100,640
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",624,34,658
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",601,45,646
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",655,54,709
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",824,45,869
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",525,74,599
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",736,9,745
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",538,36,574
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,82,82
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,53,53
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,12,12
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","*","*",53
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",425,27,452
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,135,135
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",100,15,115
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",413,49,462
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,13,13
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",370,21,391
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",471,87,558
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",376,35,411
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",535,53,588
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",426,49,475
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",438,51,489
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",423,42,465
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",69,11,80
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",955,159,1114
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2625,273,2898
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",348,48,396
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",257,42,299
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",343,45,388
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",336,38,374
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",388,27,415
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",69,65,134
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",359,43,402
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",308,34,342
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",388,37,425
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",286,57,343
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",958,136,1094
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",383,26,409
"Danbury School District","=""0340011""","South Street School","=""0341011""",360,28,388
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",412,40,452
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",364,22,386
"Darien School District","=""0350011""","Darien High School","=""0356111""",1171,144,1315
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",513,81,594
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",392,47,439
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1040,119,1159
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",416,56,472
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",377,42,419
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",393,51,444
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",321,30,351
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",336,31,367
"Derby School District","=""0370011""","Derby High School","=""0376111""",352,33,385
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",291,28,319
"Derby School District","=""0370011""","Irving School","=""0370411""",353,43,396
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",240,15,255
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",250,25,275
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",179,32,211
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",135,15,150
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",367,45,412
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",351,36,387
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",467,73,540
"East Hampton School District","=""0420011""","Center School","=""0420311""",268,20,288
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",515,37,552
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",465,43,508
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",578,37,615
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,7,7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",249,42,291
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",180
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",361,47,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",325,44,369
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",286,52,338
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1509,225,1734
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",889,132,1021
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",339,43,382
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",275,42,317
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",340,50,390
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",322,66,388
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",274,34,308
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",128,24,152
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",317,29,346
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",228,59,287
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",9,179,188
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",281,9,290
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",240,33,273
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",290,58,348
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",223,23,246
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",858,85,943
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",173,31,204
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",586,94,680
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",148,33,181
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",207,19,226
"East Haven School District","=""0440011""","Pathways","=""0449011""","*","*",34
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1051,157,1208
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",756,94,850
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",333,32,365
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",24,20,44
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",323,42,365
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",214,15,229
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",506,52,558
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",323,55,378
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",337,56,393
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",105,7,112
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*",67
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",91,14,105
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",152,28,180
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",363,33,396
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",646,59,705
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",183,0,183
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*","*",34
"Ellington School District","=""0480011""","Center School","=""0480111""",384,48,432
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",202,15,217
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",714,77,791
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",367,43,410
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",384,52,436
"Ellington School District","=""0480011""","Windermere School","=""0480611""",405,34,439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",557,28,585
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",287,38,325
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",345,73,418
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",716,93,809
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",308,39,347
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",0,10,10
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",964,138,1102
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",202,32,234
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",325,41,366
"Enfield School District","=""0490011""","Head Start Program","=""0498011""","*","*",104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",349,48,397
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",751,97,848
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",200,47,247
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",333,46,379
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",255,46,301
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",528,65,593
"Explorations District","=""2720013""","Explorations","=""2726113""",60,20,80
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",387,33,420
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",278,36,314
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",28,90,118
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1346,157,1503
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1215,113,1328
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",594,74,668
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",299,34,333
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",308,39,347
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",438,52,490
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",425,49,474
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",433,50,483
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",489,49,538
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",390,61,451
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",895,90,985
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",413,29,442
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",450,54,504
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",714,70,784
"Farmington School District","=""0520011""","East Farms School","=""0520411""",430,39,469
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",47,29,76
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1194,115,1309
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",625,63,688
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",313,33,346
"Farmington School District","=""0520011""","Union School","=""0520111""",272,28,300
"Farmington School District","=""0520011""","West District School","=""0520311""",305,33,338
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",532,71,603
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",200,22,222
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",465,53,518
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",274,29,303
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",471,35,506
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1974,227,2201
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",476,29,505
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",457,45,502
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",422,75,497
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",599,64,663
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1020,93,1113
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",385,38,423
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",731,54,785
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",333,22,355
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",301,29,330
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",320,27,347
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",550,71,621
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",392,26,418
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",710,83,793
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",319,28,347
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2323,350,2673
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",358,58,416
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",347,25,372
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",320,33,353
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",214,29,243
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",410,42,452
