"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"Trend"

"",,,,"English Learner Status",,
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*","*",3122
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",512,0,512
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",2330,15,2345
"Branford School District","=""0140011""","Branford High School","=""0146111""",10265,125,10390
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",92,0,92
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",9754,212,9966
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",493,0,493
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",3375,205,3580
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",3885,129,4014
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",3829,398,4227
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","*","*",670
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",5350,659,6009
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",1543,41,1584
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",4983,955,5938
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",9314,1842,11156
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",3515,443,3958
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",1503,54,1557
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",2785,667,3452
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",9645,1469,11114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",541,23,564
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",852,96,948
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",3357,746,4103
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","*","*",71
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",18310,1697,20007
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",7092,4288,11380
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",3355,102,3457
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",5664,1915,7579
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",3856,145,4001
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",5640,993,6633
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",2878,46,2924
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",3476,83,3559
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",2673,126,2799
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",215,63,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",6324,1273,7597
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",2743,94,2837
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",3220,65,3285
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",10337,2854,13191
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",4258,13,4271
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",3956,115,4071
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",1561,34,1595
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",2878,46,2924
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",6021,142,6163
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",1864,326,2190
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",6042,2665,8707
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",4603,732,5335
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",167,32,199
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""","*","*",187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",3889,711,4600
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",91,7,98
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","*","*",22
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""","*",0,"*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",96,6,102
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",4972,50,5022
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",51,6,57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",7942,810,8752
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",4626,1033,5659
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",2505,8,2513
"Bridgeport School District","=""0150011""","The University School","=""0159111""","*","*",98
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",4544,527,5071
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",6550,483,7033
"Bristol School District","=""0170011""","ACCESS","=""0170211""","*",0,"*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",190,10,200
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",12558,313,12871
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",223,0,223
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",12545,281,12826
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",138,0,138
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",21,0,21
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",7845,264,8109
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","*","*",32
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",21,0,21
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",1664,129,1793
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",694,37,731
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",102,0,102
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",3388,198,3586
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",4485,236,4721
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""",8,0,8
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*",0,"*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",6005,337,6342
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""",10,0,10
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","*","*",24
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",14,0,14
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",15,0,15
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",3861,124,3985
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",1794,40,1834
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",2568,88,2656
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",3748,113,3861
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",16,0,16
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""",12,0,12
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",17,0,17
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",4951,136,5087
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",23,0,23
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",11,0,11
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",19,0,19
"Bristol School District","=""0170011""","South Side School","=""0171111""",5191,213,5404
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",43,0,43
"Bristol School District","=""0170011""","Stafford School","=""0171211""",4660,205,4865
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",4304,268,4572
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",9408,56,9464
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",3695,170,3865
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",5746,127,5873
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",8813,93,8906
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",5450,29,5479
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",3830,13,3843
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",811,21,832
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",2859,7,2866
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",2277,0,2277
"Canton School District","=""0230011""","Canton Academy","=""0230411""",9,0,9
"Canton School District","=""0230011""","Canton High School","=""0236111""",5044,22,5066
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",4026,27,4053
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",2731,6,2737
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",5104,80,5184
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",503,0,503
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",3841,133,3974
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",1106,145,1251
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",2670,103,2773
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",1359,94,1453
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",1810,88,1898
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",20,0,20
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",2670,103,2773
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",1810,88,1898
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",180,0,180
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",3257,168,3425
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",1027,12,1039
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",3371,91,3462
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",1462,41,1503
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",60,0,60
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",2873,162,3035
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",845,41,886
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",73
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",2670,103,2773
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",7007,83,7090
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",3163,263,3426
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",2279,104,2383
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",3138,94,3232
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",2869,98,2967
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",538,0,538
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",1329,0,1329
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",35,0,35
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",676,0,676
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",26,0,26
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""",6,0,6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",21,0,21
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""","*",0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","*",0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",18,0,18
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",35,0,35
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",1344,51,1395
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",6187,217,6404
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",4198,147,4345
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*","*",1810
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""","*","*",546
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",3161,17,3178
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",15215,80,15295
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",34,0,34
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",2878,47,2925
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",7742,36,7778
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",5075,78,5153
"Cheshire School District","=""0250011""","Highland School","=""0250411""",7920,76,7996
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",51,0,51
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*","*",156
"Cheshire School District","=""0250011""","Norton School","=""0250511""",4566,50,4616
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",2597,12,2609
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",3016,67,3083
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",4621,58,4679
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",5941,285,6226
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",5568,119,5687
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",9242,47,9289
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",27,0,27
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",6389,60,6449
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",6233,64,6297
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",6874,56,6930
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",1024,0,1024
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*",5068
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",1673,37,1710
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",6707,527,7234
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",8121,262,8383
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",5442,437,5879
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",4752,577,5329
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",5316,244,5560
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",5411,69,5480
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",7504,130,7634
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",5781,16,5797
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",6056,275,6331
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",6294,104,6398
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",1099,95,1194
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",6037,34,6071
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",6851,11,6862
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",8409,70,8479
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",5982,37,6019
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",7325,105,7430
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",5140,183,5323
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",510,0,510
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",697,0,697
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",425,0,425
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",101,0,101
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",578,0,578
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",4556,0,4556
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*",1160
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",1048,9,1057
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*","*",4405
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",32,0,32
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",135,0,135
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",3806,17,3823
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",5199,7,5206
"Coventry School District","=""0320011""","Coventry Smart Start Program","=""0320311""","*","*",84
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","*","*",4091
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""","*","*",84
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",5606,56,5662
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",4667,52,4719
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",4518,307,4825
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",4586,119,4705
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",822,56,878
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",9812,1100,10912
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",544,0,544
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",24833,4114,28947
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",2329,1674,4003
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",2261,1012,3273
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",3263,1041,4304
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",3009,502,3511
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",2627,1170,3797
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",1406,92,1498
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",2872,692,3564
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",2199,1596,3795
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",2591,2058,4649
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",2962,573,3535
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",8747,1764,10511
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",3115,1216,4331
"Danbury School District","=""0340011""","South Street School","=""0341011""",2187,1422,3609
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",3450,1205,4655
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",3625,271,3896
"Danbury School District","=""0340011""","Western Connection","=""0340711""","*",0,"*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",1439,52,1491
"Darien School District","=""0350011""","Darien High School","=""0356111""",13041,27,13068
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",5414,25,5439
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",4536,58,4594
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",11387,19,11406
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",4701,12,4713
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",4288,28,4316
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",4586,11,4597
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",3252,123,3375
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",15,0,15
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""","*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",28,0,28
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",7,0,7
"Derby School District","=""0370011""","Bradley School","=""0370611""",3377,233,3610
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""",16,0,16
"Derby School District","=""0370011""","Derby High School","=""0376111""",4258,223,4481
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",2263,112,2375
"Derby School District","=""0370011""","Irving School","=""0370411""",3563,354,3917
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",78,0,78
"Derby School District","=""0370011""","RAISE Academy","=""0370511""",16,0,16
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",2350,60,2410
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*",2602
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",2139
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",1615,13,1628
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",3742,16,3758
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",3800,0,3800
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",4925,0,4925
"East Hampton School District","=""0420011""","Center School","=""0420311""",3063,12,3075
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",5380,15,5395
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",4601,17,4618
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",6216,62,6278
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",57,0,57
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",2515,480,2995
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",1847
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",3228,623,3851
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",3078,511,3589
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",4042,223,4265
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",16457,1108,17565
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",9515,847,10362
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",3168,363,3531
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""",307,0,307
