"Student Counts by School and Gender"
"All Districts, All Schools"
"Trend"

"",,,,"Gender",,
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",1382,1707,3089
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*","*",7
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",98,136,234
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",4724,5038,9762
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",3353,3840,7193
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",2365,2932,5297
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",2647,2916,5563
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",1121,1319,2440
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",2231,2460,4691
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",1943,2131,4074
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",4701,4787,9488
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",3304,3616,6920
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",2357,2763,5120
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",2141,2252,4393
"Bethel School District","=""0090011""","TASK","=""0090311""","*","*",12
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",2732,3048,5780
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",1246,1378,2624
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",1239,1352,2591
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",625,432,1057
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",685,873,1558
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",1329,1444,2773
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",26,33,59
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",1036,1093,2129
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",277,167,444
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",1185,1311,2496
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",2757,2744,5501
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",1632,1490,3122
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",222,290,512
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",1199,1146,2345
"Branford School District","=""0140011""","Branford High School","=""0146111""",5287,5103,10390
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",34,58,92
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",4928,5038,9966
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",184,309,493
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",1749,1831,3580
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",1988,2026,4014
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",1932,2295,4227
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",389,281,670
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",3033,2976,6009
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",531,1053,1584
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",2816,3122,5938
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",5052,6104,11156
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",1955,2003,3958
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",1115,442,1557
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",1653,1799,3452
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",5194,5920,11114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",106,458,564
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",381,567,948
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",1965,2138,4103
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",32,39,71
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",10127,9880,20007
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",5328,6052,11380
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",1785,1672,3457
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",3706,3873,7579
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",1884,2117,4001
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",3071,3562,6633
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",1420,1504,2924
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",1804,1755,3559
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",1336,1463,2799
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",139,139,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",3616,3981,7597
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",1342,1495,2837
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",1539,1746,3285
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",6475,6716,13191
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",2318,1953,4271
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",1867,2204,4071
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",571,1024,1595
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",1420,1504,2924
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",2961,3202,6163
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",1075,1115,2190
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",4289,4418,8707
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",2357,2978,5335
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",67,132,199
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""",65,122,187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",2584,2016,4600
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",45,53,98
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",6,16,22
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""","*",0,"*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",18,84,102
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",2625,2397,5022
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",23,34,57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",4099,4653,8752
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",2726,2933,5659
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",978,1535,2513
"Bridgeport School District","=""0150011""","The University School","=""0159111""",27,71,98
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",2477,2594,5071
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",3468,3565,7033
"Bristol School District","=""0170011""","ACCESS","=""0170211""","*",0,"*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",29,171,200
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",6154,6717,12871
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",96,127,223
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",6322,6504,12826
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",57,81,138
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","*","*",21
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",3932,4177,8109
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",10,22,32
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*","*",21
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",846,947,1793
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",338,393,731
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",52,50,102
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",1730,1856,3586
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",2311,2410,4721
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""","*","*",8
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",0,"*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",3085,3257,6342
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""","*","*",10
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",13,11,24
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*","*",14
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",6,9,15
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",1876,2109,3985
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",885,949,1834
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",1327,1329,2656
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",1920,1941,3861
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*","*",16
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*","*",12
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*",17
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",2406,2681,5087
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","*","*",23
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*","*",11
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","*","*",19
"Bristol School District","=""0170011""","South Side School","=""0171111""",2526,2878,5404
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*","*",43
"Bristol School District","=""0170011""","Stafford School","=""0171211""",2410,2455,4865
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",2237,2335,4572
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",4774,4690,9464
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",1855,2010,3865
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",2865,3008,5873
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",4448,4458,8906
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",2684,2795,5479
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",1851,1992,3843
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",442,390,832
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",1298,1568,2866
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",983,1294,2277
"Canton School District","=""0230011""","Canton Academy","=""0230411""","*","*",9
"Canton School District","=""0230011""","Canton High School","=""0236111""",2449,2617,5066
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",2045,2008,4053
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",1373,1364,2737
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",2652,2532,5184
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",222,281,503
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",1145,2829,3974
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",545,706,1251
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",2101,672,2773
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",793,660,1453
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",817,1081,1898
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",8,12,20
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",2101,672,2773
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",817,1081,1898
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",69,111,180
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",1578,1847,3425
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",626,413,1039
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",2459,1003,3462
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",999,504,1503
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",26,34,60
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",1499,1536,3035
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",285,601,886
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",27,46,73
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",2101,672,2773
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",3739,3351,7090
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",1761,1665,3426
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",1245,1138,2383
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",1102,2130,3232
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",1454,1513,2967
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",133,405,538
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",197,1132,1329
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",11,24,35
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",354,322,676
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",13,13,26
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""","*","*",6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",7,14,21
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""","*",0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""",0,"*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",10,8,18
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",11,24,35
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",649,746,1395
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",2854,3550,6404
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",2168,2177,4345
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",864,946,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",292,254,546
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",1645,1533,3178
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",7347,7948,15295
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",8,26,34
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",1371,1554,2925
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",3811,3967,7778
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",2566,2587,5153
"Cheshire School District","=""0250011""","Highland School","=""0250411""",3853,4143,7996
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",22,29,51
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",53,103,156
"Cheshire School District","=""0250011""","Norton School","=""0250511""",2392,2224,4616
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",1413,1196,2609
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",1532,1551,3083
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",2299,2380,4679
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",3011,3215,6226
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",2867,2820,5687
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",4809,4480,9289
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",8,19,27
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",3061,3388,6449
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",3050,3247,6297
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",3483,3447,6930
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",498,526,1024
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",2514,2554,5068
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",798,912,1710
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",3895,3339,7234
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",4461,3922,8383
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",2362,3517,5879
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",2519,2810,5329
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",2255,3305,5560
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",1841,3639,5480
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",3093,4541,7634
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",1540,4257,5797
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",2147,4184,6331
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",1344,5054,6398
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",520,674,1194
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",2193,3878,6071
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",2468,4394,6862
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",2984,5495,8479
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",1692,4327,6019
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",3194,4236,7430
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",1862,3461,5323
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",128,382,510
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",198,499,697
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",116,309,425
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",43,58,101
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",313,265,578
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",2319,2237,4556
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",172,988,1160
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",473,584,1057
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",2177,2228,4405
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",9,23,32
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",37,98,135
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",1895,1928,3823
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",2615,2591,5206
"Coventry School District","=""0320011""","Coventry Smart Start Program","=""0320311""",34,50,84
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",2047,2044,4091
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",34,50,84
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",2880,2782,5662
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",2287,2432,4719
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",2258,2567,4825
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",2193,2512,4705
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",437,441,878
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",5333,5579,10912
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",223,321,544
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",14177,14770,28947
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",1903,2100,4003
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",1599,1674,3273
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",2076,2228,4304
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",1754,1757,3511
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",1863,1934,3797
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",624,874,1498
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",1784,1780,3564
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",1821,1974,3795
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",2283,2366,4649
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",1618,1917,3535
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",5150,5361,10511
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",2087,2244,4331
"Danbury School District","=""0340011""","South Street School","=""0341011""",1798,1811,3609
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",2334,2321,4655
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",1994,1902,3896
"Danbury School District","=""0340011""","Western Connection","=""0340711""","*","*","*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",713,778,1491
"Darien School District","=""0350011""","Darien High School","=""0356111""",6558,6510,13068
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",2642,2797,5439
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",2273,2321,4594
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",5428,5978,11406
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",2214,2499,4713
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",1943,2373,4316
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",2205,2392,4597
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",1679,1696,3375
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",9,6,15
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",14,14,28
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*","*",7
"Derby School District","=""0370011""","Bradley School","=""0370611""",1795,1815,3610
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""",8,8,16
"Derby School District","=""0370011""","Derby High School","=""0376111""",2088,2393,4481
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",1151,1224,2375
"Derby School District","=""0370011""","Irving School","=""0370411""",1893,2024,3917
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",27,51,78
"Derby School District","=""0370011""","RAISE Academy","=""0370511""",8,8,16
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",1170,1240,2410
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",1259,1343,2602
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",1045,1094,2139
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",803,825,1628
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",1792,1966,3758
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",1993,1807,3800
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",2383,2542,4925
"East Hampton School District","=""0420011""","Center School","=""0420311""",1507,1568,3075
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",2817,2578,5395
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",2273,2345,4618
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",3015,3263,6278
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",23,34,57
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",1388,1607,2995
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",1191,656,1847
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",1901,1950,3851
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",1621,1968,3589
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",2087,2178,4265
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",8661,8904,17565
