"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2008-09"

"",,,,"Special Education Status",,
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1426,226,1652
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",431,10,441
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",398,72,470
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",515,81,596
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",365,48,413
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",755,99,854
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",444,87,531
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","*","*",42
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",412,33,445
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",38,0,38
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",34
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",456,45,501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",835,84,919
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",479,71,550
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",108,102,210
"Bridgeport School District","=""0150011""","The University School","=""0159111""",0,24,24
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",487,74,561
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",690,39,729
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,23,23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1240,177,1417
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1160,158,1318
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",767,114,881
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",326,46,372
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",217,25,242
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",335,24,359
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",431,61,492
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",322,45,367
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",331,51,382
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",321,45,366
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",478,65,543
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",332,59,391
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",502,64,566
"Bristol School District","=""0170011""","South Side School","=""0171111""",508,67,575
"Bristol School District","=""0170011""","Stafford School","=""0171211""",417,100,517
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",964,52,1016
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",360,46,406
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",566,43,609
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",855,60,915
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",524,57,581
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",349,51,400
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",72,13,85
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",324,33,357
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",220,22,242
"Canton School District","=""0230011""","Canton High School","=""0236111""",464,58,522
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",353,41,394
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",244,35,279
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",502,51,553
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",71,7,78
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",16
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",232,19,251
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",151,13,164
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",139,8,147
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,18,18
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","*","*",124
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",68
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",646,37,683
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",303,29,332
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",94,11,105
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","*","*",149
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",7,46,53
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,149,149
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",41,57,98
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",520,69,589
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",368,44,412
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",151,27,178
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",129,7,136
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",303,26,329
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1428,151,1579
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",330,55,385
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",737,81,818
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",483,49,532
"Cheshire School District","=""0250011""","Highland School","=""0250411""",784,85,869
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",9,15,24
"Cheshire School District","=""0250011""","Norton School","=""0250511""",427,43,470
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",268,51,319
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",275,38,313
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",429,63,492
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",605,84,689
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",497,93,590
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",878,90,968
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",624,115,739
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",637,73,710
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",685,78,763
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",101,15,116
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",520,53,573
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",129,26,155
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",574,41,615
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",859,16,875
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",441,50,491
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",499,25,524
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",561,57,618
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",481,39,520
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",668,59,727
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",524,44,568
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",501,77,578
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",546,51,597
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",192,33,225
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",444,29,473
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",682,59,741
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",825,59,884
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",501,82,583
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",701,15,716
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",482,40,522
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""","*","*",270
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","*","*",54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",407,23,430
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",104,18,122
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",451,63,514
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,14,14
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",385,25,410
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",472,81,553
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",418,43,461
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",511,62,573
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",415,47,462
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",439,49,488
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",455,39,494
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",79,7,86
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",978,127,1105
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2578,261,2839
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",302,49,351
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",262,39,301
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",329,77,406
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",277,40,317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",312,22,334
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",290,62,352
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",264,32,296
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",307,39,346
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",366,34,400
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",274,62,336
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",904,116,1020
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",345,30,375
"Danbury School District","=""0340011""","South Street School","=""0341011""",305,30,335
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",429,41,470
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",346,25,371
"Darien School District","=""0350011""","Darien High School","=""0356111""",1102,134,1236
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",450,68,518
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",418,57,475
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1003,129,1132
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",440,55,495
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",400,40,440
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",386,39,425
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",305,48,353
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",347,36,383
"Derby School District","=""0370011""","Derby High School","=""0376111""",599,42,641
"Derby School District","=""0370011""","Irving School","=""0370411""",383,55,438
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",268,20,288
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",222,30,252
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",184,32,216
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",123,19,142
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",379,54,433
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",379,39,418
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",500,72,572
"East Hampton School District","=""0420011""","Center School","=""0420311""",319,31,350
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",548,47,595
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",427,47,474
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",589,40,629
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,7,7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",282,40,322
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",169
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",359,51,410
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",286,46,332
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",276,46,322
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1673,225,1898
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",822,145,967
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",327,26,353
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",282,51,333
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",294,37,331
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",370,44,414
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",265,32,297
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",123,25,148
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",435,57,492
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",221,57,278
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",19,150,169
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*","*",228
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",203,30,233
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",293,44,337
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",159,30,189
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",922,92,1014
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",191,21,212
"East Haven School District","=""0440011""","Hays School","=""0441911""",142,21,163
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",443,56,499
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",167,37,204
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",128,31,159
"East Haven School District","=""0440011""","Pathways","=""0449011""","*","*",46
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",255,37,292
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1096,151,1247
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",743,127,870
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",334,34,368
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",25,25,50
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",327,39,366
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",229,18,247
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",533,67,600
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",352,59,411
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",355,69,424
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",54,11,65
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",0,48,48
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","*","*",34
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",157,28,185
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",349,38,387
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",702,67,769
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",167,0,167
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*","*",27
"Ellington School District","=""0480011""","Center School","=""0480111""",372,57,429
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",202,19,221
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",700,78,778
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",348,42,390
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",351,55,406
"Ellington School District","=""0480011""","Windermere School","=""0480611""",387,23,410
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",482,27,509
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",309,30,339
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",334,70,404
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",788,105,893
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",305,43,348
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",0,8,8
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",1041,133,1174
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",249,34,283
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",356,49,405
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",97,7,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",354,64,418
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",808,115,923
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",214,49,263
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",378,57,435
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",239,60,299
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",522,72,594
"Explorations District","=""2720013""","Explorations","=""2726113""",63,22,85
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",433,36,469
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",295,27,322
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",32,94,126
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1266,126,1392
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1142,131,1273
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",548,57,605
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",320,30,350
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",309,47,356
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",394,42,436
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",423,47,470
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",450,52,502
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",483,44,527
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",422,56,478
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",796,93,889
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",411,35,446
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",508,34,542
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",676,94,770
"Farmington School District","=""0520011""","East Farms School","=""0520411""",392,36,428
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",41,31,72
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1241,119,1360
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",600,71,671
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",311,34,345
"Farmington School District","=""0520011""","Union School","=""0520111""",271,24,295
"Farmington School District","=""0520011""","West District School","=""0520311""",316,29,345
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",609,67,676
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",197,28,225
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",518,57,575
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",321,21,342
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",493,37,530
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1857,209,2066
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",479,46,525
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",491,39,530
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",406,82,488
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",588,76,664
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1011,117,1128
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",432,41,473
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",686,51,737
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",353,26,379
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",320,30,350
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",299,31,330
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",602,88,690
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",380,35,415
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",672,75,747
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",259,24,283
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2305,372,2677
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",325,56,381
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",342,33,375
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",306,32,338
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",197,30,227
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",421,36,457
