"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2007-08"

"",,,,"Special Education Status",,
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1177,156,1333
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",809,120,929
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",319,36,355
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",220,33,253
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",335,21,356
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",431,59,490
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",343,53,396
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",354,48,402
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",335,39,374
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",482,60,542
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",310,59,369
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",498,60,558
"Bristol School District","=""0170011""","South Side School","=""0171111""",517,63,580
"Bristol School District","=""0170011""","Stafford School","=""0171211""",401,96,497
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",963,57,1020
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",329,45,374
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",561,43,604
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",884,67,951
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",529,51,580
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",360,46,406
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",89,12,101
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",286,30,316
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",234,28,262
"Canton School District","=""0230011""","Canton High School","=""0236111""",439,75,514
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",360,45,405
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",241,29,270
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",483,55,538
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",232,25,257
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",104,7,111
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","*","*",43
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",14,375,389
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",638,38,676
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",307,22,329
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",506,76,582
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",353,53,406
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",182,28,210
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",306,26,332
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1463,149,1612
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",343,50,393
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",744,80,824
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",492,45,537
"Cheshire School District","=""0250011""","Highland School","=""0250411""",824,84,908
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",7,16,23
"Cheshire School District","=""0250011""","Norton School","=""0250511""",450,43,493
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",284,57,341
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",301,37,338
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",404,58,462
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",600,67,667
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",547,91,638
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",888,94,982
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",673,101,774
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",601,80,681
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",735,66,801
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",104,18,122
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",527,59,586
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",120,32,152
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",533,48,581
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",860,18,878
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",406,55,461
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",506,23,529
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",537,52,589
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",495,35,530
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",636,60,696
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",516,47,563
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",495,75,570
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",513,51,564
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",223,32,255
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",381,29,410
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",663,57,720
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",791,62,853
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",510,77,587
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",685,19,704
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",448,35,483
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",0,240,240
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",410,25,435
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",115,14,129
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",476,63,539
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,11,11
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",396,29,425
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",481,78,559
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",416,58,474
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",493,66,559
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",433,40,473
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",435,50,485
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",435,37,472
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",87,10,97
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1016,128,1144
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2595,240,2835
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",290,43,333
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",273,42,315
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",325,75,400
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",279,38,317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",269,25,294
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",285,62,347
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",269,29,298
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",318,25,343
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",342,34,376
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",273,63,336
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",914,117,1031
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",311,27,338
"Danbury School District","=""0340011""","South Street School","=""0341011""",274,32,306
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",411,44,455
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",301,16,317
"Darien School District","=""0350011""","Darien High School","=""0356111""",1050,130,1180
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",444,75,519
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",428,56,484
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",986,131,1117
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",458,54,512
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",415,36,451
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",362,28,390
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",321,68,389
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""","*","*",7
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",334,30,364
"Derby School District","=""0370011""","Derby High School","=""0376111""",623,46,669
"Derby School District","=""0370011""","Irving School","=""0370411""",367,50,417
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",268,26,294
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",228,30,258
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",186,32,218
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",118,23,141
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",479,57,536
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",360,46,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",406,71,477
"East Hampton School District","=""0420011""","Center School","=""0420311""",327,22,349
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",530,50,580
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",457,51,508
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",586,47,633
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",262,36,298
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",166
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",367,41,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",305,42,347
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",282,32,314
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1772,250,2022
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",856,146,1002
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",314,38,352
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",301,53,354
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",288,32,320
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",417,47,464
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",286,37,323
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",129,22,151
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",376,76,452
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",228,60,288
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",33,147,180
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",215,6,221
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",212,27,239
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",296,39,335
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",160,26,186
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",1010,87,1097
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",196,16,212
"East Haven School District","=""0440011""","Hays School","=""0441911""",148,30,178
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",426,56,482
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",185,24,209
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",123,42,165
"East Haven School District","=""0440011""","Pathways","=""0449011""","*","*",35
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",283,36,319
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1158,146,1304
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",780,133,913
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",366,33,399
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",29,24,53
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",309,31,340
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",220,21,241
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",545,75,620
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",385,71,456
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",333,67,400
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",20
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",0,44,44
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",164,23,187
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",345,32,377
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",732,69,801
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",156,0,156
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",0,23,23
"Ellington School District","=""0480011""","Center School","=""0480111""",358,50,408
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",189,18,207
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",695,75,770
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",369,39,408
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",348,53,401
"Ellington School District","=""0480011""","Windermere School","=""0480611""",382,22,404
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",454,22,476
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",330,33,363
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",305,82,387
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",819,107,926
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",285,48,333
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",1045,111,1156
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",250,32,282
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",365,48,413
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",92,12,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",367,62,429
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",860,132,992
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",225,47,272
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",367,49,416
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",228,55,283
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",506,45,551
"Explorations District","=""2720013""","Explorations","=""2726113""",65,21,86
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",413,32,445
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",316,24,340
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",24,97,121
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1249,131,1380
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1108,123,1231
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",542,55,597
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",324,34,358
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",308,45,353
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",421,41,462
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",423,42,465
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",451,44,495
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",477,42,519
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",419,54,473
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",792,95,887
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",415,38,453
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",425,35,460
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",642,95,737
"Farmington School District","=""0520011""","East Farms School","=""0520411""",399,31,430
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",31,26,57
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1272,117,1389
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",590,62,652
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",292,38,330
"Farmington School District","=""0520011""","Union School","=""0520111""",273,25,298
"Farmington School District","=""0520011""","West District School","=""0520311""",320,30,350
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",626,61,687
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",204,29,233
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",519,56,575
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",335,22,357
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",479,72,551
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1840,225,2065
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",478,47,525
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",496,46,542
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",398,83,481
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",595,80,675
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",937,133,1070
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",455,42,497
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",690,59,749
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",346,28,374
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",335,28,363
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",304,40,344
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",632,81,713
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",364,43,407
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",651,74,725
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",314,30,344
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2328,365,2693
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",320,57,377
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",339,33,372
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",298,29,327
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",203,26,229
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",412,42,454
"Greenwich School District","=""0570011""","North Street School","=""0570811""",469,46,515
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",412,42,454
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",299,33,332
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",476,23,499
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",457,70,527
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",796,110,906
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",693,99,792
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",386,53,439
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",336,40,376
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",299,68,367
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",293,60,353
"Groton School District","=""0590011""","Colonel Ledyard School","=""0590411""",123,16,139
"Groton School District","=""0590011""","Eastern Point School","=""0590511""",434,64,498
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",394,61,455
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",219,63,282
"Groton School District","=""0590011""","Noank School","=""0590911""",215,25,240
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",386,43,429
