"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"District","District Code","School","School Code","Count"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",238
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",213
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",569
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",549
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",515
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",512
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",491
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",473
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",436
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",407
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",383
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",356
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",425
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",423
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",420
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",384
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",389
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",392
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",411
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",413
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",420
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",397
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",1034
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",1010
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",987
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",959
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",949
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",959
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",933
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",889
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",897
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",871
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",743
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",706
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",703
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",683
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",693
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",684
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",672
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",695
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",658
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",683
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",488
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",480
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",497
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",460
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",493
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",497
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",556
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",546
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",561
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",542
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",454
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",454
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",435
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",452
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",447
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",443
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",417
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",386
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",426
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",479
"Bethel School District","=""0090011""","TASK","=""0090311""",12
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",625
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",646
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",629
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",593
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",603
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",541
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",555
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",538
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",516
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",534
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",348
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",313
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",294
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",305
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",263
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",220
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",216
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",208
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",220
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",237
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",342
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",302
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",314
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",265
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",286
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",261
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",213
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",214
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",193
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",201
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",182
