"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2016-17"

"",,,,"Special Education Status",,
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",783,108,891
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",635,79,714
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",389,93,482
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",446,45,491
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",190,23,213
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",301,55,356
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",365,32,397
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",766,105,871
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",595,88,683
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",476,66,542
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",430,49,479
"Bethel School District","=""0090011""","TASK","=""0090311""","*","*",12
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",464,70,534
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",199,38,237
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",157,44,201
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",196,21,217
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",314,48,362
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",6,7,13
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",218,38,256
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",285,38,323
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",476,57,533
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",250,31,281
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",227,14,241
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",186,22,208
"Branford School District","=""0140011""","Branford High School","=""0146111""",761,127,888
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",28,15,43
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",745,124,869
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",19,20,39
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",301,28,329
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",341,42,383
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",375,38,413
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",204,15,219
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",955,89,1044
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",456,43,499
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",476,157,633
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",708,253,961
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",306,43,349
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",459,32,491
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",396,69,465
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",967,160,1127
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",64
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",262,67,329
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",329,52,381
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",35,9,44
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1258,257,1515
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",999,168,1167
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",331,42,373
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",775,68,843
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",322,65,387
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",639,73,712
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",452,38,490
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",355,52,407
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",220,43,263
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",658,129,787
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",200,42,242
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",269,64,333
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",763,210,973
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",380,37,417
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",272,49,321
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",472,30,502
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",452,38,490
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",531,151,682
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",744,114,858
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",451,86,537
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",427,39,466
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",0,15,15
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",448,61,509
"Bridgeport School District","=""0150011""","Read School","=""0152511""",801,122,923
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",513,74,587
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",99,121,220
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",402,88,490
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",602,76,678
"Bristol School District","=""0170011""","ACCESS","=""0170211""",0,"*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,21,21
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",932,215,1147
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",34,52,86
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",957,181,1138
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",46,0,46
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",0,7,7
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",624,127,751
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",0,12,12
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",0,7,7
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,12,12
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",299,29,328
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",366,49,415
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""",0,8,8
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",0,"*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",805,119,924
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""",0,10,10
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",0,13,13
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",0,"*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",0,"*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",328,60,388
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",312,50,362
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",0,"*","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""",0,"*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",0,9,9
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",378,72,450
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",0,8,8
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,"*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,9,9
"Bristol School District","=""0170011""","South Side School","=""0171111""",407,61,468
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",0,8,8
"Bristol School District","=""0170011""","Stafford School","=""0171211""",387,61,448
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",751,134,885
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",756,100,856
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",300,59,359
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",480,55,535
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",787,128,915
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",427,74,501
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",319,33,352
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",65,8,73
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",230,30,260
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",184,22,206
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",432,64,496
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",340,39,379
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",251,31,282
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",414,42,456
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",222,32,254
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",637,96,733
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",342,47,389
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",509,65,574
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",354,51,405
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",430,54,484
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",509,65,574
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",430,54,484
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",15
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",398,54,452
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",414,54,468
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",260,67,327
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,"*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",425,45,470
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",58
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,7,7
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",509,65,574
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",593,95,688
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",283,66,349
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",421,48,469
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",371,103,474
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",369,68,437
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",8,57,65
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,143,143
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,7,7
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",24,8,32
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",0,11,11
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""",0,6,6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",0,"*","*"
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,7,7
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",340,68,408
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",585,73,658
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",381,73,454
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",138,20,158
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",294,29,323
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1297,148,1445
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,16,16
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",112,45,157
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",698,85,783
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",420,44,464
"Cheshire School District","=""0250011""","Highland School","=""0250411""",647,75,722
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","*","*",14
"Cheshire School District","=""0250011""","Norton School","=""0250511""",379,39,418
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",172,34,206
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",243,37,280
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",376,75,451
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",447,50,497
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",511,48,559
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",712,96,808
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",6,6,12
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",447,102,549
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",432,66,498
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",510,95,605
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",63,15,78
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",369,55,424
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",163,37,200
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",668,52,720
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",747,33,780
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",579,45,624
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",476,70,546
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",414,70,484
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",491,79,570
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",699,51,750
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",594,50,644
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",590,77,667
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",555,69,624
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",283,36,319
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",595,48,643
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",578,61,639
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",704,79,783
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",442,80,522
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",726,41,767
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",417,57,474
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,87,87
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,51,51
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,14,14
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","*","*",84
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",423,43,466
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,140,140
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",63,9,72
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",326,48,374
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*",10
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",293,42,335
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",407,58,465
"Coventry School District","=""0320011""","Coventry Smart Start Program","=""0320311""",24,22,46
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",343,43,386
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",24,22,46
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",492,71,563
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",422,57,479
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",453,56,509
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",398,40,438
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",61,22,83
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",831,180,1011
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",81,53,134
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2640,401,3041
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",413,36,449
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",299,46,345
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",389,78,467
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",317,39,356
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",370,49,419
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",324,25,349
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",337,36,373
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",543,49,592
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",264,84,348
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",821,129,950
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",507,38,545
"Danbury School District","=""0340011""","South Street School","=""0341011""",366,37,403
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",464,31,495
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",362,31,393
"Danbury School District","=""0340011""","Western Connection","=""0340711""",0,"*","*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",551,44,595
"Darien School District","=""0350011""","Darien High School","=""0356111""",1157,197,1354
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",440,51,491
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",430,41,471
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",982,151,1133
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",388,64,452
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",356,58,414
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",424,62,486
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",248,35,283
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",278,48,326
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","*","*",15
"Derby School District","=""0370011""","Derby High School","=""0376111""",302,43,345
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",280,41,321
"Derby School District","=""0370011""","Irving School","=""0370411""",280,49,329
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",33,12,45
"Derby School District","=""0370011""","RAISE Academy","=""0370511""","*","*",15
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",167,24,191
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",223,24,247
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",189,31,220
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",175,23,198
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",254,40,294
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",294,40,334
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",344,54,398
"East Hampton School District","=""0420011""","Center School","=""0420311""",296,28,324
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",449,39,488
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",378,45,423
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",557,76,633
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,"*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",272,47,319
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",197,0,197
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",312,49,361
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",265,64,329
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",470,74,544
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1379,250,1629
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",832,207,1039
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",314,41,355
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""",220,87,307
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",323,40,363
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",378,52,430
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",237,39,276
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",67,20,87
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",67,20,87
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",266,41,307
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","*","*",170
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",321,32,353
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",205,48,253
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",163,29,192
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",785,136,921
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",251,23,274
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",485,72,557
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",255,36,291
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","*","*",130
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",13,9,22
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",902,117,1019
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",720,112,832
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",313,50,363
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",25,25,50
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",262,43,305
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""",0,"*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",150,19,169
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""",0,13,13
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",360,70,430
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",244,59,303
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",248,55,303
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""",0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",96,25,121
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",96,25,121
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","*","*",128
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*",128
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",146,18,164
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",112,31,143
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",285,33,318
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",500,63,563
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",207,6,213
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",0,6,6
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",207,6,213
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",0,6,6
"Ellington School District","=""0480011""","Center School","=""0480111""",370,60,430
