"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Gender"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","M","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","F",105,105,100.0,105,27,25.7,15,14.3,24,22.9,33,31.4,6,5.7,39,37.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","M",117,117,100.0,117,28,23.9,17,14.5,22,18.8,44,37.6,6,5.1,50,42.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","F",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","M",18,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",61,61,100.0,61,"*","*",11,18.0,15,24.6,19,31.1,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","M",79,78,98.7,78,"*","*",14,17.9,23,29.5,24,30.8,"*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F",41,41,100.0,41,0,0.0,"*","*","*","*",24,58.5,11,26.8,35,85.4
"Ashford School District","=""0030011""","Ashford School","=""0030111""","M",33,33,100.0,33,"*","*","*","*","*","*",19,57.6,6,18.2,25,75.8
"Avon School District","=""0040011""","Avon High School","=""0046111""","F",138,137,99.3,137,"*","*","*","*",26,19.0,38,27.7,66,48.2,104,75.9
"Avon School District","=""0040011""","Avon High School","=""0046111""","M",148,147,99.3,146,"*","*","*","*",32,21.9,33,22.6,70,47.9,103,70.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","F",142,140,98.6,140,"*","*","*","*",9,6.4,77,55.0,42,30.0,119,85.0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","M",133,132,99.2,132,"*","*","*","*",15,11.4,56,42.4,48,36.4,104,78.8
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","F",146,146,100.0,146,"*","*","*","*",16,11.0,66,45.2,52,35.6,118,80.8
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","M",127,127,100.0,127,"*","*","*","*",14,11.0,57,44.9,49,38.6,106,83.5
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","F",23,22,95.7,22,0,0.0,"*","*","*","*",13,59.1,"*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","M",24,23,95.8,23,"*","*","*","*","*","*",12,52.2,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","F",103,101,98.1,101,"*","*","*","*",33,32.7,22,21.8,34,33.7,56,55.4
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","M",111,110,99.1,110,"*","*","*","*",34,30.9,28,25.5,36,32.7,64,58.2
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","F",87,87,100.0,87,"*","*","*","*",11,12.6,47,54.0,20,23.0,67,77.0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","M",128,128,100.0,128,"*","*","*","*",16,12.5,64,50.0,35,27.3,99,77.3
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","F",34,34,100.0,34,0,0.0,"*","*","*","*",18,52.9,8,23.5,26,76.5
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","M",49,49,100.0,49,"*","*","*","*",6,12.2,21,42.9,17,34.7,38,77.6
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","F",52,52,100.0,52,"*","*","*","*",12,23.1,30,57.7,7,13.5,37,71.2
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","M",57,57,100.0,57,0,0.0,"*","*","*","*",29,50.9,12,21.1,41,71.9
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","F",27,27,100.0,27,0,0.0,"*","*",6,22.2,13,48.1,"*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","M",30,29,96.7,29,0,0.0,"*","*",8,27.6,9,31.0,"*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","F",25,22,88.0,22,0,0.0,"*","*","*","*",11,50.0,9,40.9,20,90.9
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","M",35,35,100.0,35,0,0.0,"*","*","*","*",19,54.3,10,28.6,29,82.9
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","F",94,93,98.9,93,"*","*","*","*",23,24.7,24,25.8,37,39.8,61,65.6
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","M",101,100,99.0,100,"*","*","*","*",29,29.0,23,23.0,39,39.0,62,62.0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","F",105,105,100.0,105,"*","*","*","*",23,21.9,59,56.2,18,17.1,77,73.3
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","M",109,109,100.0,109,"*","*","*","*",18,16.5,57,52.3,22,20.2,79,72.5
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","F",96,96,100.0,96,"*","*","*","*",18,18.8,37,38.5,38,39.6,75,78.1
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","M",117,116,99.1,116,"*","*","*","*",11,9.5,54,46.6,41,35.3,95,81.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","F",50,49,98.0,49,"*","*",8,16.3,20,40.8,10,20.4,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","M",62,62,100.0,61,"*","*",18,29.5,14,23.0,13,21.3,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","F",61,61,100.0,61,"*","*",11,18.0,21,34.4,19,31.1,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","M",63,63,100.0,63,"*","*",14,22.2,23,36.5,18,28.6,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","F",41,41,100.0,41,10,24.4,"*","*",8,19.5,15,36.6,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","M",55,55,100.0,55,11,20.0,"*","*",15,27.3,18,32.7,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","F",42,42,100.0,42,"*","*","*","*",15,35.7,"*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","M",20,20,100.0,20,"*","*","*","*",7,35.0,"*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","F",61,60,98.4,60,"*","*","*","*","*","*",31,51.7,15,25.0,46,76.7
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","M",56,55,98.2,55,"*","*","*","*","*","*",23,41.8,19,34.5,42,76.4
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","F",43,43,100.0,43,"*","*","*","*",15,34.9,16,37.2,9,20.9,25,58.1
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","M",35,35,100.0,35,"*","*","*","*",12,34.3,13,37.1,8,22.9,21,60.0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","F",25,25,100.0,25,0,0.0,0,0.0,"*","*",16,64.0,"*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","M",26,25,96.2,25,0,0.0,0,0.0,"*","*",16,64.0,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","F",113,111,98.2,111,"*","*","*","*",44,39.6,20,18.0,37,33.3,57,51.4
"Branford School District","=""0140011""","Branford High School","=""0146111""","M",91,88,96.7,88,"*","*","*","*",25,28.4,28,31.8,23,26.1,51,58.0
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","F",239,238,99.6,238,8,3.4,18,7.6,39,16.4,125,52.5,48,20.2,173,72.7
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","M",224,222,99.1,222,16,7.2,19,8.6,44,19.8,110,49.5,33,14.9,143,64.4
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","F",114,113,99.1,113,28,24.8,27,23.9,28,24.8,"*","*","*","*",30,26.5
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","M",110,109,99.1,108,27,25.0,32,29.6,28,25.9,"*","*","*","*",21,19.4
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","F",39,38,97.4,38,"*","*",8,21.1,14,36.8,7,18.4,"*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","M",94,89,94.7,88,"*","*",9,10.2,24,27.3,19,21.6,"*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","F",55,55,100.0,55,26,47.3,"*","*",13,23.6,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","M",58,57,98.3,57,29,50.9,12,21.1,7,12.3,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","F",123,112,91.1,108,63,58.3,27,25.0,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","M",125,113,90.4,109,71,65.1,25,22.9,11,10.1,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","F",25,25,100.0,25,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","M",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","F",87,87,100.0,82,15,18.3,16,19.5,40,48.8,"*","*","*","*",11,13.4
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","M",42,41,97.6,39,9,23.1,10,25.6,14,35.9,"*","*","*","*",6,15.4
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","F",38,38,100.0,38,"*","*",13,34.2,7,18.4,13,34.2,"*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","M",50,50,100.0,50,"*","*",7,14.0,9,18.0,18,36.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","F",113,113,100.0,113,40,35.4,25,22.1,21,18.6,27,23.9,0,0.0,27,23.9
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","M",151,148,98.0,148,47,31.8,38,25.7,34,23.0,29,19.6,0,0.0,29,19.6
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","F",39,38,97.4,36,21,58.3,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","M",58,57,98.3,54,24,44.4,17,31.5,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","F",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","M",30,30,100.0,30,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","F",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","M",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","F",204,186,91.2,183,52,28.4,38,20.8,58,31.7,23,12.6,12,6.6,35,19.1
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","M",223,196,87.9,193,69,35.8,43,22.3,44,22.8,23,11.9,14,7.3,37,19.2
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","F",138,138,100.0,138,72,52.2,24,17.4,27,19.6,"*","*","*","*",15,10.9
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","M",125,125,100.0,125,76,60.8,23,18.4,13,10.4,"*","*","*","*",13,10.4
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","F",44,44,100.0,44,"*","*",13,29.5,10,22.7,17,38.6,"*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","M",31,31,100.0,31,"*","*",8,25.8,"*","*",12,38.7,0,0.0,12,38.7
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","F",64,64,100.0,64,26,40.6,22,34.4,14,21.9,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","M",65,65,100.0,65,30,46.2,"*","*",17,26.2,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","F",36,36,100.0,36,15,41.7,9,25.0,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","M",48,48,100.0,48,28,58.3,10,20.8,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","F",81,81,100.0,81,33,40.7,19,23.5,18,22.2,"*","*","*","*",11,13.6
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","M",86,85,98.8,85,39,45.9,21,24.7,16,18.8,"*","*","*","*",9,10.6
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","F",38,36,94.7,36,14,38.9,"*","*",12,33.3,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","M",40,39,97.5,39,17,43.6,8,20.5,8,20.5,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","F",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","M",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","F",76,76,100.0,76,22,28.9,24,31.6,19,25.0,11,14.5,0,0.0,11,14.5
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","M",79,79,100.0,79,22,27.8,20,25.3,20,25.3,"*","*","*","*",17,21.5
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","F",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","M",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","M",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","F",124,79,63.7,71,32,45.1,22,31.0,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","M",136,90,66.2,70,46,65.7,8,11.4,12,17.1,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","F",53,53,100.0,53,"*","*",8,15.1,15,28.3,22,41.5,"*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","M",39,39,100.0,39,"*","*",9,23.1,6,15.4,13,33.3,"*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","F",43,40,93.0,40,9,22.5,14,35.0,7,17.5,10,25.0,0,0.0,10,25.0
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","M",39,38,97.4,38,12,31.6,"*","*",7,18.4,9,23.7,"*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","F",51,51,100.0,51,"*","*",14,27.5,21,41.2,7,13.7,"*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","M",79,79,100.0,79,"*","*",15,19.0,27,34.2,16,20.3,"*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","F",47,47,100.0,47,"*","*","*","*",12,25.5,17,36.2,"*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","M",43,43,100.0,43,"*","*","*","*",6,14.0,20,46.5,"*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","F",60,60,100.0,60,30,50.0,12,20.0,12,20.0,6,10.0,0,0.0,6,10.0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","M",70,68,97.1,68,31,45.6,16,23.5,12,17.6,"*","*","*","*",9,13.2
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","F",113,109,96.5,109,80,73.4,13,11.9,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","M",94,93,98.9,93,70,75.3,11,11.8,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","F",36,36,100.0,36,7,19.4,11,30.6,10,27.8,8,22.2,0,0.0,8,22.2
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","M",38,37,97.4,37,7,18.9,13,35.1,10,27.0,7,18.9,0,0.0,7,18.9
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","F",59,59,100.0,59,"*","*","*","*",13,22.0,33,55.9,"*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","M",37,37,100.0,37,"*","*","*","*",15,40.5,15,40.5,"*","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","F",49,49,100.0,49,"*","*","*","*",12,24.5,24,49.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","M",32,32,100.0,32,"*","*","*","*",13,40.6,13,40.6,"*","*","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","F",76,73,96.1,73,34,46.6,12,16.4,18,24.7,9,12.3,0,0.0,9,12.3
"Bridgeport School District","=""0150011""","Read School","=""0152511""","M",92,91,98.9,91,43,47.3,24,26.4,12,13.2,"*","*","*","*",12,13.2
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","F",52,52,100.0,52,26,50.0,16,30.8,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","M",55,55,100.0,55,34,61.8,11,20.0,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","F",49,49,100.0,49,17,34.7,13,26.5,11,22.4,8,16.3,0,0.0,8,16.3
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","M",57,57,100.0,57,16,28.1,19,33.3,15,26.3,7,12.3,0,0.0,7,12.3
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","F",75,75,100.0,75,"*","*",14,18.7,29,38.7,18,24.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","M",70,70,100.0,70,"*","*",15,21.4,17,24.3,27,38.6,"*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","F",120,119,99.2,119,10,8.4,12,10.1,54,45.4,28,23.5,15,12.6,43,36.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","M",133,130,97.7,130,17,13.1,17,13.1,53,40.8,21,16.2,22,16.9,43,33.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","F",151,145,96.0,145,13,9.0,9,6.2,54,37.2,36,24.8,33,22.8,69,47.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","M",136,132,97.1,132,10,7.6,19,14.4,33,25.0,30,22.7,40,30.3,70,53.0
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","F",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","M",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","F",100,97,97.0,97,"*","*","*","*",15,15.5,43,44.3,22,22.7,65,67.0
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","M",121,120,99.2,120,"*","*","*","*",26,21.7,53,44.2,22,18.3,75,62.5
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","F",34,34,100.0,34,"*","*","*","*",7,20.6,20,58.8,"*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","M",33,33,100.0,33,"*","*","*","*",8,24.2,13,39.4,"*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","F",35,35,100.0,35,"*","*","*","*","*","*",19,54.3,6,17.1,25,71.4
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","M",30,30,100.0,30,"*","*","*","*","*","*",17,56.7,6,20.0,23,76.7
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","F",100,99,99.0,99,10,10.1,15,15.2,22,22.2,42,42.4,10,10.1,52,52.5
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","M",107,106,99.1,106,13,12.3,13,12.3,14,13.2,55,51.9,11,10.4,66,62.3
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","F",37,37,100.0,37,0,0.0,"*","*","*","*",22,59.5,8,21.6,30,81.1
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","M",33,33,100.0,33,"*","*","*","*",8,24.2,9,27.3,6,18.2,15,45.5
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","F",27,27,100.0,27,"*","*","*","*",13,48.1,11,40.7,0,0.0,11,40.7
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","M",32,32,100.0,32,"*","*","*","*",7,21.9,19,59.4,0,0.0,19,59.4
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","F",70,70,100.0,70,"*","*","*","*",12,17.1,38,54.3,11,15.7,49,70.0
