"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",25,24,96.0,24,"*","*","*","*",9,37.5,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",246,243,98.8,243,"*","*","*","*",17,7.0,127,52.3,90,37.0,217,89.3
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",29,29,100.0,29,9,31.0,"*","*",7,24.1,"*","*",0,0.0,"*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",254,254,100.0,254,"*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",38,36,94.7,36,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",186,185,99.5,185,"*","*",6,3.2,61,33.0,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",28,26,92.9,26,"*","*",12,46.2,6,23.1,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",187,187,100.0,187,"*","*","*","*",19,10.2,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Y",28,28,100.0,28,"*","*","*","*",8,28.6,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",100,100,100.0,100,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",46,46,100.0,46,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",54,51,94.4,51,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",177,175,98.9,175,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","N",194,194,100.0,194,"*","*","*","*",33,17.0,"*","*",40,20.6,"*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Y",20,20,100.0,20,"*","*","*","*",8,40.0,"*","*",0,0.0,"*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",193,192,99.5,192,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Y",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",96,95,99.0,94,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N",110,110,100.0,110,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N",86,86,100.0,86,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",101,100,99.0,100,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",71,71,100.0,71,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",41,41,100.0,41,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",174,170,97.7,170,"*","*",6,3.5,57,33.5,"*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",30,29,96.7,29,"*","*",9,31.0,12,41.4,"*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",411,408,99.3,408,"*","*",20,4.9,69,16.9,227,55.6,"*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Y",52,52,100.0,52,12,23.1,17,32.7,14,26.9,"*","*","*","*",9,17.3
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",206,204,99.0,203,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N",123,118,95.9,117,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","N",83,82,98.8,82,33,40.2,16,19.5,"*","*",13,15.9,"*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Y",30,30,100.0,30,22,73.3,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","N",185,167,90.3,162,85,52.5,"*","*",26,16.0,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",63,58,92.1,55,49,89.1,"*","*",0,0.0,0,0.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","N",116,115,99.1,108,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","N",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","N",242,241,99.6,241,73,30.3,"*","*","*","*",56,23.2,0,0.0,56,23.2
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Y",22,20,90.9,20,14,70.0,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","N",75,75,100.0,70,31,44.3,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",22,20,90.9,20,14,70.0,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","N",43,42,97.7,42,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","N",367,328,89.4,325,85,26.2,72,22.2,96,29.5,46,14.2,26,8.0,72,22.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",60,54,90.0,51,36,70.6,9,17.6,6,11.8,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","N",229,229,100.0,229,119,52.0,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Y",34,34,100.0,34,29,85.3,"*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","N",69,69,100.0,69,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","N",114,114,100.0,114,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","N",61,61,100.0,61,22,36.1,"*","*","*","*",7,11.5,0,0.0,7,11.5
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Y",23,23,100.0,23,21,91.3,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","N",143,142,99.3,142,50,35.2,"*","*",34,23.9,17,12.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Y",24,24,100.0,24,"*","*","*","*",0,0.0,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","N",70,67,95.7,67,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","N",25,25,100.0,25,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","N",133,133,100.0,133,29,21.8,38,28.6,"*","*",27,20.3,"*","*","*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Y",22,22,100.0,22,15,68.2,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","N",216,141,65.3,117,56,47.9,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",44,28,63.6,24,22,91.7,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","N",77,77,100.0,77,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","N",65,62,95.4,62,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","N",105,104,99.0,104,41,39.4,"*","*",24,23.1,14,13.5,"*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Y",25,24,96.0,24,"*","*","*","*",0,0.0,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","N",175,171,97.7,171,123,71.9,"*","*",18,10.5,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Y",32,31,96.9,31,"*","*","*","*",0,0.0,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","N",58,57,98.3,57,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","N",81,81,100.0,81,"*","*","*","*",25,30.9,37,45.7,9,11.1,46,56.8
"Bridgeport School District","=""0150011""","Read School","=""0152511""","N",147,143,97.3,143,62,43.4,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Y",21,21,100.0,21,15,71.4,"*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","N",84,84,100.0,84,41,48.8,"*","*",15,17.9,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Y",23,23,100.0,23,"*","*","*","*",0,0.0,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","N",88,88,100.0,88,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","N",132,132,100.0,132,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",206,203,98.5,203,"*","*",19,9.4,91,44.8,49,24.1,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",47,46,97.9,46,19,41.3,"*","*",16,34.8,0,0.0,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",246,241,98.0,241,"*","*",16,6.6,77,32.0,"*","*",73,30.3,"*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",41,36,87.8,36,13,36.1,12,33.3,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N",16,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","N",192,190,99.0,190,7,3.7,12,6.3,"*","*",90,47.4,"*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Y",29,27,93.1,27,11,40.7,6,22.2,"*","*",6,22.2,"*","*","*","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","N",57,57,100.0,57,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","N",170,169,99.4,169,"*","*",17,10.1,"*","*",91,53.8,21,12.4,112,66.3
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Y",37,36,97.3,36,14,38.9,11,30.6,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","N",56,56,100.0,56,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","N",45,45,100.0,45,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","N",111,111,100.0,111,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","N",66,66,100.0,66,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","N",66,66,100.0,66,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","N",184,183,99.5,183,"*","*",13,7.1,37,20.2,89,48.6,"*","*","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Y",35,33,94.3,33,12,36.4,7,21.2,"*","*",7,21.2,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N",202,200,99.0,200,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Y",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","N",343,340,99.1,340,"*","*",6,1.8,30,8.8,160,47.1,"*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Y",49,47,95.9,47,14,29.8,10,21.3,"*","*",14,29.8,"*","*","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","N",189,188,99.5,188,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
