"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",51,47,92.2,47,29,61.7,8,17.0,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",137,137,100.0,137,"*","*",25,18.2,28,20.4,30,21.9,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",85,85,100.0,85,"*","*",7,8.2,18,21.2,47,55.3,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",85,84,98.8,84,19,22.6,"*","*",23,27.4,21,25.0,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",55,55,100.0,55,"*","*",8,14.5,15,27.3,22,40.0,"*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",29,29,100.0,29,"*","*","*","*","*","*",14,48.3,"*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",45,45,100.0,45,0,0.0,0,0.0,"*","*",29,64.4,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",40,39,97.5,39,"*","*","*","*",16,41.0,7,17.9,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",246,245,99.6,244,"*","*","*","*",42,17.2,64,26.2,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",42,42,100.0,42,"*","*","*","*",7,16.7,14,33.3,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",233,230,98.7,230,"*","*","*","*",17,7.4,119,51.7,"*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",39,39,100.0,39,"*","*",11,28.2,14,35.9,9,23.1,"*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",234,234,100.0,234,0,0.0,"*","*",16,6.8,114,48.7,"*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",37,35,94.6,35,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",52,50,96.2,50,"*","*","*","*",17,34.0,8,16.0,6,12.0,14,28.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",162,161,99.4,161,0,0.0,"*","*",50,31.1,"*","*",64,39.8,"*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Y",53,53,100.0,53,11,20.8,"*","*",15,28.3,17,32.1,"*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",162,162,100.0,162,0,0.0,"*","*",12,7.4,94,58.0,"*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",67,67,100.0,67,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Y",20,20,100.0,20,0,0.0,"*","*",7,35.0,6,30.0,"*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",89,89,100.0,89,"*","*","*","*",16,18.0,53,59.6,"*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",42,42,100.0,42,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",50,47,94.0,47,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",49,48,98.0,48,"*","*","*","*",16,33.3,11,22.9,10,20.8,21,43.8
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",146,145,99.3,145,"*","*","*","*",36,24.8,36,24.8,66,45.5,102,70.3
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Y",69,69,100.0,69,12,17.4,"*","*",17,24.6,32,46.4,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","N",145,145,100.0,145,0,0.0,"*","*","*","*",84,57.9,34,23.4,118,81.4
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Y",66,66,100.0,66,"*","*","*","*",15,22.7,25,37.9,16,24.2,41,62.1
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",147,146,99.3,146,0,0.0,"*","*","*","*",66,45.2,63,43.2,129,88.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",58,57,98.3,56,"*","*",15,26.8,18,32.1,6,10.7,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",54,54,100.0,54,"*","*",11,20.4,16,29.6,17,31.5,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y",70,70,100.0,70,"*","*","*","*",24,34.3,18,25.7,0,0.0,18,25.7
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N",54,54,100.0,54,"*","*",8,14.8,20,37.0,19,35.2,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Y",51,51,100.0,51,"*","*","*","*",11,21.6,13,25.5,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N",45,45,100.0,45,"*","*","*","*",12,26.7,20,44.4,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",27,27,100.0,27,"*","*","*","*",12,44.4,7,25.9,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",35,35,100.0,35,"*","*","*","*",10,28.6,15,42.9,"*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Y",30,29,96.7,29,"*","*","*","*","*","*",11,37.9,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",87,86,98.9,86,"*","*","*","*","*","*",43,50.0,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",60,60,100.0,60,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Y",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",32,32,100.0,32,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",70,68,97.1,68,"*","*","*","*",29,42.6,12,17.6,10,14.7,22,32.4
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",134,131,97.8,131,"*","*","*","*",40,30.5,36,27.5,50,38.2,86,65.6
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Y",156,155,99.4,155,"*","*",26,16.8,41,26.5,61,39.4,"*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",307,305,99.3,305,"*","*","*","*",42,13.8,174,57.0,73,23.9,247,81.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",190,188,98.9,187,49,26.2,52,27.8,46,24.6,"*","*","*","*",40,21.4
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",34,34,100.0,34,"*","*",7,20.6,10,29.4,9,26.5,"*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",133,127,95.5,126,10,7.9,17,13.5,38,30.2,26,20.6,35,27.8,61,48.4
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Y",113,112,99.1,112,55,49.1,23,20.5,20,17.9,"*","*","*","*",14,12.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",248,225,90.7,217,134,61.8,52,24.0,26,12.0,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Y",42,42,100.0,42,"*","*",16,38.1,13,31.0,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",129,128,99.2,121,24,19.8,26,21.5,54,44.6,10,8.3,7,5.8,17,14.0
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Y",88,88,100.0,88,15,17.0,20,22.7,16,18.2,31,35.2,6,6.8,37,42.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Y",264,261,98.9,261,87,33.3,63,24.1,55,21.1,56,21.5,0,0.0,56,21.5
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",97,95,97.9,90,45,50.0,27,30.0,16,17.8,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Y",50,49,98.0,49,13,26.5,12,24.5,18,36.7,6,12.2,0,0.0,6,12.2
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y",15,12,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",427,382,89.5,376,121,32.2,81,21.5,102,27.1,46,12.2,26,6.9,72,19.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Y",263,263,100.0,263,148,56.3,47,17.9,40,15.2,"*","*","*","*",28,10.6
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Y",75,75,100.0,75,"*","*",21,28.0,17,22.7,29,38.7,"*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Y",129,129,100.0,129,56,43.4,35,27.1,31,24.0,"*","*","*","*",7,5.4
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Y",84,84,100.0,84,43,51.2,19,22.6,15,17.9,7,8.3,0,0.0,7,8.3
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Y",167,166,99.4,166,72,43.4,40,24.1,34,20.5,"*","*","*","*",20,12.0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Y",78,75,96.2,75,31,41.3,16,21.3,20,26.7,"*","*","*","*",8,10.7
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Y",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Y",155,155,100.0,155,44,28.4,44,28.4,39,25.2,"*","*","*","*",28,18.1
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Y",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Y",28,28,100.0,28,"*","*",9,32.1,8,28.6,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",260,169,65.0,141,78,55.3,30,21.3,26,18.4,"*","*","*","*",7,5.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Y",92,92,100.0,92,11,12.0,17,18.5,21,22.8,35,38.0,8,8.7,43,46.7
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Y",82,78,95.1,78,21,26.9,21,26.9,"*","*",19,24.4,"*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y",130,130,100.0,130,14,10.8,29,22.3,48,36.9,23,17.7,16,12.3,39,30.0
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Y",90,90,100.0,90,12,13.3,12,13.3,18,20.0,37,41.1,11,12.2,48,53.3
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Y",130,128,98.5,128,61,47.7,28,21.9,24,18.8,"*","*","*","*",15,11.7
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Y",207,202,97.6,202,150,74.3,24,11.9,18,8.9,10,5.0,0,0.0,10,5.0
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Y",74,73,98.6,73,14,19.2,24,32.9,20,27.4,15,20.5,0,0.0,15,20.5
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Y",96,96,100.0,96,6,6.3,8,8.3,28,29.2,48,50.0,6,6.3,54,56.3
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Y",81,81,100.0,81,"*","*","*","*",25,30.9,37,45.7,9,11.1,46,56.8
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Y",168,164,97.6,164,77,47.0,36,22.0,30,18.3,"*","*","*","*",21,12.8
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Y",107,107,100.0,107,60,56.1,27,25.2,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Y",106,106,100.0,106,33,31.1,32,30.2,26,24.5,15,14.2,0,0.0,15,14.2
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Y",145,145,100.0,145,17,11.7,29,20.0,46,31.7,45,31.0,8,5.5,53,36.6
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",114,112,98.2,112,"*","*",22,19.6,48,42.9,10,8.9,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",139,137,98.6,137,"*","*","*","*",59,43.1,39,28.5,29,21.2,68,49.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",119,112,94.1,112,"*","*",22,19.6,37,33.0,17,15.2,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",168,165,98.2,165,"*","*","*","*",50,30.3,49,29.7,58,35.2,107,64.8
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Y",102,98,96.1,98,"*","*",12,12.2,23,23.5,39,39.8,"*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","N",119,119,100.0,119,"*","*","*","*",18,15.1,57,47.9,35,29.4,92,77.3
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Y",21,21,100.0,21,"*","*","*","*",8,38.1,"*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","N",46,46,100.0,46,0,0.0,"*","*",7,15.2,"*","*",9,19.6,"*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Y",42,42,100.0,42,"*","*","*","*","*","*",23,54.8,"*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","N",23,23,100.0,23,0,0.0,0,0.0,"*","*",13,56.5,"*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Y",125,123,98.4,123,"*","*",20,16.3,22,17.9,50,40.7,"*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","N",82,82,100.0,82,"*","*","*","*",14,17.1,47,57.3,12,14.6,59,72.0
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Y",29,29,100.0,29,"*","*","*","*",8,27.6,7,24.1,"*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","N",41,41,100.0,41,0,0.0,"*","*",6,14.6,24,58.5,"*","*","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Y",35,35,100.0,35,"*","*","*","*",14,40.0,13,37.1,0,0.0,13,37.1
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","N",24,24,100.0,24,0,0.0,"*","*","*","*",17,70.8,0,0.0,17,70.8
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Y",60,60,100.0,60,"*","*",8,13.3,9,15.0,30,50.0,"*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","N",69,69,100.0,69,0,0.0,0,0.0,"*","*",36,52.2,"*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Y",34,34,100.0,34,"*","*","*","*",9,26.5,14,41.2,0,0.0,14,41.2
"Bristol School District","=""0170011""","South Side School","=""0171111""","N",39,39,100.0,39,"*","*","*","*",8,20.5,22,56.4,"*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Y",44,44,100.0,44,"*","*","*","*","*","*",24,54.5,"*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","N",28,28,100.0,28,0,0.0,"*","*","*","*",16,57.1,"*","*","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Y",128,125,97.7,125,"*","*","*","*",33,26.4,45,36.0,12,9.6,57,45.6
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","N",91,91,100.0,91,"*","*","*","*",10,11.0,51,56.0,26,28.6,77,84.6
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Y",36,35,97.2,35,0,0.0,"*","*",18,51.4,8,22.9,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N",185,183,98.9,183,0,0.0,"*","*","*","*",54,29.5,79,43.2,133,72.7
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Y",91,89,97.8,89,"*","*","*","*",13,14.6,37,41.6,9,10.1,46,51.7
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","N",301,298,99.0,298,"*","*","*","*",23,7.7,137,46.0,132,44.3,269,90.3
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Y",70,68,97.1,68,"*","*","*","*",12,17.6,32,47.1,11,16.2,43,63.2
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","N",139,139,100.0,139,"*","*","*","*",15,10.8,78,56.1,43,30.9,121,87.1
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Y",44,44,100.0,44,"*","*","*","*",7,15.9,24,54.5,"*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","N",71,71,100.0,71,0,0.0,"*","*",13,18.3,46,64.8,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Y",30,27,90.0,27,"*","*","*","*",6,22.2,8,29.6,8,29.6,16,59.3
"Canton School District","=""0230011""","Canton High School","=""0236111""","N",96,95,99.0,95,0,0.0,0,0.0,8,8.4,31,32.6,56,58.9,87,91.6
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Y",25,25,100.0,25,"*","*","*","*",6,24.0,7,28.0,"*","*","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","N",112,112,100.0,112,"*","*","*","*",6,5.4,49,43.8,"*","*","*","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Y",34,34,100.0,34,"*","*","*","*",8,23.5,18,52.9,"*","*","*","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","N",106,106,100.0,106,0,0.0,"*","*",9,8.5,64,60.4,"*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Y",43,42,97.7,42,15,35.7,"*","*",10,23.8,"*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N",33,33,100.0,33,8,24.2,13,39.4,"*","*","*","*",0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Y",103,99,96.1,97,18,18.6,"*","*",32,33.0,22,22.7,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","N",115,115,100.0,115,0,0.0,"*","*","*","*",35,30.4,65,56.5,100,87.0
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Y",27,27,100.0,27,"*","*","*","*","*","*",7,25.9,0,0.0,7,25.9
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","N",36,36,100.0,36,0,0.0,"*","*","*","*",16,44.4,13,36.1,29,80.6
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Y",69,62,89.9,62,"*","*",18,29.0,19,30.6,"*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","N",43,42,97.7,41,"*","*",7,17.1,13,31.7,"*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Y",63,62,98.4,62,"*","*","*","*",11,17.7,18,29.0,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","N",42,42,100.0,42,"*","*","*","*",8,19.0,22,52.4,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Y",35,35,100.0,35,"*","*","*","*","*","*",12,34.3,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","N",24,24,100.0,24,0,0.0,"*","*","*","*",10,41.7,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Y",20,16,80.0,15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Y",118,118,100.0,118,"*","*","*","*",44,37.3,26,22.0,"*","*","*","*"
