"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",74,74,100.0,74,"*","*","*","*",12,16.2,32,43.2,25,33.8,57,77.0
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",94,94,100.0,94,"*","*","*","*",18,19.1,53,56.4,17,18.1,70,74.5
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",47,46,97.9,46,0,0.0,"*","*","*","*",21,45.7,13,28.3,34,73.9
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","F",22,21,95.5,21,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",158,157,99.4,157,"*","*","*","*",40,25.5,37,23.6,67,42.7,104,66.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","F",32,32,100.0,32,"*","*",0,0.0,7,21.9,16,50.0,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","N",159,159,100.0,159,"*","*","*","*",27,17.0,87,54.7,34,21.4,121,76.1
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","R",23,23,100.0,23,"*","*",0,0.0,7,30.4,13,56.5,"*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","F",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",162,161,99.4,161,"*","*","*","*",18,11.2,70,43.5,66,41.0,136,84.5
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","R",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","F",44,43,97.7,43,12,27.9,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",59,59,100.0,59,"*","*",13,22.0,18,30.5,18,30.5,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","R",9,9,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","F",51,51,100.0,51,7,13.7,14,27.5,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N",59,59,100.0,59,"*","*","*","*",21,35.6,20,33.9,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","F",39,39,100.0,39,13,33.3,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N",48,48,100.0,48,"*","*",6,12.5,13,27.1,20,41.7,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",37,37,100.0,37,"*","*","*","*",11,29.7,15,40.5,6,16.2,21,56.8
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",98,96,98.0,96,"*","*","*","*",12,12.5,45,46.9,31,32.3,76,79.2
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",63,63,100.0,63,0,0.0,"*","*",23,36.5,23,36.5,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",42,41,97.6,41,0,0.0,0,0.0,"*","*",26,63.4,"*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","F",38,38,100.0,38,"*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",157,152,96.8,152,"*","*","*","*",50,32.9,37,24.3,51,33.6,88,57.9
"Branford School District","=""0140011""","Branford High School","=""0146111""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","F",93,92,98.9,92,"*","*","*","*",21,22.8,45,48.9,"*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",349,347,99.4,347,13,3.7,24,6.9,55,15.9,181,52.2,74,21.3,255,73.5
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","R",21,21,100.0,21,"*","*","*","*",7,33.3,9,42.9,"*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","F",160,159,99.4,159,41,25.8,43,27.0,42,26.4,"*","*","*","*",33,20.8
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",40,40,100.0,40,8,20.0,9,22.5,"*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","R",24,23,95.8,22,6,27.3,7,31.8,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","F",133,127,95.5,126,10,7.9,17,13.5,38,30.2,26,20.6,35,27.8,61,48.4
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","F",113,112,99.1,112,55,49.1,23,20.5,20,17.9,"*","*","*","*",14,12.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","F",248,225,90.7,217,134,61.8,52,24.0,26,12.0,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","F",42,42,100.0,42,"*","*",16,38.1,13,31.0,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","F",129,128,99.2,121,24,19.8,26,21.5,54,44.6,10,8.3,7,5.8,17,14.0
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","F",88,88,100.0,88,15,17.0,20,22.7,16,18.2,31,35.2,6,6.8,37,42.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","F",264,261,98.9,261,87,33.3,63,24.1,55,21.1,56,21.5,0,0.0,56,21.5
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","F",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","F",97,95,97.9,90,45,50.0,27,30.0,16,17.8,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","F",50,49,98.0,49,13,26.5,12,24.5,18,36.7,6,12.2,0,0.0,6,12.2
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","F",15,12,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","F",427,382,89.5,376,121,32.2,81,21.5,102,27.1,46,12.2,26,6.9,72,19.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","F",263,263,100.0,263,148,56.3,47,17.9,40,15.2,"*","*","*","*",28,10.6
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","F",75,75,100.0,75,"*","*",21,28.0,17,22.7,29,38.7,"*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","F",129,129,100.0,129,56,43.4,35,27.1,31,24.0,"*","*","*","*",7,5.4
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","F",84,84,100.0,84,43,51.2,19,22.6,15,17.9,7,8.3,0,0.0,7,8.3
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","F",167,166,99.4,166,72,43.4,40,24.1,34,20.5,"*","*","*","*",20,12.0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","F",78,75,96.2,75,31,41.3,16,21.3,20,26.7,"*","*","*","*",8,10.7
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","F",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","F",155,155,100.0,155,44,28.4,44,28.4,39,25.2,"*","*","*","*",28,18.1
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","F",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","F",28,28,100.0,28,"*","*",9,32.1,8,28.6,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","F",260,169,65.0,141,78,55.3,30,21.3,26,18.4,"*","*","*","*",7,5.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","F",92,92,100.0,92,11,12.0,17,18.5,21,22.8,35,38.0,8,8.7,43,46.7
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","F",82,78,95.1,78,21,26.9,21,26.9,"*","*",19,24.4,"*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","F",130,130,100.0,130,14,10.8,29,22.3,48,36.9,23,17.7,16,12.3,39,30.0
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","F",90,90,100.0,90,12,13.3,12,13.3,18,20.0,37,41.1,11,12.2,48,53.3
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","F",130,128,98.5,128,61,47.7,28,21.9,24,18.8,"*","*","*","*",15,11.7
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","F",207,202,97.6,202,150,74.3,24,11.9,18,8.9,10,5.0,0,0.0,10,5.0
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","F",74,73,98.6,73,14,19.2,24,32.9,20,27.4,15,20.5,0,0.0,15,20.5
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","F",96,96,100.0,96,6,6.3,8,8.3,28,29.2,48,50.0,6,6.3,54,56.3
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","F",81,81,100.0,81,"*","*","*","*",25,30.9,37,45.7,9,11.1,46,56.8
"Bridgeport School District","=""0150011""","Read School","=""0152511""","F",168,164,97.6,164,77,47.0,36,22.0,30,18.3,"*","*","*","*",21,12.8
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","F",107,107,100.0,107,60,56.1,27,25.2,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","F",106,106,100.0,106,33,31.1,32,30.2,26,24.5,15,14.2,0,0.0,15,14.2
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","F",145,145,100.0,145,17,11.7,29,20.0,46,31.7,45,31.0,8,5.5,53,36.6
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","F",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","F",78,76,97.4,76,18,23.7,13,17.1,"*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",158,156,98.7,156,"*","*","*","*",67,42.9,39,25.0,29,18.6,68,43.6
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","R",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","F",82,76,92.7,76,15,19.7,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",189,185,97.9,185,"*","*","*","*",57,30.8,50,27.0,58,31.4,108,58.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","R",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","F",74,71,95.9,71,10,14.1,9,12.7,"*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","N",132,132,100.0,132,"*","*","*","*",19,14.4,61,46.2,36,27.3,97,73.5
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","R",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","N",52,52,100.0,52,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","F",33,33,100.0,33,"*","*","*","*","*","*",18,54.5,"*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","N",24,24,100.0,24,0,0.0,"*","*","*","*","*","*",7,29.2,"*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","F",87,86,98.9,86,16,18.6,"*","*",16,18.6,34,39.5,"*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","N",95,94,98.9,94,"*","*","*","*","*","*",47,50.0,12,12.8,59,62.8
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","R",25,25,100.0,25,"*","*","*","*","*","*",16,64.0,"*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","N",46,46,100.0,46,0,0.0,"*","*","*","*",24,52.2,10,21.7,34,73.9
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","F","*","*","*","*","*","*","*","*",12,46.2,"*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","N",31,31,100.0,31,"*","*","*","*","*","*",19,61.3,0,0.0,19,61.3
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","F",37,37,100.0,37,"*","*",6,16.2,"*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","N",80,80,100.0,80,"*","*","*","*",15,18.8,42,52.5,20,25.0,62,77.5
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","F","*","*","*","*",0,0.0,"*","*","*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","N",44,44,100.0,44,"*","*",6,13.6,8,18.2,22,50.0,"*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","F",34,34,100.0,34,"*","*","*","*",9,26.5,18,52.9,"*","*","*","*"
