"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",48,48,100.0,48,"*","*","*","*",15,31.3,24,50.0,"*","*","*","*",249
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",42,42,100.0,42,"*","*","*","*",14,33.3,18,42.9,"*","*","*","*",253
"Bridgeport School District","=""0150011""","Read School","=""0152511""",78,77,98.7,77,27,35.1,20,26.0,20,26.0,"*","*","*","*",10,13.0,203
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",59,59,100.0,59,29,49.2,20,33.9,"*","*","*","*",0,0.0,"*","*",185
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",48,48,100.0,48,11,22.9,17,35.4,13,27.1,7,14.6,0,0.0,7,14.6,210
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",73,73,100.0,73,"*","*",17,23.3,26,35.6,23,31.5,"*","*","*","*",235
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",67,67,100.0,67,"*","*",6,9.0,15,22.4,33,49.3,9,13.4,42,62.7,259
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",65,65,100.0,65,"*","*","*","*",10,15.4,36,55.4,12,18.5,48,73.8,264
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",114,113,99.1,113,10,8.8,20,17.7,18,15.9,46,40.7,19,16.8,65,57.5,255
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",70,70,100.0,70,"*","*","*","*",14,20.0,31,44.3,14,20.0,45,64.3,261
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",59,59,100.0,59,"*","*","*","*",20,33.9,30,50.8,0,0.0,30,50.8,245
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",73,73,100.0,73,"*","*",12,16.4,17,23.3,36,49.3,"*","*","*","*",247
"Bristol School District","=""0170011""","Stafford School","=""0171211""",72,72,100.0,72,"*","*","*","*",15,20.8,40,55.6,8,11.1,48,66.7,260
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",114,113,99.1,113,7,6.2,14,12.4,21,18.6,46,40.7,25,22.1,71,62.8,259
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",191,188,98.4,188,7,3.7,8,4.3,20,10.6,81,43.1,72,38.3,153,81.4,284
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",102,102,100.0,102,"*","*","*","*",17,16.7,47,46.1,30,29.4,77,75.5,277
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",137,137,100.0,137,"*","*","*","*",12,8.8,56,40.9,55,40.1,111,81.0,284
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",63,63,100.0,63,"*","*","*","*",16,25.4,23,36.5,13,20.6,36,57.1,256
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",59,59,100.0,59,"*","*","*","*",13,22.0,22,37.3,10,16.9,32,54.2,248
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",43,41,95.3,41,0,0.0,"*","*",13,31.7,17,41.5,"*","*","*","*",258
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",38,38,100.0,38,"*","*",7,18.4,9,23.7,13,34.2,"*","*","*","*",230
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",53,52,98.1,52,"*","*",13,25.0,12,23.1,15,28.8,"*","*","*","*",225
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",57,56,98.2,56,"*","*",7,12.5,12,21.4,27,48.2,"*","*","*","*",253
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",22,22,100.0,22,"*","*","*","*",7,31.8,12,54.5,"*","*","*","*",254
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",52,52,100.0,52,"*","*",0,0.0,"*","*",32,61.5,16,30.8,48,92.3,285
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",93,93,100.0,93,"*","*","*","*",18,19.4,44,47.3,24,25.8,68,73.1,272
"Cheshire School District","=""0250011""","Highland School","=""0250411""",130,130,100.0,130,"*","*","*","*",17,13.1,59,45.4,48,36.9,107,82.3,286
"Cheshire School District","=""0250011""","Norton School","=""0250511""",72,71,98.6,71,0,0.0,"*","*","*","*",25,35.2,40,56.3,65,91.5,304
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",35,35,100.0,35,0,0.0,0,0.0,8,22.9,15,42.9,12,34.3,27,77.1,283
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",176,176,100.0,176,"*","*","*","*",35,19.9,82,46.6,46,26.1,128,72.7,271
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",57,57,100.0,57,"*","*","*","*",10,17.5,27,47.4,15,26.3,42,73.7,270
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",41,41,100.0,41,"*","*","*","*","*","*","*","*","*","*","*","*",260
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",115,114,99.1,114,0,0.0,6,5.3,17,14.9,52,45.6,39,34.2,91,79.8,282
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",64,64,100.0,64,12,18.8,16,25.0,22,34.4,14,21.9,0,0.0,14,21.9,215
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",55,54,98.2,54,15,27.8,"*","*","*","*",19,35.2,8,14.8,27,50.0,231
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",65,64,98.5,64,6,9.4,14,21.9,16,25.0,20,31.3,8,12.5,28,43.8,241
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",190,188,98.9,188,16,8.5,28,14.9,48,25.5,71,37.8,25,13.3,96,51.1,248
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",52,52,100.0,52,"*","*",17,32.7,18,34.6,10,19.2,"*","*","*","*",223
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",87,87,100.0,87,16,18.4,13,14.9,21,24.1,29,33.3,8,9.2,37,42.5,234
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",59,58,98.3,58,"*","*",7,12.1,19,32.8,23,39.7,"*","*","*","*",249
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",87,86,98.9,86,8,9.3,18,20.9,20,23.3,33,38.4,7,8.1,40,46.5,240
"Danbury School District","=""0340011""","South Street School","=""0341011""",58,57,98.3,57,"*","*",15,26.3,17,29.8,17,29.8,"*","*","*","*",226
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",90,90,100.0,90,12,13.3,16,17.8,24,26.7,31,34.4,7,7.8,38,42.2,239
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",60,59,98.3,59,0,0.0,"*","*","*","*",28,47.5,12,20.3,40,67.8,266
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",94,93,98.9,93,0,0.0,"*","*","*","*",35,37.6,47,50.5,82,88.2,295
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",67,67,100.0,67,"*","*","*","*",12,17.9,24,35.8,28,41.8,52,77.6,287
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",69,69,100.0,69,"*","*","*","*",8,11.6,37,53.6,21,30.4,58,84.1,281
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",63,63,100.0,63,0,0.0,"*","*","*","*",30,47.6,19,30.2,49,77.8,276
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",60,60,100.0,60,0,0.0,"*","*","*","*",27,45.0,27,45.0,54,90.0,291
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",55,55,100.0,55,"*","*","*","*",19,34.5,"*","*",6,10.9,"*","*",244
"Derby School District","=""0370011""","Irving School","=""0370411""","*","*","*","*","*","*",11,21.2,"*","*",21,40.4,"*","*","*","*","*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",73,73,100.0,73,"*","*","*","*",11,15.1,28,38.4,30,41.1,58,79.5,286
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Center School","=""0420311""",134,130,97.0,130,"*","*","*","*",20,15.4,63,48.5,32,24.6,95,73.1,269
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",43,43,100.0,43,12,27.9,9,20.9,16,37.2,6,14.0,0,0.0,"*","*",212
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",58,58,100.0,58,12,20.7,"*","*",18,31.0,15,25.9,"*","*","*","*",225
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",50,50,100.0,50,13,26.0,10,20.0,20,40.0,"*","*","*","*",7,14.0,214
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",92,92,100.0,92,12,13.0,"*","*",35,38.0,35,38.0,"*","*","*","*",234
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",63,63,100.0,63,"*","*",7,11.1,"*","*",31,49.2,14,22.2,45,71.4,265
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",37,37,100.0,37,"*","*","*","*",16,43.2,12,32.4,0,0.0,12,32.4,230
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",50,50,100.0,50,"*","*",11,22.0,15,30.0,16,32.0,"*","*","*","*",235
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",75,75,100.0,75,"*","*",20,26.7,22,29.3,18,24.0,"*","*","*","*",219
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",36,36,100.0,36,9,25.0,12,33.3,9,25.0,"*","*","*","*",6,16.7,211
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",40,40,100.0,40,"*","*","*","*",9,22.5,18,45.0,6,15.0,24,60.0,253
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",64,64,100.0,64,"*","*","*","*",15,23.4,28,43.8,9,14.1,37,57.8,256
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",51,51,100.0,51,"*","*","*","*",19,37.3,24,47.1,"*","*","*","*",252
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",50,50,100.0,50,"*","*",6,12.0,17,34.0,17,34.0,"*","*","*","*",239
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",121,120,99.2,120,"*","*","*","*",8,6.7,54,45.0,51,42.5,105,87.5,290
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",217,217,100.0,217,"*","*","*","*",24,11.1,104,47.9,79,36.4,183,84.3,282
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",69,69,100.0,69,19,27.5,16,23.2,16,23.2,18,26.1,0,0.0,18,26.1,213
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",113,113,100.0,113,"*","*",13,11.5,40,35.4,47,41.6,"*","*","*","*",249
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",138,138,100.0,138,"*","*",13,9.4,23,16.7,69,50.0,27,19.6,96,69.6,266
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",141,141,100.0,141,"*","*","*","*",31,22.0,62,44.0,30,21.3,92,65.2,262
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",69,67,97.1,67,"*","*",0,0.0,"*","*",30,44.8,26,38.8,56,83.6,283
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*","*","*","*",0,0.0,"*","*","*","*",23,51.1,15,33.3,38,84.4,"*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",60,60,100.0,60,"*","*","*","*",7,11.7,32,53.3,16,26.7,48,80.0,277
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",56,56,100.0,56,"*","*","*","*",8,14.3,23,41.1,23,41.1,46,82.1,287
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",73,73,100.0,73,"*","*",12,16.4,20,27.4,26,35.6,"*","*","*","*",249
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",66,66,100.0,66,"*","*","*","*",11,16.7,33,50.0,16,24.2,49,74.2,273
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",81,80,98.8,80,"*","*","*","*",12,15.0,37,46.3,25,31.3,62,77.5,274
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",90,90,100.0,90,"*","*","*","*","*","*",31,34.4,52,57.8,83,92.2,303
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",63,63,100.0,63,0,0.0,0,0.0,"*","*","*","*",46,73.0,"*","*",318
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",71,71,100.0,71,0,0.0,"*","*",12,16.9,35,49.3,23,32.4,58,81.7,284
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",92,92,100.0,92,"*","*","*","*",11,12.0,49,53.3,26,28.3,75,81.5,278
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",311,309,99.4,309,"*","*","*","*",23,7.4,120,38.8,152,49.2,272,88.0,297
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",83,83,100.0,83,"*","*","*","*",9,10.8,36,43.4,33,39.8,69,83.1,287
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",41,41,100.0,41,0,0.0,"*","*","*","*",12,29.3,26,63.4,38,92.7,313
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",78,78,100.0,78,0,0.0,0,0.0,"*","*","*","*",48,61.5,"*","*",310
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",76,76,100.0,76,0,0.0,"*","*","*","*",33,43.4,32,42.1,65,85.5,291
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",68,68,100.0,68,"*","*","*","*",9,13.2,32,47.1,17,25.0,49,72.1,263
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",95,94,98.9,94,0,0.0,"*","*","*","*",38,40.4,52,55.3,90,95.7,302
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",60,60,100.0,60,0,0.0,"*","*","*","*",21,35.0,33,55.0,54,90.0,307
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",64,64,100.0,64,"*","*","*","*","*","*",25,39.1,33,51.6,58,90.6,298
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",73,73,100.0,73,"*","*","*","*",12,16.4,33,45.2,21,28.8,54,74.0,273
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",79,79,100.0,79,"*","*","*","*","*","*",40,50.6,29,36.7,69,87.3,284
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",55,55,100.0,55,"*","*",10,18.2,13,23.6,18,32.7,"*","*","*","*",234
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",61,61,100.0,61,0,0.0,"*","*","*","*",24,39.3,31,50.8,55,90.2,298
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",55,54,98.2,54,"*","*","*","*",9,16.7,24,44.4,13,24.1,37,68.5,262
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",38,38,100.0,38,"*","*","*","*",11,28.9,15,39.5,"*","*","*","*",248
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",76,76,100.0,76,0,0.0,"*","*","*","*",31,40.8,35,46.1,66,86.8,295
"Greenwich School District","=""0570011""","North Street School","=""0570811""",58,57,98.3,57,0,0.0,"*","*","*","*",26,45.6,25,43.9,51,89.5,289
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",80,80,100.0,80,"*","*","*","*",9,11.3,37,46.3,31,38.8,68,85.0,286
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",33,32,97.0,32,0,0.0,0,0.0,"*","*",19,59.4,"*","*","*","*",287
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",82,82,100.0,82,0,0.0,"*","*","*","*",36,43.9,38,46.3,74,90.2,291
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",52,52,100.0,52,"*","*",9,17.3,"*","*",21,40.4,9,17.3,30,57.7,250
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",38,38,100.0,38,0,0.0,"*","*","*","*",21,55.3,13,34.2,34,89.5,287
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",63,63,100.0,63,7,11.1,9,14.3,9,14.3,25,39.7,13,20.6,38,60.3,254
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","*","*","*","*","*","*","*","*",8,26.7,"*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",52,52,100.0,52,"*","*",7,13.5,12,23.1,26,50.0,"*","*","*","*",255
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",37,36,97.3,36,"*","*",0,0.0,12,33.3,19,52.8,"*","*","*","*",262
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",36,36,100.0,36,0,0.0,"*","*","*","*",15,41.7,12,33.3,27,75.0,280
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",294,293,99.7,293,10,3.4,20,6.8,42,14.3,152,51.9,69,23.5,221,75.4,269
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",74,74,100.0,74,"*","*","*","*",13,17.6,38,51.4,12,16.2,50,67.6,262
"Hamden School District","=""0620011""","Church Street School","=""0620211""",35,35,100.0,35,11,31.4,6,17.1,11,31.4,7,20.0,0,0.0,7,20.0,212
