"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",96,96,100.0,96,"*","*","*","*",23,24.0,33,34.4,"*","*","*","*",239
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",33,33,100.0,33,"*","*","*","*",9,27.3,15,45.5,"*","*","*","*",246
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",22,21,95.5,21,0,0.0,0,0.0,"*","*",12,57.1,"*","*","*","*",273
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",91,90,98.9,90,20,22.2,"*","*",23,25.6,24,26.7,"*","*","*","*",230
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",50,50,100.0,50,28,56.0,"*","*",9,18.0,"*","*",0,0.0,"*","*",202
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",46,46,100.0,46,12,26.1,9,19.6,9,19.6,16,34.8,0,0.0,16,34.8,225
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",157,154,98.1,154,63,40.9,27,17.5,31,20.1,33,21.4,0,0.0,33,21.4,214
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",134,134,100.0,134,88,65.7,20,14.9,15,11.2,"*","*","*","*",11,8.2,194
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",33,33,100.0,33,"*","*","*","*",6,18.2,17,51.5,0,0.0,17,51.5,239
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",49,49,100.0,49,22,44.9,"*","*",13,26.5,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",44,44,100.0,44,30,68.2,7,15.9,"*","*","*","*",0,0.0,"*","*",187
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",101,101,100.0,101,50,49.5,22,21.8,17,16.8,"*","*","*","*",12,11.9,204
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",44,42,95.5,42,15,35.7,9,21.4,11,26.2,"*","*","*","*",7,16.7,213
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",78,78,100.0,78,27,34.6,18,23.1,"*","*",18,23.1,"*","*","*","*",218
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",50,50,100.0,50,7,14.0,"*","*",8,16.0,25,50.0,"*","*","*","*",248
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",42,38,90.5,38,15,39.5,11,28.9,"*","*",6,15.8,"*","*","*","*",213
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",45,45,100.0,45,"*","*",6,13.3,7,15.6,22,48.9,"*","*","*","*",248
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",80,78,97.5,78,43,55.1,13,16.7,12,15.4,10,12.8,0,0.0,10,12.8,201
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",118,114,96.6,114,91,79.8,10,8.8,"*","*","*","*",0,0.0,"*","*",182
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",48,48,100.0,48,"*","*","*","*",13,27.1,24,50.0,"*","*","*","*",247
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",39,39,100.0,39,"*","*","*","*",11,28.2,19,48.7,"*","*","*","*",257
"Bridgeport School District","=""0150011""","Read School","=""0152511""",90,87,96.7,87,50,57.5,16,18.4,10,11.5,11,12.6,0,0.0,11,12.6,201
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",48,48,100.0,48,31,64.6,"*","*",7,14.6,"*","*",0,0.0,"*","*",196
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",58,58,100.0,58,22,37.9,15,25.9,13,22.4,8,13.8,0,0.0,8,13.8,209
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",72,72,100.0,72,13,18.1,"*","*",20,27.8,22,30.6,"*","*","*","*",238
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",221,217,98.2,217,18,8.3,18,8.3,41,18.9,96,44.2,44,20.3,140,64.5,262
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",93,92,98.9,92,13,14.1,"*","*",18,19.6,51,55.4,"*","*","*","*",245
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",129,129,100.0,129,8,6.2,8,6.2,22,17.1,66,51.2,25,19.4,91,70.5,263
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",105,103,98.1,103,12,11.7,6,5.8,22,21.4,50,48.5,13,12.6,63,61.2,256
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",201,199,99.0,199,13,6.5,8,4.0,16,8.0,93,46.7,69,34.7,162,81.4,277
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",63,63,100.0,63,"*","*","*","*",11,17.5,44,69.8,"*","*","*","*",255
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",140,140,100.0,140,"*","*","*","*",17,12.1,82,58.6,32,22.9,114,81.4,273
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",38,38,100.0,38,12,31.6,7,18.4,8,21.1,11,28.9,0,0.0,11,28.9,223
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",109,109,100.0,109,"*","*","*","*",18,16.5,41,37.6,32,29.4,73,67.0,265
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",105,104,99.0,104,20,19.2,15,14.4,19,18.3,40,38.5,10,9.6,50,48.1,242
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",63,63,100.0,63,7,11.1,"*","*",21,33.3,29,46.0,"*","*","*","*",241
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",106,105,99.1,105,12,11.4,18,17.1,21,20.0,41,39.0,13,12.4,54,51.4,249
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",53,53,100.0,53,12,22.6,"*","*",10,18.9,22,41.5,"*","*","*","*",236
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",198,197,99.5,197,24,12.2,19,9.6,22,11.2,86,43.7,46,23.4,132,67.0,262
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",160,159,99.4,159,9,5.7,9,5.7,23,14.5,78,49.1,40,25.2,118,74.2,271
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",189,189,100.0,189,"*","*","*","*",24,12.7,101,53.4,51,27.0,152,80.4,276
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",59,59,100.0,59,"*","*","*","*",10,16.9,34,57.6,8,13.6,42,71.2,260
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",28,28,100.0,28,"*","*","*","*","*","*",15,53.6,"*","*","*","*",253
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",25,25,100.0,25,"*","*","*","*","*","*",6,24.0,0,0.0,6,24.0,216
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",138,136,98.6,136,"*","*",10,7.4,"*","*",86,63.2,30,22.1,116,85.3,275
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",352,350,99.4,350,59,16.9,"*","*",92,26.3,148,42.3,"*","*","*","*",239
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",352,349,99.1,349,94,26.9,55,15.8,73,20.9,112,32.1,15,4.3,127,36.4,228
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""","*","*","*","*","*","*","*","*","*","*","*","*",17,17.0,"*","*","*"
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",373,369,98.9,369,"*","*","*","*",20,5.4,161,43.6,176,47.7,337,91.3,294
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",96,95,99.0,95,23,24.2,22,23.2,16,16.8,27,28.4,7,7.4,34,35.8,230
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",62,62,100.0,62,"*","*","*","*",10,16.1,32,51.6,12,19.4,44,71.0,265
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",148,146,98.6,146,"*","*","*","*",23,15.8,72,49.3,37,25.3,109,74.7,271
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",476,471,98.9,471,160,34.0,73,15.5,84,17.8,123,26.1,31,6.6,154,32.7,227
"East Hartford School District","=""0430011""","Hartford Detention Center","=""3480315""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",44,44,100.0,44,"*","*","*","*",12,27.3,23,52.3,"*","*","*","*",253
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",202,199,98.5,199,52,26.1,32,16.1,44,22.1,63,31.7,8,4.0,71,35.7,230
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",216,213,98.6,213,9,4.2,8,3.8,32,15.0,121,56.8,43,20.2,164,77.0,270
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",212,212,100.0,212,13,6.1,12,5.7,28,13.2,115,54.2,44,20.8,159,75.0,268
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",60,60,100.0,60,14,23.3,13,21.7,20,33.3,"*","*","*","*",13,21.7,223
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",352,350,99.4,350,24,6.9,42,12.0,56,16.0,170,48.6,58,16.6,228,65.1,259
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",294,291,99.0,291,13,4.5,8,2.7,30,10.3,166,57.0,74,25.4,240,82.5,274
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",272,271,99.6,271,"*","*","*","*",25,9.2,137,50.6,100,36.9,237,87.5,286
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",225,221,98.2,221,14,6.3,10,4.5,21,9.5,123,55.7,53,24.0,176,79.6,270
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",292,289,99.0,289,6,2.1,8,2.8,35,12.1,155,53.6,85,29.4,240,83.0,279
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",21,21,100.0,21,"*","*","*","*","*","*",10,47.6,"*","*","*","*",260
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",157,155,98.7,155,"*","*","*","*",16,10.3,93,60.0,39,25.2,132,85.2,279
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",186,186,100.0,186,"*","*","*","*",22,11.8,107,57.5,42,22.6,149,80.1,272
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",260,260,100.0,260,"*","*","*","*",13,5.0,135,51.9,103,39.6,238,91.5,288
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",188,186,98.9,186,15,8.1,14,7.5,28,15.1,87,46.8,42,22.6,129,69.4,264
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",148,148,100.0,148,10,6.8,18,12.2,21,14.2,77,52.0,22,14.9,99,66.9,259
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",134,133,99.3,133,15,11.3,"*","*",24,18.0,63,47.4,22,16.5,85,63.9,256
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",288,288,100.0,288,11,3.8,15,5.2,30,10.4,183,63.5,49,17.0,232,80.6,270
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",411,406,98.8,406,72,17.7,49,12.1,85,20.9,167,41.1,33,8.1,200,49.3,242
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",66,65,98.5,65,37,56.9,14,21.5,"*","*","*","*",0,0.0,"*","*",198
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",54,54,100.0,54,32,59.3,10,18.5,"*","*","*","*",0,0.0,"*","*",196
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",29,29,100.0,29,9,31.0,"*","*",8,27.6,7,24.1,"*","*","*","*",225
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",50,50,100.0,50,32,64.0,9,18.0,"*","*","*","*",0,0.0,"*","*",197
"Hartford School District","=""0640011""","Burr School","=""0642311""",54,54,100.0,54,26,48.1,15,27.8,"*","*","*","*",0,0.0,"*","*",199
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",51,51,100.0,51,"*","*",11,21.6,10,19.6,16,31.4,"*","*","*","*",238
"Hartford School District","=""0640011""","Clark School","=""0642411""",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",124,124,100.0,124,36,29.0,"*","*",27,21.8,38,30.6,"*","*","*","*",226
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",56,53,94.6,53,23,43.4,12,22.6,9,17.0,9,17.0,0,0.0,9,17.0,209
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",58,58,100.0,58,10,17.2,7,12.1,12,20.7,20,34.5,9,15.5,29,50.0,247
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",28,27,96.4,27,8,29.6,10,37.0,"*","*","*","*",0,0.0,"*","*",210
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",44,44,100.0,44,19,43.2,7,15.9,11,25.0,7,15.9,0,0.0,7,15.9,209
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",208,208,100.0,208,44,21.2,21,10.1,41,19.7,79,38.0,23,11.1,102,49.0,243
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",49,47,95.9,47,27,57.4,8,17.0,6,12.8,6,12.8,0,0.0,6,12.8,197
"Hartford School District","=""0640011""","LC - Burns","=""0649611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",46,46,100.0,46,36,78.3,"*","*","*","*","*","*",0,0.0,"*","*",185
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",36,36,100.0,36,14,38.9,11,30.6,"*","*","*","*",0,0.0,"*","*",207
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",82,82,100.0,81,52,64.2,8,9.9,13,16.0,8,9.9,0,0.0,8,9.9,196
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",37,36,97.3,36,18,50.0,"*","*",10,27.8,"*","*",0,0.0,"*","*",204
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",49,49,100.0,49,"*","*","*","*",7,14.3,21,42.9,17,34.7,38,77.6,279
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",79,79,100.0,79,13,16.5,"*","*",22,27.8,31,39.2,"*","*","*","*",236
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",21,21,100.0,21,"*","*","*","*","*","*",13,61.9,0,0.0,13,61.9,251
"Hartford School District","=""0640011""","SAND School","=""0640111""",34,33,97.1,33,20,60.6,7,21.2,"*","*","*","*",0,0.0,"*","*",191
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",40,40,100.0,40,"*","*","*","*",7,17.5,13,32.5,12,30.0,25,62.5,262
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",42,42,100.0,42,22,52.4,8,19.0,6,14.3,6,14.3,0,0.0,6,14.3,205
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",25,25,100.0,25,17,68.0,"*","*",6,24.0,"*","*",0,0.0,"*","*",196
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",87,87,100.0,87,18,20.7,"*","*",20,23.0,34,39.1,"*","*","*","*",245
"Hartford School District","=""0640011""","West Middle School","=""0642111""",32,31,96.9,31,16,51.6,"*","*","*","*","*","*","*","*","*","*",210
"Hartland School District","=""0650011""","Hartland School","=""0650111""",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",37,37,100.0,37,12,32.4,"*","*",11,29.7,"*","*",0,0.0,"*","*",225
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",35,35,100.0,35,6,17.1,"*","*","*","*",18,51.4,"*","*","*","*",247
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",87,86,98.9,86,23,26.7,16,18.6,"*","*",31,36.0,"*","*","*","*",233
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",86,85,98.8,85,21,24.7,"*","*",22,25.9,27,31.8,"*","*","*","*",233
"Kent School District","=""0680011""","Kent Center School","=""0680111""",20,20,100.0,20,0,0.0,0,0.0,"*","*",15,75.0,"*","*","*","*",271
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",175,173,98.9,173,18,10.4,12,6.9,39,22.5,91,52.6,13,7.5,104,60.1,253
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",81,81,100.0,81,"*","*","*","*",16,19.8,44,54.3,14,17.3,58,71.6,268
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",41,41,100.0,41,"*","*","*","*",9,22.0,20,48.8,"*","*","*","*",256
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",89,89,100.0,89,"*","*","*","*",8,9.0,47,52.8,25,28.1,72,80.9,274
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",278,267,96.0,267,"*","*","*","*",34,12.7,146,54.7,71,26.6,217,81.3,276
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",356,353,99.2,353,79,22.4,42,11.9,74,21.0,140,39.7,18,5.1,158,44.8,235
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","*",6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",138,138,100.0,138,"*","*","*","*",13,9.4,61,44.2,60,43.5,121,87.7,293
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",247,242,98.0,242,52,21.5,34,14.0,49,20.2,94,38.8,13,5.4,107,44.2,236
"Meriden School District","=""0800011""","STEPS-Meriden School District","=""0801211""",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",226,217,96.0,217,86,39.6,"*","*",43,19.8,45,20.7,"*","*","*","*",215
"Middletown School District","=""0830011""","OASIS","=""0830311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""",306,306,100.0,306,55,18.0,41,13.4,63,20.6,123,40.2,24,7.8,147,48.0,242
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""","*",159,"*",159,"*","*","*","*",31,19.5,98,61.6,15,9.4,113,71.1,259
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""",174,168,96.6,168,"*","*",19,11.3,"*","*",92,54.8,24,14.3,116,69.0,260
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""",160,"*","*","*",14,8.9,25,15.8,33,20.9,"*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",334,332,99.4,332,49,14.8,55,16.6,59,17.8,142,42.8,27,8.1,169,50.9,242
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",29,28,96.6,28,11,39.3,"*","*","*","*",10,35.7,0,0.0,10,35.7,222
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",10,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",66,66,100.0,66,27,40.9,17,25.8,13,19.7,9,13.6,0,0.0,9,13.6,211
