"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",301,295,98.0
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",91,81,89.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",26,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",40,33,82.5
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",197,186,94.4
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",13,"*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",182,157,86.3
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",255,242,94.9
"Explorations District","=""2720013""","Explorations","=""2726113""",30,21,70.0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",378,368,97.4
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",313,296,94.6
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",318,"*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",543,536,98.7
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",193,190,98.4
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",678,664,97.9
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",166,151,91.0
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",318,272,85.5
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",276,264,95.7
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",440,401,91.1
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",175,138,78.9
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,33,100.0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",88,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",75,54,72.0
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",68,"*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",116,79,68.1
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",141,103,73.0
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",124,104,83.9
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",103,81,78.6
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",59,41,69.5
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",85,62,72.9
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",71,"*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",88,82,93.2
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",94,"*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",212,171,80.7
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",29,"*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","*","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",12,"*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",117,111,94.9
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",223,210,94.2
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",6,"*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",86,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",314,314,100.0
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",440,375,85.2
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",321,255,79.4
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",283,209,73.9
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",356,311,87.4
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",250,221,88.4
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",261,248,95.0
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",306,"*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",176,160,90.9
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",332,274,82.5
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",607,428,70.5
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",338,333,98.5
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",257,250,97.3
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",173,158,91.3
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",71,47,66.2
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",153,143,93.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",35,29,82.9
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",253,166,65.6
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",96,80,83.3
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",74,55,74.3
"New Haven School District","=""0930011""","Sound School","=""0936711""",79,"*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",301,219,72.8
"New London School District","=""0950011""","New London High School","=""0956111""",250,175,70.0
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",380,347,91.3
"Newington School District","=""0940011""","Newington High School","=""0946111""",373,344,92.2
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",466,452,97.0
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",169,165,97.6
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",304,281,92.4
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",48,"*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",386,346,89.6
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",349,318,91.1
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",38,15,39.5
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",563,491,87.2
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",135,129,95.6
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",153,"*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",197,178,90.4
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",202,185,91.6
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",120,109,90.8
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,81,88.0
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",92,85,92.4
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",108,100,92.6
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",162,156,96.3
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",391,379,96.9
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",96,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",174,172,98.9
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",271,258,95.2
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",12,"*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",233,227,97.4
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",198,188,94.9
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",39,"*","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",84,78,92.9
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",146,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",195,188,96.4
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",317,309,97.5
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",184,171,92.9
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",161,158,98.1
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",111,"*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",309,292,94.5
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",408,"*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",175,165,94.3
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",177,159,89.8
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",391,367,93.9
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",395,"*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",147,"*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",375,365,97.3
"Southington School District","=""1310011""","Southington High School","=""1316211""",486,463,95.3
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",127,115,90.6
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",37,21,56.8
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",500,453,90.6
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",164,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",540,490,90.7
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",197,191,97.0
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",282,270,95.7
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",251,236,94.0
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",218,208,95.4
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",35,"*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",85,70,82.4
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",76,"*","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",83,77,92.8
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",242,229,94.6
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",268,243,90.7
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",546,"*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",231,199,86.1
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",286,268,93.7
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",233,222,95.3
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",355,246,69.3
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",381,270,70.9
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",105,95,90.5
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",357,274,76.8
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",235,225,95.7
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",269,247,91.8
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",417,401,96.2
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",386,377,97.7
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",428,313,73.1
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",77,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",206,"*","*"
"Westport School District","=""1580011""","Staples High School","=""1586111""",462,"*","*"
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",263,247,93.9
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",318,314,98.7
"Windham School District","=""1630011""","Windham High School","=""1636111""",186,159,85.5
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",136,127,93.4
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",342,312,91.2
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",218,208,95.4
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",278,270,97.1

