"Six-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",472,6,1.3,169,35.8
"New London School District","=""0950011""","New London High School","=""0956111""",259,"*","*","*","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",391,"*","*","*","*"
"Newington School District","=""0940011""","Newington High School","=""0946111""",409,8,2.0,33,8.1
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",443,0,0.0,17,3.8
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",195,0,0.0,10,5.1
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",303,"*","*","*","*"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",67,0,0.0,6,9.0
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",440,0,0.0,33,7.5
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",378,0,0.0,38,10.1
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",67,0,0.0,34,50.7
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",607,"*","*","*","*"
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",24,0,0.0,18,75.0
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",120,"*","*","*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",154,"*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",225,"*","*","*","*"
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",230,0,0.0,21,9.1
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",136,0,0.0,"*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",96,0,0.0,14,14.6
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",73,"*","*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",137,0,0.0,18,13.1
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",169,"*","*","*","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",403,0,0.0,22,5.5
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",103,0,0.0,11,10.7
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",185,0,0.0,"*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",262,"*","*","*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",218,"*","*","*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",174,"*","*","*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",36,0,0.0,9,25.0
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",93,0,0.0,12,12.9
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",139,"*","*","*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",217,"*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",387,"*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",198,"*","*","*","*"
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",179,0,0.0,10,5.6
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",133,"*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",283,"*","*","*","*"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",427,"*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",176,0,0.0,13,7.4
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",187,0,0.0,25,13.4
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",393,"*","*","*","*"
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",356,"*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",143,0,0.0,"*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",415,"*","*","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""",535,"*","*","*","*"
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",134,0,0.0,18,13.4
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",51,"*","*","*","*"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",441,"*","*","*","*"
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",141,0,0.0,7,5.0
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",593,"*","*","*","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",207,"*","*","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",320,"*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",241,"*","*","*","*"
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",213,0,0.0,"*","*"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",28,0,0.0,"*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",69,0,0.0,9,13.0
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",102,"*","*","*","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",94,0,0.0,10,10.6
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",221,"*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",277,"*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",502,"*","*","*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",286,"*","*","*","*"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",296,"*","*","*","*"
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",252,"*","*","*","*"
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",416,"*","*","*","*"
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",359,"*","*","*","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",114,0,0.0,"*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",343,0,0.0,114,33.2
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",269,0,0.0,18,6.7
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",245,"*","*","*","*"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",408,"*","*","*","*"
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",403,"*","*","*","*"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",452,0,0.0,124,27.4
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",75,0,0.0,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",192,0,0.0,0,0.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",463,0,0.0,"*","*"
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",300,"*","*","*","*"
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",303,0,0.0,"*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",248,"*","*","*","*"
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",132,"*","*","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",346,"*","*","*","*"
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",224,0,0.0,10,4.5
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",299,0,0.0,15,5.0

