"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"New London School District","=""0950011""","New London High School","=""0956111""",226,163,72.1
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",382,358,93.7
"Newington School District","=""0940011""","Newington High School","=""0946111""",330,307,93.0
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",403,389,96.5
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",157,147,93.6
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",281,270,96.1
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",54,49,90.7
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",449,407,90.6
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",388,343,88.4
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",30,13,43.3
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",637,559,87.8
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",34,6,17.6
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",143,"*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",146,134,91.8
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",198,179,90.4
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",202,191,94.6
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",134,123,91.8
"Portland School District","=""1130011""","Portland High School","=""1136111""",90,84,93.3
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",66,60,90.9
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",135,"*","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",159,148,93.1
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",432,421,97.5
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",86,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",178,"*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",290,277,95.5
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",236,"*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",229,224,97.8
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",42,"*","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",73,63,86.3
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",141,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",194,192,99.0
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",327,316,96.6
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",192,184,95.8
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",189,179,94.7
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",103,"*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",296,275,92.9
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",440,"*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",208,198,95.2
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",149,136,91.3
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",424,401,94.6
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",399,"*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",139,"*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",378,369,97.6
"Southington School District","=""1310011""","Southington High School","=""1316211""",489,473,96.7
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",139,125,89.9
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",44,30,68.2
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",380,340,89.5
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",164,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",621,550,88.6
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",178,170,95.5
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",290,262,90.3
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",276,255,92.4
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",203,189,93.1
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",41,33,80.5
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",89,"*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",90,84,93.3
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",99,89,89.9
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",228,"*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",293,245,83.6
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",538,531,98.7
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",257,224,87.2
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",282,266,94.3
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",241,229,95.0
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",344,221,64.2
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",366,255,69.7
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",107,"*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",357,246,68.9
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",238,225,94.5
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",233,217,93.1
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",340,327,96.2
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",393,378,96.2
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",377,290,76.9
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",82,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",189,189,100.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",425,419,98.6
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",288,271,94.1
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",311,"*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",179,141,78.8
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",146,138,94.5
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",314,287,91.4
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",219,210,95.9
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",286,274,95.8

