"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Gender"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Brookfield School District","=""0180011""","F",312,307,98.4,307,"*","*","*","*",60,19.5,112,36.5,117,38.1,229,74.6
"Brookfield School District","=""0180011""","M",304,300,98.7,299,16,5.4,9,3.0,41,13.7,124,41.5,109,36.5,233,77.9
"Brooklyn School District","=""0190011""","F",110,108,98.2,108,"*","*","*","*",10,9.3,60,55.6,31,28.7,91,84.3
"Brooklyn School District","=""0190011""","M",101,101,100.0,101,"*","*","*","*",17,16.8,51,50.5,23,22.8,74,73.3
"Canaan School District","=""0210011""","F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","M",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","F",53,53,100.0,53,"*","*","*","*",10,18.9,36,67.9,"*","*","*","*"
"Canterbury School District","=""0220011""","M",63,62,98.4,62,"*","*","*","*",10,16.1,34,54.8,7,11.3,41,66.1
"Canton School District","=""0230011""","F",203,201,99.0,201,6,3.0,9,4.5,20,10.0,91,45.3,75,37.3,166,82.6
"Canton School District","=""0230011""","M",200,198,99.0,198,"*","*","*","*",23,11.6,86,43.4,76,38.4,162,81.8
"Capital Preparatory Harbor School Inc. District","=""2970013""","F",34,34,100.0,34,9,26.5,10,29.4,8,23.5,7,20.6,0,0.0,7,20.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","M",42,41,97.6,41,14,34.1,13,31.7,"*","*","*","*",0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","F",773,761,98.4,758,106,14.0,137,18.1,214,28.2,213,28.1,88,11.6,301,39.7
"Capitol Region Education Council","=""2410014""","M",828,802,96.9,798,129,16.2,114,14.3,163,20.4,247,31.0,145,18.2,392,49.1
"Chaplin School District","=""0240011""","F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","M",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","F",531,526,99.1,525,7,1.3,24,4.6,100,19.0,230,43.8,164,31.2,394,75.0
"Cheshire School District","=""0250011""","M",516,512,99.2,510,12,2.4,18,3.5,68,13.3,226,44.3,186,36.5,412,80.8
"Chester School District","=""0260011""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","F",241,240,99.6,240,13,5.4,16,6.7,47,19.6,98,40.8,66,27.5,164,68.3
"Clinton School District","=""0270011""","M",227,223,98.2,223,12,5.4,13,5.8,36,16.1,96,43.0,66,29.6,162,72.6
"Colchester School District","=""0280011""","F",312,309,99.0,309,"*","*","*","*",60,19.4,142,46.0,88,28.5,230,74.4
"Colchester School District","=""0280011""","M",302,301,99.7,300,9,3.0,21,7.0,54,18.0,114,38.0,102,34.0,216,72.0
"Colebrook School District","=""0290011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","F",60,60,100.0,60,"*","*","*","*",10,16.7,32,53.3,10,16.7,42,70.0
"Columbia School District","=""0300011""","M",57,57,100.0,57,0,0.0,"*","*","*","*",29,50.9,13,22.8,42,73.7
"Common Ground High School District","=""2680013""","F",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","M",35,32,91.4,32,"*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","F",1073,1071,99.8,1070,90,8.4,215,20.1,562,52.5,134,12.5,69,6.4,203,19.0
"Connecticut Technical High School System","=""9000016""","M",1613,1609,99.8,1607,115,7.2,239,14.9,670,41.7,321,20.0,262,16.3,583,36.3
"Cooperative Educational Services","=""2430014""","F",52,52,100.0,52,12,23.1,7,13.5,10,19.2,16,30.8,7,13.5,23,44.2
"Cooperative Educational Services","=""2430014""","M",69,68,98.6,68,19,27.9,"*","*",15,22.1,25,36.8,"*","*","*","*"
"Cornwall School District","=""0310011""","F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","M",20,20,100.0,20,0,0.0,"*","*","*","*",11,55.0,7,35.0,18,90.0
"Coventry School District","=""0320011""","F",188,185,98.4,184,"*","*","*","*",25,13.6,83,45.1,61,33.2,144,78.3
"Coventry School District","=""0320011""","M",181,180,99.4,180,"*","*","*","*",35,19.4,72,40.0,59,32.8,131,72.8
"Cromwell School District","=""0330011""","F",235,234,99.6,234,"*","*","*","*",76,32.5,80,34.2,56,23.9,136,58.1
"Cromwell School District","=""0330011""","M",231,230,99.6,230,15,6.5,19,8.3,53,23.0,103,44.8,40,17.4,143,62.2
"Danbury School District","=""0340011""","F",1197,1188,99.2,1188,184,15.5,195,16.4,349,29.4,368,31.0,92,7.7,460,38.7
"Danbury School District","=""0340011""","M",1204,1186,98.5,1185,231,19.5,194,16.4,295,24.9,361,30.5,104,8.8,465,39.2
"Darien School District","=""0350011""","F",526,515,97.9,515,"*","*","*","*",61,11.8,213,41.4,231,44.9,444,86.2
"Darien School District","=""0350011""","M",555,545,98.2,544,10,1.8,16,2.9,68,12.5,191,35.1,259,47.6,450,82.7
"Deep River School District","=""0360011""","F",23,23,100.0,23,0,0.0,"*","*","*","*",10,43.5,11,47.8,21,91.3
"Deep River School District","=""0360011""","M",21,21,100.0,21,0,0.0,"*","*","*","*",13,61.9,"*","*","*","*"
"Derby School District","=""0370011""","F",133,131,98.5,131,21,16.0,29,22.1,32,24.4,41,31.3,8,6.1,49,37.4
"Derby School District","=""0370011""","M",153,152,99.3,152,25,16.4,29,19.1,39,25.7,39,25.7,20,13.2,59,38.8
"East Granby School District","=""0400011""","F",107,106,99.1,106,"*","*","*","*",16,15.1,42,39.6,44,41.5,86,81.1
"East Granby School District","=""0400011""","M",87,86,98.9,86,"*","*","*","*",15,17.4,35,40.7,26,30.2,61,70.9
"East Haddam School District","=""0410011""","F",125,123,98.4,123,"*","*","*","*",32,26.0,51,41.5,27,22.0,78,63.4
"East Haddam School District","=""0410011""","M",133,130,97.7,130,"*","*","*","*",30,23.1,56,43.1,34,26.2,90,69.2
"East Hampton School District","=""0420011""","F",178,173,97.2,173,"*","*","*","*",30,17.3,68,39.3,60,34.7,128,74.0
"East Hampton School District","=""0420011""","M",213,211,99.1,210,6,2.9,17,8.1,44,21.0,91,43.3,52,24.8,143,68.1
"East Hartford School District","=""0430011""","F",752,731,97.2,730,159,21.8,126,17.3,216,29.6,179,24.5,50,6.8,229,31.4
"East Hartford School District","=""0430011""","M",738,706,95.7,702,187,26.6,133,18.9,177,25.2,155,22.1,50,7.1,205,29.2
"East Haven School District","=""0440011""","F",335,326,97.3,326,33,10.1,50,15.3,106,32.5,111,34.0,26,8.0,137,42.0
"East Haven School District","=""0440011""","M",346,343,99.1,343,47,13.7,45,13.1,114,33.2,110,32.1,27,7.9,137,39.9
"East Lyme School District","=""0450011""","F",350,346,98.9,346,"*","*","*","*",71,20.5,151,43.6,114,32.9,265,76.6
"East Lyme School District","=""0450011""","M",359,356,99.2,355,10,2.8,19,5.4,58,16.3,142,40.0,126,35.5,268,75.5
"East Windsor School District","=""0470011""","F",109,108,99.1,108,"*","*","*","*",30,27.8,43,39.8,26,24.1,69,63.9
"East Windsor School District","=""0470011""","M",136,134,98.5,134,7,5.2,7,5.2,38,28.4,50,37.3,32,23.9,82,61.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","F",66,58,87.9,57,11,19.3,10,17.5,25,43.9,"*","*","*","*",11,19.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","M",37,35,94.6,35,10,28.6,"*","*",13,37.1,8,22.9,"*","*","*","*"
"Eastford School District","=""0390011""","F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","M",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","F",104,102,98.1,102,"*","*","*","*",11,10.8,57,55.9,28,27.5,85,83.3
"Easton School District","=""0460011""","M",124,121,97.6,121,"*","*","*","*",9,7.4,61,50.4,46,38.0,107,88.4
"Education Connection","=""2420014""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","F",291,291,100.0,291,7,2.4,11,3.8,47,16.2,138,47.4,88,30.2,226,77.7
"Ellington School District","=""0480011""","M",317,316,99.7,316,14,4.4,13,4.1,53,16.8,141,44.6,95,30.1,236,74.7
"Elm City College Preparatory School District","=""2890013""","F",89,89,100.0,88,20,22.7,24,27.3,27,30.7,"*","*","*","*",17,19.3
"Elm City College Preparatory School District","=""2890013""","M",72,72,100.0,71,21,29.6,"*","*",19,26.8,17,23.9,"*","*","*","*"
"Enfield School District","=""0490011""","F",554,552,99.6,552,22,4.0,61,11.1,151,27.4,227,41.1,91,16.5,318,57.6
"Enfield School District","=""0490011""","M",561,556,99.1,556,29,5.2,52,9.4,142,25.5,230,41.4,103,18.5,333,59.9
"Essex School District","=""0500011""","F",31,31,100.0,31,"*","*","*","*","*","*",15,48.4,12,38.7,27,87.1
"Essex School District","=""0500011""","M",26,26,100.0,26,"*","*",0,0.0,"*","*",12,46.2,12,46.2,24,92.3
"Explorations District","=""2720013""","F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","M",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","F",1190,1174,98.7,1174,32,2.7,45,3.8,187,15.9,503,42.8,407,34.7,910,77.5
"Fairfield School District","=""0510011""","M",1140,1128,98.9,1128,32,2.8,40,3.5,168,14.9,484,42.9,404,35.8,888,78.7
"Farmington School District","=""0520011""","F",441,436,98.9,436,11,2.5,8,1.8,63,14.4,179,41.1,175,40.1,354,81.2
"Farmington School District","=""0520011""","M",458,453,98.9,453,10,2.2,13,2.9,49,10.8,174,38.4,207,45.7,381,84.1
"Franklin School District","=""0530011""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","M",22,22,100.0,22,"*","*","*","*","*","*",7,31.8,6,27.3,13,59.1
"Glastonbury School District","=""0540011""","F",747,743,99.5,742,16,2.2,24,3.2,86,11.6,272,36.7,344,46.4,616,83.0
"Glastonbury School District","=""0540011""","M",697,695,99.7,695,14,2.0,29,4.2,86,12.4,253,36.4,313,45.0,566,81.4
"Granby School District","=""0560011""","F",218,214,98.2,213,0,0.0,7,3.3,20,9.4,84,39.4,102,47.9,186,87.3
"Granby School District","=""0560011""","M",233,233,100.0,233,7,3.0,10,4.3,22,9.4,98,42.1,96,41.2,194,83.3
"Greenwich School District","=""0570011""","F",967,960,99.3,960,19,2.0,40,4.2,131,13.6,405,42.2,365,38.0,770,80.2
"Greenwich School District","=""0570011""","M",965,959,99.4,958,51,5.3,44,4.6,135,14.1,364,38.0,364,38.0,728,76.0
"Griswold School District","=""0580011""","F",220,218,99.1,218,10,4.6,23,10.6,65,29.8,82,37.6,38,17.4,120,55.0
"Griswold School District","=""0580011""","M",192,190,99.0,189,22,11.6,20,10.6,39,20.6,81,42.9,27,14.3,108,57.1
"Groton School District","=""0590011""","F",418,411,98.3,411,30,7.3,44,10.7,100,24.3,154,37.5,83,20.2,237,57.7
"Groton School District","=""0590011""","M",438,418,95.4,418,33,7.9,47,11.2,90,21.5,169,40.4,79,18.9,248,59.3
"Guilford School District","=""0600011""","F",444,443,99.8,443,15,3.4,25,5.6,76,17.2,203,45.8,124,28.0,327,73.8
"Guilford School District","=""0600011""","M",430,429,99.8,429,11,2.6,18,4.2,61,14.2,212,49.4,127,29.6,339,79.0
"Hamden School District","=""0620011""","F",577,559,96.9,559,70,12.5,74,13.2,154,27.5,182,32.6,79,14.1,261,46.7
"Hamden School District","=""0620011""","M",677,661,97.6,658,126,19.1,80,12.2,158,24.0,212,32.2,82,12.5,294,44.7
"Hampton School District","=""0630011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","F",2099,2022,96.3,2013,618,30.7,401,19.9,485,24.1,408,20.3,101,5.0,509,25.3
"Hartford School District","=""0640011""","M",2262,2162,95.6,2155,715,33.2,386,17.9,454,21.1,414,19.2,186,8.6,600,27.8
"Hartland School District","=""0650011""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","M",21,21,100.0,21,"*","*",0,0.0,"*","*",7,33.3,10,47.6,17,81.0
"Hebron School District","=""0670011""","F",52,52,100.0,52,"*","*","*","*",11,21.2,24,46.2,15,28.8,39,75.0
"Hebron School District","=""0670011""","M",55,55,100.0,55,"*","*","*","*",8,14.5,25,45.5,15,27.3,40,72.7
"Highville Charter School District","=""2860013""","F",52,52,100.0,52,11,21.2,12,23.1,19,36.5,"*","*","*","*",10,19.2
"Highville Charter School District","=""2860013""","M",45,45,100.0,45,21,46.7,8,17.8,8,17.8,8,17.8,0,0.0,8,17.8
"Integrated Day Charter School District","=""2640013""","F",29,29,100.0,29,"*","*",8,27.6,"*","*",13,44.8,"*","*","*","*"
"Integrated Day Charter School District","=""2640013""","M",39,37,94.9,37,6,16.2,6,16.2,"*","*",16,43.2,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","F",46,45,97.8,45,9,20.0,10,22.2,"*","*",19,42.2,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","M",41,41,100.0,41,14,34.1,6,14.6,"*","*",12,29.3,"*","*","*","*"
"Jumoke Academy District","=""2610013""","F",101,98,97.0,98,"*","*",16,16.3,32,32.7,29,29.6,"*","*","*","*"
"Jumoke Academy District","=""2610013""","M",75,73,97.3,73,22,30.1,"*","*",19,26.0,16,21.9,"*","*","*","*"
"Kent School District","=""0680011""","F",22,22,100.0,22,0,0.0,0,0.0,"*","*",15,68.2,"*","*","*","*"
"Kent School District","=""0680011""","M",25,25,100.0,25,0,0.0,0,0.0,"*","*",13,52.0,"*","*","*","*"
"Killingly School District","=""0690011""","F",257,251,97.7,251,23,9.2,38,15.1,79,31.5,90,35.9,21,8.4,111,44.2
"Killingly School District","=""0690011""","M",270,259,95.9,259,28,10.8,29,11.2,58,22.4,119,45.9,25,9.7,144,55.6
"Learn","=""2450014""","F",180,174,96.7,173,33,19.1,27,15.6,40,23.1,42,24.3,31,17.9,73,42.2
"Learn","=""2450014""","M",132,129,97.7,129,28,21.7,16,12.4,28,21.7,34,26.4,23,17.8,57,44.2
"Lebanon School District","=""0710011""","F",127,127,100.0,127,"*","*","*","*",33,26.0,60,47.2,25,19.7,85,66.9
"Lebanon School District","=""0710011""","M",112,110,98.2,110,7,6.4,12,10.9,22,20.0,50,45.5,19,17.3,69,62.7
"Ledyard School District","=""0720011""","F",237,234,98.7,234,8,3.4,13,5.6,53,22.6,86,36.8,74,31.6,160,68.4
"Ledyard School District","=""0720011""","M",281,278,98.9,278,7,2.5,20,7.2,52,18.7,121,43.5,78,28.1,199,71.6
"Lisbon School District","=""0730011""","F",34,34,100.0,34,"*","*","*","*",7,20.6,16,47.1,"*","*","*","*"
"Lisbon School District","=""0730011""","M",52,52,100.0,52,"*","*","*","*",12,23.1,18,34.6,11,21.2,29,55.8
"Litchfield School District","=""0740011""","F",107,107,100.0,107,"*","*","*","*",16,15.0,46,43.0,39,36.4,85,79.4
"Litchfield School District","=""0740011""","M",114,114,100.0,114,"*","*","*","*",13,11.4,42,36.8,50,43.9,92,80.7
"Madison School District","=""0760011""","F",389,373,95.9,373,"*","*","*","*",60,16.1,174,46.6,113,30.3,287,76.9
"Madison School District","=""0760011""","M",388,376,96.9,376,"*","*","*","*",72,19.1,161,42.8,122,32.4,283,75.3
"Manchester School District","=""0770011""","F",582,569,97.8,569,107,18.8,96,16.9,134,23.6,178,31.3,54,9.5,232,40.8
"Manchester School District","=""0770011""","M",653,639,97.9,639,137,21.4,102,16.0,162,25.4,180,28.2,58,9.1,238,37.2
"Mansfield School District","=""0780011""","F",135,134,99.3,134,"*","*","*","*",17,12.7,65,48.5,47,35.1,112,83.6
"Mansfield School District","=""0780011""","M",145,143,98.6,143,7,4.9,9,6.3,15,10.5,55,38.5,57,39.9,112,78.3
"Marlborough School District","=""0790011""","F",46,46,100.0,46,0,0.0,"*","*","*","*",21,45.7,15,32.6,36,78.3
"Marlborough School District","=""0790011""","M",45,45,100.0,45,"*","*","*","*","*","*",19,42.2,19,42.2,38,84.4
"Meriden School District","=""0800011""","F",847,824,97.3,822,192,23.4,175,21.3,218,26.5,197,24.0,40,4.9,237,28.8
"Meriden School District","=""0800011""","M",873,843,96.6,838,239,28.5,177,21.1,194,23.2,185,22.1,43,5.1,228,27.2
"Middletown School District","=""0830011""","F",499,499,100.0,499,69,13.8,76,15.2,136,27.3,154,30.9,64,12.8,218,43.7
"Middletown School District","=""0830011""","M",483,477,98.8,477,76,15.9,78,16.4,115,24.1,152,31.9,56,11.7,208,43.6
"Milford School District","=""0840011""","F",635,630,99.2,629,18,2.9,44,7.0,157,25.0,294,46.7,116,18.4,410,65.2
"Milford School District","=""0840011""","M",764,750,98.2,748,51,6.8,84,11.2,170,22.7,311,41.6,132,17.6,443,59.2
"Monroe School District","=""0850011""","F",385,384,99.7,383,9,2.3,8,2.1,47,12.3,155,40.5,164,42.8,319,83.3
"Monroe School District","=""0850011""","M",395,394,99.7,393,9,2.3,16,4.1,41,10.4,168,42.7,159,40.5,327,83.2
"Montville School District","=""0860011""","F",282,278,98.6,278,9,3.2,23,8.3,62,22.3,117,42.1,67,24.1,184,66.2
"Montville School District","=""0860011""","M",273,271,99.3,271,20,7.4,20,7.4,56,20.7,101,37.3,74,27.3,175,64.6
"Naugatuck School District","=""0880011""","F",438,429,97.9,428,52,12.1,76,17.8,135,31.5,139,32.5,26,6.1,165,38.6
"Naugatuck School District","=""0880011""","M",495,489,98.8,489,71,14.5,93,19.0,124,25.4,156,31.9,45,9.2,201,41.1
"New Beginnings Inc., Family Academy District","=""2800013""","F",38,37,97.4,37,8,21.6,"*","*",15,40.5,10,27.0,"*","*","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","M",36,36,100.0,36,15,41.7,6,16.7,7,19.4,8,22.2,0,0.0,8,22.2
"New Britain School District","=""0890011""","F",895,875,97.8,873,294,33.7,193,22.1,209,23.9,151,17.3,26,3.0,177,20.3
"New Britain School District","=""0890011""","M",1047,1009,96.4,1004,401,39.9,185,18.4,199,19.8,186,18.5,33,3.3,219,21.8
"New Canaan School District","=""0900011""","F",477,471,98.7,471,"*","*","*","*",52,11.0,178,37.8,232,49.3,410,87.0
"New Canaan School District","=""0900011""","M",487,485,99.6,484,"*","*","*","*",52,10.7,181,37.4,233,48.1,414,85.5
"New Fairfield School District","=""0910011""","F",285,277,97.2,277,8,2.9,17,6.1,61,22.0,120,43.3,71,25.6,191,69.0
"New Fairfield School District","=""0910011""","M",279,279,100.0,279,9,3.2,12,4.3,68,24.4,98,35.1,92,33.0,190,68.1
"New Hartford School District","=""0920011""","F",42,42,100.0,42,"*","*","*","*","*","*",22,52.4,8,19.0,30,71.4
"New Hartford School District","=""0920011""","M",26,26,100.0,26,0,0.0,"*","*","*","*",12,46.2,9,34.6,21,80.8
"New Haven School District","=""0930011""","F",2182,2107,96.6,2097,554,26.4,486,23.2,530,25.3,385,18.4,142,6.8,527,25.1
"New Haven School District","=""0930011""","M",2193,2073,94.5,2051,669,32.6,428,20.9,462,22.5,355,17.3,137,6.7,492,24.0
"New London School District","=""0950011""","F",325,314,96.6,313,80,25.6,51,16.3,81,25.9,71,22.7,30,9.6,101,32.3
"New London School District","=""0950011""","M",379,363,95.8,362,92,25.4,80,22.1,72,19.9,81,22.4,37,10.2,118,32.6
"New Milford School District","=""0960011""","F",492,484,98.4,483,22,4.6,27,5.6,128,26.5,201,41.6,105,21.7,306,63.4
"New Milford School District","=""0960011""","M",559,547,97.9,546,28,5.1,42,7.7,114,20.9,233,42.7,129,23.6,362,66.3
"Newington School District","=""0940011""","F",451,451,100.0,451,21,4.7,29,6.4,130,28.8,187,41.5,84,18.6,271,60.1
"Newington School District","=""0940011""","M",475,471,99.2,471,32,6.8,43,9.1,108,22.9,186,39.5,102,21.7,288,61.1
"Newtown School District","=""0970011""","F",569,566,99.5,566,"*","*","*","*",89,15.7,256,45.2,189,33.4,445,78.6
"Newtown School District","=""0970011""","M",600,595,99.2,595,10,1.7,25,4.2,76,12.8,262,44.0,222,37.3,484,81.3
"Norfolk School District","=""0980011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norfolk School District","=""0980011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","F",225,222,98.7,222,"*","*","*","*",41,18.5,112,50.5,54,24.3,166,74.8
"North Branford School District","=""0990011""","M",226,222,98.2,222,19,8.6,24,10.8,49,22.1,85,38.3,45,20.3,130,58.6
"North Canaan School District","=""1000011""","F",20,20,100.0,20,0,0.0,0,0.0,"*","*",11,55.0,"*","*","*","*"
"North Canaan School District","=""1000011""","M",21,20,95.2,20,"*","*","*","*","*","*",9,45.0,"*","*","*","*"
"North Haven School District","=""1010011""","F",347,346,99.7,345,12,3.5,30,8.7,95,27.5,136,39.4,72,20.9,208,60.3
"North Haven School District","=""1010011""","M",408,399,97.8,399,25,6.3,37,9.3,88,22.1,158,39.6,91,22.8,249,62.4
"North Stonington School District","=""1020011""","F",71,70,98.6,70,"*","*","*","*",10,14.3,22,31.4,36,51.4,58,82.9
"North Stonington School District","=""1020011""","M",83,83,100.0,83,"*","*","*","*",16,19.3,32,38.6,32,38.6,64,77.1
"Norwalk School District","=""1030011""","F",1245,1232,99.0,1232,171,13.9,156,12.7,329,26.7,396,32.1,180,14.6,576,46.8
"Norwalk School District","=""1030011""","M",1241,1220,98.3,1217,170,14.0,178,14.6,301,24.7,381,31.3,187,15.4,568,46.7
"Norwich Free Academy District","=""9010022""","F",279,270,96.8,269,39,14.5,40,14.9,86,32.0,53,19.7,51,19.0,104,38.7
"Norwich Free Academy District","=""9010022""","M",279,274,98.2,273,47,17.2,43,15.8,77,28.2,43,15.8,63,23.1,106,38.8
"Norwich School District","=""1040011""","F",368,365,99.2,365,73,20.0,59,16.2,93,25.5,120,32.9,20,5.5,140,38.4
"Norwich School District","=""1040011""","M",378,371,98.1,370,93,25.1,55,14.9,84,22.7,117,31.6,21,5.7,138,37.3
