"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Special Education Status (SW"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Avon School District","=""0040011""","Y",74,73,98.6,73,"*","*",20,27.4,24,32.9,14,19.2,"*","*","*","*"
"Barkhamsted School District","=""0050011""","N",38,36,94.7,36,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","N",595,594,99.8,594,7,1.2,17,2.9,123,20.7,269,45.3,178,30.0,447,75.3
"Berlin School District","=""0070011""","Y",85,82,96.5,82,15,18.3,30,36.6,20,24.4,"*","*","*","*",17,20.7
"Bethany School District","=""0080011""","N",54,51,94.4,51,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N",564,561,99.5,561,10,1.8,14,2.5,103,18.4,243,43.3,191,34.0,434,77.4
"Bethel School District","=""0090011""","Y",60,58,96.7,58,12,20.7,12,20.7,19,32.8,"*","*","*","*",15,25.9
"Bloomfield School District","=""0110011""","N",352,350,99.4,349,39,11.2,52,14.9,118,33.8,111,31.8,29,8.3,140,40.1
"Bloomfield School District","=""0110011""","Y",48,46,95.8,46,23,50.0,13,28.3,"*","*","*","*",0,0.0,"*","*"
"Bolton School District","=""0120011""","N",172,171,99.4,171,"*","*","*","*",33,19.3,79,46.2,51,29.8,130,76.0
"Bolton School District","=""0120011""","Y",25,23,92.0,23,9,39.1,"*","*",8,34.8,"*","*",0,0.0,"*","*"
"Bozrah School District","=""0130011""","N",41,41,100.0,41,0,0.0,0,0.0,"*","*",27,65.9,"*","*","*","*"
"Bozrah School District","=""0130011""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",590,581,98.5,581,13,2.2,26,4.5,129,22.2,274,47.2,139,23.9,413,71.1
"Branford School District","=""0140011""","Y",92,89,96.7,89,21,23.6,27,30.3,28,31.5,"*","*","*","*",13,14.6
"Bridgeport Achievement First District","=""2850013""","N",206,204,99.0,203,42,20.7,56,27.6,55,27.1,42,20.7,8,3.9,50,24.6
"Bridgeport Achievement First District","=""2850013""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N",3802,3634,95.6,3588,1075,30.0,809,22.5,907,25.3,646,18.0,151,4.2,797,22.2
"Bridgeport School District","=""0150011""","Y",683,622,91.1,611,455,74.5,102,16.7,39,6.4,"*","*","*","*",15,2.5
"Bristol School District","=""0170011""","N",1475,1459,98.9,1459,53,3.6,107,7.3,376,25.8,640,43.9,283,19.4,923,63.3
"Bristol School District","=""0170011""","Y",294,282,95.9,282,106,37.6,77,27.3,57,20.2,"*","*","*","*",42,14.9
"Brookfield School District","=""0180011""","N",545,540,99.1,540,6,1.1,10,1.9,83,15.4,220,40.7,221,40.9,441,81.7
"Brookfield School District","=""0180011""","Y",71,67,94.4,66,14,21.2,"*","*",18,27.3,16,24.2,"*","*","*","*"
"Brooklyn School District","=""0190011""","N",189,188,99.5,188,"*","*","*","*",23,12.2,106,56.4,54,28.7,160,85.1
"Brooklyn School District","=""0190011""","Y",22,21,95.5,21,"*","*",7,33.3,"*","*","*","*",0,0.0,"*","*"
"Canaan School District","=""0210011""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",105,105,100.0,105,0,0.0,9,8.6,18,17.1,68,64.8,10,9.5,78,74.3
"Canterbury School District","=""0220011""","Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",352,350,99.4,350,"*","*","*","*",27,7.7,163,46.6,148,42.3,311,88.9
"Canton School District","=""0230011""","Y",51,49,96.1,49,"*","*",11,22.4,16,32.7,14,28.6,"*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",70,70,100.0,70,20,28.6,23,32.9,15,21.4,12,17.1,0,0.0,12,17.1
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","N",1339,1318,98.4,1315,114,8.7,187,14.2,349,26.5,436,33.2,229,17.4,665,50.6
"Capitol Region Education Council","=""2410014""","Y",262,245,93.5,241,121,50.2,64,26.6,28,11.6,"*","*","*","*",28,11.6
"Chaplin School District","=""0240011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","N",948,944,99.6,943,"*","*","*","*",142,15.1,426,45.2,344,36.5,770,81.7
"Cheshire School District","=""0250011""","Y",99,94,94.9,92,14,15.2,16,17.4,26,28.3,30,32.6,6,6.5,36,39.1
"Chester School District","=""0260011""","N",29,29,100.0,29,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","N",415,412,99.3,412,15,3.6,18,4.4,72,17.5,181,43.9,126,30.6,307,74.5
"Clinton School District","=""0270011""","Y",53,51,96.2,51,10,19.6,11,21.6,11,21.6,13,25.5,6,11.8,19,37.3
"Colchester School District","=""0280011""","N",539,536,99.4,536,"*","*","*","*",91,17.0,236,44.0,187,34.9,423,78.9
"Colchester School District","=""0280011""","Y",75,74,98.7,73,"*","*",19,26.0,23,31.5,20,27.4,"*","*","*","*"
"Colebrook School District","=""0290011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",101,101,100.0,101,"*","*","*","*",14,13.9,59,58.4,23,22.8,82,81.2
"Columbia School District","=""0300011""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","N",39,35,89.7,35,"*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","N",2424,2419,99.8,2417,162,6.7,382,15.8,1135,47.0,423,17.5,315,13.0,738,30.5
"Connecticut Technical High School System","=""9000016""","Y",262,261,99.6,260,43,16.5,72,27.7,97,37.3,32,12.3,16,6.2,48,18.5
"Cooperative Educational Services","=""2430014""","N",58,58,100.0,58,"*","*","*","*",12,20.7,29,50.0,12,20.7,41,70.7
"Cooperative Educational Services","=""2430014""","Y",63,62,98.4,62,30,48.4,"*","*",13,21.0,12,19.4,"*","*","*","*"
"Cornwall School District","=""0310011""","N",26,26,100.0,26,0,0.0,0,0.0,"*","*",15,57.7,"*","*","*","*"
"Cornwall School District","=""0310011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",316,313,99.1,313,"*","*","*","*",41,13.1,143,45.7,117,37.4,260,83.1
"Coventry School District","=""0320011""","Y",53,52,98.1,51,"*","*",11,21.6,19,37.3,12,23.5,"*","*","*","*"
"Cromwell School District","=""0330011""","N",418,418,100.0,418,"*","*","*","*",116,27.8,177,42.3,95,22.7,272,65.1
"Cromwell School District","=""0330011""","Y",48,46,95.8,46,14,30.4,12,26.1,13,28.3,"*","*","*","*",7,15.2
"Danbury School District","=""0340011""","N",2112,2094,99.1,2094,274,13.1,311,14.9,615,29.4,703,33.6,191,9.1,894,42.7
"Danbury School District","=""0340011""","Y",289,280,96.9,279,141,50.5,78,28.0,29,10.4,"*","*","*","*",31,11.1
"Darien School District","=""0350011""","N",926,919,99.2,919,0,0.0,10,1.1,87,9.5,352,38.3,470,51.1,822,89.4
"Darien School District","=""0350011""","Y",155,141,91.0,140,11,7.9,15,10.7,42,30.0,52,37.1,20,14.3,72,51.4
"Deep River School District","=""0360011""","N",36,36,100.0,36,0,0.0,0,0.0,"*","*",20,55.6,"*","*","*","*"
"Deep River School District","=""0360011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","N",252,250,99.2,250,23,9.2,50,20.0,69,27.6,80,32.0,28,11.2,108,43.2
"Derby School District","=""0370011""","Y",35,34,97.1,34,24,70.6,"*","*","*","*",0,0.0,0,0.0,0,0.0
"East Granby School District","=""0400011""","N",174,174,100.0,174,"*","*","*","*",26,14.9,72,41.4,68,39.1,140,80.5
"East Granby School District","=""0400011""","Y",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",232,229,98.7,229,"*","*","*","*",56,24.5,102,44.5,60,26.2,162,70.7
"East Haddam School District","=""0410011""","Y",26,24,92.3,24,6,25.0,6,25.0,6,25.0,"*","*","*","*",6,25.0
"East Hampton School District","=""0420011""","N",353,350,99.2,350,"*","*","*","*",69,19.7,149,42.6,110,31.4,259,74.0
"East Hampton School District","=""0420011""","Y",38,34,89.5,33,6,18.2,10,30.3,"*","*",10,30.3,"*","*","*","*"
"East Hartford School District","=""0430011""","N",1250,1217,97.4,1217,205,16.8,208,17.1,375,30.8,329,27.0,100,8.2,429,35.3
"East Hartford School District","=""0430011""","Y",239,220,92.1,215,141,65.6,51,23.7,"*","*","*","*",0,0.0,"*","*"
"East Haven School District","=""0440011""","N",597,591,99.0,591,46,7.8,78,13.2,203,34.3,211,35.7,53,9.0,264,44.7
"East Haven School District","=""0440011""","Y",84,78,92.9,78,34,43.6,17,21.8,17,21.8,10,12.8,0,0.0,10,12.8
"East Lyme School District","=""0450011""","N",633,632,99.8,632,0,0.0,10,1.6,107,16.9,278,44.0,237,37.5,515,81.5
"East Lyme School District","=""0450011""","Y",76,70,92.1,69,"*","*",17,24.6,22,31.9,15,21.7,"*","*","*","*"
"East Windsor School District","=""0470011""","N",203,203,100.0,203,"*","*","*","*",51,25.1,90,44.3,57,28.1,147,72.4
"East Windsor School District","=""0470011""","Y",42,39,92.9,39,10,25.6,8,20.5,17,43.6,"*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",79,72,91.1,71,8,11.3,10,14.1,34,47.9,12,16.9,7,9.9,19,26.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",24,21,87.5,21,13,61.9,"*","*","*","*","*","*",0,0.0,"*","*"
"Eastford School District","=""0390011""","N",25,25,100.0,25,0,0.0,"*","*","*","*",16,64.0,"*","*","*","*"
"Eastford School District","=""0390011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","N",208,204,98.1,204,"*","*","*","*",18,8.8,109,53.4,73,35.8,182,89.2
"Easton School District","=""0460011""","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",544,544,100.0,544,8,1.5,16,2.9,74,13.6,265,48.7,181,33.3,446,82.0
"Ellington School District","=""0480011""","Y",64,63,98.4,63,13,20.6,"*","*",26,41.3,14,22.2,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","N",146,146,100.0,145,"*","*",34,23.4,46,31.7,32,22.1,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Y",15,15,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","N",979,974,99.5,974,24,2.5,75,7.7,251,25.8,436,44.8,188,19.3,624,64.1
"Enfield School District","=""0490011""","Y",136,134,98.5,134,27,20.1,38,28.4,42,31.3,21,15.7,6,4.5,27,20.1
"Essex School District","=""0500011""","N",48,48,100.0,48,0,0.0,0,0.0,"*","*","*","*",24,50.0,"*","*"
"Essex School District","=""0500011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","N",2067,2045,98.9,2045,16,0.8,34,1.7,269,13.2,929,45.4,797,39.0,1726,84.4
"Fairfield School District","=""0510011""","Y",263,257,97.7,257,48,18.7,51,19.8,86,33.5,58,22.6,14,5.4,72,28.0
"Farmington School District","=""0520011""","N",782,775,99.1,775,"*","*","*","*",75,9.7,317,40.9,371,47.9,688,88.8
"Farmington School District","=""0520011""","Y",117,114,97.4,114,17,14.9,13,11.4,37,32.5,36,31.6,11,9.6,47,41.2
"Franklin School District","=""0530011""","N",33,33,100.0,33,"*","*","*","*",7,21.2,15,45.5,7,21.2,22,66.7
"Franklin School District","=""0530011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","N",1306,1302,99.7,1301,"*","*","*","*",131,10.1,493,37.9,649,49.9,1142,87.8
"Glastonbury School District","=""0540011""","Y",137,136,99.3,136,25,18.4,30,22.1,41,30.1,32,23.5,8,5.9,40,29.4
"Granby School District","=""0560011""","N",404,400,99.0,400,"*","*","*","*",33,8.3,167,41.8,190,47.5,357,89.3
"Granby School District","=""0560011""","Y",47,47,100.0,46,"*","*",10,21.7,9,19.6,15,32.6,"*","*","*","*"
"Greenwich School District","=""0570011""","N",1700,1694,99.6,1693,24,1.4,46,2.7,205,12.1,704,41.6,714,42.2,1418,83.8
"Greenwich School District","=""0570011""","Y",231,225,97.4,225,46,20.4,38,16.9,61,27.1,65,28.9,15,6.7,80,35.6
"Griswold School District","=""0580011""","N",357,354,99.2,354,12,3.4,30,8.5,88,24.9,159,44.9,65,18.4,224,63.3
"Griswold School District","=""0580011""","Y",55,54,98.2,53,20,37.7,"*","*",16,30.2,"*","*",0,0.0,"*","*"
"Groton School District","=""0590011""","N",739,723,97.8,723,21,2.9,67,9.3,170,23.5,305,42.2,160,22.1,465,64.3
"Groton School District","=""0590011""","Y",116,106,91.4,106,42,39.6,24,22.6,20,18.9,"*","*","*","*",20,18.9
"Guilford School District","=""0600011""","N",769,768,99.9,768,8,1.0,19,2.5,109,14.2,391,50.9,241,31.4,632,82.3
"Guilford School District","=""0600011""","Y",105,104,99.0,104,18,17.3,24,23.1,28,26.9,24,23.1,10,9.6,34,32.7
"Hamden School District","=""0620011""","N",1041,1021,98.1,1019,100,9.8,118,11.6,276,27.1,366,35.9,159,15.6,525,51.5
"Hamden School District","=""0620011""","Y",214,199,93.0,198,96,48.5,36,18.2,36,18.2,"*","*","*","*",30,15.2
"Hampton School District","=""0630011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","N",3590,3477,96.9,3470,862,24.8,659,19.0,880,25.4,788,22.7,281,8.1,1069,30.8
"Hartford School District","=""0640011""","Y",773,708,91.6,699,471,67.4,129,18.5,59,8.4,34,4.9,6,0.9,40,5.7
"Hartland School District","=""0650011""","N",34,34,100.0,34,"*","*",0,0.0,"*","*",14,41.2,14,41.2,28,82.4
"Hartland School District","=""0650011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","N",92,92,100.0,92,0,0.0,"*","*","*","*",46,50.0,30,32.6,76,82.6
"Hebron School District","=""0670011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","N",92,92,100.0,92,27,29.3,20,21.7,27,29.3,"*","*","*","*",18,19.6
"Highville Charter School District","=""2860013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","N",61,60,98.4,60,"*","*",12,20.0,8,13.3,28,46.7,"*","*","*","*"
"Integrated Day Charter School District","=""2640013""","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","N",68,67,98.5,67,"*","*","*","*","*","*","*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","N",167,162,97.0,162,32,19.8,28,17.3,51,31.5,44,27.2,7,4.3,51,31.5
"Jumoke Academy District","=""2610013""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","N",42,42,100.0,42,0,0.0,0,0.0,"*","*",27,64.3,"*","*","*","*"
"Kent School District","=""0680011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","N",448,439,98.0,439,20,4.6,45,10.3,127,28.9,201,45.8,46,10.5,247,56.3
"Killingly School District","=""0690011""","Y",81,71,87.7,71,31,43.7,22,31.0,10,14.1,8,11.3,0,0.0,8,11.3
"Learn","=""2450014""","N",258,251,97.3,250,35,14.0,34,13.6,59,23.6,70,28.0,52,20.8,122,48.8
"Learn","=""2450014""","Y",54,52,96.3,52,26,50.0,9,17.3,9,17.3,"*","*","*","*",8,15.4
"Lebanon School District","=""0710011""","N",204,203,99.5,203,"*","*","*","*",45,22.2,103,50.7,42,20.7,145,71.4
"Lebanon School District","=""0710011""","Y",35,34,97.1,34,8,23.5,"*","*",10,29.4,7,20.6,"*","*","*","*"
"Ledyard School District","=""0720011""","N",440,437,99.3,437,7,1.6,13,3.0,79,18.1,192,43.9,146,33.4,338,77.3
"Ledyard School District","=""0720011""","Y",78,75,96.2,75,8,10.7,20,26.7,26,34.7,15,20.0,6,8.0,21,28.0
"Lisbon School District","=""0730011""","N",75,75,100.0,75,"*","*","*","*",16,21.3,34,45.3,15,20.0,49,65.3
"Lisbon School District","=""0730011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","N",192,192,100.0,192,0,0.0,"*","*","*","*",86,44.8,82,42.7,168,87.5
"Litchfield School District","=""0740011""","Y",29,29,100.0,29,7,24.1,"*","*",8,27.6,"*","*",7,24.1,"*","*"
"Madison School District","=""0760011""","N",672,658,97.9,658,"*","*","*","*",98,14.9,313,47.6,228,34.7,541,82.2
"Madison School District","=""0760011""","Y",105,91,86.7,91,8,8.8,20,22.0,34,37.4,22,24.2,7,7.7,29,31.9
"Manchester School District","=""0770011""","N",1070,1052,98.3,1052,144,13.7,170,16.2,279,26.5,348,33.1,111,10.6,459,43.6
"Manchester School District","=""0770011""","Y",165,156,94.5,156,100,64.1,28,17.9,17,10.9,"*","*","*","*",11,7.1
"Mansfield School District","=""0780011""","N",253,251,99.2,251,"*","*","*","*",28,11.2,109,43.4,103,41.0,212,84.5
"Mansfield School District","=""0780011""","Y",27,26,96.3,26,"*","*",7,26.9,"*","*",11,42.3,"*","*","*","*"
"Marlborough School District","=""0790011""","N",82,82,100.0,82,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","=""0790011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","N",1422,1396,98.2,1396,259,18.6,302,21.6,384,27.5,370,26.5,81,5.8,451,32.3
"Meriden School District","=""0800011""","Y",298,271,90.9,264,172,65.2,50,18.9,28,10.6,"*","*","*","*",14,5.3
"Middletown School District","=""0830011""","N",855,852,99.6,852,72,8.5,124,14.6,237,27.8,299,35.1,120,14.1,419,49.2
"Middletown School District","=""0830011""","Y",127,124,97.6,124,73,58.9,30,24.2,14,11.3,7,5.6,0,0.0,7,5.6
"Milford School District","=""0840011""","N",1239,1230,99.3,1229,33,2.7,81,6.6,294,23.9,576,46.9,245,19.9,821,66.8
"Milford School District","=""0840011""","Y",160,150,93.8,148,36,24.3,47,31.8,33,22.3,"*","*","*","*",32,21.6
"Monroe School District","=""0850011""","N",707,706,99.9,704,7,1.0,10,1.4,73,10.4,296,42.0,318,45.2,614,87.2
"Monroe School District","=""0850011""","Y",73,72,98.6,72,"*","*",14,19.4,15,20.8,27,37.5,"*","*","*","*"
"Montville School District","=""0860011""","N",484,480,99.2,480,8,1.7,26,5.4,103,21.5,204,42.5,139,29.0,343,71.5
"Montville School District","=""0860011""","Y",71,69,97.2,69,21,30.4,17,24.6,15,21.7,"*","*","*","*",16,23.2
"Naugatuck School District","=""0880011""","N",791,781,98.7,780,58,7.4,131,16.8,236,30.3,285,36.5,70,9.0,355,45.5
"Naugatuck School District","=""0880011""","Y",142,137,96.5,137,65,47.4,38,27.7,23,16.8,"*","*","*","*",11,8.0
"New Beginnings Inc., Family Academy District","=""2800013""","N",65,64,98.5,64,15,23.4,"*","*",21,32.8,18,28.1,"*","*","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","N",1635,1590,97.2,1585,463,29.2,333,21.0,396,25.0,334,21.1,59,3.7,393,24.8
"New Britain School District","=""0890011""","Y",309,294,95.1,292,232,79.5,45,15.4,"*","*","*","*",0,0.0,"*","*"
"New Canaan School District","=""0900011""","N",851,848,99.6,848,"*","*","*","*",58,6.8,330,38.9,451,53.2,781,92.1
"New Canaan School District","=""0900011""","Y",112,108,96.4,107,"*","*","*","*",46,43.0,29,27.1,14,13.1,43,40.2
"New Fairfield School District","=""0910011""","N",519,513,98.8,513,8,1.6,16,3.1,114,22.2,212,41.3,163,31.8,375,73.1
"New Fairfield School District","=""0910011""","Y",45,43,95.6,43,9,20.9,13,30.2,15,34.9,6,14.0,0,0.0,6,14.0
"New Hartford School District","=""0920011""","N",59,59,100.0,59,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","N",3742,3599,96.2,3574,840,23.5,819,22.9,924,25.9,719,20.1,272,7.6,991,27.7
"New Haven School District","=""0930011""","Y",635,581,91.5,574,383,66.7,95,16.6,68,11.8,21,3.7,7,1.2,28,4.9
"New London School District","=""0950011""","N",579,565,97.6,565,110,19.5,104,18.4,142,25.1,143,25.3,66,11.7,209,37.0
"New London School District","=""0950011""","Y",127,112,88.2,110,62,56.4,27,24.5,11,10.0,"*","*","*","*",10,9.1
"New Milford School District","=""0960011""","N",905,893,98.7,892,15,1.7,40,4.5,202,22.6,406,45.5,229,25.7,635,71.2
"New Milford School District","=""0960011""","Y",146,138,94.5,137,35,25.5,29,21.2,40,29.2,"*","*","*","*",33,24.1
"Newington School District","=""0940011""","N",803,802,99.9,802,16,2.0,50,6.2,208,25.9,346,43.1,182,22.7,528,65.8
"Newington School District","=""0940011""","Y",123,120,97.6,120,37,30.8,"*","*",30,25.0,27,22.5,"*","*","*","*"
"Newtown School District","=""0970011""","N",1070,1065,99.5,1065,"*","*","*","*",137,12.9,493,46.3,403,37.8,896,84.1
"Newtown School District","=""0970011""","Y",99,96,97.0,96,10,10.4,25,26.0,28,29.2,25,26.0,8,8.3,33,34.4
"Norfolk School District","=""0980011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norfolk School District","=""0980011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","N",383,378,98.7,378,6,1.6,15,4.0,69,18.3,190,50.3,98,25.9,288,76.2
"North Branford School District","=""0990011""","Y",68,66,97.1,66,16,24.2,21,31.8,21,31.8,"*","*","*","*",8,12.1
"North Canaan School District","=""1000011""","N",37,37,100.0,37,"*","*","*","*",7,18.9,20,54.1,"*","*","*","*"
"North Canaan School District","=""1000011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","N",682,675,99.0,675,15,2.2,49,7.3,165,24.4,286,42.4,160,23.7,446,66.1
"North Haven School District","=""1010011""","Y",73,70,95.9,69,22,31.9,18,26.1,18,26.1,"*","*","*","*",11,15.9
"North Stonington School District","=""1020011""","N",141,140,99.3,140,"*","*","*","*",21,15.0,50,35.7,67,47.9,117,83.6
"North Stonington School District","=""1020011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Norwalk School District","=""1030011""","N",2184,2160,98.9,2158,216,10.0,264,12.2,567,26.3,748,34.7,363,16.8,1111,51.5
"Norwalk School District","=""1030011""","Y",300,291,97.0,290,125,43.1,69,23.8,63,21.7,"*","*","*","*",33,11.4
"Norwich Free Academy District","=""9010022""","N",508,496,97.6,495,"*","*",71,14.3,156,31.5,"*","*",114,23.0,"*","*"
"Norwich Free Academy District","=""9010022""","Y",50,48,96.0,47,27,57.4,12,25.5,"*","*","*","*",0,0.0,"*","*"
"Norwich School District","=""1040011""","N",623,622,99.8,622,92,14.8,95,15.3,162,26.0,232,37.3,41,6.6,273,43.9
"Norwich School District","=""1040011""","Y",124,114,91.9,113,74,65.5,19,16.8,"*","*","*","*",0,0.0,"*","*"
"Odyssey Community School District","=""2630013""","N",69,68,98.6,68,"*","*","*","*",15,22.1,32,47.1,11,16.2,43,63.2
"Odyssey Community School District","=""2630013""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N",279,279,100.0,279,"*","*","*","*",40,14.3,145,52.0,85,30.5,230,82.4
