"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, All Students"

"",,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"North Haven School District","=""1010011""",229,228,99.6,228,12,5.3,22,9.6,51,22.4,106,46.5,37,16.2,143,62.7,259
"North Stonington School District","=""1020011""",56,55,98.2,55,0,0.0,0,0.0,"*","*","*","*",32,58.2,"*","*",308
"Norwalk School District","=""1030011""",824,821,99.6,821,91,11.1,106,12.9,189,23.0,304,37.0,131,16.0,435,53.0,248
"Norwich School District","=""1040011""",360,353,98.1,352,60,17.0,55,15.6,91,25.9,115,32.7,31,8.8,146,41.5,234
"Odyssey Community School District","=""2630013""",38,38,100.0,38,"*","*",6,15.8,9,23.7,16,42.1,"*","*","*","*",243
"Old Saybrook School District","=""1060011""",90,90,100.0,90,"*","*","*","*",11,12.2,49,54.4,22,24.4,71,78.9,272
"Orange School District","=""1070011""",171,170,99.4,170,"*","*","*","*",18,10.6,83,48.8,62,36.5,145,85.3,285
"Oxford School District","=""1080011""",174,174,100.0,174,"*","*","*","*",26,14.9,82,47.1,56,32.2,138,79.3,281
"Park City Prep Charter School District","=""2830013""",93,93,100.0,93,"*","*",24,25.8,21,22.6,22,23.7,"*","*","*","*",221
"Plainfield School District","=""1090011""",163,162,99.4,162,13,8.0,20,12.3,43,26.5,70,43.2,16,9.9,86,53.1,249
"Plainville School District","=""1100011""",168,168,100.0,168,7,4.2,16,9.5,29,17.3,90,53.6,26,15.5,116,69.0,260
"Plymouth School District","=""1110011""",106,106,100.0,106,6,5.7,6,5.7,21,19.8,51,48.1,22,20.8,73,68.9,264
"Pomfret School District","=""1120011""",53,53,100.0,53,0,0.0,"*","*","*","*",27,50.9,14,26.4,41,77.4,277
"Portland School District","=""1130011""",114,113,99.1,113,"*","*","*","*",17,15.0,61,54.0,25,22.1,86,76.1,270
"Preston School District","=""1140011""",43,42,97.7,42,"*","*","*","*",8,19.0,19,45.2,10,23.8,29,69.0,267
"Putnam School District","=""1160011""",93,89,95.7,89,13,14.6,12,13.5,23,25.8,33,37.1,8,9.0,41,46.1,239
"Redding School District","=""1170011""",99,96,97.0,96,"*","*","*","*",6,6.3,47,49.0,40,41.7,87,90.6,293
"Regional School District 01","=""2010012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""",61,60,98.4,60,"*","*","*","*",10,16.7,22,36.7,19,31.7,41,68.3,271
"Regional School District 10","=""2100012""",184,183,99.5,183,"*","*","*","*",29,15.8,108,59.0,28,15.3,136,74.3,265
"Regional School District 12","=""2120012""",36,36,100.0,36,"*","*","*","*","*","*",21,58.3,7,19.4,28,77.8,269
"Regional School District 13","=""2130012""",139,138,99.3,138,"*","*","*","*",19,13.8,67,48.6,43,31.2,110,79.7,277
"Regional School District 14","=""2140012""",133,133,100.0,133,"*","*","*","*",19,14.3,69,51.9,35,26.3,104,78.2,274
"Regional School District 15","=""2150012""",283,283,100.0,283,6,2.1,6,2.1,27,9.5,147,51.9,97,34.3,244,86.2,285
"Regional School District 16","=""2160012""",167,164,98.2,164,"*","*","*","*",38,23.2,71,43.3,42,25.6,113,68.9,269
"Regional School District 17","=""2170012""",187,185,98.9,185,"*","*","*","*",26,14.1,82,44.3,68,36.8,150,81.1,286
"Regional School District 18","=""2180012""",100,100,100.0,100,"*","*","*","*",10,10.0,51,51.0,33,33.0,84,84.0,282
"Ridgefield School District","=""1180011""",412,412,100.0,412,"*","*","*","*",37,9.0,173,42.0,183,44.4,356,86.4,292
"Rocky Hill School District","=""1190011""",190,189,99.5,189,"*","*","*","*",33,17.5,78,41.3,70,37.0,148,78.3,282
"Salem School District","=""1210011""",55,55,100.0,55,"*","*","*","*","*","*",24,43.6,24,43.6,48,87.3,290
"Salisbury School District","=""1220011""",23,23,100.0,23,0,0.0,"*","*","*","*",13,56.5,"*","*","*","*",277
"Scotland School District","=""1230011""",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""",174,174,100.0,174,7,4.0,20,11.5,38,21.8,78,44.8,31,17.8,109,62.6,260
"Sharon School District","=""1250011""",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""",369,368,99.7,368,14,3.8,29,7.9,53,14.4,163,44.3,109,29.6,272,73.9,273
"Sherman School District","=""1270011""",37,36,97.3,36,"*","*","*","*",7,19.4,16,44.4,8,22.2,24,66.7,262
"Side By Side Charter School District","=""2700013""",22,22,100.0,22,"*","*","*","*",7,31.8,13,59.1,0,0.0,13,59.1,251
"Simsbury School District","=""1280011""",292,289,99.0,289,"*","*","*","*",24,8.3,136,47.1,117,40.5,253,87.5,293
"Somers School District","=""1290011""",103,102,99.0,102,0,0.0,"*","*","*","*",44,43.1,44,43.1,88,86.3,291
"South Windsor School District","=""1320011""",322,318,98.8,318,8,2.5,11,3.5,44,13.8,151,47.5,104,32.7,255,80.2,280
"Southington School District","=""1310011""",552,548,99.3,548,16,2.9,37,6.8,72,13.1,283,51.6,140,25.5,423,77.2,273
"Sprague School District","=""1330011""",35,35,100.0,35,"*","*","*","*",7,20.0,12,34.3,11,31.4,23,65.7,274
"Stafford School District","=""1340011""",113,113,100.0,113,"*","*","*","*",26,23.0,61,54.0,12,10.6,73,64.6,257
"Stamford School District","=""1350011""",1162,1158,99.7,1158,118,10.2,150,13.0,280,24.2,432,37.3,178,15.4,610,52.7,249
"Sterling School District","=""1360011""",50,49,98.0,49,"*","*","*","*",15,30.6,20,40.8,6,12.2,26,53.1,254
"Stonington School District","=""1370011""",156,153,98.1,153,"*","*","*","*",18,11.8,66,43.1,56,36.6,122,79.7,279
"Stratford School District","=""1380011""",518,513,99.0,513,47,9.2,79,15.4,108,21.1,220,42.9,59,11.5,279,54.4,247
"Suffield School District","=""1390011""",145,143,98.6,143,"*","*","*","*",30,21.0,68,47.6,28,19.6,96,67.1,266
"Thomaston School District","=""1400011""",74,74,100.0,74,"*","*","*","*",9,12.2,40,54.1,17,23.0,57,77.0,270
"Thompson School District","=""1410011""",90,89,98.9,89,9,10.1,12,13.5,18,20.2,39,43.8,11,12.4,50,56.2,250
"Tolland School District","=""1420011""",184,184,100.0,184,"*","*","*","*",19,10.3,97,52.7,61,33.2,158,85.9,286
"Torrington School District","=""1430011""",358,355,99.2,355,19,5.4,37,10.4,70,19.7,173,48.7,56,15.8,229,64.5,258
"Trumbull School District","=""1440011""",497,497,100.0,497,10,2.0,18,3.6,44,8.9,205,41.2,220,44.3,425,85.5,288
"Unified School District #2","=""3470015""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Union School District","=""1450011""",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""",237,237,100.0,237,22,9.3,33,13.9,62,26.2,95,40.1,25,10.5,120,50.6,247
"Voluntown School District","=""1470011""",30,30,100.0,30,"*","*",6,20.0,"*","*",17,56.7,"*","*","*","*",255
"Wallingford School District","=""1480011""",450,449,99.8,449,16,3.6,40,8.9,87,19.4,220,49.0,86,19.2,306,68.2,263
"Waterbury School District","=""1510011""",1420,1420,100.0,1419,354,24.9,315,22.2,349,24.6,347,24.5,54,3.8,401,28.3,218
"Waterford School District","=""1520011""",199,198,99.5,198,10,5.1,12,6.1,40,20.2,100,50.5,36,18.2,136,68.7,262
"Watertown School District","=""1530011""",211,211,100.0,211,11,5.2,15,7.1,44,20.9,100,47.4,41,19.4,141,66.8,261
"West Hartford School District","=""1550011""",750,748,99.7,748,29,3.9,44,5.9,111,14.8,358,47.9,206,27.5,564,75.4,273
"West Haven School District","=""1560011""",485,483,99.6,483,31,6.4,62,12.8,131,27.1,197,40.8,62,12.8,259,53.6,251
"Westbrook School District","=""1540011""",60,60,100.0,60,"*","*","*","*",12,20.0,30,50.0,13,21.7,43,71.7,266
"Weston School District","=""1570011""",183,181,98.9,181,"*","*","*","*",16,8.8,75,41.4,85,47.0,160,88.4,296
"Westport School District","=""1580011""",453,452,99.8,452,"*","*","*","*",43,9.5,231,51.1,163,36.1,394,87.2,286
"Wethersfield School District","=""1590011""",258,258,100.0,258,8,3.1,14,5.4,47,18.2,119,46.1,70,27.1,189,73.3,273
"Willington School District","=""1600011""",33,33,100.0,33,"*","*","*","*",6,18.2,14,42.4,"*","*","*","*",250
"Wilton School District","=""1610011""",342,340,99.4,340,"*","*","*","*",52,15.3,183,53.8,89,26.2,272,80.0,276
"Winchester School District","=""1620011""",89,88,98.9,88,"*","*",17,19.3,18,20.5,37,42.0,"*","*","*","*",238
"Windham School District","=""1630011""",251,250,99.6,250,56,22.4,53,21.2,51,20.4,77,30.8,13,5.2,90,36.0,225
"Windsor Locks School District","=""1650011""",130,130,100.0,130,11,8.5,20,15.4,38,29.2,38,29.2,23,17.7,61,46.9,252
"Windsor School District","=""1640011""",232,231,99.6,231,31,13.4,35,15.2,51,22.1,93,40.3,21,9.1,114,49.4,242
"Wolcott School District","=""1660011""",180,180,100.0,180,"*","*","*","*",27,15.0,83,46.1,60,33.3,143,79.4,280
"Woodbridge School District","=""1670011""",95,95,100.0,95,"*","*","*","*","*","*",33,34.7,56,58.9,89,93.7,307
"Woodstock School District","=""1690011""",113,112,99.1,112,"*","*","*","*",10,8.9,59,52.7,35,31.3,94,83.9,278

