"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, English Learner Status (EL)"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Berlin School District","=""0070011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",08,"N",214,214,100.0,214,"*","*","*","*","*","*","*","*","*","*","*","*",271
"Berlin School District","=""0070011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",10,"N",214,211,98.6,211,"*","*","*","*","*","*","*","*","*","*","*","*",271
"Berlin School District","=""0070011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",05,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",05,"N",204,203,99.5,203,"*","*","*","*","*","*","*","*","*","*","*","*",285
"Bethel School District","=""0090011""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",08,"N",212,210,99.1,210,"*","*","*","*","*","*","*","*","*","*","*","*",268
"Bethel School District","=""0090011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",08,"N",128,128,100.0,128,"*","*","*","*","*","*","*","*","*","*","*","*",241
"Bloomfield School District","=""0110011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",10,"N",147,143,97.3,142,22,15.5,28,19.7,48,33.8,30,21.1,14,9.9,44,31.0,237
"Bolton School District","=""0120011""",05,"N",69,67,97.1,67,7,10.4,"*","*","*","*",30,44.8,23,34.3,53,79.1,275
"Bolton School District","=""0120011""",08,"N",50,49,98.0,49,"*","*","*","*",8,16.3,24,49.0,11,22.4,35,71.4,264
"Bolton School District","=""0120011""",10,"N",78,78,100.0,78,"*","*","*","*",27,34.6,29,37.2,17,21.8,46,59.0,271
"Bozrah School District","=""0130011""",05,"N",29,29,100.0,29,0,0.0,0,0.0,"*","*",20,69.0,"*","*","*","*",279
"Bozrah School District","=""0130011""",08,"N",22,21,95.5,21,0,0.0,0,0.0,"*","*",12,57.1,"*","*","*","*",273
"Branford School District","=""0140011""",05,"N",216,215,99.5,215,"*","*","*","*","*","*","*","*","*","*","*","*",263
"Branford School District","=""0140011""",05,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",08,"N",239,236,98.7,236,"*","*","*","*","*","*","*","*","*","*","*","*",266
"Branford School District","=""0140011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",10,"N",217,209,96.3,209,"*","*","*","*","*","*","*","*","*","*","*","*",267
"Branford School District","=""0140011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",05,"N",79,79,100.0,79,"*","*","*","*","*","*","*","*","*","*","*","*",217
"Bridgeport Achievement First District","=""2850013""",05,"Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",08,"N",78,77,98.7,77,"*","*","*","*","*","*","*","*","*","*","*","*",231
"Bridgeport Achievement First District","=""2850013""",08,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""",05,"N",1367,1359,99.4,1359,339,24.9,360,26.5,364,26.8,259,19.1,37,2.7,296,21.8,214
"Bridgeport School District","=""0150011""",05,"Y",199,198,99.5,198,115,58.1,47,23.7,27,13.6,9,4.5,0,0.0,9,4.5,181
"Bridgeport School District","=""0150011""",08,"N",1272,1247,98.0,1247,491,39.4,227,18.2,232,18.6,268,21.5,29,2.3,297,23.8,216
"Bridgeport School District","=""0150011""",08,"Y",180,178,98.9,178,146,82.0,14,7.9,12,6.7,6,3.4,0,0.0,6,3.4,180
"Bridgeport School District","=""0150011""",10,"N",1254,1083,86.4,1041,315,30.3,220,21.1,302,29.0,116,11.1,88,8.5,204,19.6,221
"Bridgeport School District","=""0150011""",10,"Y",212,191,90.1,176,124,70.5,43,24.4,9,5.1,0,0.0,0,0.0,0,0.0,178
"Bristol School District","=""0170011""",05,"N",617,615,99.7,615,33,5.4,72,11.7,121,19.7,296,48.1,93,15.1,389,63.3,258
"Bristol School District","=""0170011""",05,"Y",29,29,100.0,29,10,34.5,"*","*",10,34.5,"*","*",0,0.0,"*","*",203
"Bristol School District","=""0170011""",08,"N",549,541,98.5,541,55,10.2,40,7.4,99,18.3,263,48.6,84,15.5,347,64.1,257
"Bristol School District","=""0170011""",08,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""",10,"N",544,525,96.5,525,48,9.1,56,10.7,195,37.1,116,22.1,110,21.0,226,43.0,256
"Bristol School District","=""0170011""",10,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",08,"N",195,193,99.0,193,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Brookfield School District","=""0180011""",08,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",10,"N",222,218,98.2,217,0,0.0,"*","*","*","*","*","*","*","*","*","*",286
"Brookfield School District","=""0180011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""",05,"N",102,102,100.0,102,"*","*","*","*",17,16.7,47,46.1,30,29.4,77,75.5,277
"Brooklyn School District","=""0190011""",08,"N",108,106,98.1,106,"*","*","*","*",10,9.4,64,60.4,24,22.6,88,83.0,274
"Brooklyn School District","=""0190011""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",05,"N",53,52,98.1,52,"*","*","*","*",9,17.3,26,50.0,9,17.3,35,67.3,260
"Canterbury School District","=""0220011""",08,"N",63,63,100.0,63,"*","*","*","*",11,17.5,44,69.8,"*","*","*","*",255
"Canton School District","=""0230011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",08,"N",140,140,100.0,140,"*","*","*","*",17,12.1,82,58.6,32,22.9,114,81.4,273
"Canton School District","=""0230011""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"N",38,38,100.0,38,12,31.6,7,18.4,8,21.1,11,28.9,0,0.0,11,28.9,223
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"N",38,37,97.4,37,11,29.7,16,43.2,"*","*","*","*",0,0.0,"*","*",200
"Capitol Region Education Council","=""2410014""",05,"N",304,299,98.4,299,29,9.7,47,15.7,71,23.7,113,37.8,39,13.0,152,50.8,246
"Capitol Region Education Council","=""2410014""",05,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""",08,"N",628,623,99.2,623,83,13.3,66,10.6,109,17.5,260,41.7,105,16.9,365,58.6,253
"Capitol Region Education Council","=""2410014""",08,"Y",21,21,100.0,21,14,66.7,"*","*","*","*",0,0.0,0,0.0,0,0.0,193
"Capitol Region Education Council","=""2410014""",10,"N",614,586,95.4,579,99,17.1,121,20.9,187,32.3,83,14.3,89,15.4,172,29.7,240
"Capitol Region Education Council","=""2410014""",10,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",05,"N",22,22,100.0,22,"*","*","*","*",7,31.8,12,54.5,"*","*","*","*",254
"Cheshire School District","=""0250011""",05,"N",345,344,99.7,344,"*","*","*","*",42,12.2,160,46.5,128,37.2,288,83.7,286
"Cheshire School District","=""0250011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",08,"N",355,352,99.2,352,11,3.1,17,4.8,37,10.5,188,53.4,99,28.1,287,81.5,277
"Cheshire School District","=""0250011""",10,"N",344,339,98.5,336,"*","*","*","*","*","*","*","*","*","*","*","*",283
"Cheshire School District","=""0250011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""",05,"N",35,35,100.0,35,0,0.0,0,0.0,8,22.9,15,42.9,12,34.3,27,77.1,283
"Clinton School District","=""0270011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",08,"N",160,159,99.4,159,9,5.7,9,5.7,23,14.5,78,49.1,40,25.2,118,74.2,271
"Clinton School District","=""0270011""",10,"N",120,117,97.5,117,"*","*","*","*","*","*","*","*","*","*","*","*",276
"Clinton School District","=""0270011""",10,"Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""",05,"N",199,198,99.5,198,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Colchester School District","=""0280011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""",08,"N",190,189,99.5,189,"*","*","*","*","*","*","*","*","*","*","*","*",276
"Colchester School District","=""0280011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""",10,"N",220,217,98.6,216,"*","*","*","*","*","*","*","*","*","*","*","*",277
"Colchester School District","=""0280011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,"N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",05,"N",57,57,100.0,57,"*","*","*","*",10,17.5,27,47.4,15,26.3,42,73.7,270
"Columbia School District","=""0300011""",08,"N",59,59,100.0,59,"*","*","*","*",10,16.9,34,57.6,8,13.6,42,71.2,260
"Columbia School District","=""0300011""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""",10,"N",2585,2579,99.8,2576,162,6.3,415,16.1,1214,47.1,454,17.6,331,12.8,785,30.5,246
"Connecticut Technical High School System","=""9000016""",10,"Y",101,101,100.0,101,43,42.6,39,38.6,"*","*","*","*",0,0.0,"*","*",196
"Cooperative Educational Services","=""2430014""",05,"N",52,52,100.0,52,11,21.2,"*","*","*","*",20,38.5,9,17.3,29,55.8,245
"Cooperative Educational Services","=""2430014""",08,"N",52,52,100.0,52,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Cooperative Educational Services","=""2430014""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""",10,"N",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,"N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",05,"N",115,114,99.1,114,0,0.0,6,5.3,17,14.9,52,45.6,39,34.2,91,79.8,282
"Coventry School District","=""0320011""",08,"N",138,136,98.6,136,"*","*",10,7.4,"*","*",86,63.2,30,22.1,116,85.3,275
"Coventry School District","=""0320011""",10,"N",116,115,99.1,114,6,5.3,6,5.3,34,29.8,17,14.9,51,44.7,68,59.6,284
"Cromwell School District","=""0330011""",05,"N",172,172,100.0,172,"*","*","*","*","*","*","*","*","*","*","*","*",263
"Cromwell School District","=""0330011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""",08,"N",143,142,99.3,142,6,4.2,10,7.0,29,20.4,71,50.0,26,18.3,97,68.3,265
"Cromwell School District","=""0330011""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""",05,"N",684,680,99.4,680,37,5.4,94,13.8,176,25.9,289,42.5,84,12.4,373,54.9,251
"Danbury School District","=""0340011""",05,"Y",183,179,97.8,179,63,35.2,65,36.3,45,25.1,6,3.4,0,0.0,6,3.4,194
"Danbury School District","=""0340011""",08,"N",700,696,99.4,696,86,12.4,81,11.6,173,24.9,310,44.5,46,6.6,356,51.1,244
"Danbury School District","=""0340011""",08,"Y",105,104,99.0,104,74,71.2,17,16.3,"*","*","*","*",0,0.0,"*","*",192
"Danbury School District","=""0340011""",10,"N",618,606,98.1,605,81,13.4,106,17.5,231,38.2,121,20.0,66,10.9,187,30.9,240
"Danbury School District","=""0340011""",10,"Y",111,109,98.2,109,74,67.9,26,23.9,9,8.3,0,0.0,0,0.0,0,0.0,178
"Darien School District","=""0350011""",05,"N",356,354,99.4,354,"*","*","*","*",45,12.7,153,43.2,142,40.1,295,83.3,286
"Darien School District","=""0350011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""",10,"N",352,337,95.7,336,"*","*","*","*",64,19.0,90,26.8,172,51.2,262,78.0,296
"Deep River School District","=""0360011""",05,"N",43,43,100.0,43,0,0.0,"*","*","*","*","*","*","*","*","*","*",282
"Deep River School District","=""0360011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""",05,"N",106,106,100.0,106,8,7.5,20,18.9,30,28.3,38,35.8,10,9.4,48,45.3,242
"Derby School District","=""0370011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""",08,"N",95,94,98.9,94,"*","*","*","*","*","*","*","*","*","*","*","*",231
"Derby School District","=""0370011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",08,"N",62,62,100.0,62,"*","*","*","*",10,16.1,32,51.6,12,19.4,44,71.0,265
"East Granby School District","=""0400011""",10,"N",59,57,96.6,57,"*","*","*","*",10,17.5,17,29.8,28,49.1,45,78.9,291
"East Haddam School District","=""0410011""",05,"N",69,69,100.0,69,"*","*","*","*","*","*",33,47.8,27,39.1,60,87.0,285
"East Haddam School District","=""0410011""",08,"N",103,100,97.1,100,"*","*","*","*",19,19.0,62,62.0,10,10.0,72,72.0,260
"East Haddam School District","=""0410011""",10,"N",86,84,97.7,84,"*","*","*","*",38,45.2,12,14.3,24,28.6,36,42.9,264
"East Hampton School District","=""0420011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""",10,"N",109,108,99.1,107,"*","*","*","*",31,29.0,24,22.4,43,40.2,67,62.6,279
"East Hartford School District","=""0430011""",05,"N",460,460,100.0,460,69,15.0,80,17.4,145,31.5,140,30.4,26,5.7,166,36.1,232
"East Hartford School District","=""0430011""",05,"Y",55,55,100.0,55,23,41.8,"*","*",14,25.5,"*","*",0,0.0,"*","*",192
"East Hartford School District","=""0430011""",08,"N",449,443,98.7,443,140,31.6,67,15.1,"*","*",123,27.8,"*","*","*","*",230
"East Hartford School District","=""0430011""",08,"Y",42,41,97.6,41,32,78.0,"*","*","*","*",0,0.0,0,0.0,0,0.0,184
"East Hartford School District","=""0430011""",10,"N",429,387,90.2,382,53,13.9,77,20.2,144,37.7,66,17.3,42,11.0,108,28.3,237
"East Hartford School District","=""0430011""",10,"Y",55,51,92.7,51,29,56.9,14,27.5,6,11.8,"*","*","*","*","*","*",194
"East Haven School District","=""0440011""",05,"N",188,188,100.0,188,11,5.9,16,8.5,52,27.7,86,45.7,23,12.2,109,58.0,254
"East Haven School District","=""0440011""",05,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""",08,"N",235,231,98.3,231,"*","*","*","*","*","*","*","*","*","*","*","*",236
"East Haven School District","=""0440011""",08,"Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""",10,"N",217,210,96.8,210,"*","*","*","*","*","*","*","*","*","*","*","*",248
"East Haven School District","=""0440011""",10,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""",05,"N",202,201,99.5,201,"*","*","*","*","*","*","*","*","*","*","*","*",285
"East Lyme School District","=""0450011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""",08,"N",216,213,98.6,213,9,4.2,8,3.8,32,15.0,121,56.8,43,20.2,164,77.0,270
"East Lyme School District","=""0450011""",10,"N",287,284,99.0,283,"*","*","*","*",69,24.4,77,27.2,123,43.5,200,70.7,289
"East Windsor School District","=""0470011""",05,"N",77,77,100.0,77,"*","*","*","*","*","*","*","*","*","*","*","*",274
"East Windsor School District","=""0470011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""",08,"N",74,72,97.3,72,"*","*","*","*","*","*","*","*","*","*","*","*",269
"East Windsor School District","=""0470011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""",10,"N",90,88,97.8,88,6,6.8,6,6.8,33,37.5,24,27.3,19,21.6,43,48.9,256
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",10,"N",92,83,90.2,82,"*","*","*","*","*","*","*","*","*","*","*","*",238
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""",05,"N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""",08,"N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""",08,"N",107,103,96.3,103,"*","*","*","*",12,11.7,64,62.1,23,22.3,87,84.5,275
"Education Connection","=""2420014""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Elm City College Preparatory School District","=""2890013""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",08,"N",60,60,100.0,60,14,23.3,13,21.7,20,33.3,"*","*","*","*",13,21.7,223
"Elm City College Preparatory School District","=""2890013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""",05,"N",383,382,99.7,382,12,3.1,35,9.2,91,23.8,178,46.6,66,17.3,244,63.9,262
