"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Capital Preparatory Harbor School Inc. District","=""2970013""",76,75,98.7,75,23,30.7,23,30.7,17,22.7,12,16.0,0,0.0,12,16.0
"Capitol Region Education Council","=""2410014""",1601,1563,97.6,1556,235,15.1,251,16.1,377,24.2,460,29.6,233,15.0,693,44.5
"Chaplin School District","=""0240011""",22,22,100.0,22,"*","*","*","*",7,31.8,12,54.5,"*","*","*","*"
"Cheshire School District","=""0250011""",1047,1038,99.1,1035,19,1.8,42,4.1,168,16.2,456,44.1,350,33.8,806,77.9
"Chester School District","=""0260011""",35,35,100.0,35,0,0.0,0,0.0,8,22.9,15,42.9,12,34.3,27,77.1
"Clinton School District","=""0270011""",468,463,98.9,463,25,5.4,29,6.3,83,17.9,194,41.9,132,28.5,326,70.4
"Colchester School District","=""0280011""",613,610,99.5,609,11,1.8,38,6.2,114,18.7,256,42.0,190,31.2,446,73.2
"Colebrook School District","=""0290011""",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",117,117,100.0,117,"*","*","*","*",20,17.1,61,52.1,23,19.7,84,71.8
"Common Ground High School District","=""2680013""",50,46,92.0,46,8,17.4,10,21.7,13,28.3,8,17.4,7,15.2,15,32.6
"Connecticut Technical High School System","=""9000016""",2686,2680,99.8,2677,205,7.7,454,17.0,1232,46.0,455,17.0,331,12.4,786,29.4
"Cooperative Educational Services","=""2430014""",121,120,99.2,120,31,25.8,10,8.3,25,20.8,41,34.2,13,10.8,54,45.0
"Cornwall School District","=""0310011""",30,30,100.0,30,0,0.0,"*","*","*","*",17,56.7,11,36.7,28,93.3
"Coventry School District","=""0320011""",369,365,98.9,364,7,1.9,22,6.0,60,16.5,155,42.6,120,33.0,275,75.5
"Cromwell School District","=""0330011""",466,464,99.6,464,19,4.1,37,8.0,129,27.8,183,39.4,96,20.7,279,60.1
"Danbury School District","=""0340011""",2401,2374,98.9,2373,415,17.5,389,16.4,644,27.1,729,30.7,196,8.3,925,39.0
"Darien School District","=""0350011""",1081,1060,98.1,1059,11,1.0,25,2.4,129,12.2,404,38.1,490,46.3,894,84.4
"Deep River School District","=""0360011""",44,44,100.0,44,0,0.0,"*","*","*","*",23,52.3,14,31.8,37,84.1
"Derby School District","=""0370011""",286,283,99.0,283,46,16.3,58,20.5,71,25.1,80,28.3,28,9.9,108,38.2
"East Granby School District","=""0400011""",194,192,99.0,192,8,4.2,6,3.1,31,16.1,77,40.1,70,36.5,147,76.6
"East Haddam School District","=""0410011""",258,253,98.1,253,8,3.2,15,5.9,62,24.5,107,42.3,61,24.1,168,66.4
"East Hampton School District","=""0420011""",391,384,98.2,383,9,2.3,29,7.6,74,19.3,159,41.5,112,29.2,271,70.8
"East Hartford School District","=""0430011""",1489,1437,96.5,1432,346,24.2,259,18.1,393,27.4,334,23.3,100,7.0,434,30.3
"East Haven School District","=""0440011""",679,669,98.5,669,80,12.0,95,14.2,220,32.9,221,33.0,53,7.9,274,41.0
"East Lyme School District","=""0450011""",709,702,99.0,701,12,1.7,27,3.9,129,18.4,293,41.8,240,34.2,533,76.0
"East Windsor School District","=""0470011""",245,242,98.8,242,11,4.5,12,5.0,68,28.1,93,38.4,58,24.0,151,62.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",103,93,90.3,92,21,22.8,12,13.0,38,41.3,14,15.2,7,7.6,21,22.8
"Eastford School District","=""0390011""",34,34,100.0,34,"*","*","*","*","*","*",19,55.9,"*","*","*","*"
"Easton School District","=""0460011""",228,223,97.8,223,"*","*","*","*",20,9.0,118,52.9,74,33.2,192,86.1
"Education Connection","=""2420014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",608,607,99.8,607,21,3.5,24,4.0,100,16.5,279,46.0,183,30.1,462,76.1
"Elm City College Preparatory School District","=""2890013""",161,161,100.0,159,41,25.8,37,23.3,46,28.9,"*","*","*","*",35,22.0
"Enfield School District","=""0490011""",1115,1108,99.4,1108,51,4.6,113,10.2,293,26.4,457,41.2,194,17.5,651,58.8
"Essex School District","=""0500011""",57,57,100.0,57,"*","*","*","*","*","*",27,47.4,24,42.1,51,89.5
"Explorations District","=""2720013""",20,20,100.0,20,"*","*",8,40.0,6,30.0,"*","*","*","*","*","*"
"Fairfield School District","=""0510011""",2330,2302,98.8,2302,64,2.8,85,3.7,355,15.4,987,42.9,811,35.2,1798,78.1
"Farmington School District","=""0520011""",899,889,98.9,889,21,2.4,21,2.4,112,12.6,353,39.7,382,43.0,735,82.7
"Franklin School District","=""0530011""",37,37,100.0,37,"*","*","*","*",9,24.3,15,40.5,7,18.9,22,59.5
"Glastonbury School District","=""0540011""",1443,1438,99.7,1437,30,2.1,53,3.7,172,12.0,525,36.5,657,45.7,1182,82.3
"Granby School District","=""0560011""",451,447,99.1,446,7,1.6,17,3.8,42,9.4,182,40.8,198,44.4,380,85.2
"Greenwich School District","=""0570011""",1931,1919,99.4,1918,70,3.6,84,4.4,266,13.9,769,40.1,729,38.0,1498,78.1
"Griswold School District","=""0580011""",412,408,99.0,407,32,7.9,43,10.6,104,25.6,163,40.0,65,16.0,228,56.0
"Groton School District","=""0590011""",856,829,96.8,829,63,7.6,91,11.0,190,22.9,323,39.0,162,19.5,485,58.5
"Guilford School District","=""0600011""",874,872,99.8,872,26,3.0,43,4.9,137,15.7,415,47.6,251,28.8,666,76.4
"Hamden School District","=""0620011""",1255,1220,97.2,1217,196,16.1,154,12.7,312,25.6,394,32.4,161,13.2,555,45.6
"Hampton School District","=""0630011""",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""",4363,4185,95.9,4169,1333,32.0,788,18.9,939,22.5,822,19.7,287,6.9,1109,26.6
"Hartland School District","=""0650011""",38,38,100.0,38,"*","*",0,0.0,"*","*",15,39.5,15,39.5,30,78.9
"Hebron School District","=""0670011""",107,107,100.0,107,"*","*","*","*",19,17.8,49,45.8,30,28.0,79,73.8
"Highville Charter School District","=""2860013""",97,97,100.0,97,32,33.0,20,20.6,27,27.8,"*","*","*","*",18,18.6
"Integrated Day Charter School District","=""2640013""",68,66,97.1,66,"*","*",14,21.2,9,13.6,29,43.9,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""",87,86,98.9,86,23,26.7,16,18.6,"*","*",31,36.0,"*","*","*","*"
"Jumoke Academy District","=""2610013""",176,171,97.2,171,38,22.2,30,17.5,51,29.8,45,26.3,7,4.1,52,30.4
"Kent School District","=""0680011""",47,47,100.0,47,0,0.0,0,0.0,6,12.8,28,59.6,13,27.7,41,87.2
"Killingly School District","=""0690011""",529,510,96.4,510,51,10.0,67,13.1,137,26.9,209,41.0,46,9.0,255,50.0
"Learn","=""2450014""",312,303,97.1,302,61,20.2,43,14.2,68,22.5,76,25.2,54,17.9,130,43.0
"Lebanon School District","=""0710011""",239,237,99.2,237,12,5.1,16,6.8,55,23.2,110,46.4,44,18.6,154,65.0
"Ledyard School District","=""0720011""",518,512,98.8,512,15,2.9,33,6.4,105,20.5,207,40.4,152,29.7,359,70.1
"Lisbon School District","=""0730011""",86,86,100.0,86,"*","*","*","*",19,22.1,34,39.5,16,18.6,50,58.1
"Litchfield School District","=""0740011""",221,221,100.0,221,7,3.2,8,3.6,29,13.1,88,39.8,89,40.3,177,80.1
"Madison School District","=""0760011""",777,749,96.4,749,9,1.2,38,5.1,132,17.6,335,44.7,235,31.4,570,76.1
"Manchester School District","=""0770011""",1235,1208,97.8,1208,244,20.2,198,16.4,296,24.5,358,29.6,112,9.3,470,38.9
"Mansfield School District","=""0780011""",280,277,98.9,277,10,3.6,11,4.0,32,11.6,120,43.3,104,37.5,224,80.9
"Marlborough School District","=""0790011""",91,91,100.0,91,"*","*","*","*",10,11.0,40,44.0,34,37.4,74,81.3
"Meriden School District","=""0800011""",1720,1667,96.9,1660,431,26.0,352,21.2,412,24.8,382,23.0,83,5.0,465,28.0
"Middletown School District","=""0830011""",982,976,99.4,976,145,14.9,154,15.8,251,25.7,306,31.4,120,12.3,426,43.6
"Milford School District","=""0840011""",1399,1380,98.6,1377,69,5.0,128,9.3,327,23.7,605,43.9,248,18.0,853,61.9
"Monroe School District","=""0850011""",780,778,99.7,776,18,2.3,24,3.1,88,11.3,323,41.6,323,41.6,646,83.2
"Montville School District","=""0860011""",555,549,98.9,549,29,5.3,43,7.8,118,21.5,218,39.7,141,25.7,359,65.4
"Naugatuck School District","=""0880011""",933,918,98.4,917,123,13.4,169,18.4,259,28.2,295,32.2,71,7.7,366,39.9
"New Beginnings Inc., Family Academy District","=""2800013""",74,73,98.6,73,23,31.5,"*","*",22,30.1,18,24.7,"*","*","*","*"
"New Britain School District","=""0890011""",1945,1884,96.9,1877,695,37.0,378,20.1,408,21.7,337,18.0,59,3.1,396,21.1
"New Canaan School District","=""0900011""",963,956,99.3,955,6,0.6,21,2.2,104,10.9,359,37.6,465,48.7,824,86.3
"New Fairfield School District","=""0910011""",564,556,98.6,556,17,3.1,29,5.2,129,23.2,218,39.2,163,29.3,381,68.5
"New Hartford School District","=""0920011""",68,68,100.0,68,"*","*","*","*",14,20.6,34,50.0,17,25.0,51,75.0
"New Haven School District","=""0930011""",4378,4181,95.5,4149,1224,29.5,914,22.0,992,23.9,740,17.8,279,6.7,1019,24.6
"New London School District","=""0950011""",705,677,96.0,675,172,25.5,131,19.4,153,22.7,152,22.5,67,9.9,219,32.4
"New Milford School District","=""0960011""",1051,1031,98.1,1029,50,4.9,69,6.7,242,23.5,434,42.2,234,22.7,668,64.9
"Newington School District","=""0940011""",926,922,99.6,922,53,5.7,72,7.8,238,25.8,373,40.5,186,20.2,559,60.6
"Newtown School District","=""0970011""",1169,1161,99.3,1161,15,1.3,52,4.5,165,14.2,518,44.6,411,35.4,929,80.0
"Norfolk School District","=""0980011""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""",451,444,98.4,444,22,5.0,36,8.1,90,20.3,197,44.4,99,22.3,296,66.7
"North Canaan School District","=""1000011""",41,40,97.6,40,"*","*","*","*",9,22.5,20,50.0,"*","*","*","*"
"North Haven School District","=""1010011""",755,745,98.7,744,37,5.0,67,9.0,183,24.6,294,39.5,163,21.9,457,61.4
"North Stonington School District","=""1020011""",154,153,99.4,153,"*","*","*","*",26,17.0,54,35.3,68,44.4,122,79.7
"Norwalk School District","=""1030011""",2484,2451,98.7,2448,341,13.9,333,13.6,630,25.7,777,31.7,367,15.0,1144,46.7
"Norwich Free Academy District","=""9010022""",558,544,97.5,542,86,15.9,83,15.3,163,30.1,96,17.7,114,21.0,210,38.7
"Norwich School District","=""1040011""",747,736,98.5,735,166,22.6,114,15.5,177,24.1,237,32.2,41,5.6,278,37.8
"Odyssey Community School District","=""2630013""",76,75,98.7,75,8,10.7,7,9.3,15,20.0,34,45.3,11,14.7,45,60.0
"Old Saybrook School District","=""1060011""",321,319,99.4,319,12,3.8,15,4.7,52,16.3,153,48.0,87,27.3,240,75.2
"Orange School District","=""1070011""",171,170,99.4,170,"*","*","*","*",18,10.6,83,48.8,62,36.5,145,85.3
"Oxford School District","=""1080011""",482,481,99.8,479,17,3.5,27,5.6,95,19.8,190,39.7,150,31.3,340,71.0
"Park City Prep Charter School District","=""2830013""",176,174,98.9,174,34,19.5,32,18.4,41,23.6,56,32.2,11,6.3,67,38.5
"Path Academy District","=""2930013""",45,22,48.9,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""",518,509,98.3,508,60,11.8,73,14.4,142,28.0,184,36.2,49,9.6,233,45.9
"Plainville School District","=""1100011""",509,501,98.4,501,43,8.6,45,9.0,95,19.0,214,42.7,104,20.8,318,63.5
"Plymouth School District","=""1110011""",345,339,98.3,339,34,10.0,45,13.3,82,24.2,133,39.2,45,13.3,178,52.5
"Pomfret School District","=""1120011""",108,108,100.0,108,"*","*","*","*",15,13.9,60,55.6,26,24.1,86,79.6
"Portland School District","=""1130011""",315,314,99.7,314,14,4.5,14,4.5,60,19.1,146,46.5,80,25.5,226,72.0
"Preston School District","=""1140011""",98,96,98.0,96,"*","*","*","*",17,17.7,44,45.8,23,24.0,67,69.8
"Putnam School District","=""1160011""",258,251,97.3,250,49,19.6,34,13.6,71,28.4,78,31.2,18,7.2,96,38.4
"Redding School District","=""1170011""",218,213,97.7,213,"*","*","*","*",15,7.0,108,50.7,76,35.7,184,86.4
"Regional School District 01","=""2010012""",95,93,97.9,93,"*","*",15,16.1,39,41.9,21,22.6,"*","*","*","*"
"Regional School District 04","=""2040012""",317,316,99.7,316,7,2.2,11,3.5,59,18.7,113,35.8,126,39.9,239,75.6
"Regional School District 05","=""2050012""",741,736,99.3,735,23,3.1,25,3.4,114,15.5,276,37.6,297,40.4,573,78.0
"Regional School District 06","=""2060012""",256,252,98.4,252,14,5.6,25,9.9,58,23.0,97,38.5,58,23.0,155,61.5
"Regional School District 07","=""2070012""",322,322,100.0,321,"*","*","*","*",53,16.5,116,36.1,134,41.7,250,77.9
"Regional School District 08","=""2080012""",557,552,99.1,552,17,3.1,22,4.0,117,21.2,243,44.0,153,27.7,396,71.7
"Regional School District 09","=""2090012""",242,235,97.1,233,0,0.0,"*","*","*","*",58,24.9,123,52.8,181,77.7
"Regional School District 10","=""2100012""",561,556,99.1,555,17,3.1,31,5.6,101,18.2,256,46.1,150,27.0,406,73.2
"Regional School District 11","=""2110012""",70,70,100.0,70,"*","*","*","*",11,15.7,32,45.7,13,18.6,45,64.3
"Regional School District 12","=""2120012""",162,162,100.0,162,"*","*","*","*",19,11.7,70,43.2,56,34.6,126,77.8
"Regional School District 13","=""2130012""",421,416,98.8,416,6,1.4,20,4.8,61,14.7,180,43.3,149,35.8,329,79.1
"Regional School District 14","=""2140012""",428,426,99.5,426,13,3.1,22,5.2,96,22.5,176,41.3,119,27.9,295,69.2
"Regional School District 15","=""2150012""",924,915,99.0,915,20,2.2,23,2.5,120,13.1,424,46.3,328,35.8,752,82.2
"Regional School District 16","=""2160012""",533,527,98.9,527,30,5.7,40,7.6,129,24.5,217,41.2,111,21.1,328,62.2
"Regional School District 17","=""2170012""",542,534,98.5,534,18,3.4,17,3.2,83,15.5,212,39.7,204,38.2,416,77.9
"Regional School District 18","=""2180012""",348,348,100.0,347,6,1.7,18,5.2,52,15.0,142,40.9,129,37.2,271,78.1
"Regional School District 19","=""2190012""",299,295,98.7,295,13,4.4,24,8.1,87,29.5,64,21.7,107,36.3,171,58.0
"Ridgefield School District","=""1180011""",1254,1229,98.0,1229,14,1.1,31,2.5,135,11.0,484,39.4,565,46.0,1049,85.4
"Rocky Hill School District","=""1190011""",562,558,99.3,558,25,4.5,26,4.7,108,19.4,199,35.7,200,35.8,399,71.5
"Salem School District","=""1210011""",91,91,100.0,91,"*","*","*","*",12,13.2,44,48.4,28,30.8,72,79.1
"Salisbury School District","=""1220011""",51,51,100.0,51,"*","*","*","*","*","*",28,54.9,16,31.4,44,86.3
"Scotland School District","=""1230011""",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""",518,514,99.2,514,43,8.4,55,10.7,130,25.3,205,39.9,81,15.8,286,55.6
"Sharon School District","=""1250011""",36,34,94.4,34,0,0.0,"*","*",12,35.3,12,35.3,"*","*","*","*"
"Shelton School District","=""1260011""",1175,1161,98.8,1160,59,5.1,93,8.0,218,18.8,483,41.6,307,26.5,790,68.1
"Sherman School District","=""1270011""",75,74,98.7,74,"*","*","*","*",10,13.5,40,54.1,15,20.3,55,74.3
"Side By Side Charter School District","=""2700013""",43,43,100.0,43,"*","*","*","*",16,37.2,18,41.9,"*","*","*","*"
"Simsbury School District","=""1280011""",982,974,99.2,973,28,2.9,24,2.5,88,9.0,368,37.8,465,47.8,833,85.6
"Somers School District","=""1290011""",340,336,98.8,336,8,2.4,17,5.1,67,19.9,122,36.3,122,36.3,244,72.6
"South Windsor School District","=""1320011""",997,986,98.9,986,23,2.3,44,4.5,131,13.3,390,39.6,398,40.4,788,79.9
"Southington School District","=""1310011""",1652,1633,98.8,1632,67,4.1,104,6.4,287,17.6,737,45.2,437,26.8,1174,71.9
"Sprague School District","=""1330011""",77,77,100.0,77,"*","*","*","*",12,15.6,39,50.6,20,26.0,59,76.6
"Stafford School District","=""1340011""",322,317,98.4,317,13,4.1,19,6.0,70,22.1,139,43.8,76,24.0,215,67.8
"Stamford Academy District","=""2820013""",44,39,88.6,39,25,64.1,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Stamford School District","=""1350011""",3385,3330,98.4,3326,556,16.7,427,12.8,784,23.6,1057,31.8,502,15.1,1559,46.9
"Sterling School District","=""1360011""",107,106,99.1,106,16,15.1,11,10.4,28,26.4,43,40.6,8,7.5,51,48.1
"Stonington School District","=""1370011""",514,509,99.0,509,17,3.3,27,5.3,99,19.4,207,40.7,159,31.2,366,71.9
"Stratford School District","=""1380011""",1579,1552,98.3,1549,169,10.9,217,14.0,412,26.6,558,36.0,193,12.5,751,48.5
"Suffield School District","=""1390011""",532,523,98.3,523,20,3.8,31,5.9,98,18.7,209,40.0,165,31.5,374,71.5
"The Bridge Academy District","=""2690013""",94,94,100.0,94,32,34.0,27,28.7,23,24.5,12,12.8,0,0.0,12,12.8
"The Gilbert School District","=""9020022""",170,169,99.4,169,25,14.8,28,16.6,46,27.2,50,29.6,20,11.8,70,41.4
"Thomaston School District","=""1400011""",201,201,100.0,201,11,5.5,18,9.0,46,22.9,90,44.8,36,17.9,126,62.7
"Thompson School District","=""1410011""",238,234,98.3,234,26,11.1,27,11.5,70,29.9,87,37.2,24,10.3,111,47.4
"Tolland School District","=""1420011""",635,635,100.0,635,18,2.8,23,3.6,85,13.4,305,48.0,204,32.1,509,80.2
"Torrington School District","=""1430011""",960,919,95.7,918,97,10.6,119,13.0,213,23.2,377,41.1,112,12.2,489,53.3
"Trailblazers Academy District","=""2780013""",41,36,87.8,36,17,47.2,11,30.6,"*","*","*","*",0,0.0,"*","*"
"Trumbull School District","=""1440011""",1519,1505,99.1,1505,35,2.3,50,3.3,217,14.4,543,36.1,660,43.9,1203,79.9
"Unified School District #2","=""3470015""",62,56,90.3,55,32,58.2,9,16.4,14,25.5,0,0.0,0,0.0,0,0.0
"Union School District","=""1450011""",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""",642,637,99.2,636,74,11.6,103,16.2,159,25.0,230,36.2,70,11.0,300,47.2
"Voluntown School District","=""1470011""",62,62,100.0,62,"*","*",9,14.5,"*","*",41,66.1,"*","*","*","*"
"Wallingford School District","=""1480011""",1396,1383,99.1,1383,61,4.4,97,7.0,331,23.9,589,42.6,305,22.1,894,64.6
"Waterbury School District","=""1510011""",4005,3943,98.5,3927,1263,32.2,800,20.4,945,24.1,771,19.6,148,3.8,919,23.4
"Waterford School District","=""1520011""",644,636,98.8,636,39,6.1,37,5.8,144,22.6,279,43.9,137,21.5,416,65.4
"Watertown School District","=""1530011""",644,635,98.6,635,35,5.5,50,7.9,159,25.0,280,44.1,111,17.5,391,61.6
"West Hartford School District","=""1550011""",2166,2146,99.1,2146,94,4.4,118,5.5,319,14.9,816,38.0,799,37.2,1615,75.3
"West Haven School District","=""1560011""",1307,1286,98.4,1284,185,14.4,175,13.6,352,27.4,406,31.6,166,12.9,572,44.5
"Westbrook School District","=""1540011""",205,204,99.5,203,6,3.0,10,4.9,54,26.6,76,37.4,57,28.1,133,65.5
"Weston School District","=""1570011""",573,564,98.4,564,"*","*","*","*",79,14.0,236,41.8,232,41.1,468,83.0
"Westport School District","=""1580011""",1385,1369,98.8,1369,14,1.0,33,2.4,188,13.7,565,41.3,569,41.6,1134,82.8
"Wethersfield School District","=""1590011""",850,836,98.4,836,46,5.5,56,6.7,196,23.4,331,39.6,207,24.8,538,64.4
"Willington School District","=""1600011""",86,85,98.8,85,7,8.2,6,7.1,19,22.4,43,50.6,10,11.8,53,62.4
"Wilton School District","=""1610011""",1025,1003,97.9,1000,11,1.1,24,2.4,131,13.1,430,43.0,404,40.4,834,83.4
"Winchester School District","=""1620011""",97,96,99.0,96,"*","*",20,20.8,18,18.8,37,38.5,"*","*","*","*"
"Windham School District","=""1630011""",639,625,97.8,625,195,31.2,121,19.4,123,19.7,150,24.0,36,5.8,186,29.8
"Windsor Locks School District","=""1650011""",355,348,98.0,348,31,8.9,44,12.6,114,32.8,112,32.2,47,13.5,159,45.7
"Windsor School District","=""1640011""",783,766,97.8,766,90,11.7,117,15.3,190,24.8,243,31.7,126,16.4,369,48.2
"Wolcott School District","=""1660011""",601,600,99.8,600,26,4.3,29,4.8,125,20.8,254,42.3,166,27.7,420,70.0
"Woodbridge School District","=""1670011""",95,95,100.0,95,"*","*","*","*","*","*",33,34.7,56,58.9,89,93.7
"Woodstock Academy District","=""9030022""",245,244,99.6,244,11,4.5,20,8.2,65,26.6,55,22.5,93,38.1,148,60.7
"Woodstock School District","=""1690011""",213,211,99.1,211,"*","*","*","*",18,8.5,117,55.5,63,29.9,180,85.3

