"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"East Hampton School District","=""0420011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","N",1337,1290,96.5,1285,262,20.4,224,17.4,371,28.9,329,25.6,99,7.7,428,33.3
"East Hartford School District","=""0430011""","Y",152,147,96.7,147,84,57.1,35,23.8,22,15.0,"*","*","*","*",6,4.1
"East Haven School District","=""0440011""","N",638,629,98.6,629,69,11.0,80,12.7,208,33.1,219,34.8,53,8.4,272,43.2
"East Haven School District","=""0440011""","Y",41,40,97.6,40,"*","*",15,37.5,12,30.0,"*","*",0,0.0,"*","*"
"East Lyme School District","=""0450011""","N",705,698,99.0,697,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","N",240,237,98.8,237,10,4.2,11,4.6,66,27.8,93,39.2,57,24.1,150,63.3
"East Windsor School District","=""0470011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",100,90,90.0,89,"*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N",34,34,100.0,34,"*","*","*","*","*","*",19,55.9,"*","*","*","*"
"Easton School District","=""0460011""","N",227,222,97.8,222,"*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",602,601,99.8,601,18,3.0,23,3.8,100,16.6,277,46.1,183,30.4,460,76.5
"Ellington School District","=""0480011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","N",157,157,100.0,155,40,25.8,35,22.6,45,29.0,"*","*","*","*",35,22.6
"Elm City College Preparatory School District","=""2890013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","N",1098,1091,99.4,1091,46,4.2,108,9.9,288,26.4,455,41.7,194,17.8,649,59.5
"Enfield School District","=""0490011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","N",56,56,100.0,56,"*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",20,20,100.0,20,"*","*",8,40.0,6,30.0,"*","*","*","*","*","*"
"Fairfield School District","=""0510011""","N",2293,2266,98.8,2266,51,2.3,75,3.3,346,15.3,983,43.4,811,35.8,1794,79.2
"Fairfield School District","=""0510011""","Y",37,36,97.3,36,13,36.1,10,27.8,"*","*","*","*",0,0.0,"*","*"
"Farmington School District","=""0520011""","N",887,877,98.9,877,16,1.8,20,2.3,106,12.1,353,40.3,382,43.6,735,83.8
"Farmington School District","=""0520011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","N",37,37,100.0,37,"*","*","*","*",9,24.3,15,40.5,7,18.9,22,59.5
"Glastonbury School District","=""0540011""","N",1433,1428,99.7,1427,28,2.0,49,3.4,170,11.9,523,36.7,657,46.0,1180,82.7
"Glastonbury School District","=""0540011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","N",449,445,99.1,444,7,1.6,17,3.8,41,9.2,181,40.8,198,44.6,379,85.4
"Granby School District","=""0560011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","N",1856,1845,99.4,1845,51,2.8,69,3.7,246,13.3,755,40.9,724,39.2,1479,80.2
"Greenwich School District","=""0570011""","Y",75,74,98.7,73,19,26.0,15,20.5,20,27.4,"*","*","*","*",19,26.0
"Griswold School District","=""0580011""","N",409,405,99.0,404,30,7.4,43,10.6,104,25.7,162,40.1,65,16.1,227,56.2
"Griswold School District","=""0580011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","N",831,806,97.0,806,53,6.6,84,10.4,186,23.1,321,39.8,162,20.1,483,59.9
"Groton School District","=""0590011""","Y",25,23,92.0,23,10,43.5,7,30.4,"*","*","*","*",0,0.0,"*","*"
"Guilford School District","=""0600011""","N",866,864,99.8,864,19,2.2,43,5.0,136,15.7,415,48.0,251,29.1,666,77.1
"Guilford School District","=""0600011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","N",1215,1180,97.1,1177,168,14.3,146,12.4,309,26.3,393,33.4,161,13.7,554,47.1
"Hamden School District","=""0620011""","Y",40,40,100.0,40,28,70.0,8,20.0,"*","*","*","*",0,0.0,"*","*"
"Hampton School District","=""0630011""","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","N",3599,3462,96.2,3452,839,24.3,646,18.7,877,25.4,804,23.3,286,8.3,1090,31.6
"Hartford School District","=""0640011""","Y",758,718,94.7,713,491,68.9,141,19.8,62,8.7,"*","*","*","*",19,2.7
"Hartland School District","=""0650011""","N",38,38,100.0,38,"*","*",0,0.0,"*","*",15,39.5,15,39.5,30,78.9
"Hebron School District","=""0670011""","N",107,107,100.0,107,"*","*","*","*",19,17.8,49,45.8,30,28.0,79,73.8
"Highville Charter School District","=""2860013""","N",97,97,100.0,97,32,33.0,20,20.6,27,27.8,"*","*","*","*",18,18.6
"Integrated Day Charter School District","=""2640013""","N",64,62,96.9,62,"*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","N",76,75,98.7,75,"*","*","*","*","*","*","*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","N",176,171,97.2,171,38,22.2,30,17.5,51,29.8,45,26.3,7,4.1,52,30.4
"Kent School District","=""0680011""","N",47,47,100.0,47,0,0.0,0,0.0,6,12.8,28,59.6,13,27.7,41,87.2
"Killingly School District","=""0690011""","N",520,501,96.3,501,48,9.6,66,13.2,135,26.9,206,41.1,46,9.2,252,50.3
"Killingly School District","=""0690011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","N",288,282,97.9,281,51,18.1,38,13.5,63,22.4,75,26.7,54,19.2,129,45.9
"Learn","=""2450014""","Y",24,21,87.5,21,10,47.6,"*","*","*","*","*","*",0,0.0,"*","*"
"Lebanon School District","=""0710011""","N",238,236,99.2,236,"*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","N",513,507,98.8,507,13,2.6,32,6.3,103,20.3,207,40.8,152,30.0,359,70.8
"Ledyard School District","=""0720011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lisbon School District","=""0730011""","N",86,86,100.0,86,"*","*","*","*",19,22.1,34,39.5,16,18.6,50,58.1
"Litchfield School District","=""0740011""","N",221,221,100.0,221,7,3.2,8,3.6,29,13.1,88,39.8,89,40.3,177,80.1
"Madison School District","=""0760011""","N",774,746,96.4,746,"*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","N",1178,1151,97.7,1151,212,18.4,186,16.2,289,25.1,352,30.6,112,9.7,464,40.3
"Manchester School District","=""0770011""","Y",57,57,100.0,57,32,56.1,12,21.1,7,12.3,6,10.5,0,0.0,6,10.5
"Mansfield School District","=""0780011""","N",267,264,98.9,264,"*","*","*","*",28,10.6,120,45.5,103,39.0,223,84.5
"Mansfield School District","=""0780011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","=""0790011""","N",91,91,100.0,91,"*","*","*","*",10,11.0,40,44.0,34,37.4,74,81.3
"Meriden School District","=""0800011""","N",1513,1469,97.1,1462,324,22.2,291,19.9,390,26.7,374,25.6,83,5.7,457,31.3
"Meriden School District","=""0800011""","Y",208,198,95.2,198,107,54.0,61,30.8,22,11.1,8,4.0,0,0.0,8,4.0
"Middletown School District","=""0830011""","N",955,949,99.4,949,130,13.7,149,15.7,246,25.9,304,32.0,120,12.6,424,44.7
"Middletown School District","=""0830011""","Y",27,27,100.0,27,15,55.6,"*","*","*","*","*","*",0,0.0,"*","*"
"Milford School District","=""0840011""","N",1381,1362,98.6,1359,60,4.4,125,9.2,323,23.8,603,44.4,248,18.2,851,62.6
"Milford School District","=""0840011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","N",777,775,99.7,773,17,2.2,24,3.1,86,11.1,323,41.8,323,41.8,646,83.6
"Monroe School District","=""0850011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","N",545,540,99.1,540,28,5.2,42,7.8,115,21.3,214,39.6,141,26.1,355,65.7
"Montville School District","=""0860011""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","N",899,884,98.3,883,108,12.2,158,17.9,252,28.5,294,33.3,71,8.0,365,41.3
"Naugatuck School District","=""0880011""","Y",34,34,100.0,34,15,44.1,11,32.4,"*","*","*","*",0,0.0,"*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","N",74,73,98.6,73,23,31.5,"*","*",22,30.1,18,24.7,"*","*","*","*"
"New Britain School District","=""0890011""","N",1589,1546,97.3,1541,465,30.2,306,19.9,379,24.6,332,21.5,59,3.8,391,25.4
"New Britain School District","=""0890011""","Y",357,339,95.0,337,230,68.2,73,21.7,"*","*","*","*",0,0.0,"*","*"
"New Canaan School District","=""0900011""","N",956,949,99.3,948,"*","*","*","*",103,10.9,358,37.8,465,49.1,823,86.8
"New Canaan School District","=""0900011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","N",556,548,98.6,548,16,2.9,27,4.9,126,23.0,216,39.4,163,29.7,379,69.2
"New Fairfield School District","=""0910011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","N",68,68,100.0,68,"*","*","*","*",14,20.6,34,50.0,17,25.0,51,75.0
"New Haven School District","=""0930011""","N",3727,3565,95.7,3538,859,24.3,779,22.0,910,25.7,714,20.2,276,7.8,990,28.0
"New Haven School District","=""0930011""","Y",649,614,94.6,609,363,59.6,135,22.2,82,13.5,"*","*","*","*",29,4.8
"New London School District","=""0950011""","N",557,535,96.1,534,84,15.7,96,18.0,139,26.0,149,27.9,66,12.4,215,40.3
"New London School District","=""0950011""","Y",148,142,95.9,141,88,62.4,35,24.8,14,9.9,"*","*","*","*","*","*"
"New Milford School District","=""0960011""","N",1020,1001,98.1,999,42,4.2,58,5.8,234,23.4,431,43.1,234,23.4,665,66.6
"New Milford School District","=""0960011""","Y",31,30,96.8,30,"*","*",11,36.7,8,26.7,"*","*",0,0.0,"*","*"
"Newington School District","=""0940011""","N",913,909,99.6,909,50,5.5,67,7.4,233,25.6,373,41.0,186,20.5,559,61.5
"Newington School District","=""0940011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","=""0970011""","N",1167,1159,99.3,1159,15,1.3,51,4.4,165,14.2,517,44.6,411,35.5,928,80.1
"Newtown School District","=""0970011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norfolk School District","=""0980011""","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","N",449,442,98.4,442,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Canaan School District","=""1000011""","N",40,39,97.5,39,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Canaan School District","=""1000011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","N",750,740,98.7,739,32,4.3,67,9.1,183,24.8,294,39.8,163,22.1,457,61.8
"North Haven School District","=""1010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","N",154,153,99.4,153,"*","*","*","*",26,17.0,54,35.3,68,44.4,122,79.7
"Norwalk School District","=""1030011""","N",2135,2115,99.1,2114,169,8.0,247,11.7,576,27.2,756,35.8,366,17.3,1122,53.1
"Norwalk School District","=""1030011""","Y",349,336,96.3,334,172,51.5,86,25.7,54,16.2,"*","*","*","*",22,6.6
"Norwich Free Academy District","=""9010022""","N",533,520,97.6,518,"*","*",75,14.5,"*","*",96,18.5,114,22.0,210,40.5
"Norwich Free Academy District","=""9010022""","Y",25,24,96.0,24,12,50.0,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Norwich School District","=""1040011""","N",676,666,98.5,665,123,18.5,102,15.3,169,25.4,230,34.6,41,6.2,271,40.8
"Norwich School District","=""1040011""","Y",71,70,98.6,70,43,61.4,12,17.1,8,11.4,7,10.0,0,0.0,7,10.0
"Odyssey Community School District","=""2630013""","N",74,73,98.6,73,"*","*","*","*","*","*","*","*","*","*","*","*"
"Odyssey Community School District","=""2630013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N",315,313,99.4,313,10,3.2,12,3.8,51,16.3,153,48.9,87,27.8,240,76.7
"Old Saybrook School District","=""1060011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Orange School District","=""1070011""","N",168,167,99.4,167,"*","*","*","*","*","*","*","*","*","*","*","*"
"Orange School District","=""1070011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N",477,476,99.8,474,16,3.4,25,5.3,95,20.0,188,39.7,150,31.6,338,71.3
"Oxford School District","=""1080011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Park City Prep Charter School District","=""2830013""","N",175,173,98.9,173,"*","*","*","*","*","*","*","*","*","*","*","*"
"Park City Prep Charter School District","=""2830013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","N",34,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Y",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","N",512,504,98.4,503,58,11.5,71,14.1,142,28.2,183,36.4,49,9.7,232,46.1
"Plainfield School District","=""1090011""","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","N",496,488,98.4,488,41,8.4,41,8.4,91,18.6,212,43.4,103,21.1,315,64.5
"Plainville School District","=""1100011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","N",343,337,98.3,337,"*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Pomfret School District","=""1120011""","N",107,107,100.0,107,"*","*","*","*","*","*","*","*","*","*","*","*"
"Pomfret School District","=""1120011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","N",313,312,99.7,312,"*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Preston School District","=""1140011""","N",97,95,97.9,95,"*","*","*","*","*","*","*","*","*","*","*","*"
"Preston School District","=""1140011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","N",253,246,97.2,245,47,19.2,31,12.7,71,29.0,78,31.8,18,7.3,96,39.2
"Putnam School District","=""1160011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Redding School District","=""1170011""","N",216,211,97.7,211,"*","*","*","*",15,7.1,108,51.2,76,36.0,184,87.2
"Redding School District","=""1170011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","N",95,93,97.9,93,"*","*",15,16.1,39,41.9,21,22.6,"*","*","*","*"
"Regional School District 04","=""2040012""","N",317,316,99.7,316,7,2.2,11,3.5,59,18.7,113,35.8,126,39.9,239,75.6
"Regional School District 05","=""2050012""","N",735,730,99.3,729,23,3.2,25,3.4,113,15.5,273,37.4,295,40.5,568,77.9
"Regional School District 05","=""2050012""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","N",254,250,98.4,250,13,5.2,24,9.6,58,23.2,97,38.8,58,23.2,155,62.0
"Regional School District 06","=""2060012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","N",322,322,100.0,321,"*","*","*","*",53,16.5,116,36.1,134,41.7,250,77.9
"Regional School District 08","=""2080012""","N",557,552,99.1,552,17,3.1,22,4.0,117,21.2,243,44.0,153,27.7,396,71.7
"Regional School District 09","=""2090012""","N",241,235,97.5,233,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Regional School District 09","=""2090012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","N",556,551,99.1,550,17,3.1,31,5.6,99,18.0,253,46.0,150,27.3,403,73.3
"Regional School District 10","=""2100012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","N",70,70,100.0,70,"*","*","*","*",11,15.7,32,45.7,13,18.6,45,64.3
"Regional School District 12","=""2120012""","N",159,159,100.0,159,"*","*","*","*",17,10.7,70,44.0,56,35.2,126,79.2
