"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Free/Reduced Price Meal Elig"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",35,35,100.0,35,"*","*","*","*","*","*",22,62.9,"*","*","*","*"
"Canterbury School District","=""0220011""","N",81,80,98.8,80,"*","*","*","*",15,18.8,48,60.0,7,8.8,55,68.8
"Canton School District","=""0230011""","Y",49,46,93.9,46,"*","*",8,17.4,"*","*",20,43.5,9,19.6,29,63.0
"Canton School District","=""0230011""","N",354,353,99.7,353,7,2.0,10,2.8,37,10.5,157,44.5,142,40.2,299,84.7
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",41,40,97.6,40,15,37.5,10,25.0,8,20.0,7,17.5,0,0.0,7,17.5
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",35,35,100.0,35,"*","*",13,37.1,9,25.7,"*","*",0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Y",876,855,97.6,850,200,23.5,168,19.8,242,28.5,196,23.1,44,5.2,240,28.2
"Capitol Region Education Council","=""2410014""","N",725,708,97.7,706,35,5.0,83,11.8,135,19.1,264,37.4,189,26.8,453,64.2
"Chaplin School District","=""0240011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Y",92,90,97.8,90,6,6.7,14,15.6,21,23.3,32,35.6,17,18.9,49,54.4
"Cheshire School District","=""0250011""","N",955,948,99.3,945,13,1.4,28,3.0,147,15.6,424,44.9,333,35.2,757,80.1
"Chester School District","=""0260011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Y",87,84,96.6,84,15,17.9,10,11.9,27,32.1,26,31.0,6,7.1,32,38.1
"Clinton School District","=""0270011""","N",381,379,99.5,379,10,2.6,19,5.0,56,14.8,168,44.3,126,33.2,294,77.6
"Colchester School District","=""0280011""","Y",113,112,99.1,112,"*","*",16,14.3,28,25.0,49,43.8,"*","*","*","*"
"Colchester School District","=""0280011""","N",501,498,99.4,497,7,1.4,22,4.4,86,17.3,207,41.6,175,35.2,382,76.9
"Colebrook School District","=""0290011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",101,101,100.0,101,"*","*","*","*",14,13.9,55,54.5,23,22.8,78,77.2
"Common Ground High School District","=""2680013""","Y",22,22,100.0,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Common Ground High School District","=""2680013""","N",28,24,85.7,24,"*","*","*","*","*","*","*","*",7,29.2,"*","*"
"Connecticut Technical High School System","=""9000016""","Y",1299,1295,99.7,1294,145,11.2,285,22.0,593,45.8,158,12.2,113,8.7,271,20.9
"Connecticut Technical High School System","=""9000016""","N",1387,1385,99.9,1383,60,4.3,169,12.2,639,46.2,297,21.5,218,15.8,515,37.2
"Cooperative Educational Services","=""2430014""","Y",47,47,100.0,47,23,48.9,"*","*",8,17.0,11,23.4,"*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",74,73,98.6,73,8,11.0,7,9.6,17,23.3,30,41.1,11,15.1,41,56.2
"Cornwall School District","=""0310011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N",27,27,100.0,27,0,0.0,0,0.0,"*","*",16,59.3,"*","*","*","*"
"Coventry School District","=""0320011""","Y",59,58,98.3,57,"*","*","*","*",18,31.6,22,38.6,12,21.1,34,59.6
"Coventry School District","=""0320011""","N",310,307,99.0,307,6,2.0,18,5.9,42,13.7,133,43.3,108,35.2,241,78.5
"Cromwell School District","=""0330011""","Y",82,82,100.0,82,"*","*",15,18.3,26,31.7,28,34.1,"*","*","*","*"
"Cromwell School District","=""0330011""","N",384,382,99.5,382,10,2.6,22,5.8,103,27.0,155,40.6,92,24.1,247,64.7
"Danbury School District","=""0340011""","Y",1251,1242,99.3,1241,271,21.8,251,20.2,367,29.6,307,24.7,45,3.6,352,28.4
"Danbury School District","=""0340011""","N",1150,1132,98.4,1132,144,12.7,138,12.2,277,24.5,422,37.3,151,13.3,573,50.6
"Darien School District","=""0350011""","Y",25,24,96.0,24,0,0.0,"*","*",8,33.3,"*","*",7,29.2,"*","*"
"Darien School District","=""0350011""","N",1056,1036,98.1,1035,11,1.1,23,2.2,121,11.7,397,38.4,483,46.7,880,85.0
"Deep River School District","=""0360011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","N",38,38,100.0,38,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Y",160,160,100.0,160,29,18.1,34,21.3,41,25.6,45,28.1,11,6.9,56,35.0
"Derby School District","=""0370011""","N",127,124,97.6,124,18,14.5,24,19.4,30,24.2,35,28.2,17,13.7,52,41.9
"East Granby School District","=""0400011""","Y",26,25,96.2,25,"*","*","*","*",8,32.0,8,32.0,"*","*","*","*"
"East Granby School District","=""0400011""","N",168,167,99.4,167,"*","*","*","*",23,13.8,69,41.3,67,40.1,136,81.4
"East Haddam School District","=""0410011""","Y",32,32,100.0,32,"*","*","*","*",16,50.0,9,28.1,"*","*","*","*"
"East Haddam School District","=""0410011""","N",226,221,97.8,221,7,3.2,12,5.4,46,20.8,98,44.3,58,26.2,156,70.6
"East Hampton School District","=""0420011""","Y",59,57,96.6,57,"*","*","*","*",18,31.6,25,43.9,6,10.5,31,54.4
"East Hampton School District","=""0420011""","N",332,327,98.5,326,6,1.8,24,7.4,56,17.2,134,41.1,106,32.5,240,73.6
"East Hartford School District","=""0430011""","Y",981,938,95.6,933,274,29.4,185,19.8,253,27.1,175,18.8,46,4.9,221,23.7
"East Hartford School District","=""0430011""","N",509,499,98.0,499,72,14.4,74,14.8,140,28.1,159,31.9,54,10.8,213,42.7
"East Haven School District","=""0440011""","Y",340,334,98.2,334,48,14.4,50,15.0,117,35.0,96,28.7,23,6.9,119,35.6
"East Haven School District","=""0440011""","N",340,335,98.5,335,32,9.6,45,13.4,103,30.7,125,37.3,30,9.0,155,46.3
"East Lyme School District","=""0450011""","Y",116,115,99.1,115,"*","*","*","*",30,26.1,45,39.1,23,20.0,68,59.1
"East Lyme School District","=""0450011""","N",593,587,99.0,586,8,1.4,14,2.4,99,16.9,248,42.3,217,37.0,465,79.4
"East Windsor School District","=""0470011""","Y",109,107,98.2,107,9,8.4,9,8.4,35,32.7,33,30.8,21,19.6,54,50.5
"East Windsor School District","=""0470011""","N",136,135,99.3,135,"*","*","*","*",33,24.4,60,44.4,37,27.4,97,71.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",48,43,89.6,42,13,31.0,"*","*",14,33.3,9,21.4,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",55,50,90.9,50,8,16.0,9,18.0,24,48.0,"*","*","*","*",9,18.0
"Eastford School District","=""0390011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N",30,30,100.0,30,"*","*","*","*","*","*",16,53.3,"*","*","*","*"
"Easton School District","=""0460011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","N",220,215,97.7,215,"*","*","*","*",19,8.8,112,52.1,73,34.0,185,86.0
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",62,62,100.0,62,9,14.5,"*","*",17,27.4,26,41.9,"*","*","*","*"
"Ellington School District","=""0480011""","N",546,545,99.8,545,12,2.2,19,3.5,83,15.2,253,46.4,178,32.7,431,79.1
"Elm City College Preparatory School District","=""2890013""","Y",125,125,100.0,124,34,27.4,32,25.8,34,27.4,"*","*","*","*",24,19.4
"Elm City College Preparatory School District","=""2890013""","N",36,36,100.0,35,7,20.0,"*","*",12,34.3,10,28.6,"*","*","*","*"
"Enfield School District","=""0490011""","Y",403,397,98.5,397,36,9.1,61,15.4,123,31.0,142,35.8,35,8.8,177,44.6
"Enfield School District","=""0490011""","N",712,711,99.9,711,15,2.1,52,7.3,170,23.9,315,44.3,159,22.4,474,66.7
"Essex School District","=""0500011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","N",53,53,100.0,53,"*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Y",255,249,97.6,249,27,10.8,25,10.0,70,28.1,84,33.7,43,17.3,127,51.0
"Fairfield School District","=""0510011""","N",2075,2053,98.9,2053,37,1.8,60,2.9,285,13.9,903,44.0,768,37.4,1671,81.4
"Farmington School District","=""0520011""","Y",100,98,98.0,98,10,10.2,7,7.1,28,28.6,35,35.7,18,18.4,53,54.1
"Farmington School District","=""0520011""","N",799,791,99.0,791,11,1.4,14,1.8,84,10.6,318,40.2,364,46.0,682,86.2
"Franklin School District","=""0530011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","N",30,30,100.0,30,0,0.0,"*","*","*","*",13,43.3,7,23.3,20,66.7
"Glastonbury School District","=""0540011""","Y",142,141,99.3,141,12,8.5,17,12.1,33,23.4,54,38.3,25,17.7,79,56.0
"Glastonbury School District","=""0540011""","N",1302,1297,99.6,1296,18,1.4,36,2.8,139,10.7,471,36.3,632,48.8,1103,85.1
"Granby School District","=""0560011""","Y",49,48,98.0,48,0,0.0,6,12.5,8,16.7,27,56.3,7,14.6,34,70.8
"Granby School District","=""0560011""","N",402,399,99.3,398,7,1.8,11,2.8,34,8.5,155,38.9,191,48.0,346,86.9
"Greenwich School District","=""0570011""","Y",284,280,98.6,279,35,12.5,26,9.3,83,29.7,100,35.8,35,12.5,135,48.4
"Greenwich School District","=""0570011""","N",1648,1639,99.5,1639,35,2.1,58,3.5,183,11.2,669,40.8,694,42.3,1363,83.2
"Griswold School District","=""0580011""","Y",169,165,97.6,165,21,12.7,26,15.8,48,29.1,54,32.7,16,9.7,70,42.4
"Griswold School District","=""0580011""","N",243,243,100.0,242,11,4.5,17,7.0,56,23.1,109,45.0,49,20.2,158,65.3
"Groton School District","=""0590011""","Y",390,370,94.9,370,47,12.7,59,15.9,97,26.2,135,36.5,32,8.6,167,45.1
"Groton School District","=""0590011""","N",463,459,99.1,459,16,3.5,32,7.0,93,20.3,188,41.0,130,28.3,318,69.3
"Guilford School District","=""0600011""","Y",71,71,100.0,71,9,12.7,8,11.3,18,25.4,28,39.4,8,11.3,36,50.7
"Guilford School District","=""0600011""","N",803,801,99.8,801,17,2.1,35,4.4,119,14.9,387,48.3,243,30.3,630,78.7
"Hamden School District","=""0620011""","Y",525,500,95.2,498,132,26.5,97,19.5,150,30.1,102,20.5,17,3.4,119,23.9
"Hamden School District","=""0620011""","N",729,720,98.8,719,64,8.9,57,7.9,162,22.5,292,40.6,144,20.0,436,60.6
"Hampton School District","=""0630011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Y",3547,3380,95.3,3365,1200,35.7,700,20.8,757,22.5,580,17.2,128,3.8,708,21.0
"Hartford School District","=""0640011""","N",815,804,98.7,803,132,16.4,88,11.0,182,22.7,242,30.1,159,19.8,401,49.9
"Hartland School District","=""0650011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","N",34,34,100.0,34,"*","*",0,0.0,"*","*",14,41.2,15,44.1,29,85.3
"Hebron School District","=""0670011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","N",95,95,100.0,95,"*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Y",62,62,100.0,62,20,32.3,13,21.0,18,29.0,11,17.7,0,0.0,11,17.7
"Highville Charter School District","=""2860013""","N",35,35,100.0,35,12,34.3,7,20.0,9,25.7,"*","*","*","*",7,20.0
"Integrated Day Charter School District","=""2640013""","Y",22,22,100.0,22,"*","*",8,36.4,"*","*",7,31.8,0,0.0,7,31.8
"Integrated Day Charter School District","=""2640013""","N",46,44,95.7,44,6,13.6,6,13.6,"*","*",22,50.0,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Y",57,56,98.2,56,17,30.4,"*","*","*","*",15,26.8,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","N",30,30,100.0,30,6,20.0,"*","*","*","*",16,53.3,"*","*","*","*"
"Jumoke Academy District","=""2610013""","Y",117,112,95.7,112,26,23.2,"*","*",34,30.4,26,23.2,"*","*","*","*"
"Jumoke Academy District","=""2610013""","N",59,59,100.0,59,12,20.3,"*","*",17,28.8,19,32.2,"*","*","*","*"
"Kent School District","=""0680011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","N",43,43,100.0,43,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Y",230,218,94.8,218,33,15.1,41,18.8,60,27.5,70,32.1,14,6.4,84,38.5
"Killingly School District","=""0690011""","N",299,292,97.7,292,18,6.2,26,8.9,77,26.4,139,47.6,32,11.0,171,58.6
"Learn","=""2450014""","Y",172,165,95.9,164,45,27.4,32,19.5,40,24.4,34,20.7,13,7.9,47,28.7
"Learn","=""2450014""","N",140,138,98.6,138,16,11.6,11,8.0,28,20.3,42,30.4,41,29.7,83,60.1
"Lebanon School District","=""0710011""","Y",44,42,95.5,42,"*","*","*","*",14,33.3,18,42.9,"*","*","*","*"
"Lebanon School District","=""0710011""","N",195,195,100.0,195,10,5.1,12,6.2,41,21.0,92,47.2,40,20.5,132,67.7
"Ledyard School District","=""0720011""","Y",104,103,99.0,103,"*","*","*","*",34,33.0,37,35.9,18,17.5,55,53.4
"Ledyard School District","=""0720011""","N",414,409,98.8,409,10,2.4,24,5.9,71,17.4,170,41.6,134,32.8,304,74.3
"Lisbon School District","=""0730011""","Y",21,21,100.0,21,"*","*","*","*",7,33.3,"*","*","*","*","*","*"
"Lisbon School District","=""0730011""","N",65,65,100.0,65,"*","*","*","*",12,18.5,29,44.6,13,20.0,42,64.6
"Litchfield School District","=""0740011""","Y",28,28,100.0,28,"*","*","*","*","*","*",10,35.7,10,35.7,20,71.4
"Litchfield School District","=""0740011""","N",193,193,100.0,193,"*","*","*","*",25,13.0,78,40.4,79,40.9,157,81.3
"Madison School District","=""0760011""","Y",36,34,94.4,34,"*","*","*","*",11,32.4,16,47.1,"*","*","*","*"
"Madison School District","=""0760011""","N",741,715,96.5,715,8,1.1,37,5.2,121,16.9,319,44.6,230,32.2,549,76.8
"Manchester School District","=""0770011""","Y",733,715,97.5,715,202,28.3,138,19.3,174,24.3,166,23.2,35,4.9,201,28.1
"Manchester School District","=""0770011""","N",502,493,98.2,493,42,8.5,60,12.2,122,24.7,192,38.9,77,15.6,269,54.6
"Mansfield School District","=""0780011""","Y",61,61,100.0,61,6,9.8,8,13.1,7,11.5,25,41.0,15,24.6,40,65.6
"Mansfield School District","=""0780011""","N",219,216,98.6,216,"*","*","*","*",25,11.6,95,44.0,89,41.2,184,85.2
"Marlborough School District","=""0790011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","=""0790011""","N",80,80,100.0,80,"*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Y",1154,1113,96.4,1107,353,31.9,279,25.2,262,23.7,189,17.1,24,2.2,213,19.2
"Meriden School District","=""0800011""","N",564,553,98.0,552,78,14.1,73,13.2,150,27.2,192,34.8,59,10.7,251,45.5
"Middletown School District","=""0830011""","Y",437,431,98.6,431,102,23.7,94,21.8,125,29.0,84,19.5,26,6.0,110,25.5
"Middletown School District","=""0830011""","N",546,545,99.8,545,43,7.9,60,11.0,126,23.1,222,40.7,94,17.2,316,58.0
"Milford School District","=""0840011""","Y",303,296,97.7,295,27,9.2,56,19.0,82,27.8,112,38.0,18,6.1,130,44.1
"Milford School District","=""0840011""","N",1096,1084,98.9,1082,42,3.9,72,6.7,245,22.6,493,45.6,230,21.3,723,66.8
"Monroe School District","=""0850011""","Y",61,61,100.0,61,"*","*","*","*",15,24.6,24,39.3,16,26.2,40,65.6
"Monroe School District","=""0850011""","N",719,717,99.7,715,16,2.2,20,2.8,73,10.2,299,41.8,307,42.9,606,84.8
"Montville School District","=""0860011""","Y",204,202,99.0,202,14,6.9,24,11.9,51,25.2,82,40.6,31,15.3,113,55.9
"Montville School District","=""0860011""","N",351,347,98.9,347,15,4.3,19,5.5,67,19.3,136,39.2,110,31.7,246,70.9
"Naugatuck School District","=""0880011""","Y",455,443,97.4,443,84,19.0,103,23.3,123,27.8,118,26.6,15,3.4,133,30.0
"Naugatuck School District","=""0880011""","N",478,475,99.4,474,39,8.2,66,13.9,136,28.7,177,37.3,56,11.8,233,49.2
"New Beginnings Inc., Family Academy District","=""2800013""","Y",68,67,98.5,67,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Y",1571,1517,96.6,1510,618,40.9,308,20.4,322,21.3,232,15.4,30,2.0,262,17.4
"New Britain School District","=""0890011""","N",375,368,98.1,368,77,20.9,71,19.3,86,23.4,105,28.5,29,7.9,134,36.4
"New Canaan School District","=""0900011""","N",963,956,99.3,955,6,0.6,21,2.2,104,10.9,359,37.6,465,48.7,824,86.3
"New Fairfield School District","=""0910011""","Y",58,57,98.3,57,"*","*",9,15.8,18,31.6,18,31.6,"*","*","*","*"
"New Fairfield School District","=""0910011""","N",506,499,98.6,499,13,2.6,20,4.0,111,22.2,200,40.1,155,31.1,355,71.1
"New Hartford School District","=""0920011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","N",60,60,100.0,60,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Y",2506,2386,95.2,2367,820,34.6,594,25.1,566,23.9,323,13.6,64,2.7,387,16.3
"New Haven School District","=""0930011""","N",1866,1795,96.2,1782,404,22.7,320,18.0,426,23.9,417,23.4,215,12.1,632,35.5
"New London School District","=""0950011""","Y",554,533,96.2,531,140,26.4,119,22.4,121,22.8,122,23.0,29,5.5,151,28.4
"New London School District","=""0950011""","N",152,144,94.7,144,32,22.2,12,8.3,32,22.2,30,20.8,38,26.4,68,47.2
"New Milford School District","=""0960011""","Y",235,229,97.4,228,24,10.5,34,14.9,60,26.3,89,39.0,21,9.2,110,48.2
"New Milford School District","=""0960011""","N",816,802,98.3,801,26,3.2,35,4.4,182,22.7,345,43.1,213,26.6,558,69.7
"Newington School District","=""0940011""","Y",226,222,98.2,222,24,10.8,23,10.4,75,33.8,76,34.2,24,10.8,100,45.0
"Newington School District","=""0940011""","N",701,700,99.9,700,29,4.1,49,7.0,163,23.3,297,42.4,162,23.1,459,65.6
"Newtown School District","=""0970011""","Y",83,83,100.0,83,"*","*","*","*",25,30.1,31,37.3,13,15.7,44,53.0
"Newtown School District","=""0970011""","N",1086,1078,99.3,1078,10,0.9,43,4.0,140,13.0,487,45.2,398,36.9,885,82.1
"Norfolk School District","=""0980011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norfolk School District","=""0980011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Y",88,86,97.7,86,9,10.5,9,10.5,17,19.8,35,40.7,16,18.6,51,59.3
"North Branford School District","=""0990011""","N",363,358,98.6,358,13,3.6,27,7.5,73,20.4,162,45.3,83,23.2,245,68.4
"North Canaan School District","=""1000011""","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Canaan School District","=""1000011""","N",29,29,100.0,29,"*","*","*","*","*","*",18,62.1,"*","*","*","*"
"North Haven School District","=""1010011""","Y",129,125,96.9,125,14,11.2,18,14.4,34,27.2,42,33.6,17,13.6,59,47.2
"North Haven School District","=""1010011""","N",626,620,99.0,619,23,3.7,49,7.9,149,24.1,252,40.7,146,23.6,398,64.3
"North Stonington School District","=""1020011""","Y",26,26,100.0,26,"*","*",0,0.0,9,34.6,"*","*",11,42.3,"*","*"
"North Stonington School District","=""1020011""","N",128,127,99.2,127,"*","*","*","*",17,13.4,49,38.6,57,44.9,106,83.5
"Norwalk School District","=""1030011""","Y",1296,1278,98.6,1276,261,20.5,233,18.3,367,28.8,341,26.7,74,5.8,415,32.5
"Norwalk School District","=""1030011""","N",1189,1174,98.7,1173,80,6.8,101,8.6,263,22.4,436,37.2,293,25.0,729,62.1
"Norwich Free Academy District","=""9010022""","Y",267,259,97.0,259,71,27.4,61,23.6,81,31.3,28,10.8,18,6.9,46,17.8
"Norwich Free Academy District","=""9010022""","N",291,285,97.9,283,15,5.3,22,7.8,82,29.0,68,24.0,96,33.9,164,58.0
"Norwich School District","=""1040011""","Y",580,574,99.0,574,151,26.3,102,17.8,139,24.2,163,28.4,19,3.3,182,31.7
"Norwich School District","=""1040011""","N",164,162,98.8,161,15,9.3,12,7.5,38,23.6,74,46.0,22,13.7,96,59.6
"Odyssey Community School District","=""2630013""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Odyssey Community School District","=""2630013""","N",57,56,98.2,56,"*","*","*","*",12,21.4,28,50.0,8,14.3,36,64.3
"Old Saybrook School District","=""1060011""","Y",50,49,98.0,49,"*","*","*","*",8,16.3,22,44.9,8,16.3,30,61.2
