"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Gender"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Bozrah School District","=""0130011""",08,"M",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",05,"F",111,111,100.0,111,"*","*","*","*",18,16.2,53,47.7,25,22.5,78,70.3,264
"Branford School District","=""0140011""",05,"M",113,112,99.1,112,"*","*","*","*",32,28.6,53,47.3,13,11.6,66,58.9,258
"Branford School District","=""0140011""",08,"F",129,127,98.4,127,"*","*","*","*",21,16.5,72,56.7,23,18.1,95,74.8,267
"Branford School District","=""0140011""",08,"M",112,111,99.1,111,11,9.9,10,9.0,13,11.7,57,51.4,20,18.0,77,69.4,262
"Branford School District","=""0140011""",10,"F",119,116,97.5,116,"*","*","*","*",46,39.7,20,17.2,37,31.9,57,49.1,270
"Branford School District","=""0140011""",10,"M",99,93,93.9,93,"*","*","*","*",27,29.0,29,31.2,24,25.8,53,57.0,264
"Bridgeport Achievement First District","=""2850013""",05,"F",49,49,100.0,49,12,24.5,12,24.5,12,24.5,"*","*","*","*",13,26.5,214
"Bridgeport Achievement First District","=""2850013""",05,"M",42,41,97.6,41,7,17.1,17,41.5,11,26.8,"*","*","*","*",6,14.6,214
"Bridgeport Achievement First District","=""2850013""",08,"F",47,46,97.9,46,9,19.6,"*","*",15,32.6,13,28.3,"*","*","*","*",232
"Bridgeport Achievement First District","=""2850013""",08,"M",44,44,100.0,44,11,25.0,11,25.0,"*","*",11,25.0,"*","*","*","*",229
"Bridgeport Achievement First District","=""2850013""",10,"F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",10,"M",24,24,100.0,23,"*","*","*","*","*","*","*","*",0,0.0,"*","*",198
"Bridgeport School District","=""0150011""",05,"F",786,782,99.5,782,213,27.2,207,26.5,207,26.5,136,17.4,19,2.4,155,19.8,212
"Bridgeport School District","=""0150011""",05,"M",780,775,99.4,775,241,31.1,200,25.8,184,23.7,132,17.0,18,2.3,150,19.4,208
"Bridgeport School District","=""0150011""",08,"F",705,692,98.2,692,287,41.5,119,17.2,127,18.4,141,20.4,18,2.6,159,23.0,214
"Bridgeport School District","=""0150011""",08,"M",747,733,98.1,733,350,47.7,122,16.6,117,16.0,133,18.1,11,1.5,144,19.6,209
"Bridgeport School District","=""0150011""",10,"F",683,600,87.8,577,199,34.5,136,23.6,168,29.1,50,8.7,24,4.2,74,12.8,212
"Bridgeport School District","=""0150011""",10,"M",785,674,85.9,640,240,37.5,127,19.8,143,22.3,66,10.3,64,10.0,130,20.3,217
"Bristol School District","=""0170011""",05,"F",329,329,100.0,329,18,5.5,32,9.7,74,22.5,165,50.2,40,12.2,205,62.3,257
"Bristol School District","=""0170011""",05,"M",317,315,99.4,315,25,7.9,47,14.9,57,18.1,133,42.2,53,16.8,186,59.0,253
"Bristol School District","=""0170011""",08,"F",271,265,97.8,265,25,9.4,25,9.4,53,20.0,124,46.8,38,14.3,162,61.1,256
"Bristol School District","=""0170011""",08,"M",293,291,99.3,291,36,12.4,17,5.8,52,17.9,140,48.1,46,15.8,186,63.9,256
"Bristol School District","=""0170011""",10,"F",280,270,96.4,270,25,9.3,25,9.3,108,40.0,64,23.7,48,17.8,112,41.5,254
"Bristol School District","=""0170011""",10,"M",280,271,96.8,271,30,11.1,38,14.0,89,32.8,52,19.2,62,22.9,114,42.1,255
"Brookfield School District","=""0180011""",05,"F",93,91,97.8,91,"*","*","*","*",12,13.2,40,44.0,32,35.2,72,79.1,280
"Brookfield School District","=""0180011""",05,"M",98,97,99.0,97,"*","*","*","*",8,8.2,41,42.3,40,41.2,81,83.5,288
"Brookfield School District","=""0180011""",08,"F",95,94,98.9,94,"*","*","*","*",8,8.5,44,46.8,35,37.2,79,84.0,282
"Brookfield School District","=""0180011""",08,"M",106,105,99.1,105,"*","*","*","*",8,7.6,49,46.7,34,32.4,83,79.0,273
"Brookfield School District","=""0180011""",10,"F",124,122,98.4,122,0,0.0,"*","*",40,32.8,"*","*",50,41.0,"*","*",284
"Brookfield School District","=""0180011""",10,"M",100,98,98.0,97,0,0.0,"*","*","*","*",34,35.1,35,36.1,69,71.1,286
"Brooklyn School District","=""0190011""",05,"F",56,56,100.0,56,0,0.0,"*","*","*","*",27,48.2,20,35.7,47,83.9,286
"Brooklyn School District","=""0190011""",05,"M",46,46,100.0,46,"*","*","*","*",10,21.7,20,43.5,10,21.7,30,65.2,265
"Brooklyn School District","=""0190011""",08,"F",53,51,96.2,51,"*","*","*","*","*","*",33,64.7,11,21.6,44,86.3,276
"Brooklyn School District","=""0190011""",08,"M",55,55,100.0,55,"*","*","*","*","*","*",31,56.4,13,23.6,44,80.0,272
"Brooklyn School District","=""0190011""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",05,"F",20,20,100.0,20,0,0.0,0,0.0,"*","*",13,65.0,"*","*","*","*",271
"Canterbury School District","=""0220011""",05,"M",33,32,97.0,32,"*","*","*","*","*","*",13,40.6,"*","*","*","*",253
"Canterbury School District","=""0220011""",08,"F",33,33,100.0,33,"*","*","*","*","*","*",23,69.7,0,0.0,23,69.7,256
"Canterbury School District","=""0220011""",08,"M",30,30,100.0,30,"*","*","*","*","*","*",21,70.0,"*","*","*","*",254
"Canton School District","=""0230011""",05,"F",58,58,100.0,58,"*","*","*","*","*","*",20,34.5,29,50.0,49,84.5,291
"Canton School District","=""0230011""",05,"M",79,79,100.0,79,"*","*","*","*","*","*",36,45.6,26,32.9,62,78.5,279
"Canton School District","=""0230011""",08,"F",76,76,100.0,76,"*","*","*","*",9,11.8,46,60.5,16,21.1,62,81.6,272
"Canton School District","=""0230011""",08,"M",64,64,100.0,64,"*","*","*","*",8,12.5,36,56.3,16,25.0,52,81.3,275
"Canton School District","=""0230011""",10,"F",69,67,97.1,67,"*","*","*","*","*","*",25,37.3,30,44.8,55,82.1,291
"Canton School District","=""0230011""",10,"M",57,55,96.5,55,"*","*","*","*","*","*",14,25.5,34,61.8,48,87.3,305
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"M",21,21,100.0,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",216
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"M",21,20,95.2,20,"*","*","*","*","*","*",0,0.0,0,0.0,0,0.0,200
"Capitol Region Education Council","=""2410014""",05,"F",144,142,98.6,142,10,7.0,24,16.9,40,28.2,53,37.3,15,10.6,68,47.9,244
"Capitol Region Education Council","=""2410014""",05,"M",175,172,98.3,172,21,12.2,28,16.3,35,20.3,64,37.2,24,14.0,88,51.2,245
"Capitol Region Education Council","=""2410014""",08,"F",301,299,99.3,299,47,15.7,43,14.4,58,19.4,117,39.1,34,11.4,151,50.5,245
"Capitol Region Education Council","=""2410014""",08,"M",348,345,99.1,345,50,14.5,27,7.8,54,15.7,143,41.4,71,20.6,214,62.0,257
"Capitol Region Education Council","=""2410014""",10,"F",328,320,97.6,317,49,15.5,70,22.1,116,36.6,43,13.6,39,12.3,82,25.9,236
"Capitol Region Education Council","=""2410014""",10,"M",305,285,93.4,281,58,20.6,59,21.0,74,26.3,40,14.2,50,17.8,90,32.0,240
"Chaplin School District","=""0240011""",05,"F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",05,"M",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",05,"F",189,188,99.5,188,"*","*","*","*",25,13.3,87,46.3,66,35.1,153,81.4,284
"Cheshire School District","=""0250011""",05,"M",158,158,100.0,158,"*","*","*","*",17,10.8,73,46.2,62,39.2,135,85.4,287
"Cheshire School District","=""0250011""",08,"F",189,187,98.9,187,"*","*","*","*",26,13.9,97,51.9,53,28.3,150,80.2,276
"Cheshire School District","=""0250011""",08,"M",166,165,99.4,165,8,4.8,9,5.5,11,6.7,91,55.2,46,27.9,137,83.0,278
"Cheshire School District","=""0250011""",10,"F",153,151,98.7,150,"*","*","*","*",49,32.7,46,30.7,45,30.0,91,60.7,277
"Cheshire School District","=""0250011""",10,"M",192,189,98.4,187,"*","*","*","*",40,21.4,62,33.2,78,41.7,140,74.9,288
"Chester School District","=""0260011""",05,"F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""",05,"M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",05,"F",88,88,100.0,88,"*","*","*","*",18,20.5,38,43.2,23,26.1,61,69.3,268
"Clinton School District","=""0270011""",05,"M",88,88,100.0,88,"*","*","*","*",17,19.3,44,50.0,23,26.1,67,76.1,274
"Clinton School District","=""0270011""",08,"F",83,83,100.0,83,"*","*","*","*",15,18.1,38,45.8,21,25.3,59,71.1,269
"Clinton School District","=""0270011""",08,"M",77,76,98.7,76,"*","*","*","*",8,10.5,40,52.6,19,25.0,59,77.6,272
"Clinton School District","=""0270011""",10,"F",70,69,98.6,69,"*","*","*","*",14,20.3,22,31.9,22,31.9,44,63.8,270
"Clinton School District","=""0270011""",10,"M",62,59,95.2,59,"*","*","*","*",11,18.6,12,20.3,24,40.7,36,61.0,266
"Colchester School District","=""0280011""",05,"F",98,98,100.0,98,"*","*","*","*",14,14.3,56,57.1,22,22.4,78,79.6,276
"Colchester School District","=""0280011""",05,"M",104,103,99.0,103,"*","*","*","*",19,18.4,49,47.6,30,29.1,79,76.7,281
"Colchester School District","=""0280011""",08,"F",106,105,99.1,105,0,0.0,"*","*","*","*",61,58.1,26,24.8,87,82.9,276
"Colchester School District","=""0280011""",08,"M",86,86,100.0,86,"*","*","*","*",11,12.8,40,46.5,25,29.1,65,75.6,275
"Colchester School District","=""0280011""",10,"F",108,106,98.1,106,"*","*","*","*",33,31.1,25,23.6,40,37.7,65,61.3,278
"Colchester School District","=""0280011""",10,"M",113,112,99.1,111,"*","*","*","*",24,21.6,25,22.5,47,42.3,72,64.9,275
"Colebrook School District","=""0290011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,"M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",05,"F",32,32,100.0,32,"*","*",0,0.0,"*","*",18,56.3,6,18.8,24,75.0,264
"Columbia School District","=""0300011""",05,"M",25,25,100.0,25,0,0.0,"*","*","*","*",9,36.0,9,36.0,18,72.0,278
"Columbia School District","=""0300011""",08,"F",27,27,100.0,27,"*","*","*","*","*","*",14,51.9,"*","*","*","*",257
"Columbia School District","=""0300011""",08,"M",32,32,100.0,32,0,0.0,"*","*","*","*",20,62.5,"*","*","*","*",262
"Columbia School District","=""0300011""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",10,"F",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",10,"M",35,32,91.4,32,"*","*","*","*","*","*","*","*","*","*","*","*",233
"Connecticut Technical High School System","=""9000016""",10,"F",1073,1071,99.8,1070,90,8.4,215,20.1,562,52.5,134,12.5,69,6.4,203,19.0,235
"Connecticut Technical High School System","=""9000016""",10,"M",1613,1609,99.8,1607,115,7.2,239,14.9,670,41.7,321,20.0,262,16.3,583,36.3,250
"Cooperative Educational Services","=""2430014""",05,"F",24,24,100.0,24,"*","*","*","*","*","*",8,33.3,"*","*","*","*",253
"Cooperative Educational Services","=""2430014""",05,"M",28,28,100.0,28,8,28.6,0,0.0,"*","*",12,42.9,"*","*","*","*",238
"Cooperative Educational Services","=""2430014""",08,"F",23,23,100.0,23,6,26.1,"*","*","*","*",8,34.8,"*","*","*","*",235
"Cooperative Educational Services","=""2430014""",08,"M",30,30,100.0,30,8,26.7,"*","*",6,20.0,13,43.3,"*","*","*","*",236
"Cooperative Educational Services","=""2430014""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""",10,"M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,"M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,"F",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,"M",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",05,"F",62,62,100.0,62,0,0.0,"*","*","*","*",29,46.8,20,32.3,49,79.0,280
"Coventry School District","=""0320011""",05,"M",53,52,98.1,52,0,0.0,"*","*","*","*",23,44.2,19,36.5,42,80.8,284
"Coventry School District","=""0320011""",08,"F",72,70,97.2,70,"*","*","*","*","*","*",45,64.3,17,24.3,62,88.6,276
"Coventry School District","=""0320011""",08,"M",66,66,100.0,66,0,0.0,"*","*","*","*",41,62.1,13,19.7,54,81.8,273
"Coventry School District","=""0320011""",10,"F",54,53,98.1,52,"*","*","*","*",14,26.9,9,17.3,24,46.2,33,63.5,288
"Coventry School District","=""0320011""",10,"M",62,62,100.0,62,"*","*","*","*",20,32.3,8,12.9,27,43.5,35,56.5,280
"Cromwell School District","=""0330011""",05,"F",91,91,100.0,91,"*","*","*","*",32,35.2,30,33.0,18,19.8,48,52.7,258
"Cromwell School District","=""0330011""",05,"M",85,85,100.0,85,"*","*","*","*",10,11.8,43,50.6,19,22.4,62,72.9,266
"Cromwell School District","=""0330011""",08,"F",72,71,98.6,71,"*","*","*","*",12,16.9,37,52.1,16,22.5,53,74.6,270
"Cromwell School District","=""0330011""",08,"M",71,71,100.0,71,"*","*","*","*",17,23.9,34,47.9,10,14.1,44,62.0,259
"Cromwell School District","=""0330011""",10,"F",72,72,100.0,72,"*","*","*","*",32,44.4,13,18.1,22,30.6,35,48.6,270
"Cromwell School District","=""0330011""",10,"M",75,74,98.7,74,"*","*","*","*",26,35.1,26,35.1,11,14.9,37,50.0,259
"Danbury School District","=""0340011""",05,"F",435,431,99.1,431,52,12.1,79,18.3,109,25.3,152,35.3,39,9.0,191,44.3,239
"Danbury School District","=""0340011""",05,"M",432,428,99.1,428,48,11.2,80,18.7,112,26.2,143,33.4,45,10.5,188,43.9,240
"Danbury School District","=""0340011""",08,"F",412,410,99.5,410,79,19.3,50,12.2,104,25.4,155,37.8,22,5.4,177,43.2,236
"Danbury School District","=""0340011""",08,"M",393,390,99.2,390,81,20.8,48,12.3,79,20.3,158,40.5,24,6.2,182,46.7,238
"Danbury School District","=""0340011""",10,"F",350,347,99.1,347,53,15.3,66,19.0,136,39.2,61,17.6,31,8.9,92,26.5,236
"Danbury School District","=""0340011""",10,"M",379,368,97.1,367,102,27.8,66,18.0,104,28.3,60,16.3,35,9.5,95,25.9,226
"Darien School District","=""0350011""",05,"F",175,173,98.9,173,0,0.0,"*","*","*","*",77,44.5,78,45.1,155,89.6,294
"Darien School District","=""0350011""",05,"M",181,181,100.0,181,"*","*","*","*",29,16.0,76,42.0,64,35.4,140,77.3,278
"Darien School District","=""0350011""",08,"F",180,179,99.4,179,0,0.0,"*","*","*","*",83,46.4,80,44.7,163,91.1,292
"Darien School District","=""0350011""",08,"M",193,190,98.4,190,"*","*","*","*",9,4.7,78,41.1,96,50.5,174,91.6,295
"Darien School District","=""0350011""",10,"F",171,163,95.3,163,"*","*","*","*",34,20.9,53,32.5,73,44.8,126,77.3,293
"Darien School District","=""0350011""",10,"M",181,174,96.1,173,"*","*","*","*",30,17.3,37,21.4,99,57.2,136,78.6,300
"Deep River School District","=""0360011""",05,"F",23,23,100.0,23,0,0.0,"*","*","*","*",10,43.5,11,47.8,21,91.3,294
"Deep River School District","=""0360011""",05,"M",21,21,100.0,21,0,0.0,"*","*","*","*",13,61.9,"*","*","*","*",266
"Derby School District","=""0370011""",05,"F",51,51,100.0,51,"*","*",14,27.5,17,33.3,15,29.4,"*","*","*","*",229
"Derby School District","=""0370011""",05,"M",57,57,100.0,57,"*","*","*","*",13,22.8,24,42.1,9,15.8,33,57.9,254
"Derby School District","=""0370011""",08,"F",48,47,97.9,47,12,25.5,7,14.9,"*","*",19,40.4,"*","*","*","*",234
"Derby School District","=""0370011""",08,"M",50,50,100.0,50,12,24.0,15,30.0,11,22.0,"*","*","*","*",12,24.0,226
"Derby School District","=""0370011""",10,"F",34,33,97.1,33,"*","*",8,24.2,9,27.3,7,21.2,"*","*","*","*",241
"Derby School District","=""0370011""",10,"M",46,45,97.8,45,"*","*",7,15.6,15,33.3,7,15.6,"*","*","*","*",235
"East Granby School District","=""0400011""",05,"F",35,35,100.0,35,"*","*","*","*","*","*",11,31.4,16,45.7,27,77.1,286
"East Granby School District","=""0400011""",05,"M",38,38,100.0,38,"*","*","*","*","*","*",17,44.7,14,36.8,31,81.6,286
"East Granby School District","=""0400011""",08,"F",39,39,100.0,39,0,0.0,"*","*","*","*",21,53.8,"*","*","*","*",275
"East Granby School District","=""0400011""",08,"M",23,23,100.0,23,"*","*","*","*","*","*",11,47.8,"*","*","*","*",249
"East Granby School District","=""0400011""",10,"F",33,32,97.0,32,0,0.0,0,0.0,"*","*","*","*",18,56.3,"*","*",300
"East Granby School District","=""0400011""",10,"M",26,25,96.2,25,"*","*","*","*",6,24.0,7,28.0,10,40.0,17,68.0,279
"East Haddam School District","=""0410011""",05,"F",35,35,100.0,35,"*","*","*","*","*","*",16,45.7,12,34.3,28,80.0,277
"East Haddam School District","=""0410011""",05,"M",34,34,100.0,34,0,0.0,0,0.0,"*","*",17,50.0,"*","*","*","*",294
"East Haddam School District","=""0410011""",08,"F",49,47,95.9,47,"*","*","*","*",9,19.1,29,61.7,"*","*","*","*",259
