"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Free/Reduced Price Meal Eligibility (3-l"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Columbia School District","=""0300011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",51,51,100.0,51,"*","*","*","*",7,13.7,32,62.7,8,15.7,40,78.4,265
"Columbia School District","=""0300011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",35,35,100.0,35,"*","*","*","*",9,25.7,16,45.7,"*","*","*","*",247
"Cooperative Educational Services","=""2430014""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",111,110,99.1,110,0,0.0,9,8.2,7,6.4,69,62.7,25,22.7,94,85.5,276
"Coventry School District","=""0320011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","F","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Cromwell School District","=""0330011""","N",116,115,99.1,115,"*","*",7,6.1,21,18.3,57,49.6,"*","*","*","*",268
"Cromwell School District","=""0330011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","F",338,337,99.7,337,92,27.3,"*","*",92,27.3,95,28.2,"*","*","*","*",224
"Danbury School District","=""0340011""","N",385,381,99.0,381,56,14.7,34,8.9,77,20.2,174,45.7,40,10.5,214,56.2,248
"Danbury School District","=""0340011""","R",82,82,100.0,82,12,14.6,"*","*",14,17.1,44,53.7,"*","*","*","*",242
"Darien School District","=""0350011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","N",365,361,98.9,361,"*","*","*","*",18,5.0,157,43.5,174,48.2,331,91.7,294
"Darien School District","=""0350011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","F",48,48,100.0,48,15,31.3,"*","*",8,16.7,14,29.2,"*","*","*","*",226
"Derby School District","=""0370011""","N",43,42,97.7,42,"*","*",11,26.2,"*","*","*","*","*","*","*","*",229
"Derby School District","=""0370011""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",49,49,100.0,49,"*","*","*","*","*","*","*","*","*","*","*","*",275
"East Haddam School District","=""0410011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",89,86,96.6,86,"*","*","*","*",12,14.0,57,66.3,9,10.5,66,76.7,262
"East Haddam School District","=""0410011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","N",128,126,98.4,126,"*","*","*","*",19,15.1,62,49.2,34,27.0,96,76.2,273
"East Hampton School District","=""0420011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","F",303,298,98.3,298,127,42.6,"*","*",55,18.5,56,18.8,"*","*","*","*",217
"East Hartford School District","=""0430011""","N",150,149,99.3,149,35,23.5,"*","*","*","*",50,33.6,16,10.7,66,44.3,239
"East Hartford School District","=""0430011""","R",38,37,97.4,37,10,27.0,"*","*","*","*",17,45.9,"*","*","*","*",244
"East Haven School District","=""0440011""","F",103,101,98.1,101,29,28.7,12,11.9,24,23.8,30,29.7,6,5.9,36,35.6,230
"East Haven School District","=""0440011""","N",110,109,99.1,109,23,21.1,"*","*",21,19.3,45,41.3,"*","*","*","*",236
"East Haven School District","=""0440011""","R",36,34,94.4,34,"*","*",6,17.6,11,32.4,11,32.4,"*","*","*","*",236
"East Lyme School District","=""0450011""","F",31,31,100.0,31,"*","*","*","*","*","*","*","*","*","*","*","*",248
"East Lyme School District","=""0450011""","N",179,176,98.3,176,"*","*","*","*",22,12.5,105,59.7,39,22.2,144,81.8,274
"East Lyme School District","=""0450011""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","F",25,25,100.0,25,"*","*","*","*","*","*","*","*","*","*","*","*",251
"East Windsor School District","=""0470011""","N",43,42,97.7,42,"*","*",0,0.0,"*","*",22,52.4,11,26.2,33,78.6,276
"East Windsor School District","=""0470011""","R",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","N",104,100,96.2,100,"*","*","*","*",12,12.0,61,61.0,23,23.0,84,84.0,276
"Easton School District","=""0460011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",194,194,100.0,194,9,4.6,9,4.6,25,12.9,107,55.2,44,22.7,151,77.8,271
"Ellington School District","=""0480011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","F",44,44,100.0,44,10,22.7,12,27.3,15,34.1,7,15.9,0,0.0,7,15.9,222
"Elm City College Preparatory School District","=""2890013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","F",110,108,98.2,108,19,17.6,20,18.5,"*","*",45,41.7,"*","*","*","*",241
"Enfield School District","=""0490011""","N",217,217,100.0,217,"*","*","*","*",35,16.1,110,50.7,48,22.1,158,72.8,268
"Enfield School District","=""0490011""","R",25,25,100.0,25,"*","*","*","*","*","*",15,60.0,"*","*","*","*",267
"Fairfield School District","=""0510011""","F",76,73,96.1,73,13,17.8,"*","*","*","*",31,42.5,12,16.4,43,58.9,251
"Fairfield School District","=""0510011""","N",696,691,99.3,691,15,2.2,18,2.6,59,8.5,388,56.2,211,30.5,599,86.7,280
"Fairfield School District","=""0510011""","R",21,21,100.0,21,"*","*","*","*","*","*",7,33.3,"*","*","*","*",250
"Farmington School District","=""0520011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","N",259,256,98.8,256,"*","*","*","*",26,10.2,138,53.9,81,31.6,219,85.5,282
"Farmington School District","=""0520011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","F",34,34,100.0,34,"*","*","*","*","*","*","*","*","*","*","*","*",261
"Glastonbury School District","=""0540011""","N",472,472,100.0,471,11,2.3,11,2.3,28,5.9,225,47.8,196,41.6,421,89.4,287
"Glastonbury School District","=""0540011""","R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","N",142,141,99.3,141,"*","*","*","*",16,11.3,80,56.7,38,27.0,118,83.7,280
"Granby School District","=""0560011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","F",64,64,100.0,64,10,15.6,"*","*",16,25.0,29,45.3,"*","*","*","*",241
"Greenwich School District","=""0570011""","N",542,541,99.8,541,16,3.0,17,3.1,43,7.9,285,52.7,180,33.3,465,86.0,281
"Greenwich School District","=""0570011""","R",28,27,96.4,27,"*","*","*","*","*","*",15,55.6,"*","*","*","*",258
"Griswold School District","=""0580011""","F",46,45,97.8,45,11,24.4,"*","*",9,20.0,20,44.4,"*","*","*","*",238
"Griswold School District","=""0580011""","N",79,79,100.0,79,"*","*","*","*",18,22.8,39,49.4,10,12.7,49,62.0,256
"Griswold School District","=""0580011""","R",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","F",92,90,97.8,90,"*","*",15,16.7,21,23.3,37,41.1,"*","*","*","*",235
"Groton School District","=""0590011""","N",160,159,99.4,159,6,3.8,12,7.5,18,11.3,84,52.8,39,24.5,123,77.4,271
"Groton School District","=""0590011""","R",33,33,100.0,33,"*","*","*","*",6,18.2,19,57.6,"*","*","*","*",253
"Guilford School District","=""0600011""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","N",262,262,100.0,262,9,3.4,12,4.6,27,10.3,167,63.7,47,17.9,214,81.7,272
"Guilford School District","=""0600011""","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","F",150,147,98.0,147,47,32.0,"*","*",36,24.5,39,26.5,"*","*","*","*",222
"Hamden School District","=""0620011""","N",231,228,98.7,228,24,10.5,16,7.0,43,18.9,116,50.9,29,12.7,145,63.6,256
"Hamden School District","=""0620011""","R",41,41,100.0,41,"*","*",10,24.4,9,22.0,12,29.3,"*","*","*","*",230
"Hartford School District","=""0640011""","F",1259,1240,98.5,1239,538,43.4,201,16.2,245,19.8,217,17.5,38,3.1,255,20.6,213
"Hartford School District","=""0640011""","N",285,285,100.0,285,55,19.3,25,8.8,40,14.0,120,42.1,45,15.8,165,57.9,249
"Hartford School District","=""0640011""","R",27,27,100.0,27,"*","*","*","*",6,22.2,10,37.0,"*","*","*","*",243
"Hartland School District","=""0650011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","N",26,26,100.0,26,"*","*","*","*","*","*",15,57.7,"*","*","*","*",253
"Integrated Day Charter School District","=""2640013""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","F",48,47,97.9,47,17,36.2,12,25.5,6,12.8,"*","*","*","*","*","*",220
"Interdistrict School for Arts and Comm District","=""2650013""","N",30,30,100.0,30,"*","*","*","*","*","*",16,53.3,"*","*","*","*",250
"Interdistrict School for Arts and Comm District","=""2650013""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","F",38,37,97.4,37,11,29.7,"*","*",11,29.7,"*","*","*","*","*","*",227
"Jumoke Academy District","=""2610013""","N",34,34,100.0,34,"*","*","*","*","*","*",13,38.2,"*","*","*","*",237
"Jumoke Academy District","=""2610013""","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","F",70,68,97.1,68,10,14.7,8,11.8,15,22.1,29,42.6,6,8.8,35,51.5,247
"Killingly School District","=""0690011""","N",96,94,97.9,94,"*","*","*","*",20,21.3,57,60.6,7,7.4,64,68.1,258
"Killingly School District","=""0690011""","R",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","F",30,29,96.7,29,10,34.5,6,20.7,9,31.0,"*","*","*","*","*","*",216
"Learn","=""2450014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","N",66,66,100.0,66,"*","*","*","*",9,13.6,38,57.6,14,21.2,52,78.8,273
"Lebanon School District","=""0710011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","F",20,20,100.0,20,"*","*",0,0.0,"*","*","*","*",0,0.0,"*","*",249
"Ledyard School District","=""0720011""","N",133,132,99.2,132,7,5.3,"*","*",21,15.9,77,58.3,"*","*","*","*",265
"Ledyard School District","=""0720011""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lisbon School District","=""0730011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lisbon School District","=""0730011""","N",33,33,100.0,33,"*","*","*","*",6,18.2,18,54.5,"*","*","*","*",260
"Lisbon School District","=""0730011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","N",79,79,100.0,79,"*","*","*","*",6,7.6,43,54.4,25,31.6,68,86.1,278
"Litchfield School District","=""0740011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","N",264,254,96.2,254,"*","*","*","*",29,11.4,139,54.7,70,27.6,209,82.3,277
"Madison School District","=""0760011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","F",217,214,98.6,214,71,33.2,"*","*",52,24.3,55,25.7,"*","*","*","*",222
"Manchester School District","=""0770011""","N",131,128,97.7,128,11,8.6,9,7.0,21,16.4,75,58.6,12,9.4,87,68.0,254
"Manchester School District","=""0770011""","R",24,24,100.0,24,7,29.2,"*","*","*","*",10,41.7,"*","*","*","*",233
"Mansfield School District","=""0780011""","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Mansfield School District","=""0780011""","N",113,113,100.0,113,"*","*","*","*",12,10.6,46,40.7,52,46.0,98,86.7,294
"Mansfield School District","=""0780011""","R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","F",298,286,96.0,286,110,38.5,55,19.2,53,18.5,62,21.7,6,2.1,68,23.8,216
"Meriden School District","=""0800011""","N",155,152,98.1,152,30,19.7,17,11.2,29,19.1,66,43.4,10,6.6,76,50.0,240
"Meriden School District","=""0800011""","R",39,39,100.0,39,12,30.8,"*","*",10,25.6,13,33.3,"*","*","*","*",227
"Middletown School District","=""0830011""","F",115,115,100.0,115,39,33.9,19,16.5,"*","*","*","*","*","*","*","*",224
"Middletown School District","=""0830011""","N",175,175,100.0,175,"*","*",18,10.3,33,18.9,94,53.7,"*","*","*","*",255
"Middletown School District","=""0830011""","R",20,20,100.0,20,"*","*",6,30.0,"*","*","*","*","*","*","*","*",227
"Milford School District","=""0840011""","F",90,87,96.7,87,"*","*",18,20.7,22,25.3,38,43.7,"*","*","*","*",238
"Milford School District","=""0840011""","N",377,372,98.7,372,18,4.8,26,7.0,62,16.7,220,59.1,46,12.4,266,71.5,261
"Milford School District","=""0840011""","R",27,27,100.0,27,"*","*",6,22.2,6,22.2,9,33.3,"*","*","*","*",234
"Monroe School District","=""0850011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","N",236,236,100.0,236,9,3.8,10,4.2,16,6.8,140,59.3,61,25.8,201,85.2,275
"Monroe School District","=""0850011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","F",59,58,98.3,58,"*","*","*","*","*","*","*","*","*","*","*","*",259
"Montville School District","=""0860011""","N",112,111,99.1,111,7,6.3,7,6.3,17,15.3,52,46.8,28,25.2,80,72.1,266
"Montville School District","=""0860011""","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","F",126,124,98.4,124,29,23.4,"*","*",26,21.0,41,33.1,"*","*","*","*",229
"Naugatuck School District","=""0880011""","N",168,168,100.0,168,14,8.3,22,13.1,27,16.1,82,48.8,23,13.7,105,62.5,254
"Naugatuck School District","=""0880011""","R",40,40,100.0,40,"*","*",8,20.0,6,15.0,19,47.5,"*","*","*","*",238
"New Beginnings Inc., Family Academy District","=""2800013""","F",23,22,95.7,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*",224
"New Beginnings Inc., Family Academy District","=""2800013""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","F",471,463,98.3,463,235,50.8,"*","*",74,16.0,81,17.5,"*","*","*","*",206
"New Britain School District","=""0890011""","N",109,109,100.0,109,22,20.2,21,19.3,16,14.7,43,39.4,7,6.4,50,45.9,233
"New Britain School District","=""0890011""","R",38,38,100.0,38,"*","*",7,18.4,10,26.3,13,34.2,"*","*","*","*",229
"New Canaan School District","=""0900011""","N",302,301,99.7,301,"*","*","*","*",20,6.6,140,46.5,129,42.9,269,89.4,288
"New Fairfield School District","=""0910011""","F",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
