"Four-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"The Bridge Academy District","=""2690013""",36,"*","*","*","*"
"The Gilbert School District","=""9020022""",94,9,9.6,14,14.9
"Thomaston School District","=""1400011""",80,"*","*","*","*"
"Thompson School District","=""1410011""",87,"*","*","*","*"
"Tolland School District","=""1420011""",244,"*","*","*","*"
"Torrington School District","=""1430011""",278,25,9.0,18,6.5
"Trumbull School District","=""1440011""",550,6,1.1,6,1.1
"Unified School District #1","=""3360015""",372,"*","*",238,64.0
"Unified School District #2","=""3470015""",63,15,23.8,36,57.1
"Vernon School District","=""1460011""",242,14,5.8,31,12.8
"Wallingford School District","=""1480011""",535,22,4.1,27,5.0
"Waterbury School District","=""1510011""",1300,64,4.9,372,28.6
"Waterford School District","=""1520011""",243,10,4.1,11,4.5
"Watertown School District","=""1530011""",272,16,5.9,20,7.4
"West Hartford School District","=""1550011""",835,24,2.9,33,4.0
"West Haven School District","=""1560011""",439,34,7.7,99,22.6
"Westbrook School District","=""1540011""",78,0,0.0,"*","*"
"Weston School District","=""1570011""",208,"*","*",0,0.0
"Westport School District","=""1580011""",466,6,1.3,0,0.0
"Wethersfield School District","=""1590011""",270,14,5.2,12,4.4
"Wilton School District","=""1610011""",326,"*","*","*","*"
"Windham School District","=""1630011""",198,20,10.1,29,14.6
"Windsor Locks School District","=""1650011""",140,"*","*","*","*"
"Windsor School District","=""1640011""",355,35,9.9,31,8.7
"Wolcott School District","=""1660011""",221,6,2.7,7,3.2
"Woodstock Academy District","=""9030022""",284,"*","*","*","*"

