"Four-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,,"Graduates",
"Stamford Academy District","=""2820013""",55,20,36.4
"Stamford School District","=""1350011""",1189,1014,85.3
"Stonington School District","=""1370011""",212,198,93.4
"Stratford School District","=""1380011""",581,512,88.1
"Suffield School District","=""1390011""",215,204,94.9
"The Bridge Academy District","=""2690013""",28,24,85.7
"The Gilbert School District","=""9020022""",75,58,77.3
"Thomaston School District","=""1400011""",105,96,91.4
"Thompson School District","=""1410011""",95,84,88.4
"Tolland School District","=""1420011""",224,207,92.4
"Torrington School District","=""1430011""",283,219,77.4
"Trumbull School District","=""1440011""",503,492,97.8
"Unified School District #1","=""3360015""",555,8,1.4
"Unified School District #2","=""3470015""",50,15,30.0
"Vernon School District","=""1460011""",290,237,81.7
"Wallingford School District","=""1480011""",561,488,87.0
"Waterbury School District","=""1510011""",1309,860,65.7
"Waterford School District","=""1520011""",272,248,91.2
"Watertown School District","=""1530011""",248,217,87.5
"West Hartford School District","=""1550011""",829,749,90.3
"West Haven School District","=""1560011""",460,313,68.0
"Westbrook School District","=""1540011""",75,71,94.7
"Weston School District","=""1570011""",195,"*","*"
"Westport School District","=""1580011""",475,459,96.6
"Wethersfield School District","=""1590011""",305,278,91.1
"Wilton School District","=""1610011""",306,299,97.7
"Windham School District","=""1630011""",267,163,61.0
"Windsor Locks School District","=""1650011""",135,115,85.2
"Windsor School District","=""1640011""",353,293,83.0
"Wolcott School District","=""1660011""",226,209,92.5
"Woodstock Academy District","=""9030022""",299,282,94.3

