"Four-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"Madison School District","=""0760011""",335,"*","*","*","*"
"Manchester School District","=""0770011""",518,50,9.7,89,17.2
"Meriden School District","=""0800011""",627,51,8.1,140,22.3
"Middletown School District","=""0830011""",347,33,9.5,50,14.4
"Milford School District","=""0840011""",515,46,8.9,26,5.0
"Monroe School District","=""0850011""",339,"*","*",0,0.0
"Montville School District","=""0860011""",223,"*","*","*","*"
"Naugatuck School District","=""0880011""",368,16,4.3,42,11.4
"New Britain School District","=""0890011""",664,92,13.9,170,25.6
"New Canaan School District","=""0900011""",329,10,3.0,0,0.0
"New Fairfield School District","=""0910011""",232,"*","*","*","*"
"New Haven School District","=""0930011""",1332,112,8.4,276,20.7
"New London School District","=""0950011""",239,37,15.5,54,22.6
"New Milford School District","=""0960011""",390,16,4.1,22,5.6
"Newington School District","=""0940011""",338,17,5.0,20,5.9
"Newtown School District","=""0970011""",406,9,2.2,12,3.0
"North Branford School District","=""0990011""",162,"*","*","*","*"
"North Haven School District","=""1010011""",292,11,3.8,11,3.8
"North Stonington School District","=""1020011""",54,"*","*","*","*"
"Norwalk School District","=""1030011""",873,36,4.1,96,11.0
"Norwich Free Academy District","=""9010022""",645,8,1.2,81,12.6
"Norwich School District","=""1040011""",67,18,26.9,34,50.7
"Old Saybrook School District","=""1060011""",144,"*","*","*","*"
"Oxford School District","=""1080011""",146,0,0.0,12,8.2
"Plainfield School District","=""1090011""",203,13,6.4,17,8.4
"Plainville School District","=""1100011""",207,6,2.9,9,4.3
"Plymouth School District","=""1110011""",139,11,7.9,11,7.9
"Portland School District","=""1130011""",92,0,0.0,8,8.7
"Putnam School District","=""1160011""",65,"*","*","*","*"
"Regional School District 01","=""2010012""",140,"*","*","*","*"
"Regional School District 04","=""2040012""",160,"*","*","*","*"
"Regional School District 05","=""2050012""",434,"*","*","*","*"
"Regional School District 06","=""2060012""",87,0,0.0,"*","*"
"Regional School District 07","=""2070012""",205,8,3.9,6,2.9
"Regional School District 08","=""2080012""",296,15,5.1,13,4.4
"Regional School District 09","=""2090012""",238,"*","*","*","*"
"Regional School District 10","=""2100012""",230,"*","*","*","*"
"Regional School District 11","=""2110012""",42,"*","*","*","*"
"Regional School District 12","=""2120012""",74,"*","*","*","*"
"Regional School District 13","=""2130012""",142,"*","*","*","*"
"Regional School District 14","=""2140012""",195,"*","*","*","*"
"Regional School District 15","=""2150012""",329,13,4.0,8,2.4
"Regional School District 16","=""2160012""",197,6,3.0,10,5.1
"Regional School District 17","=""2170012""",190,"*","*","*","*"
"Regional School District 18","=""2180012""",104,"*","*","*","*"
"Regional School District 19","=""2190012""",298,20,6.7,18,6.0
"Ridgefield School District","=""1180011""",443,"*","*","*","*"
"Rocky Hill School District","=""1190011""",208,8,3.8,9,4.3
"Seymour School District","=""1240011""",154,10,6.5,10,6.5
"Shelton School District","=""1260011""",428,15,3.5,22,5.1
"Simsbury School District","=""1280011""",407,"*","*","*","*"
"Somers School District","=""1290011""",142,"*","*","*","*"
"South Windsor School District","=""1320011""",386,17,4.4,7,1.8
"Southington School District","=""1310011""",498,29,5.8,13,2.6
"Stafford School District","=""1340011""",142,"*","*","*","*"
"Stamford Academy District","=""2820013""",36,12,33.3,8,22.2
"Stamford School District","=""1350011""",1186,69,5.8,106,8.9
"Stonington School District","=""1370011""",182,"*","*","*","*"
"Stratford School District","=""1380011""",585,29,5.0,50,8.5
"Suffield School District","=""1390011""",207,6,2.9,13,6.3
"The Bridge Academy District","=""2690013""",42,"*","*","*","*"
"The Gilbert School District","=""9020022""",91,"*","*","*","*"
"Thomaston School District","=""1400011""",92,"*","*","*","*"
"Thompson School District","=""1410011""",101,"*","*","*","*"
"Tolland School District","=""1420011""",230,"*","*","*","*"
"Torrington School District","=""1430011""",301,16,5.3,45,15.0
"Trumbull School District","=""1440011""",543,6,1.1,9,1.7
"Unified School District #1","=""3360015""",531,149,28.1,373,70.2
"Unified School District #2","=""3470015""",59,8,13.6,39,66.1
"Vernon School District","=""1460011""",266,16,6.0,32,12.0
"Wallingford School District","=""1480011""",537,17,3.2,24,4.5
"Waterbury School District","=""1510011""",1276,72,5.6,405,31.7
"Waterford School District","=""1520011""",241,7,2.9,13,5.4
"Watertown School District","=""1530011""",232,11,4.7,10,4.3
"West Hartford School District","=""1550011""",753,28,3.7,27,3.6
"West Haven School District","=""1560011""",391,17,4.3,92,23.5
"Westbrook School District","=""1540011""",82,"*","*","*","*"
"Weston School District","=""1570011""",191,"*","*",0,0.0
"Westport School District","=""1580011""",429,"*","*","*","*"
"Wethersfield School District","=""1590011""",292,12,4.1,16,5.5
"Wilton School District","=""1610011""",313,"*","*","*","*"
"Windham School District","=""1630011""",181,19,10.5,35,19.3
"Windsor Locks School District","=""1650011""",148,"*","*","*","*"
"Windsor School District","=""1640011""",321,20,6.2,28,8.7
"Wolcott School District","=""1660011""",219,7,3.2,7,3.2
"Woodstock Academy District","=""9030022""",285,"*","*","*","*"

