"Four-Year Graduation Rates, 2011-12"
"All Districts, Special Education Status"

"",,,,"Graduates",
"Norwich Free Academy District","=""9010022""","Non-Special Education",548,479,87.4
"Norwich Free Academy District","=""9010022""","Special Education",97,76,78.4
"Norwich School District","=""1040011""","Non-Special Education",29,"*","*"
"Norwich School District","=""1040011""","Special Education",38,"*","*"
"Old Saybrook School District","=""1060011""","Non-Special Education",126,123,97.6
"Old Saybrook School District","=""1060011""","Special Education",18,15,"*"
"Oxford School District","=""1080011""","Non-Special Education",137,"*","*"
"Oxford School District","=""1080011""","Special Education",9,"*","*"
"Plainfield School District","=""1090011""","Non-Special Education",158,145,91.8
"Plainfield School District","=""1090011""","Special Education",45,28,62.2
"Plainville School District","=""1100011""","Non-Special Education",178,"*","*"
"Plainville School District","=""1100011""","Special Education",29,"*","*"
"Plymouth School District","=""1110011""","Non-Special Education",122,"*","*"
"Plymouth School District","=""1110011""","Special Education",17,"*","*"
"Portland School District","=""1130011""","Non-Special Education",85,"*","*"
"Portland School District","=""1130011""","Special Education",7,"*","*"
"Putnam School District","=""1160011""","Non-Special Education",54,"*","*"
"Putnam School District","=""1160011""","Special Education",11,"*","*"
"Regional School District 01","=""2010012""","Non-Special Education",114,"*","*"
"Regional School District 01","=""2010012""","Special Education",26,"*","*"
"Regional School District 04","=""2040012""","Non-Special Education",136,126,92.6
"Regional School District 04","=""2040012""","Special Education",24,21,87.5
"Regional School District 05","=""2050012""","Non-Special Education",389,379,97.4
"Regional School District 05","=""2050012""","Special Education",45,39,86.7
"Regional School District 06","=""2060012""","Non-Special Education",76,"*","*"
"Regional School District 06","=""2060012""","Special Education",11,"*","*"
"Regional School District 07","=""2070012""","Non-Special Education",168,"*","*"
"Regional School District 07","=""2070012""","Special Education",37,"*","*"
"Regional School District 08","=""2080012""","Non-Special Education",259,242,93.4
"Regional School District 08","=""2080012""","Special Education",37,26,70.3
"Regional School District 09","=""2090012""","Non-Special Education",213,"*","*"
"Regional School District 09","=""2090012""","Special Education",25,"*","*"
"Regional School District 10","=""2100012""","Non-Special Education",205,200,97.6
"Regional School District 10","=""2100012""","Special Education",25,21,84.0
"Regional School District 11","=""2110012""","Non-Special Education",31,29,93.5
"Regional School District 11","=""2110012""","Special Education",11,11,"*"
"Regional School District 12","=""2120012""","Non-Special Education",65,56,86.2
"Regional School District 12","=""2120012""","Special Education",9,7,"*"
"Regional School District 13","=""2130012""","Non-Special Education",119,"*","*"
"Regional School District 13","=""2130012""","Special Education",23,"*","*"
"Regional School District 14","=""2140012""","Non-Special Education",174,"*","*"
"Regional School District 14","=""2140012""","Special Education",21,"*","*"
"Regional School District 15","=""2150012""","Non-Special Education",284,273,96.1
"Regional School District 15","=""2150012""","Special Education",45,35,77.8
"Regional School District 16","=""2160012""","Non-Special Education",176,164,93.2
"Regional School District 16","=""2160012""","Special Education",21,17,81.0
"Regional School District 17","=""2170012""","Non-Special Education",165,"*","*"
"Regional School District 17","=""2170012""","Special Education",25,"*","*"
"Regional School District 18","=""2180012""","Non-Special Education",91,"*","*"
"Regional School District 18","=""2180012""","Special Education",13,"*","*"
"Regional School District 19","=""2190012""","Non-Special Education",240,218,90.8
"Regional School District 19","=""2190012""","Special Education",58,42,72.4
"Ridgefield School District","=""1180011""","Non-Special Education",391,"*","*"
"Ridgefield School District","=""1180011""","Special Education",52,"*","*"
"Rocky Hill School District","=""1190011""","Non-Special Education",187,176,94.1
"Rocky Hill School District","=""1190011""","Special Education",21,15,71.4
"Seymour School District","=""1240011""","Non-Special Education",138,"*","*"
"Seymour School District","=""1240011""","Special Education",16,"*","*"
"Shelton School District","=""1260011""","Non-Special Education",396,371,93.7
"Shelton School District","=""1260011""","Special Education",32,20,62.5
"Simsbury School District","=""1280011""","Non-Special Education",359,349,97.2
"Simsbury School District","=""1280011""","Special Education",48,40,83.3
"Somers School District","=""1290011""","Non-Special Education",131,"*","*"
"Somers School District","=""1290011""","Special Education",11,"*","*"
"South Windsor School District","=""1320011""","Non-Special Education",331,319,96.4
"South Windsor School District","=""1320011""","Special Education",55,43,78.2
"Southington School District","=""1310011""","Non-Special Education",429,408,95.1
"Southington School District","=""1310011""","Special Education",69,48,69.6
"Stafford School District","=""1340011""","Non-Special Education",127,112,88.2
"Stafford School District","=""1340011""","Special Education",15,13,"*"
"Stamford Academy District","=""2820013""","Non-Special Education",26,"*","*"
"Stamford Academy District","=""2820013""","Special Education",10,"*","*"
"Stamford School District","=""1350011""","Non-Special Education",1043,904,86.7
"Stamford School District","=""1350011""","Special Education",143,107,74.8
"Stonington School District","=""1370011""","Non-Special Education",161,153,95.0
"Stonington School District","=""1370011""","Special Education",21,15,71.4
"Stratford School District","=""1380011""","Non-Special Education",529,476,90.0
"Stratford School District","=""1380011""","Special Education",56,30,53.6
"Suffield School District","=""1390011""","Non-Special Education",185,172,93.0
"Suffield School District","=""1390011""","Special Education",22,16,72.7
"The Bridge Academy District","=""2690013""","Non-Special Education","*","*","*"
"The Bridge Academy District","=""2690013""","Special Education","*","*","*"
"The Gilbert School District","=""9020022""","Non-Special Education",85,"*","*"
"The Gilbert School District","=""9020022""","Special Education",6,"*","*"
"Thomaston School District","=""1400011""","Non-Special Education",73,68,93.2
"Thomaston School District","=""1400011""","Special Education",19,16,"*"
"Thompson School District","=""1410011""","Non-Special Education",90,"*","*"
"Thompson School District","=""1410011""","Special Education",11,"*","*"
"Tolland School District","=""1420011""","Non-Special Education",207,202,97.6
"Tolland School District","=""1420011""","Special Education",23,20,87.0
"Torrington School District","=""1430011""","Non-Special Education",255,208,81.6
"Torrington School District","=""1430011""","Special Education",46,32,69.6
"Trumbull School District","=""1440011""","Non-Special Education",499,491,98.4
"Trumbull School District","=""1440011""","Special Education",44,37,84.1
"Unified School District #1","=""3360015""","Non-Special Education",332,"*","*"
"Unified School District #1","=""3360015""","Special Education",199,"*","*"
"Unified School District #2","=""3470015""","Non-Special Education",19,"*","*"
"Unified School District #2","=""3470015""","Special Education",40,"*","*"
"Vernon School District","=""1460011""","Non-Special Education",239,203,84.9
"Vernon School District","=""1460011""","Special Education",27,15,55.6
"Wallingford School District","=""1480011""","Non-Special Education",468,450,96.2
"Wallingford School District","=""1480011""","Special Education",69,46,66.7
"Waterbury School District","=""1510011""","Non-Special Education",1098,728,66.3
"Waterbury School District","=""1510011""","Special Education",178,71,39.9
"Waterford School District","=""1520011""","Non-Special Education",210,199,94.8
"Waterford School District","=""1520011""","Special Education",31,22,71.0
"Watertown School District","=""1530011""","Non-Special Education",204,191,93.6
"Watertown School District","=""1530011""","Special Education",28,20,71.4
"West Hartford School District","=""1550011""","Non-Special Education",661,627,94.9
"West Hartford School District","=""1550011""","Special Education",92,71,77.2
"West Haven School District","=""1560011""","Non-Special Education",342,258,75.4
"West Haven School District","=""1560011""","Special Education",49,24,49.0
"Westbrook School District","=""1540011""","Non-Special Education",76,"*","*"
"Westbrook School District","=""1540011""","Special Education",6,"*","*"
"Weston School District","=""1570011""","Non-Special Education",170,"*","*"
"Weston School District","=""1570011""","Special Education",21,"*","*"
"Westport School District","=""1580011""","Non-Special Education",367,363,98.9
"Westport School District","=""1580011""","Special Education",62,57,91.9
"Wethersfield School District","=""1590011""","Non-Special Education",266,247,92.9
"Wethersfield School District","=""1590011""","Special Education",26,17,65.4
"Wilton School District","=""1610011""","Non-Special Education",281,"*","*"
"Wilton School District","=""1610011""","Special Education",32,"*","*"
"Windham School District","=""1630011""","Non-Special Education",134,101,75.4
"Windham School District","=""1630011""","Special Education",47,26,55.3
"Windsor Locks School District","=""1650011""","Non-Special Education",136,"*","*"
"Windsor Locks School District","=""1650011""","Special Education",12,"*","*"
"Windsor School District","=""1640011""","Non-Special Education",282,247,87.6
"Windsor School District","=""1640011""","Special Education",39,26,66.7
"Wolcott School District","=""1660011""","Non-Special Education",193,183,94.8
"Wolcott School District","=""1660011""","Special Education",26,22,84.6
"Woodstock Academy District","=""9030022""","Non-Special Education",268,257,95.9
"Woodstock Academy District","=""9030022""","Special Education",17,15,"*"

