"Classes Taught by High Quality Teachers, 2015-16"
"All Districts"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,"Percent of Classes Taught byHighly Qualified Teachers"
"New Beginnings Inc Family Academy District",="2800013","High",91.5
"New Beginnings Inc., Family Academy District",="2800013","High",91.5
"New Britain School District",="0890011","High",99.7
"New Canaan School District",="0900011","Low",99.9
"New Fairfield School District",="0910011","Low",100.0
"New Hartford School District",="0920011","Middle",100.0
"New Haven School District",="0930011","High",98.8
"New London School District",="0950011","High",96.6
"New Milford School District",="0960011","Middle",99.5
"Newington School District",="0940011","Middle",100.0
"Newtown School District",="0970011","Low",99.8
"Norfolk School District",="0980011","Middle",100.0
"North Branford School District",="0990011","Middle",100.0
"North Canaan School District",="1000011","Middle",100.0
"North Haven School District",="1010011","Middle",99.4
"North Stonington School District",="1020011","Middle",100.0
"Norwalk School District",="1030011","High",99.1
"Norwich Free Academy District",="9010022","High",100.0
"Norwich School District",="1040011","High",100.0
"Odyssey Community School District",="2630013","Middle",100.0
"Old Saybrook School District",="1060011","Middle",100.0
"Orange School District",="1070011","Low",97.5
"Oxford School District",="1080011","Low",100.0
"Park City Prep Charter School District",="2830013","High",91.2
"Path Academy District",="2930013","High",100.0
"Plainfield School District",="1090011","High",100.0
"Plainville School District",="1100011","Middle",100.0
"Plymouth School District",="1110011","Middle",98.6
"Pomfret School District",="1120011","Middle",100.0
"Portland School District",="1130011","Middle",100.0
"Preston School District",="1140011","Middle",100.0
"Putnam School District",="1160011","High",96.7
"Redding School District",="1170011","Low",100.0
"Regional School District 01",="2010012","Middle",93.9
"Regional School District 04",="2040012","Low",98.4
"Regional School District 05",="2050012","Low",100.0
"Regional School District 06",="2060012","Middle",92.9
"Regional School District 07",="2070012","Low",98.7
"Regional School District 08",="2080012","Low",98.4
"Regional School District 09",="2090012","Low",100.0
"Regional School District 10",="2100012","Low",98.3
"Regional School District 11",="2110012","Middle",100.0
"Regional School District 12",="2120012","Low",98.2
"Regional School District 13",="2130012","Low",99.8
"Regional School District 14",="2140012","Low",100.0
"Regional School District 15",="2150012","Low",100.0
"Regional School District 16",="2160012","Middle",100.0
"Regional School District 17",="2170012","Low",98.9
"Regional School District 18",="2180012","Low",100.0
"Regional School District 19",="2190012","Middle",100.0
"Ridgefield School District",="1180011","Low",100.0
"Rocky Hill School District",="1190011","Middle",99.8
"Salem School District",="1210011","Middle",100.0
"Salisbury School District",="1220011","Middle",100.0
"Scotland School District",="1230011","Middle",100.0
"Seymour School District",="1240011","Middle",100.0
"Sharon School District",="1250011","Middle",100.0
"Shelton School District",="1260011","Middle",100.0
"Sherman School District",="1270011","Low",100.0
"Side By Side Charter School District",="2700013","Middle",100.0
"Simsbury School District",="1280011","Low",100.0
"Somers School District",="1290011","Low",100.0
"South Windsor School District",="1320011","Middle",99.0
"Southington School District",="1310011","Middle",99.6
"Sprague School District",="1330011","High",100.0
"Stafford School District",="1340011","Middle",100.0
"Stamford Academy District",="2820013","High",66.7
"Stamford Charter School for Excellence District",="2960013","High",63.2
"Stamford School District",="1350011","High",99.8
"Sterling School District",="1360011","Middle",100.0
"Stonington School District",="1370011","Middle",99.7
"Stratford School District",="1380011","Middle",99.7
"Suffield School District",="1390011","Middle",98.5
"The Bridge Academy District",="2690013","High",94.1
"The Gilbert School District",="9020022","Middle",100.0
"Thomaston School District",="1400011","Middle",100.0
"Thompson School District",="1410011","Middle",100.0
"Tolland School District",="1420011","Low",100.0
"Torrington School District",="1430011","High",99.6
"Trailblazers Academy District",="2780013","High",100.0
"Trumbull School District",="1440011","Low",100.0
"Unified School District #2",="3470015","High",100.0
"Union School District",="1450011","Low",100.0
"Vernon School District",="1460011","Middle",100.0
"Voluntown School District",="1470011","Middle",100.0
"Wallingford School District",="1480011","Middle",100.0
"Waterbury School District",="1510011","High",98.4
"Waterford School District",="1520011","Middle",100.0
"Watertown School District",="1530011","Middle",100.0
"West Hartford School District",="1550011","Middle",99.8
"West Haven School District",="1560011","High",99.9
"Westbrook School District",="1540011","Middle",100.0
"Weston School District",="1570011","Low",99.8
"Westport School District",="1580011","Low",99.7
"Wethersfield School District",="1590011","Middle",100.0
"Willington School District",="1600011","Middle",94.0
"Wilton School District",="1610011","Low",100.0
"Winchester School District",="1620011","High",99.2
"Windham School District",="1630011","High",99.0
"Windsor Locks School District",="1650011","Middle",99.6
"Windsor School District",="1640011","Middle",98.7
"Wolcott School District",="1660011","Middle",99.2
"Woodbridge School District",="1670011","Low",100.0
"Woodstock Academy District",="9030022","Low",100.0
"Woodstock School District",="1690011","Middle",100.0

