"Classes Taught by High Quality Teachers, 2014-15"
"All Districts"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,"Percent of Classes Taught byHighly Qualified Teachers"
"Tolland School District",="1420011","Low",100.0
"Torrington School District",="1430011","High",99.9
"Trailblazers Academy District",="2780013","High",92.3
"Trumbull School District",="1440011","Low",99.8
"Unified School District #2",="3470015","High",98.0
"Union School District",="1450011","Low",100.0
"Vernon School District",="1460011","Middle",99.4
"Voluntown School District",="1470011","Middle",100.0
"Wallingford School District",="1480011","Middle",99.7
"Waterbury School District",="1510011","High",98.4
"Waterford School District",="1520011","Middle",100.0
"Watertown School District",="1530011","Middle",99.2
"West Hartford School District",="1550011","Middle",100.0
"West Haven School District",="1560011","High",99.8
"Westbrook School District",="1540011","Middle",99.1
"Weston School District",="1570011","Low",100.0
"Westport School District",="1580011","Low",99.3
"Wethersfield School District",="1590011","Middle",98.8
"Willington School District",="1600011","Middle",100.0
"Wilton School District",="1610011","Low",100.0
"Winchester School District",="1620011","Middle",100.0
"Windham School District",="1630011","High",96.6
"Windsor Locks School District",="1650011","Middle",97.0
"Windsor School District",="1640011","Middle",98.6
"Wolcott School District",="1660011","Middle",100.0
"Woodbridge School District",="1670011","Low",99.3
"Woodstock Academy District",="9030022","Low",100.0
"Woodstock School District",="1690011","Middle",100.0

