"Classes Taught by High Quality Teachers, 2013-14"
"All Districts"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,"Percent of Classes Taught byHighly Qualified Teachers"
"Willington School District",="1600011","Middle",100.0
"Wilton School District",="1610011","Low",99.0
"Winchester School District",="1620011","High",100.0
"Windham School District",="1630011","High",95.5
"Windsor Locks School District",="1650011","Middle",99.6
"Windsor School District",="1640011","Middle",99.1
"Wolcott School District",="1660011","Middle",99.2
"Woodbridge School District",="1670011","Low",100.0
"Woodstock Academy District",="9030022","Low",100.0
"Woodstock School District",="1690011","Middle",100.0

