"Per Pupil Expenditures, 2005-06"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="Middletown School District",7321,229,240,568,989,1268,951,208,12060
="Milford School District",7708,407,230,361,1026,1242,329,168,11662
="Monroe School District",6009,131,179,676,940,1106,485,101,9745
="Montville School District",6719,404,275,662,955,1084,571,146,10826
="Naugatuck School District",7110,189,89,572,851,928,434,144,10281
="New Beginnings Inc., Family Academy District",5821,479,663,1123,2205,619,N/A,466,11573
="New Britain School District",7142,278,327,373,895,907,784,24,11263
="New Canaan School District",7790,170,315,1253,2156,1784,726,235,14746
="New Fairfield School District",6030,215,148,738,963,911,411,105,9832
="New Hartford School District",6323,143,74,596,1195,1253,497,22,10668
="New Haven School District",8390,269,453,479,1587,1460,764,118,13883
="New London School District",8100,414,356,949,1669,1499,537,129,12440
="New Milford School District",6086,151,222,641,933,969,758,80,10180
="Newington School District",6169,258,381,619,1147,1405,463,135,10929
="Newtown School District",5766,286,345,719,929,1263,717,128,10374
="Norfolk School District",7844,149,436,282,2290,2155,590,0,14505
="North Branford School District",5028,252,542,860,1045,1116,662,196,9919
="North Canaan School District",7594,317,24,560,1421,1280,513,0,12003
="North Haven School District",5500,157,304,834,1183,875,579,114,9902
="North Stonington School District",8029,646,150,743,1507,1252,959,0,13257
="Norwalk School District",8500,311,187,778,1409,1321,453,123,13333
="Norwich School District",6850,166,84,1068,860,907,771,0,11964
="Odyssey Community School District",4368,361,358,143,947,1038,N/A,0,7215
="Old Saybrook School District",6312,148,783,693,1217,1169,434,221,11294
="Orange School District",6878,291,173,1050,1102,848,311,29,10966
="Oxford School District",6109,147,187,441,1318,961,619,45,10411
="Plainfield School District",6502,181,247,873,1093,1116,706,92,11711
="Plainville School District",6585,225,433,526,1177,1050,609,145,11366
="Plymouth School District",6045,225,212,783,960,1080,939,133,10487
="Pomfret School District",6502,291,160,186,709,867,653,0,10344
="Portland School District",6562,219,512,774,1228,1640,515,119,11811
="Preston School District",8691,334,0,802,1516,1387,911,75,15029
="Putnam School District",7025,318,217,1272,1364,1166,436,201,12922
="Redding School District",9100,227,227,199,1177,1408,663,2,13859
="Regional School District 01",7633,339,607,994,1473,1773,136,529,14418
="Regional School District 04",6905,294,376,766,2456,1491,409,7,13178
="Regional School District 05",6955,168,408,521,1820,1160,704,294,12426
="Regional School District 06",6879,215,574,899,1217,1457,679,141,12279
="Regional School District 07",6951,464,227,623,1354,1526,1026,269,12633
="Regional School District 08",6366,168,449,611,1005,1061,604,168,10874
="Regional School District 09",9671,342,201,125,1260,1665,710,0,14806
="Regional School District 10",5506,297,760,604,854,1151,704,0,10108
="Regional School District 11",9321,687,238,1597,2205,2783,816,432,17387
="Regional School District 12",8467,626,631,1116,1493,1818,1001,278,15520
="Regional School District 13",6686,157,550,1012,975,1408,689,171,11915
="Regional School District 14",5978,422,347,815,1073,1091,619,235,11016
="Regional School District 15",6395,121,296,1012,912,1148,645,209,10766
="Regional School District 16",5288,194,561,703,1070,1105,602,148,9906
="Regional School District 17",6697,257,371,659,1118,1432,804,182,11740
="Regional School District 18",7417,300,684,980,2021,2208,658,322,15083
="Regional School District 19",6878,217,257,812,1396,938,835,446,12215
="Ridgefield School District",6787,193,579,553,893,1443,697,174,11682
="Rocky Hill School District",6402,192,509,603,842,1274,405,15,10496
="Salem School District",7396,528,78,246,1647,1395,722,0,12591
="Salisbury School District",9825,314,546,582,1517,1877,686,6,15552
="Scotland School District",6976,634,87,748,1709,794,570,12,12266
="Seymour School District",5659,262,233,692,1383,1129,437,161,10039
="Sharon School District",9369,319,537,1069,1961,1757,692,123,16710
="Shelton School District",5838,200,453,782,952,1030,449,110,9992
="Sherman School District",7304,173,690,78,792,802,604,64,11521
="Side By Side Charter School District",4806,153,143,1134,1458,957,N/A,0,8652
="Simsbury School District",6419,252,504,742,879,1061,430,130,10568
="Somers School District",6026,179,235,499,909,917,512,104,9747
="South Windsor School District",6048,295,353,697,1025,929,565,188,10318
="Southington School District",6325,323,183,721,1078,1000,402,88,10539
="Sprague School District",7021,451,130,632,1332,1014,918,0,13720
="Stafford School District",6508,307,183,708,1242,1017,778,28,11120
="Stamford Academy District",8042,471,0,3904,3122,2858,N/A,667,19180
="Stamford School District",8398,384,667,838,1702,1316,642,0,14200
="Sterling School District",6768,487,49,345,964,759,824,65,10968
="Stonington School District",6123,138,651,732,983,1256,635,151,10975
="Stratford School District",6371,93,291,820,934,1094,530,163,10601
="Suffield School District",6218,133,60,438,1082,890,373,55,9555
="The Bridge Academy District",4528,349,70,388,1251,1082,N/A,363,8163
="Thomaston School District",6270,257,20,546,1284,990,541,138,9751
="Thompson School District",4964,164,157,585,1550,789,575,180,9759
="Tolland School District",5650,243,301,717,912,766,503,109,9665
="Torrington School District",6306,97,330,633,1090,1095,531,114,10678
="Trailblazers Academy District",8142,553,0,2689,3239,2113,N/A,756,17614
="Trumbull School District",6273,185,469,784,1262,1053,504,142,10919
="Union School District",5116,273,666,784,1933,829,1451,0,11720
="Vernon School District",6862,226,352,728,1036,984,492,124,11320
="Voluntown School District",6973,163,83,1173,1733,958,989,134,13895
="Wallingford School District",6117,134,354,714,1518,866,636,169,10814
="Waterbury School District",6287,226,1172,569,872,1026,503,399,11355
="Waterford School District",7012,435,214,835,1195,1497,570,241,11472
="Watertown School District",5189,68,143,341,1042,1059,416,0,8472
="West Hartford School District",6504,149,639,663,1123,1258,378,108,11030
="West Haven School District",6436,139,660,690,970,1365,483,162,10750
="Westbrook School District",6402,409,208,941,1274,1253,315,377,11284
="Weston School District",8616,300,586,862,1299,2052,614,376,15190
="Westport School District",8128,335,771,1017,1593,1880,665,206,15023
="Wethersfield School District",6667,256,269,729,995,1342,529,182,11126
="Willington School District",7288,352,517,599,1466,1004,362,0,11770
="Wilton School District",7473,213,657,1142,1318,1317,557,0,13040
="Winchester School District",6711,103,265,1143,1552,879,557,45,12121
="Windham School District",7811,285,262,779,1066,1033,501,146,12236
="Windsor Locks School District",7033,242,437,678,957,1579,478,204,11571
="Windsor School District",7155,207,520,995,1628,1193,539,128,11929
="Wolcott School District",6015,211,165,389,1021,1073,455,189,9199
="Woodbridge School District",8108,439,174,156,1750,1187,281,15,12742
="Woodstock School District",5866,185,110,510,784,771,428,0,9191

