"FTE Staffing Report for Trend"

"",,,,"Year",,,,
="Bloomfield School District",="Bloomfield High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.3,8.8,7.0,6.0,5.8
,="Carmen Arace Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",3.5,3.0,2.5,2.8,3.0
,="Carmen Arace Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,3.0,4.5,3.0,2.8
,="J. P. Vincent School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,.,.,.,.
,"Laurel School","Counselors  Social Workers  and School Psychologists","Certified",1.5,.,1.0,2.0,2.8
,="The Big Picture High School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,1.5,.,.,.
,"Wintonbury Early Childhood Magnet School","Counselors  Social Workers  and School Psychologists","Certified",1.0,1.0,1.0,1.0,1.2
,="Metacomet School",="Counselors  Social Workers  and School Psychologists",="Certified",.,1.0,1.0,2.0,2.0
,="Global Experience Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,3.2,3.2
,="Learning Academy at Bloomfield",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,0.1,0.2
="Bolton School District",="Bolton Center School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,2.2,3.2,3.2
,="Bolton High School",="Counselors  Social Workers  and School Psychologists",="Certified",2.9,3.3,2.6,3.3,3.5
="Bozrah School District",="Fields Memorial School",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.8,0.8,0.9
="Branford School District",="Branford High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.0,8.0,7.0,7.0,5.4
,="Francis Walsh Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,6.0,6.0,5.0
,="John B. Sliney School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.5,1.5,2.0
,="Mary R. Tisko School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.3,1.3,1.3,1.5
,="Mary T. Murphy School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.5,1.0,1.0
,="Indian Neck School",="Counselors  Social Workers  and School Psychologists",="Certified",.,0.2,0.2,0.2,.
,"Branford High School Horizons Program","Counselors  Social Workers  and School Psychologists","Certified",.,.,.,.,0.5
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,1.5,1.5,1.5,1.0
="Bridgeport School District",="Barnum School",="Counselors  Social Workers  and School Psychologists",="Certified",4.3,3.1,3.9,3.9,3.9
,="Bassick High School",="Counselors  Social Workers  and School Psychologists",="Certified",10.6,9.8,8.7,8.7,8.5
,="Beardsley School",="Counselors  Social Workers  and School Psychologists",="Certified",2.2,1.5,1.1,1.1,1.6
,="Black Rock School",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.6,0.6,0.6,1.6
,="Blackham School",="Counselors  Social Workers  and School Psychologists",="Certified",4.7,3.5,3.5,3.5,3.6
,="Bridgeport Learning Center",="Counselors  Social Workers  and School Psychologists",="Certified",2.6,3.2,3.0,2.0,3.0
,="Bridgeport Regional Vocational Aquaculture School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="Bryant School",="Counselors  Social Workers  and School Psychologists",="Certified",1.9,1.7,0.4,2.5,1.6
,="Central High School",="Counselors  Social Workers  and School Psychologists",="Certified",13.7,14.4,13.9,13.6,12.6
,="Cesar Batalla School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.1,4.1,4.1
,="Classical Studies Academy",="Counselors  Social Workers  and School Psychologists",="Certified",1.3,0.8,0.8,1.3,1.4
,="Columbus School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,2.9,3.8,3.8,3.0
,="Cross School",="Counselors  Social Workers  and School Psychologists",="Certified",2.3,2.2,2.2,2.2,2.4
,="Curiale School",="Counselors  Social Workers  and School Psychologists",="Certified",3.1,2.8,2.8,2.8,2.7
,="Dunbar School",="Counselors  Social Workers  and School Psychologists",="Certified",2.6,1.9,1.9,2.4,2.0
,="Edison School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2,0.8,0.8,0.8,1.2
,="Geraldine Johnson School",="Counselors  Social Workers  and School Psychologists",="Certified",3.2,4.6,3.6,4.1,3.8
,="Hall School",="Counselors  Social Workers  and School Psychologists",="Certified",1.3,0.8,0.8,0.8,1.0
,="Hallen School",="Counselors  Social Workers  and School Psychologists",="Certified",2.2,1.3,1.3,1.3,1.2
,="Harding High School",="Counselors  Social Workers  and School Psychologists",="Certified",10.7,10.6,9.5,9.5,7.2
,="High Horizons Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.4,1.0,.,1.7
,="Hooker School",="Counselors  Social Workers  and School Psychologists",="Certified",2.5,2.5,2.5,2.7,2.5
,="Jettie S. Tisdale School",="Counselors  Social Workers  and School Psychologists",="Certified",3.5,3.4,3.4,3.4,4.0
,="Longfellow School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,2.4,.,.,.
,"Luis Munoz Marin School","Counselors  Social Workers  and School Psychologists","Certified",4.4,3.8,3.8,3.8,4.0
,="Madison School",="Counselors  Social Workers  and School Psychologists",="Certified",2.8,2.8,2.8,3.8,2.2
,="Make The Grade",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,1.3,.,.,.
,"Multicultural Magnet School","Counselors  Social Workers  and School Psychologists","Certified",2.4,2.3,2.5,2.5,1.9
,="Park City Academy",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.3,1.3,.
,"Park City Magnet School","Counselors  Social Workers  and School Psychologists","Certified",1.6,1.8,1.9,2.3,1.8
,="Read School",="Counselors  Social Workers  and School Psychologists",="Certified",4.4,3.3,3.1,1.8,2.9
,="Roosevelt School",="Counselors  Social Workers  and School Psychologists",="Certified",3.2,1.6,1.6,2.6,3.0
,="Skane Center",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,1.7,3.4,3.4,4.3
,="Waltersville School",="Counselors  Social Workers  and School Psychologists",="Certified",2.7,2.2,2.0,2.0,2.8
,="Winthrop School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.6,2.6,2.6,1.7
,="Interdistrict Discovery Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",.,0.6,1.0,1.6,1.6
,="Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,0.3,1.7
,="Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,0.3,1.7
,="Bridgeport Military Academy",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,0.3,1.8
,="Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,0.3,1.7
="Bristol School District",="Bristol Central High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.0,7.5,7.9,8.0,7.0
,="Bristol Eastern High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.2,7.7,8.4,8.2,9.2
,="Chippens Hill Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.4,4.4,4.4,4.6,3.2
,="Clara T. O'Connell School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,.,.,.
,"Edgewood School","Counselors  Social Workers  and School Psychologists","Certified",1.0,1.0,1.0,1.2,1.4
,="Ellen P. Hubbell School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.4,1.0,1.0
,="Greene-Hills School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,2.6,2.6,2.7
,="Ivy Drive School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="John J. Jennings School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,.,.,.
,"Memorial Boulevard Middle School","Counselors  Social Workers  and School Psychologists","Certified",3.0,3.0,.,.,.
,"Mountain View School","Counselors  Social Workers  and School Psychologists","Certified",1.0,1.0,1.2,1.3,1.4
,="Northeast Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,2.0,3.0
,="South Side School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.4,1.4,1.6
,="Stafford School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="West Bristol School",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,2.5,2.6,2.6
,="Bristol Early Childhood Center-BECC",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,0.2
="Brookfield School District",="Brookfield High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.5,6.0,6.0,6.5,5.0
,="Center Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,2.0,1.5,1.0
,="Huckleberry Hill Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.6,2.0,2.0
,="Whisconier Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",5.8,5.3,5.4,6.0,8.0
="Brooklyn School District",="Brooklyn Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.0,1.0,.
,"Brooklyn Middle School","Counselors  Social Workers  and School Psychologists","Certified",1.1,1.1,1.0,1.0,.
"Canaan School District","Lee H. Kellogg School","Counselors  Social Workers  and School Psychologists","Certified",0.6,0.6,0.6,0.5,0.5
="Canterbury School District",="Canterbury Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.5,1.0
,="Dr. Helen Baldwin Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.5,.
"Canton School District","Canton High School","Counselors  Social Workers  and School Psychologists","Certified",4.1,4.1,3.1,4.1,4.0
,="Canton Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,="Canton Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8,1.8,1.8,1.8,1.0
,="Cherry Brook Primary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,0.8,0.8,1.0
,="Canton Academy",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,0.1
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,3.0,4.0,4.0,4.6
,="Great Path Academy at MCC",="Counselors  Social Workers  and School Psychologists",="Certified",2.6,2.7,.,.,.
,"Greater Hartford Academy of the Arts High School - Full Time","Counselors  Social Workers  and School Psychologists","Certified",2.0,3.0,3.0,3.0,3.0
,="International Magnet School for Global Citizenship",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="John J. Allison Polaris Center",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,5.0,5.0,6.6,6.6
,="Lincoln Academy Regional Interdistrict Collaborative",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,.
,"Medical Professions and Teacher Preparation Academy","Counselors  Social Workers  and School Psychologists","Certified",2.0,2.0,3.0,3.0,5.2
,="Metropolitan Learning Center for Global and International Studies",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,5.0,5.0
,="Montessori Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="Public Safety Academy",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,4.0,4.0,5.0,6.0
,="Reggio Magnet School of the Arts",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="River Street Early Learning Center (Site 2)",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,.
,"River Street School","Counselors  Social Workers  and School Psychologists","Certified",5.0,5.0,4.0,5.0,7.0
,="Two Rivers Magnet Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.6,4.0
,="University of Hartford Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,1.0,2.0,2.0,2.0
,="Discovery Academy",="Counselors  Social Workers  and School Psychologists",="Certified",.,1.0,1.0,1.0,1.0
,="Greater Hartford Academy of Math and Science",="Counselors  Social Workers  and School Psychologists",="Certified",.,0.6,1.0,1.0,1.0
,="Museum Academy",="Counselors  Social Workers  and School Psychologists",="Certified",.,1.0,1.0,1.0,0.5
,="Ana Grace Academy of the Arts Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,1.0,1.0
,="Glastonbury/East Hartford Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,1.0,1.0
,="Greater Hartford Academy of the Arts Magnet Middle",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,2.0,2.0
,="Two Rivers Magnet High School",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,2.0,2.0,3.0
,="Academy of Aerospace and Engineering Elementary",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,1.0,2.0
,="Farmington Valley Regional Diagnostic Center",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,3.0,3.0
,="Soundbridge",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,0.5
="Chaplin School District",="Chaplin Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
="Charter School for Young Children on Asylum Hill District",="Charter School for Young Children on Asylum Hill Inc.",="Counselors  Social Workers  and School Psychologists",="Certified",0.6,0.6,.,.,.
"Cheshire School District","Chapman School","Counselors  Social Workers  and School Psychologists","Certified",1.2,0.9,0.9,0.9,1.3
,="Cheshire High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.3,9.0,9.0,9.5,9.6
,="Darcey School",="Counselors  Social Workers  and School Psychologists",="Certified",0.8,0.9,0.9,0.9,0.5
,="Dodd Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.8,4.6,4.6,4.6,5.0
,="Doolittle School",="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.6,1.6,1.8
,="Highland School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.2,3.2,2.2,2.4
,="Humiston School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="Norton School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.4,1.4,1.0
="Chester School District",="Chester Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.2,1.3,1.3
="Clinton School District",="Abraham Pierson School",="Counselors  Social Workers  and School Psychologists",="Certified",0.7,1.3,1.3,0.2,1.2
,="Jared Eliot School",="Counselors  Social Workers  and School Psychologists",="Certified",3.6,3.8,3.6,3.8,3.8
,="Lewin G. Joel Jr. School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,2.2,1.7,2.0,2.0
,="The Morgan School",="Counselors  Social Workers  and School Psychologists",="Certified",3.7,4.7,4.9,5.0,5.0
="Colchester School District",="Bacon Academy",="Counselors  Social Workers  and School Psychologists",="Certified",9.0,9.0,9.0,9.0,8.0
,="Colchester Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.9,2.1,2.1,2.1,1.6
,="Jack Jackter Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",2.1,2.1,1.1,2.1,2.0
,="William J. Johnston Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.6,4.6,4.6,4.6,3.6
="Colebrook School District",="Colebrook Consolidated School",="Counselors  Social Workers  and School Psychologists",="Certified",0.4,0.4,0.4,0.7,.
"Columbia School District","Horace W. Porter School","Counselors  Social Workers  and School Psychologists","Certified",3.0,2.0,3.0,3.0,3.0
="Common Ground High School District",="Common Ground High School",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.5,0.5,0.8
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,5.0,6.0,6.7
,="Bullard-Havens Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",6.9,6.9,6.9,6.9,6.6
,="E. C. Goodwin Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,3.0,4.0,4.0,5.7
,="Eli Whitney Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,4.0,4.0,5.0,5.7
,="Ella T. Grasso Southeastern Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.1,5.0,7.0,7.0,5.7
,="Emmett O'Brien Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,3.0,3.0,3.7
,="H. C. Wilcox Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.7,5.7,5.7,5.7
,="H. H. Ellis Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,5.0,4.7
,="Henry Abbott Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.7,5.7,5.7,5.7
,="Howell Cheney Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,6.7
,="Norwich Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,5.7
,="Oliver Wolcott Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,5.7
,="Platt Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.9,4.9,4.9,4.9,6.7
,="Vinal Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.7,5.7,5.7,5.7
,="W. F. Kaynor Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,5.7
,="Windham Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,5.0,5.0,3.7
,="Bristol Technical Education Center",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,1.0,1.0
,="J. M. Wright Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,2.7
="Cooperative Educational Services",="C. E. S. Special Education",="Counselors  Social Workers  and School Psychologists",="Certified",16.2,17.7,13.7,13.7,7.0
,="Six-Six Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,="Preschool-Primary Learning Center (PLC)",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,1.0,0.7
,="Therapeutic Day Program",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,3.0,4.0,6.0
="Cornwall School District",="Cornwall Consolidated School",="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.9,0.9,0.5,0.5
="Coventry School District",="Capt. Nathan Hale School",="Counselors  Social Workers  and School Psychologists",="Certified",3.6,3.8,3.8,3.8,3.8
,="Coventry Grammar School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.4,1.4,1.4,1.6
,="Coventry High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,5.0
,="George Hersey Robertson School",="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.6,1.6,1.6
="Cromwell School District",="Cromwell High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,4.0
,="Cromwell Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.4,3.0
,="Edna C. Stevens School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="Woodside Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
="Danbury School District",="Alternative Center For Excellence",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="Broadview Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,5.2,5.2
,="Danbury High School",="Counselors  Social Workers  and School Psychologists",="Certified",17.4,16.8,16.8,18.0,18.4
,="Ellsworth Avenue School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.4,1.4,1.6,1.6
,="Great Plain School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.4,1.4,1.4,1.4
,="Hayestown Avenue School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.6,2.0,2.0
,="King Street Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.0,1.0,1.5,2.0
,="King Street Primary School",="Counselors  Social Workers  and School Psychologists",="Certified",0.2,1.0,1.0,1.4,1.4
,="Mill Ridge Educational Center",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.1,.,.
,"Mill Ridge Primary School","Counselors  Social Workers  and School Psychologists","Certified",1.0,1.2,1.2,1.5,1.6
,="Morris Street School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.0,1.0,1.5
,="Park Avenue School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.4,2.0,2.0
,="Pembroke School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8,1.6,1.6,1.8,1.5
,="Rogers Park Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,6.2,6.2
,="Shelter Rock School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.4,1.4,2.0,1.4
,="South Street School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.0,1.6,1.6
,="Stadley Rough School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.4,1.5,2.1
,="Western CT Academy of International Studies Elementary Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.2,1.2,1.4,1.4
,="DPS Early Childhood Center",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,1.0,1.0
,="Other",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,1.0
,="Westside Middle School Academy",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,2.0
="Darien School District",="Darien High School",="Counselors  Social Workers  and School Psychologists",="Certified",9.2,10.2,10.7,10.7,11.5
,="Hindley Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.7,1.2,1.0
,="Holmes Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.3,1.0
,="Middlesex Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",8.0,8.0,8.5,8.5,9.5
,="Ox Ridge Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.2,1.0
,="Royle Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.4,2.0
,="Tokeneke Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.7,2.0,1.0
="Deep River School District",="Deep River Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.4,1.5,1.5
="Derby School District",="Bradley School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.2,1.2,1.2,1.2
,="Derby High School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,2.0,3.0,3.5,4.3
,="Derby Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.3,2.3
,="Irving School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,2.8,2.8,3.0,1.3
="East Granby School District",="Allgrove School",="Counselors  Social Workers  and School Psychologists",="Certified",0.7,0.8,0.8,0.8,0.8
,="East Granby High School",="Counselors  Social Workers  and School Psychologists",="Certified",2.3,2.1,2.3,2.3,1.3
,="East Granby Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",1.3,1.3,1.3,1.3,1.3
,="R. Dudley Seymour School",="Counselors  Social Workers  and School Psychologists",="Certified",0.7,0.8,0.8,0.8,0.8
