"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.6,20.6,20.6,17.0,13.0
,="Roaring Brook School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,3.7,3.7,3.3,5.3
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",21.4,19.2,19.2,16.4,14.0
,="Thompson Brook School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,1.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,15.0,15.0,14.6,13.0
="Barkhamsted School District",="Barkhamsted Elementary School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.6,3.8,2.8,2.8,2.8
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2,8.7,8.6,7.6,9.1
="Berlin School District",="Berlin High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,4.0,3.8,2.9,2.9
,,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.1,11.5,11.7,11.0,10.1
,="Catherine M. McGee Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,1.9,1.8,1.9,0.9
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,8.8,6.9,10.6
,="Emma Hart Willard School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,2.6,4.2,4.2,6.3
,,="Library/Media - Support Staff",="Non-Certified",0.9,0.9,0.9,0.9,0.9
,,="School Nurses",="Non-Certified",0.4,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,12.6,12.3,17.4,19.8
,="Mary E. Griswold School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.8,5.4,4.5,5.7
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,5.8,6.6,5.8,6.8
,="Richard D. Hubbard School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.7,4.9,5.2,5.2,5.9
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.8,4.8,5.2,2.4,2.4
="Bethany School District",="Bethany Community School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,1.8,1.8,2.1,1.5
,,="Library/Media - Support Staff",="Non-Certified",0.4,0.4,0.4,0.4,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,15.2,15.2,15.3,11.7
="Bethel School District",="Anna H. Rockwell School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,5.0,5.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,4.0,1.0,4.0,5.0
,="Bethel High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.0,2.0,2.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,6.0,5.0,5.0
,="Bethel Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,7.0,7.0,10.0
,="Frank A. Berry School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,5.0,4.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,11.0,9.0,11.0
,="Ralph M. T. Johnson School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,7.0,7.0,6.0,2.0
="Bloomfield School District",="Bloomfield High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,6.0,3.0,4.0,4.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.0,6.0,7.0,6.0
,="Carmen Arace Intermediate School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.0,4.0,4.0,4.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,4.0,5.0,4.0,4.0
,="Carmen Arace Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,5.5,3.0,4.0,4.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,5.0,6.0,4.0,3.0
,="J. P. Vincent School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,8.0,.,.,.
,,"Library/Media - Support Staff","Non-Certified",1.0,1.0,.,.,.
,,"School Nurses","Non-Certified",1.0,1.0,.,.,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",3.0,1.0,.,.,.
,"Laurel School","General Education - Paraprofessional Instructional Assistants","Non-Certified",6.0,.,4.0,5.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,.,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,.,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,.,3.0,5.0,7.0
,="The Big Picture High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,.,.,.
,,"Library/Media - Support Staff","Non-Certified",0.0,0.0,.,.,.
,,"School Nurses","Non-Certified",0.5,0.5,.,.,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,.,.,.
,"Wintonbury Early Childhood Magnet School","General Education - Paraprofessional Instructional Assistants","Non-Certified",14.0,15.0,16.0,16.0,19.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,5.0,7.0,5.0
,="Metacomet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,5.0,3.0,4.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",.,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",.,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,4.0,3.0,3.0,5.0
,="Global Experience Magnet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",.,.,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",.,.,0.5,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,0.0,0.0
,="Learning Academy at Bloomfield",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",.,.,.,0.0,0.0
,,="School Nurses",="Non-Certified",.,.,.,1.0,0.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
="Bolton School District",="Bolton Center School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.8,5.2,3.2,8.8,8.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.5,0.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,16.0,15.0,13.2,14.0
,="Bolton High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.4,0.4,0.0,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",1.6,1.0,2.0,1.7,1.7
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.5,6.5,4.2,7.0
="Bozrah School District",="Fields Memorial School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,8.0,10.0,8.5
="Branford School District",="Branford High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.5,0.5,1.0,1.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,11.0,15.0,18.0,20.0
,="Francis Walsh Intermediate School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,1.0,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",1.5,1.5,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0,22.0,21.0,20.0,27.0
,="John B. Sliney School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.6,6.2,6.1,5.0,11.0
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.5,12.8,11.2,10.0,11.0
,="Mary R. Tisko School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.2,8.4,8.4,9.0,12.5
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.8,11.9,11.9,20.0,19.5
,="Mary T. Murphy School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.8,9.7,9.7,10.0,15.0
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,11.0,11.0,14.0,10.0
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,7.5,6.5,7.0,.
,,"Library/Media - Support Staff","Non-Certified",0.0,0.0,0.0,0.0,.
,,"School Nurses","Non-Certified",0.5,0.5,0.5,1.0,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,1.5,1.5,2.0,.
"Bridgeport School District","Barnum School","General Education - Paraprofessional Instructional Assistants","Non-Certified",4.5,7.0,5.0,4.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.4,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.7,1.0,0.6,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,8.0,11.0,16.0,16.0
,="Bassick High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,15.0,21.0,17.0
,="Beardsley School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,4.0,4.0,3.0,.
,,"Library/Media - Support Staff","Non-Certified",0.0,0.0,0.0,0.0,.
,,"School Nurses","Non-Certified",1.0,0.6,1.0,1.0,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",4.0,4.0,5.0,4.0,.
,"Black Rock School","General Education - Paraprofessional Instructional Assistants","Non-Certified",4.0,5.0,3.0,2.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.6,0.6,0.6,0.6,0.6
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,3.0,4.0,4.0
,="Blackham School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,5.0,5.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.4
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,3.0,8.0,7.0,10.0
,="Bryant School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,6.0,5.0,3.0,3.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.4,0.6,0.6,0.6,0.6
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,3.0,6.0,4.0
,="Central High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,1.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.0,16.0,18.0,21.0,20.0
,="Cesar Batalla School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,17.0,21.0,13.0,12.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.2,1.0,1.0,1.0,1.4
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,14.0,12.0,13.0,13.0
,="Classical Studies Academy",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,2.0,1.0,1.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.4,0.4,0.4,1.4,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,3.0,4.0,4.0
,="Columbus School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,5.0,7.0,7.0,7.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.8,0.8,1.0,1.4,1.6
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,6.0,6.0,6.0
,="Cross School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,4.0,2.0,2.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.4,0.4,0.6,0.6,0.6
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,7.0,7.0,7.0
,="Curiale School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,5.0,4.0,3.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.8,0.8,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,5.0,5.0,5.0
,="Dunbar School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,3.0,3.0,1.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.6,0.6,0.6,0.6,0.4
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,0.0,2.0,2.0
,="Edison School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,1.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.4,0.4,0.4,0.4,0.4
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,1.0,0.0,5.0,3.0
,="Geraldine Johnson School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,5.0,3.0,4.0
,,="Library/Media - Support Staff",="Non-Certified",0.6,0.6,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.0,17.0,11.0,14.0,14.0
,="Hall School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,2.0,1.0,1.0,1.0
,,="Library/Media - Support Staff",="Non-Certified",0.6,0.6,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.4,0.4,1.0,1.0,0.6
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,1.0,1.0
,="Hallen School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,5.0,4.0,2.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.6,0.6,0.6,0.6,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,2.0,5.0,6.0
,="Harding High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,1.0,0.0,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,3.0,5.0,6.0
,="High Horizons Magnet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,1.0,2.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.6,0.5,0.5,1.0,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.0,3.0,3.0,5.0
,="Hooker School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,1.0
,,="Library/Media - Support Staff",="Non-Certified",0.4,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,0.6,0.6,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,6.0,8.0,7.0,5.0
,="Interdistrict Discovery Magnet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,9.0,8.0,9.0,9.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.2,0.2,0.6,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,1.0,1.0
,="Jettie S. Tisdale School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,6.0,4.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.2,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,17.0,16.0,18.0,20.0
,="Longfellow School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,.,.,.
,,"Library/Media - Support Staff","Non-Certified",0.0,0.0,.,.,.
,,"School Nurses","Non-Certified",1.0,1.0,.,.,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",5.0,5.0,.,.,.
,"Luis Munoz Marin School","General Education - Paraprofessional Instructional Assistants","Non-Certified",7.0,8.0,8.0,6.0,7.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,10.0,7.0,8.0,9.0
,="Madison School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,3.0,3.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.6,0.6,0.6,0.6,0.6
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,11.0,10.0,10.0,10.0
,="Multicultural Magnet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",0.6,0.5,0.5,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Park City Magnet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,2.0,1.0,3.0
