"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,="Francis Walsh Intermediate School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0,22.0,21.0,20.0,27.0
,="John B. Sliney School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.5,12.8,11.2,10.0,11.0
,="Mary R. Tisko School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.8,11.9,11.9,20.0,19.5
,="Mary T. Murphy School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,11.0,11.0,14.0,10.0
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,1.5,1.5,2.0,.
"Bridgeport School District","Barnum School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",6.0,8.0,11.0,16.0,16.0
,="Bassick High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,15.0,21.0,17.0
,="Beardsley School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,5.0,4.0,.
,"Black Rock School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",2.0,2.0,3.0,4.0,4.0
,="Blackham School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,3.0,8.0,7.0,10.0
,="Bryant School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,3.0,6.0,4.0
,="Central High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.0,16.0,18.0,21.0,20.0
,="Cesar Batalla School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,14.0,12.0,13.0,13.0
,="Classical Studies Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,3.0,4.0,4.0
,="Columbus School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,6.0,6.0,6.0
,="Cross School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,7.0,7.0,7.0
,="Curiale School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,5.0,5.0,5.0
,="Dunbar School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,0.0,2.0,2.0
,="Edison School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,1.0,0.0,5.0,3.0
,="Geraldine Johnson School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.0,17.0,11.0,14.0,14.0
,="Hall School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,1.0,1.0
,="Hallen School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,2.0,5.0,6.0
,="Harding High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,3.0,5.0,6.0
,="High Horizons Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.0,3.0,3.0,5.0
,="Hooker School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,6.0,8.0,7.0,5.0
,="Interdistrict Discovery Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,1.0,1.0
,="Jettie S. Tisdale School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,17.0,16.0,18.0,20.0
,="Longfellow School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,.,.,.
,"Luis Munoz Marin School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",9.0,10.0,7.0,8.0,9.0
,="Madison School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,11.0,10.0,10.0,10.0
,="Multicultural Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Park City Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.0,6.0,8.0,7.0
,="Read School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,5.0,3.0,6.0
,="Roosevelt School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,4.0,4.0,4.0
,="Skane Center",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",29.0,30.0,25.0,28.0,26.0
,="Waltersville School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,5.0,8.0,7.0,9.0
,="Winthrop School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,5.0,6.0,6.0
,="Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
,="Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
,="Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,2.0,1.0
,="Pride Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,1.0,.
,"Bridgeport Military Academy","Special Education - Paraprofessional Instructional Assistants","Non-Certified",.,.,.,.,0.0
="Bristol School District",="Bristol Central High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,11.0,10.0,11.0,10.0
,="Bristol Eastern High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,8.0,9.0,9.0,8.0
,="Chippens Hill Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,13.0,12.0,12.0,14.0
,="Clara T. O'Connell School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,.,.,.
,"Edgewood School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",1.0,1.0,1.0,2.0,2.0
,="Ellen P. Hubbell School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,5.0,5.0,6.0
,="Greene-Hills School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,6.0,6.0,8.0
,="Ivy Drive School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,9.0,9.0,8.0,10.0
,="John J. Jennings School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,3.0,.,.,.
,"Memorial Boulevard Middle School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",6.0,6.0,.,.,.
,"Mountain View School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Northeast Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,13.0,13.0,11.0,11.0
,="South Side School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,7.0,8.0,8.0
,="Stafford School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0,20.0,21.0,19.0,17.0
,="West Bristol School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,5.0,5.0,8.0
,="Bristol Early Childhood Center-BECC",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,7.0
="Brookfield School District",="Brookfield High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,11.0,11.0,11.0,11.0
,="Center Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,10.0,8.0,7.0,7.0
,="Huckleberry Hill Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,11.0,13.0,15.0,17.0
,="Whisconier Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,11.0,12.0,12.0,12.0
="Brooklyn School District",="Brooklyn Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,.,15.0,11.0,20.0
,="Brooklyn Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,.,11.0,12.0,10.0
="Canaan School District",="Lee H. Kellogg School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,1.5,1.5,1.5
="Canterbury School District",="Canterbury Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.6,9.3,10.6,9.7,8.5
,="Dr. Helen Baldwin Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.9,4.1,3.9,3.9,4.6
="Canton School District",="Canton High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,11.0,8.0,8.0,6.0
,="Canton Intermediate School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.2,12.0,15.0,14.6,.
,"Canton Middle School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",3.0,4.0,3.0,3.4,7.0
,="Cherry Brook Primary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.2,15.9,12.7,14.8,14.3
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,2.0,2.0,9.0
,="Glastonbury/East Hartford Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,0.0,6.0
,="Great Path Academy at MCC",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,2.0,.,.,.
,"Greater Hartford Academy of the Arts High School - Full Time","Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,1.0,1.0
,="International Magnet School for Global Citizenship",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,2.0,3.0,3.5,6.0
,="Medical Professions and Teacher Preparation Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,1.5,0.5,3.0
,="Metropolitan Learning Center for Global and International Studies",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,3.0,0.2,2.0
,="Montessori Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,3.0,10.0,5.0,9.4
,="Public Safety Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.8,3.0,5.0,7.0,6.0
,="Reggio Magnet School of the Arts",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,2.0,4.0,4.0,21.0
,="Two Rivers Magnet Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,6.0,6.0,4.0,6.0
,="University of Hartford Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,7.0,9.0,11.0
,="Academy of Aerospace & Engineering - Site 2",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,1.0,.,.,.
,"Discovery Academy","Special Education - Paraprofessional Instructional Assistants","Non-Certified",.,1.0,3.0,4.0,12.0
,="Museum Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,1.0,2.0,1.0,4.0
,="Ana Grace Academy of the Arts Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,0.0,6.0
,="Greater Hartford Academy of the Arts Magnet Middle",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,2.0,4.0
,="Two Rivers Magnet High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,1.0,2.4
,="Academy of Aerospace and Engineering Elementary",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,4.0
="Chaplin School District",="Chaplin Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Charter School for Young Children on Asylum Hill District",="Charter School for Young Children on Asylum Hill Inc.",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,.,.,.,.
"Cheshire School District","Chapman School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",4.0,4.0,4.0,6.5,5.5
,="Cheshire High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",19.8,16.9,16.7,22.9,23.9
,="Darcey School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.0,7.0,7.0,7.0
,="Dodd Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.6,12.5,12.5,14.5,15.6
,="Doolittle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.1,11.5,11.0,10.5,8.0
,="Highland School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",25.6,23.1,25.0,23.5,27.5
,="Norton School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.2,7.6,8.0,10.2,9.2
="Chester School District",="Chester Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.0,6.5,7.0,5.8
="Clinton School District",="Abraham Pierson School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.7,3.9,6.0,7.0,6.0
,="Jared Eliot School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.8,14.2,10.9,7.9,10.0
,="Lewin G. Joel Jr. School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",21.1,19.3,18.8,19.7,16.6
,="The Morgan School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,9.4,10.4,10.6,8.4
="Colchester School District",="Bacon Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,9.0,11.0,13.5,13.5
,="Colchester Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,18.5,17.0,13.0,15.0
,="Jack Jackter Intermediate School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,13.0,13.0,18.0,18.0
,="William J. Johnston Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.0,14.0,10.0,9.0,9.0
="Colebrook School District",="Colebrook Consolidated School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6,3.0,3.0,3.0,3.0
="Columbia School District",="Horace W. Porter School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,10.0,9.0,9.0,12.0
="Common Ground High School District",="Common Ground High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.3,0.0,0.0,0.0,0.0
,="Bullard-Havens Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.9,0.0,0.0,0.0,0.0
,="E. C. Goodwin Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.2,0.0,0.0,0.0,0.0
,="Eli Whitney Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Ella T. Grasso Southeastern Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="Emmett O'Brien Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="H. C. Wilcox Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.9,0.0,0.0,0.0,0.0
,="H. H. Ellis Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.9,0.0,0.0,0.0,0.0
,="Henry Abbott Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.8,0.0,0.0,0.0,0.0
,="Howell Cheney Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Norwich Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="Oliver Wolcott Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="Platt Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9,0.0,0.0,0.0,0.0
,="Vinal Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="W. F. Kaynor Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,0.0,0.0,0.0,0.0
,="Windham Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="J. M. Wright Technical High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,0.0
="Cooperative Educational Services",="Six-Six Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,1.0,1.0
="Cornwall School District",="Cornwall Consolidated School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.3,2.3,2.3,2.3
="Coventry School District",="Capt. Nathan Hale School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,9.0,8.0,8.0,5.0
,="Coventry Grammar School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,4.0,7.0
,="Coventry High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.5,8.0,10.0,10.0
,="George Hersey Robertson School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,7.0,6.0,6.0
="Cromwell School District",="Cromwell High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.5,3.5,6.0,7.5
,="Cromwell Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,3.0,7.0,6.0
,="Edna C. Stevens School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,7.0,6.5,11.5,12.0
,="Woodside Intermediate School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,5.5,2.8,8.5,9.0
="Danbury School District",="Alternative Center For Excellence",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Broadview Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0,20.0,23.0,27.0,24.0
,="Danbury High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",25.0,34.0,33.0,36.0,38.0
,="Ellsworth Avenue School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,6.0,6.0,6.0
,="Great Plain School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,14.0,10.0,14.0,15.0
,="Hayestown Avenue School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.6,12.0,13.0,13.0,25.0
,="King Street Intermediate School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,3.0,4.0,4.0
,="King Street Primary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,3.0,3.0,2.0,6.0
,="Mill Ridge Primary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,10.0,8.0,6.0
,="Morris Street School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,12.0,13.0,7.0
,="Park Avenue School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,4.0,5.0
,="Pembroke School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,19.0,21.0,22.0,27.0
,="Rogers Park Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",28.0,27.0,29.0,31.0,28.0
,="Shelter Rock School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,3.0,3.0,6.0
,="South Street School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,4.0,5.0,8.0
,="Stadley Rough School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.0,6.0,6.0,5.0
,="Western CT Academy of International Studies Elementary Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6,1.8,1.8,0.8,1.0
,="DPS Early Childhood Center",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,17.0,19.0
,="Westside Middle School Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,4.0
="Darien School District",="Darien High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.0,0.0,0.0,10.0
,="Hindley Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,6.0,10.0
,="Holmes Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.0,8.0,6.0,8.0
,="Middlesex Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,10.0,9.0,12.0,14.5
,="Ox Ridge Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,17.0,16.0,8.0,16.0
,="Royle Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.3,0.0,0.0,10.0,16.5
,="Tokeneke Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,6.0,16.0,15.0
="Deep River School District",="Deep River Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,9.5,12.1,12.1,11.0
="Derby School District",="Bradley School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,12.0,12.0,17.0,15.0
,="Derby High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,6.0,7.0,7.0
,="Derby Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,4.0,5.0,6.0,6.0
,="Irving School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,14.0,14.0,18.0,20.0
="East Granby School District",="Allgrove School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.5,12.5,13.5,10.0,12.5
,="East Granby High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.8,6.8,5.0,4.0,3.0
,="East Granby Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.5,7.5,6.4,8.0,10.0
,="R. Dudley Seymour School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.4,4.6,4.6,7.7,9.0
="East Haddam School District",="East Haddam Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.5,7.5,5.5,6.5,6.5
,="Nathan Hale-Ray High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,4.0,4.0,2.0,2.0
,="Nathan Hale-Ray Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,7.0,9.0,9.0
="East Hampton School District",="Center School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.3,11.2,10.2,10.6,11.4
