"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,="Black Rock School",="Instructional Specialists Who Support Teachers",="Certified",2.4,2.4,2.5,2.5,1.5
,="Blackham School",="Instructional Specialists Who Support Teachers",="Certified",5.0,5.0,4.3,3.5,4.4
,="Bryant School",="Instructional Specialists Who Support Teachers",="Certified",2.0,3.0,2.4,2.4,2.4
,="Cesar Batalla School",="Instructional Specialists Who Support Teachers",="Certified",3.0,2.0,2.8,0.8,2.8
,="Classical Studies Academy",="Instructional Specialists Who Support Teachers",="Certified",4.2,2.2,3.2,4.0,2.2
,="Columbus School",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.4,0.4,2.9
,="Cross School",="Instructional Specialists Who Support Teachers",="Certified",2.0,3.0,2.4,1.4,1.9
,="Curiale School",="Instructional Specialists Who Support Teachers",="Certified",5.4,2.4,3.6,2.0,2.8
,="Dunbar School",="Instructional Specialists Who Support Teachers",="Certified",2.4,1.0,1.2,.,1.4
,="Edison School",="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.4,0.4,1.2
,="Geraldine Johnson School",="Instructional Specialists Who Support Teachers",="Certified",2.5,2.5,3.1,3.1,2.6
,="Hall School",="Instructional Specialists Who Support Teachers",="Certified",3.4,3.4,3.4,3.4,1.4
,="Hallen School",="Instructional Specialists Who Support Teachers",="Certified",2.0,3.0,2.0,3.0,2.0
,="Harding High School",="Instructional Specialists Who Support Teachers",="Certified",1.0,.,0.4,0.4,0.4
,="High Horizons Magnet School",="Instructional Specialists Who Support Teachers",="Certified",2.4,1.9,1.2,1.2,1.4
,="Hooker School",="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,3.0,4.0,2.0
,="Interdistrict Discovery Magnet School",="Instructional Specialists Who Support Teachers",="Certified",0.6,1.0,2.3,1.3,2.0
,="Jettie S. Tisdale School",="Instructional Specialists Who Support Teachers",="Certified",2.0,1.0,3.6,3.6,4.0
,="Longfellow School",="Instructional Specialists Who Support Teachers",="Certified",2.4,3.0,.,.,.
,"Luis Munoz Marin School","Instructional Specialists Who Support Teachers","Certified",1.0,1.5,0.7,0.2,3.0
,="Madison School",="Instructional Specialists Who Support Teachers",="Certified",4.0,3.0,3.8,2.8,1.9
,="Make The Grade",="Instructional Specialists Who Support Teachers",="Certified",1.2,.,.,.,.
,"Multicultural Magnet School","Instructional Specialists Who Support Teachers","Certified",3.0,2.0,2.4,1.4,1.4
,="Park City Magnet School",="Instructional Specialists Who Support Teachers",="Certified",2.0,3.0,3.0,3.0,1.0
,="Read School",="Instructional Specialists Who Support Teachers",="Certified",3.0,2.0,2.6,2.6,2.5
,="Roosevelt School",="Instructional Specialists Who Support Teachers",="Certified",5.0,5.6,6.3,5.3,2.5
,="Skane Center",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,2.8,4.0,4.4
,="Waltersville School",="Instructional Specialists Who Support Teachers",="Certified",3.5,2.5,2.6,1.6,2.6
,="Winthrop School",="Instructional Specialists Who Support Teachers",="Certified",2.6,1.6,1.6,1.6,2.0
,="Bassick High School",="Instructional Specialists Who Support Teachers",="Certified",.,1.0,1.0,1.0,1.0
,="Bridgeport Learning Center",="Instructional Specialists Who Support Teachers",="Certified",.,.,0.7,0.5,.
,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Instructional Specialists Who Support Teachers","Certified",.,.,.,.,0.3
,="Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,0.3
,="Central High School",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,1.0
,="Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,0.3
="Bristol School District",="Bristol Central High School",="Instructional Specialists Who Support Teachers",="Certified",1.4,2.4,2.4,2.4,2.8
,="Bristol Eastern High School",="Instructional Specialists Who Support Teachers",="Certified",2.6,2.7,3.2,2.4,2.4
,="Chippens Hill Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.3,2.2,2.2,2.2,2.2
,="Clara T. O'Connell School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,.,.,.
,"Edgewood School","Instructional Specialists Who Support Teachers","Certified",1.6,1.6,1.6,1.6,0.6
,="Ellen P. Hubbell School",="Instructional Specialists Who Support Teachers",="Certified",2.3,2.4,5.0,5.4,6.0
,="Greene-Hills School",="Instructional Specialists Who Support Teachers",="Certified",5.7,4.1,3.3,2.7,2.7
,="Ivy Drive School",="Instructional Specialists Who Support Teachers",="Certified",2.7,2.8,2.8,2.8,1.1
,="John J. Jennings School",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,.,.,.
,"Memorial Boulevard Middle School","Instructional Specialists Who Support Teachers","Certified",0.9,1.4,.,.,.
,"Mountain View School","Instructional Specialists Who Support Teachers","Certified",2.0,2.0,2.0,2.0,1.0
,="Northeast Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.7,1.7,1.3,1.3,1.4
,="South Side School",="Instructional Specialists Who Support Teachers",="Certified",2.2,2.2,2.0,2.0,2.0
,="Stafford School",="Instructional Specialists Who Support Teachers",="Certified",3.7,2.6,3.7,3.2,2.6
,="West Bristol School",="Instructional Specialists Who Support Teachers",="Certified",.,.,3.2,3.2,4.2
="Brookfield School District",="Brookfield High School",="Instructional Specialists Who Support Teachers",="Certified",0.3,.,0.6,0.4,1.0
,="Center Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.0,3.0,1.8
,="Huckleberry Hill Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.0,2.0,2.0,2.0,1.3
,="Whisconier Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,1.0
="Brooklyn School District",="Brooklyn Elementary School",="Instructional Specialists Who Support Teachers",="Certified",2.5,1.5,1.5,1.5,.
,"Brooklyn Middle School","Instructional Specialists Who Support Teachers","Certified",0.5,0.5,0.5,0.5,.
"Canaan School District","Lee H. Kellogg School","Instructional Specialists Who Support Teachers","Certified",0.5,0.5,0.5,0.5,0.5
="Canterbury School District",="Canterbury Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
="Canton School District",="Canton Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",1.5,2.5,2.5,2.5,2.4
,="Canton Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.4
,="Cherry Brook Primary School",="Instructional Specialists Who Support Teachers",="Certified",2.1,2.7,2.7,2.1,2.9
,="Canton High School",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,0.4
="Capitol Region Education Council",="Glastonbury/East Hartford Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.2,1.2,1.0
,="Integrated Program Models",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,.
,"International Magnet School for Global Citizenship","Instructional Specialists Who Support Teachers","Certified",1.7,2.2,3.0,4.0,4.0
,="Reggio Magnet School of the Arts",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.6,2.0,1.0
,="River Street Early Learning Center (Site 2)",="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,2.0,4.0,.
,"River Street School","Instructional Specialists Who Support Teachers","Certified",5.0,6.0,8.0,8.0,13.0
,="University of Hartford Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,3.0
,="Academy of Aerospace and Engineering",="Instructional Specialists Who Support Teachers",="Certified",.,1.0,0.4,2.0,1.0
,="Montessori Magnet School",="Instructional Specialists Who Support Teachers",="Certified",.,2.0,2.0,3.0,3.0
,="Discovery Academy",="Instructional Specialists Who Support Teachers",="Certified",.,.,1.0,2.0,1.0
,="Metropolitan Learning Center for Global and International Studies",="Instructional Specialists Who Support Teachers",="Certified",.,.,0.2,1.0,1.0
,="Museum Academy",="Instructional Specialists Who Support Teachers",="Certified",.,.,1.0,2.0,2.0
,="Academy of Aerospace and Engineering Elementary",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,1.0,2.8
,="Ana Grace Academy of the Arts Elementary School",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,0.6,1.0
,="Public Safety Academy",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,1.6,2.0
,="Two Rivers Magnet Middle School",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,1.0,1.0
,="Greater Hartford Academy of the Arts High School - Full Time",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,0.6
,="Medical Professions and Teacher Preparation Academy",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,2.0
="Chaplin School District",="Chaplin Elementary School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.0
="Charter School for Young Children on Asylum Hill District",="Charter School for Young Children on Asylum Hill Inc.",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,.,.,.
"Cheshire School District","Chapman School","Instructional Specialists Who Support Teachers","Certified",0.9,0.9,1.5,1.6,1.3
,="Cheshire High School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.1,1.6,2.3,1.4
,="Darcey School",="Instructional Specialists Who Support Teachers",="Certified",2.1,2.0,2.1,2.1,1.9
,="Dodd Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.5,2.6,2.6,2.6,3.0
,="Doolittle School",="Instructional Specialists Who Support Teachers",="Certified",2.8,1.8,2.4,2.4,2.2
,="Highland School",="Instructional Specialists Who Support Teachers",="Certified",2.9,2.8,3.1,2.8,3.2
,="Norton School",="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,0.6,1.6,1.9
="Chester School District",="Chester Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.9,0.9,0.9
="Clinton School District",="Abraham Pierson School",="Instructional Specialists Who Support Teachers",="Certified",1.6,0.6,0.6,0.6,1.8
,="Jared Eliot School",="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.8,1.8,1.5
,="Lewin G. Joel Jr. School",="Instructional Specialists Who Support Teachers",="Certified",2.4,2.4,3.0,3.0,3.8
,="The Morgan School",="Instructional Specialists Who Support Teachers",="Certified",0.2,0.2,.,.,0.5
="Colchester School District",="Bacon Academy",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.8,1.6,1.4,1.4
,="Colchester Elementary School",="Instructional Specialists Who Support Teachers",="Certified",5.6,5.6,5.6,5.6,5.6
,="Jack Jackter Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",4.0,4.0,4.0,2.0,2.0
,="William J. Johnston Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.5,3.0,3.0,2.6,3.0
="Colebrook School District",="Colebrook Consolidated School",="Instructional Specialists Who Support Teachers",="Certified",0.3,1.3,1.3,1.3,1.0
="Columbia School District",="Horace W. Porter School",="Instructional Specialists Who Support Teachers",="Certified",2.6,1.6,1.5,1.3,4.4
="Connecticut Technical High School System",="Vinal Technical High School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,.
,"Henry Abbott Technical High School","Instructional Specialists Who Support Teachers","Certified",.,.,1.0,1.0,.
"Cooperative Educational Services","C. E. S. Special Education","Instructional Specialists Who Support Teachers","Certified",11.3,11.3,10.3,8.8,1.8
,="Six-Six Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,="Developmental Learning Center (DLC)",="Instructional Specialists Who Support Teachers",="Certified",.,.,1.0,1.0,3.0
,="Therapeutic Day Program",="Instructional Specialists Who Support Teachers",="Certified",.,.,1.0,1.0,.
,"Preschool-Primary Learning Center (PLC)","Instructional Specialists Who Support Teachers","Certified",.,.,.,.,4.5
="Cornwall School District",="Cornwall Consolidated School",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
="Coventry School District",="Capt. Nathan Hale School",="Instructional Specialists Who Support Teachers",="Certified",1.8,1.7,1.5,1.5,1.5
,="Coventry Early Intervention Services",="Instructional Specialists Who Support Teachers",="Certified",1.4,1.6,0.6,0.8,1.0
,="Coventry Grammar School",="Instructional Specialists Who Support Teachers",="Certified",0.6,0.8,1.0,2.0,2.8
,="Coventry High School",="Instructional Specialists Who Support Teachers",="Certified",1.2,0.9,0.5,0.5,0.5
,="George Hersey Robertson School",="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.6,1.6
="Cromwell School District",="Cromwell High School",="Instructional Specialists Who Support Teachers",="Certified",1.5,2.0,2.0,1.5,0.5
,="Cromwell Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.9,2.4,1.4,0.9,0.9
,="Edna C. Stevens School",="Instructional Specialists Who Support Teachers",="Certified",0.3,1.3,1.8,2.8,2.3
,="Woodside Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",2.3,2.3,2.8,2.8,2.3
="Danbury School District",="Broadview Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.8,2.0,2.3,2.8,4.6
,="Danbury High School",="Instructional Specialists Who Support Teachers",="Certified",4.4,3.4,3.4,4.4,3.6
,="Ellsworth Avenue School",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.8,1.8,2.0,1.8
,="Great Plain School",="Instructional Specialists Who Support Teachers",="Certified",1.4,1.6,1.6,2.1,2.1
,="Hayestown Avenue School",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.6,2.2,3.1
,="King Street Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",2.0,1.6,1.6,1.4,0.9
,="King Street Primary School",="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,1.5,1.5,2.5
,="Mill Ridge Educational Center",="Instructional Specialists Who Support Teachers",="Certified",5.0,5.2,5.0,.,.
,"Mill Ridge Primary School","Instructional Specialists Who Support Teachers","Certified",2.0,2.0,2.0,1.0,2.0
,="Morris Street School",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.7,2.0,2.0
,="Park Avenue School",="Instructional Specialists Who Support Teachers",="Certified",1.2,1.2,1.2,1.0,1.5
,="Pembroke School",="Instructional Specialists Who Support Teachers",="Certified",2.8,3.8,3.0,3.0,3.0
,="Rogers Park Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,2.0,3.0,1.7
,="Shelter Rock School",="Instructional Specialists Who Support Teachers",="Certified",1.4,1.5,2.0,2.0,2.0
,="South Street School",="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,2.0,2.0,2.0
,="Stadley Rough School",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.6,1.6,1.0
,="Western CT Academy of International Studies Elementary Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.4,1.4,1.3,1.4,2.0
,="DPS Early Childhood Center",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,3.2,3.6
,="Other",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,3.9
,="Westside Middle School Academy",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,2.5
="Darien School District",="Darien High School",="Instructional Specialists Who Support Teachers",="Certified",3.4,3.2,4.2,3.1,3.5
,="Hindley Elementary School",="Instructional Specialists Who Support Teachers",="Certified",4.2,3.2,3.1,2.1,3.0
,="Holmes Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.2,3.3,2.2,3.2,5.0
,="Middlesex Middle School",="Instructional Specialists Who Support Teachers",="Certified",4.9,4.3,3.2,3.4,4.9
,="Ox Ridge Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.5,4.2,3.2,3.1,4.0
,="Royle Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.6,1.7,1.1,2.7,3.2
,="Tokeneke Elementary School",="Instructional Specialists Who Support Teachers",="Certified",4.8,3.6,3.7,3.1,4.0
="Deep River School District",="Deep River Elementary School",="Instructional Specialists Who Support Teachers",="Certified",2.0,1.0,1.0,1.0,1.0
="Derby School District",="Bradley School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.2,2.2,2.0
,="Derby High School",="Instructional Specialists Who Support Teachers",="Certified",.,.,0.1,0.1,0.2
,="Derby Middle School",="Instructional Specialists Who Support Teachers",="Certified",.,.,0.3,0.3,0.8
,="Irving School",="Instructional Specialists Who Support Teachers",="Certified",.,.,1.4,1.4,.
"East Granby School District","Allgrove School","Instructional Specialists Who Support Teachers","Certified",0.4,0.4,0.4,0.4,0.4
,="East Granby High School",="Instructional Specialists Who Support Teachers",="Certified",0.3,0.3,0.3,0.3,0.3
,="East Granby Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.3,0.4,0.4,0.4,0.4
,="R. Dudley Seymour School",="Instructional Specialists Who Support Teachers",="Certified",0.4,0.3,0.3,0.3,0.3
="East Haddam School District",="East Haddam Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,2.0
,="Nathan Hale-Ray High School",="Instructional Specialists Who Support Teachers",="Certified",0.2,0.2,0.4,0.4,.
,"Nathan Hale-Ray Middle School","Instructional Specialists Who Support Teachers","Certified",0.8,1.8,0.8,1.1,2.0
="East Hampton School District",="Center School",="Instructional Specialists Who Support Teachers",="Certified",0.6,.,0.3,0.6,0.5
,="East Hampton Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,0.9,1.2,1.0
,="Memorial School",="Instructional Specialists Who Support Teachers",="Certified",2.4,2.6,2.4,2.7,2.5
,="East Hampton High School",="Instructional Specialists Who Support Teachers",="Certified",.,0.4,0.4,0.7,0.4
="East Hartford School District",="Anna E. Norris School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,1.6,2.0,3.4
,="Dr. Franklin H. Mayberry School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,3.4,4.4
,="Dr. John A. Langford School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.8,0.9,2.9,3.4
,="Dr. Thomas S. O'Connell School",="Instructional Specialists Who Support Teachers",="Certified",2.8,1.5,2.0,2.0,2.5
,="East Hartford High School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,1.0,1.0,1.2
,="East Hartford Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.1,2.1,2.3,1.0,3.1
,="Governor William Pitkin School",="Instructional Specialists Who Support Teachers",="Certified",1.4,1.5,2.0,2.0,2.8
,="Hockanum School",="Instructional Specialists Who Support Teachers",="Certified",2.6,1.9,1.7,3.2,3.2
,="Joseph O. Goodwin School",="Instructional Specialists Who Support Teachers",="Certified",1.9,2.0,3.7,4.2,4.2
,="Robert J. O'Brien School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.2,2.2,5.0,6.0
,="Silver Lane School",="Instructional Specialists Who Support Teachers",="Certified",2.0,1.9,1.9,3.9,3.3
,="Sunset Ridge School Elementary Academy for Arts and World Languages",="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,1.5,2.5,1.5
,="Willowbrook Early Childhood",="Instructional Specialists Who Support Teachers",="Certified",4.0,4.4,3.0,3.0,3.0
,="Woodland School",="Instructional Specialists Who Support Teachers",="Certified",1.5,1.8,1.7,2.0,2.0
,="Stevens Alternate High School",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,0.1,.
,"Saint Christopher School","Instructional Specialists Who Support Teachers","Certified",.,.,.,.,0.2
="East Haven School District",="Carbone School/East Haven Academy",="Instructional Specialists Who Support Teachers",="Certified",0.2,0.2,0.4,0.7,.
,"D. C. Moore School","Instructional Specialists Who Support Teachers","Certified",0.7,0.8,1.1,2.2,2.7
,="Deer Run School",="Instructional Specialists Who Support Teachers",="Certified",2.5,2.6,2.6,3.6,3.4
,="Dominick H. Ferrara School",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.4,0.4,0.9,1.0
,="East Haven High School",="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.4,0.4
,="Grove J. Tuttle School",="Instructional Specialists Who Support Teachers",="Certified",0.7,0.7,1.6,2.0,2.0
,="Joseph Melillo Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.6,0.6,0.6
,="Momauguin School",="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,2.2,2.6,2.2
,="Overbrook Elementary School",="Instructional Specialists Who Support Teachers",="Certified",2.3,2.1,2.4,1.8,2.5
="East Lyme School District",="East Lyme High School",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
,="East Lyme Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.6,0.6,0.6,1.0
,="Integrated Preschool",="Instructional Specialists Who Support Teachers",="Certified",0.3,0.3,.,.,1.0
,="Lillie B. Haynes School",="Instructional Specialists Who Support Teachers",="Certified",3.0,2.0,1.0,1.0,1.0
,="Niantic Center School",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.4,0.4,0.4,.
"East Windsor School District","Broad Brook Elementary School","Instructional Specialists Who Support Teachers","Certified",3.2,3.2,4.0,3.0,3.0
,="East Windsor Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.2,1.2,2.4,3.0,2.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="EastConn Special Education",="Instructional Specialists Who Support Teachers",="Certified",2.3,2.4,3.3,3.9,3.1
="Easton School District",="Helen Keller Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.6,1.9,2.3,1.7,2.6
,="Samuel Staples Elementary School",="Instructional Specialists Who Support Teachers",="Certified",4.0,4.3,3.3,4.5,4.0
="EdAdvance",="GFLC/ACCESS School",="Instructional Specialists Who Support Teachers",="Certified",0.3,.,.,.,.
"Ellington School District","Center School","Instructional Specialists Who Support Teachers","Certified",3.5,3.7,2.1,2.7,3.1
,="Crystal Lake School",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.8,1.2,2.0
,="Ellington High School",="Instructional Specialists Who Support Teachers",="Certified",0.2,0.2,0.2,0.2,0.7
