"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,="The Big Picture High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.1,3.8,.,.,.
,"Wintonbury Early Childhood Magnet School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",10.3,8.8,5.8,5.8,6.3
,="Metacomet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,6.0,6.0,6.0,6.0
,="Global Experience Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,4.5,5.5,4.0
,="Learning Academy at Bloomfield",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,1.0,0.0
="Bolton School District",="Bolton Center School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.1,11.9,15.9,15.3,12.3
,="Bolton High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.2,9.3,15.0,13.8,9.3
="Bozrah School District",="Fields Memorial School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.2,9.2,9.4,9.2,9.2
="Branford School District",="Branford High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",34.9,34.5,35.3,35.0,36.0
,="Francis Walsh Intermediate School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",19.0,19.0,18.0,18.0,18.0
,="John B. Sliney School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.9,8.3,8.3,8.0,10.0
,="Mary R. Tisko School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.4,6.4,6.4,7.0,10.0
,="Mary T. Murphy School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,7.9,7.9,9.0,10.0
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.5,27.0,30.5,27.5,.
"Bridgeport School District","Barnum School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",16.0,16.0,16.0,14.8,20.1
,="Bassick High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",45.0,43.0,42.0,39.0,38.0
,="Beardsley School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,6.2,6.2,5.6,.
,"Black Rock School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",6.5,6.0,6.5,6.6,7.9
,="Blackham School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",16.0,15.0,18.0,17.2,19.0
,="Bryant School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.5,7.4,7.6,7.2,8.5
,="Central High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",58.5,53.5,52.0,50.0,53.0
,="Cesar Batalla School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.0,23.0,22.0,21.1,23.0
,="Classical Studies Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,7.2,7.0,10.1,12.0
,="Columbus School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,11.0,16.0,17.0,20.0
,="Cross School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,9.8,7.5,8.3,10.2
,="Curiale School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.0,11.0,12.0,14.1,17.5
,="Dunbar School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.5,10.0,10.4,12.5,14.4
,="Edison School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.5,7.0,6.6,6.7,7.1
,="Geraldine Johnson School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,11.0,13.0,12.3,16.5
,="Hall School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.5,6.2,6.5,5.6,6.9
,="Hallen School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,7.0,7.0,7.1,8.0
,="Harding High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",44.0,40.0,42.0,38.0,40.5
,="High Horizons Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.5,9.4,13.4,11.5,12.0
,="Hooker School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,8.0,7.0,7.6,9.9
,="Interdistrict Discovery Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.0,5.0,6.5,7.5,10.4
,="Jettie S. Tisdale School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.0,14.8,15.0,18.4,17.1
,="Longfellow School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.0,10.0,.,.,.
,"Luis Munoz Marin School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",14.0,15.0,14.0,16.1,16.5
,="Madison School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,8.8,10.0,8.7,11.9
,="Multicultural Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,3.6,3.6,3.5,5.5
,="Park City Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,8.6,8.6,7.6,10.2
,="Read School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,13.0,13.0,12.2,16.5
,="Roosevelt School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.0,14.0,15.0,16.7,19.1
,="Skane Center",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.5,6.0,8.4,6.0,6.0
,="Waltersville School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,12.0,10.0,11.2,11.9
,="Winthrop School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,11.0,11.0,11.9,13.0
,="Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,1.0,7.2
,="Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,9.0,17.9
,="Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,2.0,6.9
,="Pride Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,5.0,.
,"Bridgeport Military Academy","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",.,.,.,.,3.0
="Bristol School District",="Bristol Central High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",37.0,35.0,35.0,36.0,35.0
,="Bristol Eastern High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",36.0,34.0,33.0,33.0,33.0
,="Chippens Hill Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",25.0,24.0,23.0,22.0,22.0
,="Clara T. O'Connell School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.6,13.2,.,.,.
,"Edgewood School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",8.1,6.1,6.1,6.1,6.1
,="Ellen P. Hubbell School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.9,8.9,9.1,9.1,8.6
,="Greene-Hills School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.1,6.1,18.5,18.2,18.2
,="Ivy Drive School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.0,8.0,8.0,8.5,7.5
,="John J. Jennings School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.1,6.1,.,.,.
,"Memorial Boulevard Middle School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",16.1,14.1,.,.,.
,"Mountain View School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",7.6,6.6,6.6,6.6,6.1
,="Northeast Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.1,12.1,12.1,12.1,12.1
,="South Side School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.9,13.0,13.1,13.1,12.6
,="Stafford School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.1,9.1,9.1,9.3,9.2
,="West Bristol School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,25.4,25.0,26.5
,="Bristol Early Childhood Center-BECC",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,1.0
="Brookfield School District",="Brookfield High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.0,24.5,24.5,24.5,24.1
,="Center Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,8.0,7.5,7.5,6.5
,="Huckleberry Hill Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.8,12.8,12.3,12.3,11.3
,="Whisconier Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",19.8,19.8,19.8,19.8,19.8
="Brooklyn School District",="Brooklyn Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.3,.,6.5,28.0,29.0
,="Brooklyn Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.5,.,6.5,28.0,29.0
="Canaan School District",="Lee H. Kellogg School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.6,2.6,2.6,2.6,2.6
="Canterbury School District",="Canterbury Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.8,8.3,8.8,8.5,6.8
,="Dr. Helen Baldwin Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.3,8.8,9.2,7.5,7.8
="Canton School District",="Canton High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",19.0,18.5,19.0,19.3,17.0
,="Canton Intermediate School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.7,12.2,11.5,12.2,.
,"Canton Middle School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",5.8,5.5,6.3,6.0,4.8
,="Cherry Brook Primary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,11.9,11.1,10.6,10.6
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.5,5.5,7.6,8.1,10.2
,="Glastonbury/East Hartford Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.2,4.2,6.5,6.0,5.0
,="Great Path Academy at MCC",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.0,4.0,.,.,.
,"Greater Hartford Academy of the Arts High School - Full Time","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",2.5,2.5,4.3,1.8,6.5
,="International Magnet School for Global Citizenship",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.0,11.5,14.0,6.0,6.6
,="Medical Professions and Teacher Preparation Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.5,6.0,6.0,6.0,9.0
,="Metropolitan Learning Center for Global and International Studies",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.8,20.3,20.9,11.8,15.4
,="Montessori Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.0,3.0,5.0,2.4,2.4
,="Public Safety Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.7,10.7,12.9,13.4,12.0
,="Reggio Magnet School of the Arts",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.5,8.5,12.0,8.0,8.0
,="Two Rivers Magnet Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.5,18.9,18.9,10.4,11.5
,="University of Hartford Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.2,16.2,16.2,7.0,7.0
,="Academy of Aerospace & Engineering - Site 2",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,4.8,.,.,.
,"Discovery Academy","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",.,4.3,5.0,4.5,6.4
,="Museum Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,6.0,5.0,5.0,6.4
,="Ana Grace Academy of the Arts Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,4.8,3.2,5.0
,="Greater Hartford Academy of the Arts Magnet Middle",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,6.9,5.4,4.9
,="Two Rivers Magnet High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,4.0,3.9,5.9
,="Academy of Aerospace and Engineering Elementary",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,3.8,4.0
="Chaplin School District",="Chaplin Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.5,10.0,10.0,10.0,10.0
="Charter School for Young Children on Asylum Hill District",="Charter School for Young Children on Asylum Hill Inc.",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.0,.,.,.,.
"Cheshire School District","Chapman School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",11.0,11.0,11.0,11.0,11.0
,="Cheshire High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",38.5,37.5,37.5,36.5,33.5
,="Darcey School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.5,4.5,4.5,4.5,4.0
,="Dodd Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.0,15.0,15.0,15.0,15.0
,="Doolittle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.0,14.5,14.5,14.0,14.0
,="Highland School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.5,21.5,21.5,21.5,21.0
,="Norton School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.5,14.5,14.5,15.0,15.0
="Chester School District",="Chester Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,8.0,8.0,8.0,7.3
="Clinton School District",="Abraham Pierson School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.2,7.2,7.2,7.2,7.2
,="Jared Eliot School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.5,10.5,10.5,10.5,10.5
,="Lewin G. Joel Jr. School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.7,11.7,12.2,11.9,11.9
,="The Morgan School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.9,15.9,15.7,15.7,15.7
="Colchester School District",="Bacon Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.5,22.5,23.5,20.0,20.0
,="Colchester Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.0,18.1,16.3,16.3,12.2
,="Jack Jackter Intermediate School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",16.5,11.5,16.0,16.5,14.2
,="William J. Johnston Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.0,18.0,18.0,18.0,17.0
="Colebrook School District",="Colebrook Consolidated School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",3.6,3.5,3.9,3.2,3.1
="Columbia School District",="Horace W. Porter School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.0,13.0,13.0,10.5,8.9
="Common Ground High School District",="Common Ground High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,9.1,12.3,13.1,9.0
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.5,28.1,23.1,23.9,26.5
,="Bullard-Havens Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",37.2,36.9,29.9,27.2,28.2
,="E. C. Goodwin Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",27.7,25.0,17.3,17.2,18.6
,="Eli Whitney Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",20.0,23.5,23.1,23.7,25.4
,="Ella T. Grasso Southeastern Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.1,24.1,19.4,20.3,22.1
,="Emmett O'Brien Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.3,20.4,17.0,16.0,20.8
,="H. C. Wilcox Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.5,19.6,17.4,18.1,20.2
,="H. H. Ellis Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.9,24.4,20.1,20.1,22.7
,="Henry Abbott Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.2,24.5,18.4,21.7,24.7
,="Howell Cheney Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.8,22.4,21.4,19.2,24.7
,="Norwich Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",20.6,23.3,20.4,20.2,22.6
,="Oliver Wolcott Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.9,19.3,18.4,18.4,19.0
,="Platt Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.9,26.6,21.2,24.8,23.2
,="Vinal Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.6,21.7,21.9,19.7,21.2
,="W. F. Kaynor Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.3,21.4,20.4,23.3,24.0
,="Windham Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.7,19.1,17.6,17.3,18.4
,="J. M. Wright Technical High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,11.3
="Cooperative Educational Services",="Six-Six Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.0,5.0,5.0,5.0,4.5
="Cornwall School District",="Cornwall Consolidated School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.8,4.8,4.9,4.9,4.2
="Coventry School District",="Capt. Nathan Hale School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.9,9.8,9.1,8.8,8.8
,="Coventry Grammar School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.8,7.2,7.4,7.3,6.9
,="Coventry High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.1,14.1,14.1,14.7,15.1
,="George Hersey Robertson School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,7.3,7.4,7.4,7.3
="Cromwell School District",="Cromwell High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.0,21.0,18.5,18.5,18.5
,="Cromwell Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,10.0,11.5,11.8,11.8
,="Edna C. Stevens School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,15.2,15.5,14.8,14.8
,="Woodside Intermediate School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,15.7,15.5,15.8,15.8
="Danbury School District",="Alternative Center For Excellence",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",1.9,1.7,1.7,2.9,2.9
,="Broadview Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.7,18.7,18.7,19.7,20.5
,="Danbury High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",50.0,50.0,57.0,62.5,56.5
,="Ellsworth Avenue School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.0,5.0,5.0,6.0,6.9
,="Great Plain School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.4,5.5,5.5,6.5,6.0
,="Hayestown Avenue School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.7,6.7,5.9,6.9,6.9
,="King Street Intermediate School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.5,5.3,5.5,6.6,6.6
,="King Street Primary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.7,5.4,6.2,7.2,7.2
,="Mill Ridge Primary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.7,5.7,5.7,6.7,8.1
,="Morris Street School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.2,6.2,6.2,7.2,7.2
,="Park Avenue School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.4,6.0,6.0,7.5,8.0
,="Pembroke School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.1,5.1,5.1,5.1,5.1
,="Rogers Park Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",20.0,22.0,22.5,25.5,20.9
,="Shelter Rock School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.6,5.1,5.1,6.1,6.6
,="South Street School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.4,4.7,4.2,6.2,6.2
,="Stadley Rough School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,5.8,5.9,7.4,7.4
,="Western CT Academy of International Studies Elementary Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.2,5.7,5.7,6.7,6.7
,="DPS Early Childhood Center",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,3.5,3.5
,="Other",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,0.5
,="Westside Middle School Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,4.0
="Darien School District",="Darien High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.5,31.5,31.5,33.3,37.0
,="Hindley Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,2.8,2.8,3.8,3.8
,="Holmes Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,5.8,5.8,6.8,6.8
,="Middlesex Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",19.8,19.5,19.5,20.5,20.5
,="Ox Ridge Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,2.8,2.8,3.8,3.8
,="Royle Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.3,6.3,6.3,7.3,7.3
