"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Regional School District 07",="Special Education - Teachers and Instructors",="Certified",13.3,14.3,13.0,14.2,11.4
="Regional School District 08",="Special Education - Teachers and Instructors",="Certified",19.2,20.9,22.3,21.1,23.2
="Regional School District 09",="Special Education - Teachers and Instructors",="Certified",6.6,7.4,7.4,8.7,7.4
="Regional School District 10",="Special Education - Teachers and Instructors",="Certified",27.9,26.9,27.4,28.4,22.9
="Regional School District 11",="Special Education - Teachers and Instructors",="Certified",5.6,5.0,5.0,5.0,5.0
="Regional School District 12",="Special Education - Teachers and Instructors",="Certified",13.9,13.8,13.9,13.9,14.9
="Regional School District 13",="Special Education - Teachers and Instructors",="Certified",20.0,21.2,20.7,19.2,19.2
="Regional School District 14",="Special Education - Teachers and Instructors",="Certified",20.0,19.0,20.0,20.0,19.8
="Regional School District 15",="Special Education - Teachers and Instructors",="Certified",43.8,43.8,42.5,40.0,40.0
="Regional School District 16",="Special Education - Teachers and Instructors",="Certified",18.8,17.8,17.6,15.6,16.3
="Regional School District 17",="Special Education - Teachers and Instructors",="Certified",23.5,24.5,19.5,24.0,24.0
="Regional School District 18",="Special Education - Teachers and Instructors",="Certified",20.0,20.0,20.0,21.0,21.0
="Regional School District 19",="Special Education - Teachers and Instructors",="Certified",13.4,13.4,12.9,14.5,14.8
="Ridgefield School District",="Special Education - Teachers and Instructors",="Certified",40.7,40.2,40.2,41.4,44.6
="Rocky Hill School District",="Special Education - Teachers and Instructors",="Certified",22.5,22.5,22.5,22.8,23.5
="Salem School District",="Special Education - Teachers and Instructors",="Certified",4.2,5.0,4.4,5.0,5.0
="Salisbury School District",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="Scotland School District",="Special Education - Teachers and Instructors",="Certified",2.9,3.0,3.0,3.0,2.0
="Seymour School District",="Special Education - Teachers and Instructors",="Certified",21.0,20.0,18.0,18.0,19.5
="Sharon School District",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.3,3.5,3.5
="Shelton School District",="Special Education - Teachers and Instructors",="Certified",41.4,42.4,44.4,41.4,48.2
="Sherman School District",="Special Education - Teachers and Instructors",="Certified",5.8,5.9,5.4,5.4,5.9
="Simsbury School District",="Special Education - Teachers and Instructors",="Certified",36.9,37.3,37.3,37.3,40.0
="Somers School District",="Special Education - Teachers and Instructors",="Certified",17.8,17.8,17.8,17.5,16.5
="South Windsor School District",="Special Education - Teachers and Instructors",="Certified",45.1,48.5,48.5,43.5,46.5
="Southington School District",="Special Education - Teachers and Instructors",="Certified",65.1,63.9,65.3,65.8,66.8
="Sprague School District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
="Stafford School District",="Special Education - Teachers and Instructors",="Certified",19.2,20.7,20.8,22.0,20.0
="Stamford School District",="Special Education - Teachers and Instructors",="Certified",145.5,141.8,135.4,134.6,137.5
="Sterling School District",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,6.0
="Stonington School District",="Special Education - Teachers and Instructors",="Certified",36.5,33.5,36.4,35.4,31.8
="Stratford School District",="Special Education - Teachers and Instructors",="Certified",57.5,55.6,57.6,58.6,60.0
="Suffield School District",="Special Education - Teachers and Instructors",="Certified",21.5,21.0,21.5,22.0,20.5
="The Gilbert School District",="Special Education - Teachers and Instructors",="Certified",3.0,.,.,.,.
"Thomaston School District","Special Education - Teachers and Instructors","Certified",12.6,13.6,12.2,12.0,11.0
="Thompson School District",="Special Education - Teachers and Instructors",="Certified",7.0,8.8,8.1,8.4,8.2
="Tolland School District",="Special Education - Teachers and Instructors",="Certified",27.1,25.4,27.3,25.8,26.3
="Torrington School District",="Special Education - Teachers and Instructors",="Certified",42.2,45.4,49.0,49.4,48.4
="Trailblazers Academy District",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.5,2.5,1.0
="Trumbull School District",="Special Education - Teachers and Instructors",="Certified",63.6,65.5,66.4,68.1,69.3
="Unified School District #1",="Special Education - Teachers and Instructors",="Certified",31.2,27.5,27.0,26.0,25.0
="Unified School District #2",="Special Education - Teachers and Instructors",="Certified",35.8,33.8,34.8,37.8,35.0
="Union School District",="Special Education - Teachers and Instructors",="Certified",0.8,0.8,0.8,0.8,1.4
="Vernon School District",="Special Education - Teachers and Instructors",="Certified",44.8,47.8,47.1,45.1,47.5
="Voluntown School District",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,4.0
="Wallingford School District",="Special Education - Teachers and Instructors",="Certified",54.0,53.0,50.0,52.0,52.3
="Waterbury School District",="Special Education - Teachers and Instructors",="Certified",201.2,198.8,208.2,212.1,218.8
="Waterford School District",="Special Education - Teachers and Instructors",="Certified",26.0,26.8,26.8,28.8,28.8
="Watertown School District",="Special Education - Teachers and Instructors",="Certified",32.4,31.4,31.4,29.4,27.3
="West Hartford School District",="Special Education - Teachers and Instructors",="Certified",97.8,96.7,100.7,99.5,90.0
="West Haven School District",="Special Education - Teachers and Instructors",="Certified",76.0,76.0,75.0,77.0,75.0
="Westbrook School District",="Special Education - Teachers and Instructors",="Certified",11.0,10.8,12.3,12.6,13.9
="Weston School District",="Special Education - Teachers and Instructors",="Certified",25.0,25.0,25.0,24.0,23.4
="Westport School District",="Special Education - Teachers and Instructors",="Certified",56.7,52.2,52.5,52.5,46.0
="Wethersfield School District",="Special Education - Teachers and Instructors",="Certified",24.8,25.7,25.1,26.6,27.0
="Willington School District",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,5.0
="Wilton School District",="Special Education - Teachers and Instructors",="Certified",31.9,31.9,32.8,35.4,36.0
="Winchester School District",="Special Education - Teachers and Instructors",="Certified",15.0,17.0,17.0,17.0,17.0
="Windham School District",="Special Education - Teachers and Instructors",="Certified",42.4,41.8,38.1,39.7,38.6
="Windsor Locks School District",="Special Education - Teachers and Instructors",="Certified",22.0,21.0,20.0,20.0,20.0
="Windsor School District",="Special Education - Teachers and Instructors",="Certified",46.4,45.7,45.8,43.8,48.0
="Wolcott School District",="Special Education - Teachers and Instructors",="Certified",28.0,24.0,24.0,23.1,23.0
="Woodbridge School District",="Special Education - Teachers and Instructors",="Certified",9.0,8.0,8.0,8.0,8.0
="Woodstock Academy District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
="Woodstock School District",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,6.0
="Department of Mental Health and Addiction Services",="Special Education - Teachers and Instructors",="Certified",.,2.0,2.0,1.0,1.0
="Department of Social Services",="Special Education - Teachers and Instructors",="Certified",.,33.0,34.0,35.0,.
"Park City Prep Charter School District","Special Education - Teachers and Instructors","Certified",.,1.0,1.0,1.0,1.6
="Side By Side Charter School District",="Special Education - Teachers and Instructors",="Certified",.,1.2,1.2,1.0,1.0
="Stamford Academy District",="Special Education - Teachers and Instructors",="Certified",.,2.0,2.5,1.5,1.0
="Department of Rehabilitation Services",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Great Oaks Charter School District",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Path Academy District",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Shared Services",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,7.0

