"FTE Staffing Report for Trend"

"",,,"Year",,,,
"Bridgeport School District","General Education - Paraprofessional Instructional Assistants","Non-Certified",152.0,147.0,130.0,100.0,105.5
="Bristol School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,8.0,8.0,9.0,27.0
="Brookfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.7,17.7,15.7,12.7,11.7
="Brooklyn School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.8,0.0,7.0,8.0,7.0
="Canaan School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8,0.7,0.8,1.5,2.1
="Canterbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.1,4.1,3.5,4.0,4.8
="Canton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.3,29.9,26.1,27.3,16.9
="Capitol Region Education Council",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",135.7,165.4,215.9,240.6,387.1
="Chaplin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,3.5,3.1
="Charter School for Young Children on Asylum Hill District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,.,.,.,.
"Cheshire School District","General Education - Paraprofessional Instructional Assistants","Non-Certified",41.8,45.1,42.1,42.1,48.1
="Chester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.5,3.8,3.8,2.5,2.8
="Clinton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.4,10.3,13.1,13.1,13.8
="Colchester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.8,25.7,25.1,29.3,26.8
="Colebrook School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,4.0,5.3,4.3
="Columbia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,4.0,4.0,2.0
="Common Ground High School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,1.0,1.0,1.0,4.9
="Connecticut Technical High School System",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,10.0,13.4,12.4,11.3
="Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.6,21.8,21.0,28.0,36.0
="Cornwall School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.2,2.2,2.5,2.5,1.7
="Coventry School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.2,16.7,18.2,15.4,13.7
="Cromwell School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.5,24.7,27.2,12.3,10.0
="Danbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",61.5,50.2,54.6,61.5,70.4
="Darien School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",32.9,31.7,31.2,62.2,35.0
="Deep River School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.9,7.1,5.8,5.8,6.8
="Derby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.9,8.5,10.3,10.3
="East Granby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.2,12.2,9.4,3.0,3.5
="East Haddam School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,7.0,7.5,7.5,6.5
="East Hampton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",13.5,13.6,13.8,12.2,11.0
="East Hartford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",92.0,92.0,82.0,84.0,85.0
="East Haven School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.9,24.5,15.0,21.8,19.0
="East Lyme School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",40.4,12.2,6.1,8.0,8.0
="East Windsor School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.5,.,23.0,21.0,21.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",38.0,48.0,46.5,50.8,52.5
="Eastford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5,2.9,2.9,2.9,2.9
="Easton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.2,14.4,9.7,9.6,10.2
="EdAdvance",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",31.1,30.0,32.0,31.0,27.8
="Ellington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.1,8.8,11.4,10.1,9.4
="Elm City College Preparatory School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,6.0,7.0,7.0
="Enfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,12.0,21.0,34.0,28.5
="Essex School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,5.5,5.5,5.5
="Explorations District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Fairfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",67.1,51.8,48.8,48.1,43.3
="Farmington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.2,23.9,25.1,26.6,27.7
="Franklin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,.,5.0,.,4.5
="Glastonbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",59.8,61.8,64.1,53.7,61.5
="Granby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.5,25.4,23.9,16.0,14.0
="Greenwich School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",49.2,50.2,50.5,52.8,50.1
="Griswold School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,2.0,1.0,1.0,1.0
="Groton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",54.9,32.6,32.3,36.5,34.5
="Guilford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.2,3.8,3.8,2.7,2.7
="Hamden School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",50.0,49.0,48.0,50.5,50.5
="Hampton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.4,3.7,2.7,2.2,2.4
="Hartford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",85.5,85.5,74.5,97.0,120.0
="Hartland School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.3,1.0,3.4,3.4,4.9
="Hebron School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.5,7.5,9.2,8.8,9.0
="Highville Charter School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,8.0,9.0,7.0
="Integrated Day Charter School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,7.0,6.0,7.0,8.5
="Interdistrict School for Arts and Comm District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8,0.0,0.4,1.0,0.0
="Jumoke Academy District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.5,17.0,21.0,24.0,31.5
="Kent School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9,2.9,2.9,2.9,2.9
="Killingly School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",79.5,15.0,15.0,17.5,26.5
="Learn",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",53.6,52.3,55.2,66.5,75.1
="Lebanon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,6.5,6.0,2.5,5.0
="Ledyard School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.8,27.7,30.9,27.1,22.7
="Lisbon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,0.0,0.0,0.3,0.8
="Litchfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,1.0,0.0,0.0,0.0
="Madison School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",49.1,45.6,41.4,42.8,41.8
="Manchester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",55.3,52.6,58.5,81.8,81.4
="Mansfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.0,30.0,29.5,26.5,26.5
="Marlborough School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.5,8.1,6.5,4.5,3.5
="Meriden School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",33.0,38.0,53.0,47.0,52.0
="Middletown School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.2,28.6,61.6,44.7,46.7
="Milford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.0,26.0,23.0,17.5,38.0
="Monroe School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.4,31.3,25.1,27.8,29.4
="Montville School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.6,25.4,22.5,21.7,21.1
="Naugatuck School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",29.5,23.0,28.5,32.0,36.0
="New Beginnings Inc Family Academy District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.5,8.0,12.0,11.0,13.0
="New Britain School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",96.0,86.0,110.0,82.0,84.0
="New Canaan School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",41.7,35.2,33.3,32.3,30.3
="New Fairfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.0,15.0,20.0,17.0,13.0
="New Hartford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,2.7,4.3,5.1,3.5
="New Haven School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",246.0,219.0,230.0,962.0,714.3
="New London School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",27.3,20.1,16.5,14.8,16.1
="New Milford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",34.0,32.0,39.5,20.4,18.4
="Newington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.0,25.0,26.0,28.0,19.0
="Newtown School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",47.6,33.3,34.8,36.8,39.0
="Norfolk School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9,2.8,3.8,3.2,1.8
="North Branford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.0,19.0,23.0,22.0,37.0
="North Canaan School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.5,5.1,4.1,4.1,4.1
="North Haven School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.0,21.0,17.5,17.0,17.0
="North Stonington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.8,4.8,5.5,4.0
="Norwalk School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",102.8,.,.,112.3,90.3
="Norwich Free Academy District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,6.0,7.0,10.0,12.4
="Norwich School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",31.8,51.0,62.1,72.3,60.5
="Odyssey Community School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.5,7.0,8.0,8.5
="Old Saybrook School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,15.0,13.0,13.0,14.0
="Orange School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.8,12.7,12.1,12.1,10.8
="Oxford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.9,16.4,15.1,17.9,16.6
="Park City Prep Charter School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Plainfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.4,17.5,22.5,18.8,17.3
="Plainville School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.8,28.1,33.2,29.8,32.4
="Plymouth School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.1,8.1,15.4,21.1
="Pomfret School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,1.0,1.0,2.0,3.0
="Portland School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,15.5,16.5,15.5,14.5
="Preston School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Putnam School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.9,25.4,24.5,22.4,22.4
="Redding School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.3,39.0,22.2,21.5,14.0
="Regional School District 01",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6,2.6,2.6,1.8,1.7
="Regional School District 04",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,1.5,2.0,2.0
="Regional School District 05",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Regional School District 06",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.8,.,3.5,2.5,1.0
="Regional School District 07",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Regional School District 08",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,1.0,1.0,1.5
="Regional School District 09",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,4.0,4.0,4.0
="Regional School District 10",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,12.0,12.0,14.0,14.0
="Regional School District 11",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Regional School District 12",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,14.8,16.1,14.5,14.5
="Regional School District 13",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.5,14.0,13.0,13.7,11.2
="Regional School District 14",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,14.0,9.0,8.5,9.6
="Regional School District 15",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",36.9,36.7,36.8,36.8,38.4
="Regional School District 16",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,9.0,11.3,2.1,1.3
="Regional School District 17",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.3,312.3,14.9,15.1,15.2
="Regional School District 18",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.5,12.5,12.5,10.2,12.9
="Regional School District 19",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,5.0,5.0
="Ridgefield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.0,20.8,19.2,24.8,13.1
="Rocky Hill School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",20.2,21.3,22.3,26.9,32.5
="Salem School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.6,1.2,9.0,7.5,7.7
="Salisbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.8,3.0,3.0,3.8,3.0
="Scotland School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.2,3.7,3.5,3.0,3.0
="Seymour School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.7,16.2,16.8,12.8,13.0
="Sharon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Shelton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.5,48.0,55.0,46.8,44.0
="Sherman School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.2,7.2,7.3,7.1,7.0
="Side By Side Charter School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.5,.,14.5,14.5,12.5
="Simsbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",44.0,40.2,41.0,37.5,36.5
="Somers School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.2,5.9,5.7,5.7
="South Windsor School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.8,13.8,13.6,12.4,14.3
="Southington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",42.5,42.4,24.1,42.9,50.9
="Sprague School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,6.0,1.0
="Stafford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.8,28.3,30.3,27.8,26.5
="Stamford Academy District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,2.0,2.0,2.0
="Stamford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",107.0,96.0,85.0,97.0,133.0
="Sterling School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.1,6.6,19.5,7.0,4.0
="Stonington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,12.6,68.5,68.1,69.9
="Stratford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.0,8.0,27.0,13.7
="Suffield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.5,30.5,32.6,28.7,32.3
="The Bridge Academy District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,3.0,3.0,6.6,6.6
="The Gilbert School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,1.0,2.0,2.0
="Thomaston School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.5,2.5,1.9,3.0
="Thompson School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.1,6.1,7.5,11.8,9.0
="Tolland School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,17.5,17.5,15.5,9.0
="Torrington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,12.0,14.0,15.0,15.0
="Trailblazers Academy District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,1.0,2.0,1.0
="Trumbull School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.8,24.4,34.0,36.6,35.3
="Unified School District #1",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,1.5,4.5,4.5,4.0
="Unified School District #2",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Union School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,.,2.0,2.0
="Vernon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",37.3,44.0,37.7,74.4,22.9
="Voluntown School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,3.0,3.0,1.0
="Wallingford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",50.1,42.1,41.2,41.0,46.0
="Waterbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",172.3,71.6,74.9,94.9,83.2
="Waterford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,4.0,7.0
="Watertown School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.5,18.5,18.5,21.0,20.0
="West Hartford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",62.8,66.1,66.0,76.1,70.7
="West Haven School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",43.6,39.4,47.2,51.5,50.0
="Westbrook School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,10.8,11.4,11.5,6.5
="Weston School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.4,14.0,16.3,14.5,12.8
="Westport School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",52.2,48.0,51.9,51.9,61.4
="Wethersfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.0,17.4,17.2,22.2,14.5
="Willington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,3.0,1.0,1.0,1.0
="Wilton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.9,16.9,30.8,18.4,17.4
="Winchester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,11.0,3.0,5.0,5.0
="Windham School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.8,39.8,45.0,52.0,61.0
="Windsor Locks School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",27.9,27.0,29.3,30.8,29.7
="Windsor School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,9.0,3.0,3.0,15.0
="Wolcott School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.7,11.7,11.7,9.0,9.0
="Woodbridge School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,15.0,15.0,16.0,.
"Woodstock Academy District","General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,0.0,0.0
="Woodstock School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",17.0,17.0,15.0,14.0,5.0
="Brass City Charter School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,5.7,3.6
="Elm City Montessori School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,9.0
="Great Oaks Charter School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,14.0

