"FTE Staffing Report for Trend"

"",,,"Year",,,,
="East Windsor School District",="Counselors  Social Workers  and School Psychologists",="Certified",7.0,7.0,8.0,8.0,10.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Counselors  Social Workers  and School Psychologists",="Certified",6.6,7.9,9.5,12.9,14.3
="Eastford School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.5,0.5,.
"Easton School District","Counselors  Social Workers  and School Psychologists","Certified",3.5,3.5,3.7,4.8,6.5
="EdAdvance",="Counselors  Social Workers  and School Psychologists",="Certified",2.5,3.0,2.5,2.0,1.0
="Ellington School District",="Counselors  Social Workers  and School Psychologists",="Certified",11.5,12.5,13.5,13.5,14.0
="Elm City College Preparatory School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,3.0,2.0,2.0
="Enfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",28.8,28.8,30.8,29.8,29.6
="Essex School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.2,2.2,1.2,2.0,2.0
="Explorations District",="Counselors  Social Workers  and School Psychologists",="Certified",0.1,0.2,0.2,0.2,.
"Fairfield School District","Counselors  Social Workers  and School Psychologists","Certified",61.4,61.4,61.0,64.0,61.7
="Farmington School District",="Counselors  Social Workers  and School Psychologists",="Certified",19.1,19.1,19.1,19.6,21.3
="Franklin School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.6,0.6,0.6,0.6,0.6
="Glastonbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",29.0,29.0,29.0,30.0,29.0
="Granby School District",="Counselors  Social Workers  and School Psychologists",="Certified",14.0,11.0,12.5,12.5,13.0
="Greenwich School District",="Counselors  Social Workers  and School Psychologists",="Certified",62.8,61.8,62.1,64.1,65.2
="Griswold School District",="Counselors  Social Workers  and School Psychologists",="Certified",12.7,12.7,12.0,12.1,12.0
="Groton School District",="Counselors  Social Workers  and School Psychologists",="Certified",26.0,27.0,25.0,26.4,27.4
="Guilford School District",="Counselors  Social Workers  and School Psychologists",="Certified",23.2,23.2,22.2,23.2,22.4
="Hamden School District",="Counselors  Social Workers  and School Psychologists",="Certified",44.6,44.0,46.0,46.4,46.9
="Hampton School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,0.8,0.9,0.9
="Hartford School District",="Counselors  Social Workers  and School Psychologists",="Certified",99.0,94.0,104.4,111.6,118.9
="Hartland School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.4,0.5,1.0,.
"Hebron School District","Counselors  Social Workers  and School Psychologists","Certified",2.0,2.0,2.0,2.0,2.0
="Interdistrict School for Arts and Comm District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.7,2.2
="Jumoke Academy District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,.,.,.
"Kent School District","Counselors  Social Workers  and School Psychologists","Certified",1.0,1.0,1.0,1.0,1.0
="Killingly School District",="Counselors  Social Workers  and School Psychologists",="Certified",18.6,17.6,18.6,17.6,16.8
="Learn",="Counselors  Social Workers  and School Psychologists",="Certified",4.3,5.6,8.7,12.1,13.4
="Lebanon School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,6.0,6.0
="Ledyard School District",="Counselors  Social Workers  and School Psychologists",="Certified",12.8,14.8,13.0,13.8,13.8
="Lisbon School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.4,1.8,1.8,1.8,1.8
="Litchfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",7.4,7.4,7.0,7.0,6.9
="Madison School District",="Counselors  Social Workers  and School Psychologists",="Certified",17.2,17.2,18.4,16.5,19.0
="Manchester School District",="Counselors  Social Workers  and School Psychologists",="Certified",45.1,47.4,46.0,51.2,49.1
="Mansfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,5.0,6.0,6.0
="Marlborough School District",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,2.0,2.0,2.0
="Meriden School District",="Counselors  Social Workers  and School Psychologists",="Certified",37.6,41.6,39.6,42.6,41.6
="Middletown School District",="Counselors  Social Workers  and School Psychologists",="Certified",27.1,27.1,29.6,28.0,33.0
="Milford School District",="Counselors  Social Workers  and School Psychologists",="Certified",38.7,37.3,40.5,39.5,38.5
="Monroe School District",="Counselors  Social Workers  and School Psychologists",="Certified",18.5,17.9,17.9,17.2,17.6
="Montville School District",="Counselors  Social Workers  and School Psychologists",="Certified",13.3,13.3,13.3,12.3,13.4
="Naugatuck School District",="Counselors  Social Workers  and School Psychologists",="Certified",25.1,25.1,29.5,30.6,31.5
="New Beginnings Inc Family Academy District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,2.0,2.0,1.0
="New Britain School District",="Counselors  Social Workers  and School Psychologists",="Certified",60.1,57.8,56.6,57.5,56.0
="New Canaan School District",="Counselors  Social Workers  and School Psychologists",="Certified",27.6,28.4,29.1,28.7,28.1
="New Fairfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",16.1,16.1,15.1,15.6,16.8
="New Hartford School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
="New Haven School District",="Counselors  Social Workers  and School Psychologists",="Certified",109.0,113.0,113.1,117.1,117.0
="New London School District",="Counselors  Social Workers  and School Psychologists",="Certified",18.2,19.6,16.4,16.4,19.0
="New Milford School District",="Counselors  Social Workers  and School Psychologists",="Certified",22.5,22.5,22.5,22.5,21.5
="Newington School District",="Counselors  Social Workers  and School Psychologists",="Certified",23.2,23.4,23.4,24.4,25.0
="Newtown School District",="Counselors  Social Workers  and School Psychologists",="Certified",23.0,22.7,24.7,36.2,33.7
="Norfolk School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.6,0.6,0.6,0.7,.
"North Branford School District","Counselors  Social Workers  and School Psychologists","Certified",12.7,12.7,12.1,12.1,12.7
="North Canaan School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,.
"North Haven School District","Counselors  Social Workers  and School Psychologists","Certified",20.6,21.6,18.6,18.6,20.2
="North Stonington School District",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,5.0
="Norwalk School District",="Counselors  Social Workers  and School Psychologists",="Certified",59.3,60.8,59.8,55.8,56.8
="Norwich Free Academy District",="Counselors  Social Workers  and School Psychologists",="Certified",16.0,15.0,17.0,18.0,19.6
="Norwich School District",="Counselors  Social Workers  and School Psychologists",="Certified",21.6,19.6,20.6,21.0,19.0
="Old Saybrook School District",="Counselors  Social Workers  and School Psychologists",="Certified",7.0,8.7,9.7,8.7,9.7
="Orange School District",="Counselors  Social Workers  and School Psychologists",="Certified",4.8,4.8,4.5,4.5,4.5
="Oxford School District",="Counselors  Social Workers  and School Psychologists",="Certified",7.5,8.3,7.8,9.8,7.8
="Park City Prep Charter School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.9,1.3,1.3,2.1
="Plainfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",21.0,20.0,16.5,16.5,16.5
="Plainville School District",="Counselors  Social Workers  and School Psychologists",="Certified",14.0,15.0,14.2,14.2,15.4
="Plymouth School District",="Counselors  Social Workers  and School Psychologists",="Certified",8.0,8.0,8.0,8.0,10.0
="Pomfret School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.5,1.0,2.0
="Portland School District",="Counselors  Social Workers  and School Psychologists",="Certified",7.0,7.0,7.0,7.0,7.0
="Preston School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.6,1.6,1.8
="Putnam School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,9.0,9.0,10.0,10.0
="Redding School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.4,6.8,6.2,6.4,6.4
="Regional School District 01",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,5.0,5.0,5.0,4.8
="Regional School District 04",="Counselors  Social Workers  and School Psychologists",="Certified",6.6,6.8,7.8,8.0,8.0
="Regional School District 05",="Counselors  Social Workers  and School Psychologists",="Certified",19.3,19.0,18.0,17.0,18.0
="Regional School District 06",="Counselors  Social Workers  and School Psychologists",="Certified",6.5,6.9,5.9,5.7,6.0
="Regional School District 07",="Counselors  Social Workers  and School Psychologists",="Certified",7.8,8.8,8.0,9.1,4.8
="Regional School District 08",="Counselors  Social Workers  and School Psychologists",="Certified",12.4,12.4,12.4,12.4,11.6
="Regional School District 09",="Counselors  Social Workers  and School Psychologists",="Certified",8.3,8.5,6.5,8.5,8.5
="Regional School District 10",="Counselors  Social Workers  and School Psychologists",="Certified",15.0,15.0,15.0,15.0,12.5
="Regional School District 11",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,4.0
="Regional School District 12",="Counselors  Social Workers  and School Psychologists",="Certified",6.5,6.5,7.5,6.3,6.3
="Regional School District 13",="Counselors  Social Workers  and School Psychologists",="Certified",11.1,11.7,12.9,12.0,12.0
="Regional School District 14",="Counselors  Social Workers  and School Psychologists",="Certified",13.0,13.0,11.0,8.8,14.0
="Regional School District 15",="Counselors  Social Workers  and School Psychologists",="Certified",21.2,21.2,21.2,21.2,22.0
="Regional School District 16",="Counselors  Social Workers  and School Psychologists",="Certified",17.6,18.1,16.1,16.2,16.2
="Regional School District 17",="Counselors  Social Workers  and School Psychologists",="Certified",14.1,13.1,12.5,13.3,14.0
="Regional School District 18",="Counselors  Social Workers  and School Psychologists",="Certified",8.8,8.8,8.8,8.6,8.6
="Regional School District 19",="Counselors  Social Workers  and School Psychologists",="Certified",9.8,9.8,9.8,9.8,9.8
="Ridgefield School District",="Counselors  Social Workers  and School Psychologists",="Certified",26.6,26.6,26.6,26.6,29.6
="Rocky Hill School District",="Counselors  Social Workers  and School Psychologists",="Certified",12.5,12.5,12.0,12.5,11.9
="Salem School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.7,2.7,2.3,2.2,2.0
="Salisbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
="Scotland School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,0.9,0.9,1.0,1.0
="Seymour School District",="Counselors  Social Workers  and School Psychologists",="Certified",14.0,14.6,13.0,14.5,15.0
="Sharon School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,2.0,2.0
="Shelton School District",="Counselors  Social Workers  and School Psychologists",="Certified",21.1,21.6,22.6,22.6,23.6
="Sherman School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.6,1.6,1.6
="Side By Side Charter School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
="Simsbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",23.1,24.1,25.7,24.3,24.3
="Somers School District",="Counselors  Social Workers  and School Psychologists",="Certified",7.5,7.5,7.5,7.0,9.0
="South Windsor School District",="Counselors  Social Workers  and School Psychologists",="Certified",20.8,21.6,23.6,23.6,22.6
="Southington School District",="Counselors  Social Workers  and School Psychologists",="Certified",34.8,34.3,34.9,35.9,40.9
="Sprague School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
="Stafford School District",="Counselors  Social Workers  and School Psychologists",="Certified",11.5,12.0,12.0,10.6,12.0
="Stamford School District",="Counselors  Social Workers  and School Psychologists",="Certified",95.0,91.4,91.2,97.2,100.6
="Sterling School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,1.0
="Stonington School District",="Counselors  Social Workers  and School Psychologists",="Certified",14.4,14.4,15.2,14.2,16.6
="Stratford School District",="Counselors  Social Workers  and School Psychologists",="Certified",39.0,37.7,38.0,37.0,41.3
="Suffield School District",="Counselors  Social Workers  and School Psychologists",="Certified",11.0,11.0,11.0,11.0,11.0
="The Bridge Academy District",="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.9,1.8,1.8,1.8
="The Gilbert School District",="Counselors  Social Workers  and School Psychologists",="Certified",3.5,4.0,4.0,3.0,3.8
="Thomaston School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,4.0,7.0
="Thompson School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,7.0,6.0,6.0
="Tolland School District",="Counselors  Social Workers  and School Psychologists",="Certified",11.0,12.0,12.0,12.0,11.0
="Torrington School District",="Counselors  Social Workers  and School Psychologists",="Certified",22.0,23.0,22.0,23.0,26.0
="Trumbull School District",="Counselors  Social Workers  and School Psychologists",="Certified",44.9,44.4,44.4,46.7,47.7
="Unified School District #1",="Counselors  Social Workers  and School Psychologists",="Certified",18.4,18.0,18.0,17.1,18.0
="Unified School District #2",="Counselors  Social Workers  and School Psychologists",="Certified",19.0,19.0,20.0,20.0,17.0
="Vernon School District",="Counselors  Social Workers  and School Psychologists",="Certified",21.8,23.0,26.6,26.0,24.6
="Voluntown School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.6,1.6,1.6
="Wallingford School District",="Counselors  Social Workers  and School Psychologists",="Certified",43.1,43.9,42.2,42.2,44.2
="Waterbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",88.6,89.1,89.7,90.9,104.6
="Waterford School District",="Counselors  Social Workers  and School Psychologists",="Certified",14.9,13.8,14.8,15.8,17.4
="Watertown School District",="Counselors  Social Workers  and School Psychologists",="Certified",15.0,14.8,14.8,15.8,14.8
="West Hartford School District",="Counselors  Social Workers  and School Psychologists",="Certified",58.5,59.7,59.6,58.7,60.5
="West Haven School District",="Counselors  Social Workers  and School Psychologists",="Certified",36.3,35.8,36.3,36.5,34.5
="Westbrook School District",="Counselors  Social Workers  and School Psychologists",="Certified",4.8,4.8,4.8,6.8,6.8
="Weston School District",="Counselors  Social Workers  and School Psychologists",="Certified",17.0,17.0,17.0,17.0,17.0
="Westport School District",="Counselors  Social Workers  and School Psychologists",="Certified",37.8,36.8,35.8,37.8,34.6
="Wethersfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",19.3,18.6,18.0,18.6,21.0
="Willington School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
="Wilton School District",="Counselors  Social Workers  and School Psychologists",="Certified",25.3,25.1,26.0,27.4,27.8
="Winchester School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,5.0,5.0,5.0,4.5
="Windham School District",="Counselors  Social Workers  and School Psychologists",="Certified",22.5,22.1,15.8,17.0,18.4
="Windsor Locks School District",="Counselors  Social Workers  and School Psychologists",="Certified",12.0,13.0,13.0,13.0,15.0
="Windsor School District",="Counselors  Social Workers  and School Psychologists",="Certified",29.3,27.5,25.3,25.3,27.3
="Wolcott School District",="Counselors  Social Workers  and School Psychologists",="Certified",12.9,14.0,13.8,12.0,15.8
="Woodbridge School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.5,2.5,2.5,2.5,2.5
="Woodstock Academy District",="Counselors  Social Workers  and School Psychologists",="Certified",7.6,7.6,8.2,8.0,8.4
="Woodstock School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.4,2.4,3.4,3.4,3.4
="Integrated Day Charter School District",="Counselors  Social Workers  and School Psychologists",="Certified",.,1.0,1.0,1.0,1.0
="Shared Services",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,6.5

