"FTE Staffing Report for Trend"

"",,,"Year",,,,
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",52.0,55.2,50.9,50.3,46.6
,="School Nurses",="Non-Certified",5.0,5.0,4.6,6.0,5.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9,2.9,4.2,5.9,8.2
,="Special Education - Teachers and Instructors",="Certified",89.0,85.5,87.5,87.0,87.5
,="Instructional Specialists Who Support Teachers",="Certified",12.3,12.3,13.0,13.5,15.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",10.0,10.0,8.0,8.0,9.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5,2.5,2.5,3.0,1.6
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,6.5,9.0,6.5,7.0
,="General Education - Teachers and Instructors",="Certified",39.5,39.5,38.6,38.0,39.0
,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.5,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.3,24.9,21.8,24.0,26.7
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,12.5,11.0,11.0,11.5
,="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,4.0,4.0
,="Instructional Specialists Who Support Teachers",="Certified",1.1,1.1,1.0,1.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,.,.,1.0
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.7,12.2,12.2,12.0,12.0
,="Counselors  Social Workers  and School Psychologists",="Certified",17.2,18.6,19.7,19.5,17.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,15.9,11.4,14.6,24.7
,="General Education - Teachers and Instructors",="Certified",204.3,206.8,207.5,212.5,210.3
,="Library/Media - Support Staff",="Non-Certified",1.2,1.2,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",134.1,137.7,136.3,118.3,116.2
,="School Nurses",="Non-Certified",5.0,5.2,5.2,6.2,6.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",81.6,83.6,79.2,71.5,65.0
,="Special Education - Teachers and Instructors",="Certified",29.0,30.3,30.6,28.8,31.6
,="Instructional Specialists Who Support Teachers",="Certified",12.9,12.0,13.2,12.5,9.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.5,3.4,5.0,5.0,5.1
,="Library/Media - Specialists (Certified)",="Certified",5.0,5.1,5.0,5.0,5.0
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.1,1.2,1.1,1.4,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",3.6,3.8,2.8,2.8,2.8
,="General Education - Teachers and Instructors",="Certified",21.2,20.7,20.5,20.5,21.7
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.6,13.3,13.3,13.6,13.8
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2,8.7,8.6,7.6,9.1
,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,1.0
,="Instructional Specialists Who Support Teachers",="Certified",0.9,0.9,0.9,1.5,0.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.4,0.4,0.4,0.4
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Berlin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.4,10.6,12.4,14.0,14.8
,="Counselors  Social Workers  and School Psychologists",="Certified",16.8,16.9,16.9,16.8,17.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.7,15.1,20.4,18.6,21.8
,="General Education - Teachers and Instructors",="Certified",199.6,201.1,204.9,208.5,210.4
,="Library/Media - Support Staff",="Non-Certified",4.9,3.9,4.9,4.9,4.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",119.5,131.4,124.5,106.8,106.6
,="School Nurses",="Non-Certified",5.4,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",45.9,44.7,44.6,43.4,49.6
,="Special Education - Teachers and Instructors",="Certified",34.3,36.1,34.1,35.1,34.3
,="Instructional Specialists Who Support Teachers",="Certified",12.1,12.1,10.8,10.1,10.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,6.0,7.0,7.0,7.0
,="Library/Media - Specialists (Certified)",="Certified",4.8,4.0,4.8,4.6,4.6
="Bethany School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.8,2.0,2.4,2.4,2.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,1.8,1.8,2.1,1.5
,="General Education - Teachers and Instructors",="Certified",37.9,36.9,36.9,36.0,33.6
,="Library/Media - Support Staff",="Non-Certified",0.4,0.4,0.4,0.4,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.5,21.7,21.7,20.9,17.9
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,15.2,15.2,15.3,11.7
,="Special Education - Teachers and Instructors",="Certified",7.0,5.0,7.0,6.0,6.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,2.8,2.8,1.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0,1.0,1.0,1.0,1.0
,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
="Bethel School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.7,11.0,10.8,10.6,9.8
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0,17.0,15.9,18.9,16.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0,16.0,16.0,15.0,16.0
,="General Education - Teachers and Instructors",="Certified",189.8,189.2,191.6,191.2,185.5
,="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",130.0,122.0,121.4,118.4,118.4
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",32.0,37.0,37.0,39.0,39.0
,="Special Education - Teachers and Instructors",="Certified",30.8,32.8,32.8,33.8,33.8
,="Instructional Specialists Who Support Teachers",="Certified",6.6,8.9,7.9,8.9,8.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.3,4.5,4.5,4.5,4.5
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Bloomfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.7,11.7,11.0,9.0,9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",21.8,18.8,19.0,21.0,21.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",38.0,41.5,33.0,37.0,42.0
,="General Education - Teachers and Instructors",="Certified",177.0,178.1,183.2,181.4,171.5
,="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",159.1,158.1,137.3,145.0,143.8
,="School Nurses",="Non-Certified",5.5,5.5,5.5,7.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",29.0,26.0,28.0,30.0,30.0
,="Special Education - Teachers and Instructors",="Certified",25.0,24.0,21.0,22.0,22.0
,="Instructional Specialists Who Support Teachers",="Certified",9.7,11.7,13.5,16.6,15.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.5,6.6,7.0,6.0,6.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Bolton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,3.0,3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",5.9,6.3,4.8,6.5,6.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.2,5.6,3.2,8.8,8.5
,="General Education - Teachers and Instructors",="Certified",63.5,64.1,61.3,59.0,61.8
,="Library/Media - Support Staff",="Non-Certified",2.6,2.0,3.0,2.2,2.2
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",39.6,39.8,50.5,47.7,40.4
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",19.0,22.5,21.5,17.4,21.0
,="Special Education - Teachers and Instructors",="Certified",7.1,7.1,7.9,7.8,10.0
,="Instructional Specialists Who Support Teachers",="Certified",4.0,3.5,4.0,4.0,3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,2.0,3.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Bozrah School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.2
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.8,0.8,0.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="General Education - Teachers and Instructors",="Certified",18.0,17.5,18.5,19.0,19.0
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.2,9.2,9.4,9.2,9.2
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,8.0,10.0,8.5
,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5,0.5,0.7,0.7,0.4
="Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.1,13.2,13.6,13.6,14.1
,="Counselors  Social Workers  and School Psychologists",="Certified",17.5,17.5,17.5,17.0,15.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,24.7,26.1,118.0,141.5
,="General Education - Teachers and Instructors",="Certified",236.3,227.1,244.8,236.5,223.1
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,3.5,5.0,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",146.6,147.6,136.5,138.0,142.0
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",65.4,68.7,70.1,82.0,87.5
,="Special Education - Teachers and Instructors",="Certified",32.5,33.5,34.2,33.0,28.7
,="Instructional Specialists Who Support Teachers",="Certified",7.9,7.5,8.4,8.5,6.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,4.0,6.0,6.0
,="Library/Media - Specialists (Certified)",="Certified",6.5,6.0,6.6,6.0,5.0
="Bridgeport Achievement First District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0,9.0,9.0,10.0,10.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5,1.5,1.5,1.5,1.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,7.5,6.5,7.0,.
,"General Education - Teachers and Instructors","Certified",29.9,40.0,48.0,52.5,50.5
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,.
,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",21.5,27.0,30.5,27.5,.
,"School Nurses","Non-Certified",0.5,0.5,0.5,1.0,.
,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,1.5,1.5,2.0,.
,"Special Education - Teachers and Instructors","Certified",1.7,1.0,2.5,4.5,8.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,.,.,1.0
="Bridgeport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",64.0,70.0,73.0,75.4,70.0
,="Counselors  Social Workers  and School Psychologists",="Certified",126.2,115.6,107.8,112.4,117.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",152.0,147.0,130.0,100.0,105.5
,="General Education - Teachers and Instructors",="Certified",1133.3,1098.7,1076.9,1107.3,1124.6
,="Library/Media - Support Staff",="Non-Certified",12.0,10.0,9.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",863.5,839.5,849.8,865.1,928.1
,="School Nurses",="Non-Certified",25.0,24.4,24.8,28.7,30.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",227.0,223.0,214.0,255.0,250.0
,="Special Education - Teachers and Instructors",="Certified",226.5,225.0,209.0,217.0,202.9
,="Instructional Specialists Who Support Teachers",="Certified",96.3,87.3,83.8,72.5,72.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",28.0,22.0,15.0,15.6,23.0
,="Library/Media - Specialists (Certified)",="Certified",24.4,21.0,18.0,15.0,17.0
="Bristol School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",29.6,28.2,26.2,27.8,27.8
,="Counselors  Social Workers  and School Psychologists",="Certified",36.2,35.2,36.1,35.2,35.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,8.0,8.0,9.0,27.0
,="General Education - Teachers and Instructors",="Certified",503.9,495.1,464.1,456.4,476.0
,="Library/Media - Support Staff",="Non-Certified",13.0,13.0,11.5,11.5,11.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",370.5,378.7,394.9,393.9,377.7
,="School Nurses",="Non-Certified",15.0,15.0,15.0,15.0,16.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",106.0,105.0,104.0,102.0,115.0
,="Special Education - Teachers and Instructors",="Certified",79.7,79.7,78.7,78.7,84.2
,="Instructional Specialists Who Support Teachers",="Certified",35.3,34.5,35.0,34.1,29.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",16.4,15.4,14.4,17.4,15.5
,="Library/Media - Specialists (Certified)",="Certified",5.0,5.0,6.8,6.8,4.8
="Brookfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.2,13.0,13.6,11.8,14.0
,="Counselors  Social Workers  and School Psychologists",="Certified",14.3,14.3,15.0,16.0,16.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.7,17.7,15.7,12.7,11.7
,="General Education - Teachers and Instructors",="Certified",177.6,181.0,179.2,179.2,180.1
,="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.5,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",121.1,119.1,118.1,118.1,115.7
,="School Nurses",="Non-Certified",7.0,7.0,7.0,7.0,7.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",47.0,43.0,44.0,45.0,47.0
,="Special Education - Teachers and Instructors",="Certified",18.8,20.4,20.8,22.6,21.9
,="Instructional Specialists Who Support Teachers",="Certified",6.3,7.0,7.6,7.4,5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.6,4.0,4.0,4.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,5.0,6.0,5.0,5.0
="Brooklyn School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.1,4.1,3.1,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.5,2.5,2.0,2.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.8,0.0,7.0,8.0,7.0
,="General Education - Teachers and Instructors",="Certified",57.4,59.3,58.5,59.5,57.7
,="Library/Media - Support Staff",="Non-Certified",0.8,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",39.8,22.0,13.0,59.0,61.0
,="School Nurses",="Non-Certified",2.0,0.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,1.0,26.0,23.0,30.0
,="Special Education - Teachers and Instructors",="Certified",6.0,8.0,8.0,7.0,7.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0,2.0,2.0,2.0,2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,1.0,1.0,1.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",1.4,1.0,1.4,1.4,2.0
="Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.6,0.6,0.6,0.5,0.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8,0.7,0.8,1.5,2.1
,="General Education - Teachers and Instructors",="Certified",11.1,11.9,11.8,10.9,10.5
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.8
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.6,2.6,2.6,2.6,2.6
,="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,1.5,1.5,1.5
,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5,0.5,0.5,0.5,0.5
,="Library/Media - Specialists (Certified)",="Certified",0.8,0.7,0.7,0.6,.
"Canterbury School District","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0,2.0,2.0,2.0,3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.1,4.1,3.5,4.0,4.8
,="General Education - Teachers and Instructors",="Certified",38.8,38.4,39.0,37.1,37.6
,="Library/Media - Support Staff",="Non-Certified",1.6,0.6,1.6,1.6,1.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",35.2,35.5,34.2,35.1,14.5
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.5,13.4,16.5,14.6,13.1
,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,1.0,2.0,2.2
="Canton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.3,5.6,6.6,8.0,8.2
,="Counselors  Social Workers  and School Psychologists",="Certified",9.9,9.9,8.7,9.7,9.1
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.3,29.9,26.1,27.3,16.9
,="General Education - Teachers and Instructors",="Certified",104.6,102.5,102.9,99.9,97.3
,="Library/Media - Support Staff",="Non-Certified",4.8,4.8,4.8,4.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",84.8,86.2,85.0,96.3,84.2
,="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",42.4,42.9,38.7,40.8,27.3
,="Special Education - Teachers and Instructors",="Certified",15.4,16.6,15.6,15.6,16.0
,="Instructional Specialists Who Support Teachers",="Certified",4.6,6.2,6.2,5.6,6.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,6.0,5.0,4.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",2.5,2.0,2.0,2.0,2.0
="Capitol Region Education Council",="Administrators  Coordinators and Department Chairs - School Level",="Certified",31.8,36.0,44.5,53.5,57.2
,="Counselors  Social Workers  and School Psychologists",="Certified",41.6,44.3,49.6,58.3,64.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",135.7,165.4,215.9,240.6,387.1
,="General Education - Teachers and Instructors",="Certified",323.5,379.7,465.4,522.8,578.8
,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,1.0,0.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",345.1,570.0,625.9,803.4,736.7
,="School Nurses",="Non-Certified",12.2,14.7,14.7,16.5,18.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",30.8,30.0,47.5,44.2,112.8
,="Special Education - Teachers and Instructors",="Certified",115.8,117.3,140.5,146.6,146.6
,="Instructional Specialists Who Support Teachers",="Certified",30.7,34.2,38.1,50.9,56.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",12.3,12.0,16.5,16.5,25.8
,="Library/Media - Specialists (Certified)",="Certified",4.8,4.8,6.0,7.0,8.0
="Chaplin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.3
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,3.5,3.1
,="General Education - Teachers and Instructors",="Certified",15.9,16.4,15.4,15.4,17.1
,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.5,10.0,10.0,10.0,10.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,1.5,2.0,2.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.2,0.2,0.2,0.2,.
"Charter School for Young Children on Asylum Hill District","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,.,.,.,.
,"Counselors  Social Workers  and School Psychologists","Certified",0.6,0.6,.,.,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",11.0,.,.,.,.
,"General Education - Teachers and Instructors","Certified",12.9,12.9,.,.,.
,"Library/Media - Support Staff","Non-Certified",0.0,.,.,.,.
,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",5.0,.,.,.,.
,"School Nurses","Non-Certified",1.0,.,.,.,.
,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",2.0,.,.,.,.
,"Special Education - Teachers and Instructors","Certified",1.0,1.0,.,.,.
,"Instructional Specialists Who Support Teachers","Certified",1.0,1.0,.,.,.
