"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Ashford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,6.5,9.0,6.5,7.0
,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.5,1.0,1.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,12.5,11.0,11.0,11.5
="Avon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,15.9,11.4,14.6,24.7
,="Library/Media - Support Staff",="Non-Certified",1.2,1.2,1.0,1.0,1.0
,="School Nurses",="Non-Certified",5.0,5.2,5.2,6.2,6.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",81.6,83.6,79.2,71.5,65.0
="Barkhamsted School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.6,3.8,2.8,2.8,2.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2,8.7,8.6,7.6,9.1
="Berlin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.7,15.1,20.4,18.6,21.8
,="Library/Media - Support Staff",="Non-Certified",4.9,3.9,4.9,4.9,4.9
,="School Nurses",="Non-Certified",5.4,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",45.9,44.7,44.6,43.4,49.6
="Bethany School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,1.8,1.8,2.1,1.5
,="Library/Media - Support Staff",="Non-Certified",0.4,0.4,0.4,0.4,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,15.2,15.2,15.3,11.7
="Bethel School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0,16.0,16.0,15.0,16.0
,="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",32.0,37.0,37.0,39.0,39.0
="Bloomfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",38.0,41.5,33.0,37.0,42.0
,="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="School Nurses",="Non-Certified",5.5,5.5,5.5,7.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",29.0,26.0,28.0,30.0,30.0
="Bolton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.2,5.6,3.2,8.8,8.5
,="Library/Media - Support Staff",="Non-Certified",2.6,2.0,3.0,2.2,2.2
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",19.0,22.5,21.5,17.4,21.0
="Bozrah School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,8.0,10.0,8.5
="Branford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,24.7,26.1,118.0,141.5
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,3.5,5.0,5.0
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",65.4,68.7,70.1,82.0,87.5
="Bridgeport Achievement First District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,7.5,6.5,7.0,.
,"Library/Media - Support Staff","Non-Certified",0.0,0.0,0.0,0.0,.
,"School Nurses","Non-Certified",0.5,0.5,0.5,1.0,.
,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,1.5,1.5,2.0,.
"Bridgeport School District","General Education - Paraprofessional Instructional Assistants","Non-Certified",152.0,147.0,130.0,100.0,105.5
,="Library/Media - Support Staff",="Non-Certified",12.0,10.0,9.0,0.0,0.0
,="School Nurses",="Non-Certified",25.0,24.4,24.8,28.7,30.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",227.0,223.0,214.0,255.0,250.0
="Bristol School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,8.0,8.0,9.0,27.0
,="Library/Media - Support Staff",="Non-Certified",13.0,13.0,11.5,11.5,11.5
,="School Nurses",="Non-Certified",15.0,15.0,15.0,15.0,16.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",106.0,105.0,104.0,102.0,115.0
="Brookfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.7,17.7,15.7,12.7,11.7
,="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.5,3.0
,="School Nurses",="Non-Certified",7.0,7.0,7.0,7.0,7.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",47.0,43.0,44.0,45.0,47.0
="Brooklyn School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.8,0.0,7.0,8.0,7.0
,="Library/Media - Support Staff",="Non-Certified",0.8,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",2.0,0.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,1.0,26.0,23.0,30.0
="Canaan School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8,0.7,0.8,1.5,2.1
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.8
,="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,1.5,1.5,1.5
="Canterbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.1,4.1,3.5,4.0,4.8
,="Library/Media - Support Staff",="Non-Certified",1.6,0.6,1.6,1.6,1.6
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.5,13.4,16.5,14.6,13.1
="Canton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.3,29.9,26.1,27.3,16.9
,="Library/Media - Support Staff",="Non-Certified",4.8,4.8,4.8,4.0,3.0
,="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",42.4,42.9,38.7,40.8,27.3
="Capitol Region Education Council",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",135.7,165.4,215.9,240.6,387.1
,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,1.0,0.0,1.0
,="School Nurses",="Non-Certified",12.2,14.7,14.7,16.5,18.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",30.8,30.0,47.5,44.2,112.8
="Chaplin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,3.5,3.1
,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Charter School for Young Children on Asylum Hill District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,.,.,.,.
,"Library/Media - Support Staff","Non-Certified",0.0,.,.,.,.
,"School Nurses","Non-Certified",1.0,.,.,.,.
,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",2.0,.,.,.,.
"Cheshire School District","General Education - Paraprofessional Instructional Assistants","Non-Certified",41.8,45.1,42.1,42.1,48.1
,="Library/Media - Support Staff",="Non-Certified",10.7,11.0,11.0,11.0,11.7
,="School Nurses",="Non-Certified",7.4,7.4,7.5,8.1,8.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",89.2,82.5,84.2,95.1,96.7
="Chester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.5,3.8,3.8,2.5,2.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.0,6.5,7.0,5.8
="Clinton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.4,10.3,13.1,13.1,13.8
,="Library/Media - Support Staff",="Non-Certified",1.4,1.4,1.7,1.7,2.4
,="School Nurses",="Non-Certified",3.7,3.7,3.7,3.7,3.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",43.0,46.8,46.1,45.1,41.1
="Colchester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.8,25.7,25.1,29.3,26.8
,="Library/Media - Support Staff",="Non-Certified",4.5,4.5,4.5,4.5,4.5
,="School Nurses",="Non-Certified",5.5,5.5,5.5,5.5,4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",47.0,54.5,51.0,53.5,55.5
="Colebrook School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,4.0,5.3,4.3
,="Library/Media - Support Staff",="Non-Certified",0.6,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6,3.0,3.0,3.0,3.0
="Columbia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,4.0,4.0,2.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.0
,="School Nurses",="Non-Certified",1.5,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,10.0,9.0,9.0,12.0
="Common Ground High School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,1.0,1.0,1.0,4.9
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",0.2,0.2,0.3,0.3,0.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Connecticut Technical High School System",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,10.0,13.4,12.4,11.3
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",22.1,17.0,17.0,18.0,21.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",27.2,0.0,0.0,0.0,0.0
="Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.6,21.8,21.0,28.0,36.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,1.0,1.0
="Cornwall School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.2,2.2,2.5,2.5,1.7
,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.9,0.9
,="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.3,2.3,2.3,2.3
="Coventry School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.2,16.7,18.2,15.4,13.7
,="Library/Media - Support Staff",="Non-Certified",1.7,2.9,2.5,1.0,1.9
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",28.0,28.5,27.0,28.0,28.0
="Cromwell School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.5,24.7,27.2,12.3,10.0
,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",28.5,23.0,15.8,33.0,34.5
="Danbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",61.5,50.2,54.6,61.5,70.4
,="Library/Media - Support Staff",="Non-Certified",9.6,9.6,9.6,9.1,8.9
,="School Nurses",="Non-Certified",20.6,19.6,19.6,21.4,22.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",196.2,177.8,180.8,211.8,234.0
="Darien School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",32.9,31.7,31.2,62.2,35.0
,="Library/Media - Support Staff",="Non-Certified",8.0,7.2,4.5,4.5,4.5
,="School Nurses",="Non-Certified",12.0,12.0,12.0,12.0,12.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",56.3,50.0,39.0,58.0,90.0
="Deep River School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.9,7.1,5.8,5.8,6.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,9.5,12.1,12.1,11.0
="Derby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.9,8.5,10.3,10.3
,="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.6,2.3
,="School Nurses",="Non-Certified",4.0,4.3,4.3,4.3,4.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",33.0,36.0,37.0,48.0,48.0
="East Granby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.2,12.2,9.4,3.0,3.5
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,1.1,0.9
,="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",31.2,31.4,29.5,29.7,34.5
="East Haddam School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,7.0,7.5,7.5,6.5
,="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.0,2.0,2.0
,="School Nurses",="Non-Certified",3.5,3.5,3.5,3.5,3.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.5,17.5,16.5,17.5,17.5
="East Hampton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",13.5,13.6,13.8,12.2,11.0
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="School Nurses",="Non-Certified",5.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",48.4,52.3,51.2,49.2,48.4
="East Hartford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",92.0,92.0,82.0,84.0,85.0
,="Library/Media - Support Staff",="Non-Certified",12.0,12.0,12.0,11.0,11.0
,="School Nurses",="Non-Certified",17.2,18.2,18.2,19.2,19.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",92.0,88.0,85.0,85.0,87.0
="East Haven School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.9,24.5,15.0,21.8,19.0
,="Library/Media - Support Staff",="Non-Certified",5.0,4.5,3.5,4.0,4.5
,="School Nurses",="Non-Certified",9.0,9.0,9.0,9.0,9.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",52.8,22.5,30.5,35.0,78.8
="East Lyme School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",40.4,12.2,6.1,8.0,8.0
,="Library/Media - Support Staff",="Non-Certified",3.8,3.8,3.4,4.2,4.2
,="School Nurses",="Non-Certified",6.0,5.0,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",94.9,95.0,95.0,103.9,104.9
="East Windsor School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.5,.,23.0,21.0,21.0
,="Library/Media - Support Staff",="Non-Certified",2.0,.,2.0,2.0,2.0
,="School Nurses",="Non-Certified",4.9,.,5.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",24.5,.,32.0,35.0,37.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",38.0,48.0,46.5,50.8,52.5
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",0.4,0.5,0.5,0.5,0.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,1.0,5.0
="Eastford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5,2.9,2.9,2.9,2.9
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.5
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.7,3.8,6.0,5.1
="Easton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.2,14.4,9.7,9.6,10.2
,="Library/Media - Support Staff",="Non-Certified",2.2,5.3,1.7,2.2,2.2
,="School Nurses",="Non-Certified",2.0,4.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",27.0,50.0,20.4,20.0,22.0
="EdAdvance",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",31.1,30.0,32.0,31.0,27.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.4,0.4,0.4,0.0,0.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Ellington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.1,8.8,11.4,10.1,9.4
,="Library/Media - Support Staff",="Non-Certified",3.8,3.8,3.8,4.7,4.7
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",48.5,57.2,57.4,61.4,62.1
="Elm City College Preparatory School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,6.0,7.0,7.0
,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",0.5,0.5,0.5,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,0.0,0.0,0.0
="Enfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,12.0,21.0,34.0,28.5
,="Library/Media - Support Staff",="Non-Certified",7.5,7.0,10.5,12.0,12.0
,="School Nurses",="Non-Certified",18.0,16.0,17.0,17.5,15.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",89.5,94.5,86.0,80.0,71.0
="Essex School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,5.5,5.5,5.5
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.5,0.5,0.5
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",19.2,23.1,24.0,23.4,22.7
="Explorations District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",0.5,0.5,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.0,1.0,1.5,1.5
="Fairfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",67.1,51.8,48.8,48.1,43.3
,="Library/Media - Support Staff",="Non-Certified",15.0,13.0,14.0,14.0,15.0
,="School Nurses",="Non-Certified",19.2,19.2,19.7,19.7,20.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",139.8,140.1,123.2,133.2,143.8
="Farmington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.2,23.9,25.1,26.6,27.7
,="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,3.4
,="School Nurses",="Non-Certified",6.7,6.7,6.7,6.7,7.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",44.4,46.7,53.7,60.1,70.4
="Franklin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,.,5.0,.,4.5
,="Library/Media - Support Staff",="Non-Certified",0.5,.,0.0,.,0.5
,="School Nurses",="Non-Certified",0.4,.,1.0,.,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,.,1.0,.,2.0
="Glastonbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",59.8,61.8,64.1,53.7,61.5
,="Library/Media - Support Staff",="Non-Certified",12.4,12.4,12.4,12.4,12.4
,="School Nurses",="Non-Certified",12.8,12.9,12.7,12.7,12.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",88.7,88.1,85.1,80.6,81.8
="Granby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.5,25.4,23.9,16.0,14.0
,="Library/Media - Support Staff",="Non-Certified",6.7,6.7,6.2,5.6,5.7
,="School Nurses",="Non-Certified",5.4,5.4,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",45.9,45.8,38.2,34.2,36.6
="Greenwich School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",49.2,50.2,50.5,52.8,50.1
,="Library/Media - Support Staff",="Non-Certified",14.5,14.5,14.5,14.5,14.5
,="School Nurses",="Non-Certified",17.0,17.0,17.0,17.0,16.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",122.0,131.0,122.0,117.0,119.0
="Griswold School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,2.0,1.0,1.0,1.0
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.5
,="School Nurses",="Non-Certified",3.5,3.0,3.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",41.5,44.5,45.5,51.0,54.0
="Groton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",54.9,32.6,32.3,36.5,34.5
,="Library/Media - Support Staff",="Non-Certified",7.0,7.0,5.8,2.0,2.0
,="School Nurses",="Non-Certified",11.0,11.0,10.0,10.0,10.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",147.6,148.0,161.5,121.0,109.4
="Guilford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.2,3.8,3.8,2.7,2.7
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="School Nurses",="Non-Certified",7.0,7.0,7.5,8.3,7.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",83.0,81.0,88.0,86.5,97.0
="Hamden School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",50.0,49.0,48.0,50.5,50.5
,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,3.0,4.0,9.0
,="School Nurses",="Non-Certified",13.0,13.0,13.0,13.0,12.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",74.5,77.5,82.8,79.9,68.3
="Hampton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.4,3.7,2.7,2.2,2.4
,="Library/Media - Support Staff",="Non-Certified",0.6,0.6,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,5.5,5.6,5.2,4.4
="Hartford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",85.5,85.5,74.5,97.0,120.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,1.0,0.0,0.0
,="School Nurses",="Non-Certified",56.4,67.9,51.0,54.5,57.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",278.0,267.5,300.5,333.0,373.0
="Hartland School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.3,1.0,3.4,3.4,4.9
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.9,3.0,1.0,1.0,0.5
="Hebron School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.5,7.5,9.2,8.8,9.0
,="Library/Media - Support Staff",="Non-Certified",1.0,0.5,1.0,1.5,0.0
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",35.5,33.5,31.5,26.9,25.4
="Highville Charter School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,8.0,9.0,7.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,1.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Integrated Day Charter School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,7.0,6.0,7.0,8.5
,="Library/Media - Support Staff",="Non-Certified",1.4,1.0,1.0,1.0,1.0
,="School Nurses",="Non-Certified",0.7,0.7,0.7,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,1.0,2.0,1.5,1.5
="Interdistrict School for Arts and Comm District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8,0.0,0.4,1.0,0.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
