"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Hebron School District",="General Education - Teachers and Instructors",="Certified",65.2,61.7,60.2,57.1,55.2
="Highville Charter School District",="General Education - Teachers and Instructors",="Certified",19.0,20.0,27.0,25.8,23.8
="Integrated Day Charter School District",="General Education - Teachers and Instructors",="Certified",18.5,19.1,19.1,19.4,17.0
="Interdistrict School for Arts and Comm District",="General Education - Teachers and Instructors",="Certified",13.4,13.5,14.2,18.5,17.0
="Jumoke Academy District",="General Education - Teachers and Instructors",="Certified",26.0,26.0,31.0,35.0,39.0
="Kent School District",="General Education - Teachers and Instructors",="Certified",24.7,25.1,24.1,25.5,26.5
="Killingly School District",="General Education - Teachers and Instructors",="Certified",175.8,170.8,173.2,166.4,169.6
="Learn",="General Education - Teachers and Instructors",="Certified",79.4,96.0,113.1,140.6,146.2
="Lebanon School District",="General Education - Teachers and Instructors",="Certified",95.1,92.1,83.6,83.4,79.6
="Ledyard School District",="General Education - Teachers and Instructors",="Certified",159.1,160.9,162.4,163.3,159.1
="Lisbon School District",="General Education - Teachers and Instructors",="Certified",36.6,35.1,33.3,29.1,29.1
="Litchfield School District",="General Education - Teachers and Instructors",="Certified",85.9,84.9,87.0,85.2,79.2
="Madison School District",="General Education - Teachers and Instructors",="Certified",238.5,231.3,228.9,221.8,223.0
="Manchester School District",="General Education - Teachers and Instructors",="Certified",450.0,452.8,452.9,450.8,457.2
="Mansfield School District",="General Education - Teachers and Instructors",="Certified",101.4,102.4,103.4,99.4,97.2
="Marlborough School District",="General Education - Teachers and Instructors",="Certified",39.5,37.5,35.5,34.0,35.0
="Meriden School District",="General Education - Teachers and Instructors",="Certified",478.2,465.6,481.5,477.6,480.1
="Middletown School District",="General Education - Teachers and Instructors",="Certified",321.9,312.7,307.3,300.5,306.5
="Milford School District",="General Education - Teachers and Instructors",="Certified",462.6,453.6,444.2,433.5,414.3
="Monroe School District",="General Education - Teachers and Instructors",="Certified",211.6,215.4,205.8,205.9,204.4
="Montville School District",="General Education - Teachers and Instructors",="Certified",177.8,175.1,167.4,174.4,171.7
="Naugatuck School District",="General Education - Teachers and Instructors",="Certified",242.2,249.3,250.2,253.0,232.5
="New Beginnings Inc Family Academy District",="General Education - Teachers and Instructors",="Certified",24.7,23.2,27.0,34.0,32.0
="New Britain School District",="General Education - Teachers and Instructors",="Certified",556.6,540.3,515.1,563.1,559.9
="New Canaan School District",="General Education - Teachers and Instructors",="Certified",286.6,293.5,301.1,296.8,297.1
="New Fairfield School District",="General Education - Teachers and Instructors",="Certified",178.1,173.7,177.2,171.7,172.5
="New Hartford School District",="General Education - Teachers and Instructors",="Certified",32.8,31.3,30.3,33.8,32.0
="New Haven School District",="General Education - Teachers and Instructors",="Certified",1340.5,1378.1,1410.6,1413.5,1381.1
="New London School District",="General Education - Teachers and Instructors",="Certified",184.8,186.5,166.1,179.2,188.6
="New Milford School District",="General Education - Teachers and Instructors",="Certified",268.0,283.8,278.5,267.8,270.5
="Newington School District",="General Education - Teachers and Instructors",="Certified",282.9,268.7,264.7,269.5,273.7
="Newtown School District",="General Education - Teachers and Instructors",="Certified",321.6,332.4,331.6,337.0,318.1
="Norfolk School District",="General Education - Teachers and Instructors",="Certified",10.1,10.1,9.5,8.3,9.4
="North Branford School District",="General Education - Teachers and Instructors",="Certified",138.7,140.0,135.3,132.4,132.0
="North Canaan School District",="General Education - Teachers and Instructors",="Certified",28.6,28.7,28.7,28.7,27.7
="North Haven School District",="General Education - Teachers and Instructors",="Certified",234.2,232.5,234.3,233.4,221.8
="North Stonington School District",="General Education - Teachers and Instructors",="Certified",64.6,65.6,64.0,63.8,64.8
="Norwalk School District",="General Education - Teachers and Instructors",="Certified",707.4,735.3,685.3,698.6,688.6
="Norwich Free Academy District",="General Education - Teachers and Instructors",="Certified",136.3,135.7,141.7,139.9,142.2
="Norwich School District",="General Education - Teachers and Instructors",="Certified",202.5,189.5,190.0,199.0,192.5
="Odyssey Community School District",="General Education - Teachers and Instructors",="Certified",13.3,22.4,25.8,25.8,27.0
="Old Saybrook School District",="General Education - Teachers and Instructors",="Certified",111.0,110.8,113.5,110.9,112.3
="Orange School District",="General Education - Teachers and Instructors",="Certified",89.7,86.7,87.7,82.0,78.9
="Oxford School District",="General Education - Teachers and Instructors",="Certified",123.8,124.6,121.9,121.3,120.6
="Park City Prep Charter School District",="General Education - Teachers and Instructors",="Certified",16.0,15.0,15.0,15.0,23.0
="Plainfield School District",="General Education - Teachers and Instructors",="Certified",149.1,150.7,146.0,142.5,146.2
="Plainville School District",="General Education - Teachers and Instructors",="Certified",171.2,167.9,174.4,177.4,165.5
="Plymouth School District",="General Education - Teachers and Instructors",="Certified",114.8,113.8,113.8,112.7,95.3
="Pomfret School District",="General Education - Teachers and Instructors",="Certified",38.0,38.2,36.0,34.6,33.0
="Portland School District",="General Education - Teachers and Instructors",="Certified",90.7,91.6,91.5,91.0,90.8
="Preston School District",="General Education - Teachers and Instructors",="Certified",32.7,31.6,29.8,29.8,29.0
="Putnam School District",="General Education - Teachers and Instructors",="Certified",82.4,83.3,83.4,83.4,82.4
="Redding School District",="General Education - Teachers and Instructors",="Certified",84.6,83.2,81.4,77.4,68.9
="Regional School District 01",="General Education - Teachers and Instructors",="Certified",38.4,38.8,36.4,30.8,33.1
="Regional School District 04",="General Education - Teachers and Instructors",="Certified",70.5,72.8,71.1,71.4,69.8
="Regional School District 05",="General Education - Teachers and Instructors",="Certified",171.4,171.2,170.6,164.7,175.2
="Regional School District 06",="General Education - Teachers and Instructors",="Certified",77.6,73.5,75.1,74.9,69.8
="Regional School District 07",="General Education - Teachers and Instructors",="Certified",71.4,73.4,74.7,74.2,77.0
="Regional School District 08",="General Education - Teachers and Instructors",="Certified",110.3,112.9,114.3,118.9,112.1
="Regional School District 09",="General Education - Teachers and Instructors",="Certified",65.5,67.2,66.9,66.2,67.8
="Regional School District 10",="General Education - Teachers and Instructors",="Certified",170.7,172.2,172.4,179.9,169.7
="Regional School District 11",="General Education - Teachers and Instructors",="Certified",25.0,25.9,25.9,26.0,24.8
="Regional School District 12",="General Education - Teachers and Instructors",="Certified",78.0,75.7,73.1,68.1,69.8
="Regional School District 13",="General Education - Teachers and Instructors",="Certified",143.3,142.8,143.0,139.3,141.1
="Regional School District 14",="General Education - Teachers and Instructors",="Certified",127.6,131.0,125.1,121.3,125.2
="Regional School District 15",="General Education - Teachers and Instructors",="Certified",265.0,264.7,261.1,253.7,246.7
="Regional School District 16",="General Education - Teachers and Instructors",="Certified",165.6,162.6,159.4,144.3,148.4
="Regional School District 17",="General Education - Teachers and Instructors",="Certified",172.2,165.2,162.4,168.0,165.2
="Regional School District 18",="General Education - Teachers and Instructors",="Certified",111.3,108.3,108.1,103.3,101.7
="Regional School District 19",="General Education - Teachers and Instructors",="Certified",89.6,93.4,92.6,91.6,93.2
="Ridgefield School District",="General Education - Teachers and Instructors",="Certified",318.2,328.3,335.4,331.1,313.6
="Rocky Hill School District",="General Education - Teachers and Instructors",="Certified",168.4,163.5,164.8,162.5,168.5
="Salem School District",="General Education - Teachers and Instructors",="Certified",34.5,33.6,32.0,29.5,25.0
="Salisbury School District",="General Education - Teachers and Instructors",="Certified",31.2,32.6,30.6,32.6,31.2
="Scotland School District",="General Education - Teachers and Instructors",="Certified",11.6,11.6,11.6,10.8,12.1
="Seymour School District",="General Education - Teachers and Instructors",="Certified",135.8,142.3,140.5,138.5,147.0
="Sharon School District",="General Education - Teachers and Instructors",="Certified",22.8,21.4,22.4,19.0,21.0
="Shelton School District",="General Education - Teachers and Instructors",="Certified",290.5,295.8,296.6,292.3,300.0
="Sherman School District",="General Education - Teachers and Instructors",="Certified",31.5,30.5,29.0,30.0,29.0
="Side By Side Charter School District",="General Education - Teachers and Instructors",="Certified",14.0,14.4,14.4,14.0,12.5
="Simsbury School District",="General Education - Teachers and Instructors",="Certified",281.2,290.2,292.5,285.8,274.7
="Somers School District",="General Education - Teachers and Instructors",="Certified",103.2,102.4,102.2,103.3,105.5
="South Windsor School District",="General Education - Teachers and Instructors",="Certified",280.5,284.6,283.9,288.8,297.0
="Southington School District",="General Education - Teachers and Instructors",="Certified",431.2,434.6,422.6,421.2,428.4
="Sprague School District",="General Education - Teachers and Instructors",="Certified",26.0,26.0,25.0,26.0,25.8
="Stafford School District",="General Education - Teachers and Instructors",="Certified",123.1,120.2,121.3,119.8,115.2
="Stamford Academy District",="General Education - Teachers and Instructors",="Certified",11.0,13.0,12.0,12.0,12.5
="Stamford School District",="General Education - Teachers and Instructors",="Certified",1041.0,1048.8,1046.4,1080.3,1115.2
="Sterling School District",="General Education - Teachers and Instructors",="Certified",32.0,33.5,32.1,31.6,29.8
="Stonington School District",="General Education - Teachers and Instructors",="Certified",153.0,153.2,151.5,154.1,149.9
="Stratford School District",="General Education - Teachers and Instructors",="Certified",424.3,412.7,436.1,432.6,437.5
="Suffield School District",="General Education - Teachers and Instructors",="Certified",160.2,156.6,157.2,157.3,159.0
="The Bridge Academy District",="General Education - Teachers and Instructors",="Certified",17.2,16.0,16.5,17.3,15.7
="The Gilbert School District",="General Education - Teachers and Instructors",="Certified",29.8,38.6,40.0,41.6,46.8
="Thomaston School District",="General Education - Teachers and Instructors",="Certified",75.4,76.2,71.0,66.2,61.8
="Thompson School District",="General Education - Teachers and Instructors",="Certified",85.1,84.2,81.9,79.4,76.6
="Tolland School District",="General Education - Teachers and Instructors",="Certified",172.9,175.5,175.5,168.0,169.5
="Torrington School District",="General Education - Teachers and Instructors",="Certified",289.4,284.7,280.1,282.6,285.4
="Trailblazers Academy District",="General Education - Teachers and Instructors",="Certified",18.0,18.0,18.0,16.5,13.0
="Trumbull School District",="General Education - Teachers and Instructors",="Certified",413.0,407.5,418.0,412.9,406.3
="Unified School District #1",="General Education - Teachers and Instructors",="Certified",120.5,106.3,100.5,99.5,106.0
="Unified School District #2",="General Education - Teachers and Instructors",="Certified",23.0,24.5,24.0,29.0,31.0
="Union School District",="General Education - Teachers and Instructors",="Certified",5.9,5.3,6.5,6.7,7.3
="Vernon School District",="General Education - Teachers and Instructors",="Certified",243.9,246.2,240.3,248.3,242.6
="Voluntown School District",="General Education - Teachers and Instructors",="Certified",26.0,26.0,26.0,24.0,25.0
="Wallingford School District",="General Education - Teachers and Instructors",="Certified",434.6,421.8,416.1,400.8,424.6
="Waterbury School District",="General Education - Teachers and Instructors",="Certified",1101.4,1121.7,1145.0,1168.4,1163.2
="Waterford School District",="General Education - Teachers and Instructors",="Certified",192.6,182.2,179.9,174.3,178.3
="Watertown School District",="General Education - Teachers and Instructors",="Certified",181.1,178.4,170.6,168.9,161.6
="West Hartford School District",="General Education - Teachers and Instructors",="Certified",647.2,657.1,660.6,656.2,669.5
="West Haven School District",="General Education - Teachers and Instructors",="Certified",374.6,372.1,373.7,382.7,382.2
="Westbrook School District",="General Education - Teachers and Instructors",="Certified",82.4,83.8,81.5,83.4,81.8
="Weston School District",="General Education - Teachers and Instructors",="Certified",162.5,164.7,158.4,155.1,159.7
="Westport School District",="General Education - Teachers and Instructors",="Certified",440.1,432.6,435.7,443.4,428.7
="Wethersfield School District",="General Education - Teachers and Instructors",="Certified",230.5,215.1,227.9,226.7,236.0
="Willington School District",="General Education - Teachers and Instructors",="Certified",41.6,41.6,41.6,39.6,38.6
="Wilton School District",="General Education - Teachers and Instructors",="Certified",278.7,269.1,264.1,262.2,274.7
="Winchester School District",="General Education - Teachers and Instructors",="Certified",58.0,37.6,39.6,36.0,38.0
="Windham School District",="General Education - Teachers and Instructors",="Certified",221.3,224.8,220.3,251.0,238.7
="Windsor Locks School District",="General Education - Teachers and Instructors",="Certified",125.3,120.7,127.3,129.3,131.4
="Windsor School District",="General Education - Teachers and Instructors",="Certified",274.5,273.5,268.7,261.2,262.9
="Wolcott School District",="General Education - Teachers and Instructors",="Certified",175.4,171.5,169.4,166.6,174.2
="Woodbridge School District",="General Education - Teachers and Instructors",="Certified",55.5,57.0,57.0,58.0,61.0
="Woodstock Academy District",="General Education - Teachers and Instructors",="Certified",74.4,74.8,76.8,73.0,72.0
="Woodstock School District",="General Education - Teachers and Instructors",="Certified",56.0,53.0,59.0,57.0,56.0
="Project Oceanology",="General Education - Teachers and Instructors",="Certified",.,5.5,5.5,5.5,.
"Brass City Charter School District","General Education - Teachers and Instructors","Certified",.,.,.,6.3,13.9
="Booker T. Washington Academy District",="General Education - Teachers and Instructors",="Certified",.,.,.,.,9.3
="Great Oaks Charter School District",="General Education - Teachers and Instructors",="Certified",.,.,.,.,4.0
="Path Academy District",="General Education - Teachers and Instructors",="Certified",.,.,.,.,5.0
="Shared Services",="General Education - Teachers and Instructors",="Certified",.,.,.,.,0.2

