"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Newington School District",="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Newtown School District",="Library/Media - Support Staff",="Non-Certified",5.6,4.6,4.8,4.9,4.9
="Norfolk School District",="Library/Media - Support Staff",="Non-Certified",0.2,0.0,0.0,0.0,0.0
="North Branford School District",="Library/Media - Support Staff",="Non-Certified",4.0,4.0,3.0,4.0,4.0
="North Canaan School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="North Haven School District",="Library/Media - Support Staff",="Non-Certified",3.0,3.0,2.0,2.0,2.0
="North Stonington School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Norwalk School District",="Library/Media - Support Staff",="Non-Certified",30.8,.,.,13.5,13.8
="Norwich Free Academy District",="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Norwich School District",="Library/Media - Support Staff",="Non-Certified",5.3,1.0,2.0,2.0,3.0
="Odyssey Community School District",="Library/Media - Support Staff",="Non-Certified",0.2,0.0,0.0,0.6,0.0
="Old Saybrook School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,3.0,3.0,3.0
="Orange School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Oxford School District",="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,1.0,1.0
="Park City Prep Charter School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Plainfield School District",="Library/Media - Support Staff",="Non-Certified",3.8,4.3,4.0,5.0,5.0
="Plainville School District",="Library/Media - Support Staff",="Non-Certified",1.9,2.0,2.0,2.0,3.0
="Plymouth School District",="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,3.5
="Pomfret School District",="Library/Media - Support Staff",="Non-Certified",1.0,0.5,0.5,0.5,0.5
="Portland School District",="Library/Media - Support Staff",="Non-Certified",5.4,5.4,5.4,5.4,5.6
="Preston School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Putnam School District",="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,2.0
="Redding School District",="Library/Media - Support Staff",="Non-Certified",2.0,4.0,2.0,2.0,2.0
="Regional School District 01",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.9
="Regional School District 04",="Library/Media - Support Staff",="Non-Certified",1.9,1.9,1.9,1.9,1.8
="Regional School District 05",="Library/Media - Support Staff",="Non-Certified",4.0,3.0,3.0,3.0,3.0
="Regional School District 06",="Library/Media - Support Staff",="Non-Certified",3.9,.,2.5,2.5,2.5
="Regional School District 07",="Library/Media - Support Staff",="Non-Certified",1.8,1.8,1.8,1.8,0.9
="Regional School District 08",="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Regional School District 09",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,3.0,3.0,3.0
="Regional School District 10",="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Regional School District 11",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Regional School District 12",="Library/Media - Support Staff",="Non-Certified",3.5,4.0,4.0,4.0,4.0
="Regional School District 13",="Library/Media - Support Staff",="Non-Certified",4.0,2.5,3.5,3.5,2.0
="Regional School District 14",="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,1.5
="Regional School District 15",="Library/Media - Support Staff",="Non-Certified",5.0,4.0,4.0,4.0,4.0
="Regional School District 16",="Library/Media - Support Staff",="Non-Certified",6.8,5.9,6.8,5.4,4.1
="Regional School District 17",="Library/Media - Support Staff",="Non-Certified",8.0,8.0,8.0,4.5,5.0
="Regional School District 18",="Library/Media - Support Staff",="Non-Certified",1.6,1.6,1.6,1.6,1.6
="Regional School District 19",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,2.0,2.0
="Ridgefield School District",="Library/Media - Support Staff",="Non-Certified",3.0,4.0,3.0,4.0,3.0
="Rocky Hill School District",="Library/Media - Support Staff",="Non-Certified",4.1,4.0,4.0,4.0,3.5
="Salem School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Salisbury School District",="Library/Media - Support Staff",="Non-Certified",0.9,0.9,0.9,0.9,0.9
="Scotland School District",="Library/Media - Support Staff",="Non-Certified",2.0,2.0,1.6,1.6,1.6
="Seymour School District",="Library/Media - Support Staff",="Non-Certified",1.4,1.4,0.8,0.4,1.4
="Sharon School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Shelton School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Sherman School District",="Library/Media - Support Staff",="Non-Certified",0.9,0.9,0.4,0.4,0.4
="Side By Side Charter School District",="Library/Media - Support Staff",="Non-Certified",0.5,.,0.0,0.0,0.0
="Simsbury School District",="Library/Media - Support Staff",="Non-Certified",5.3,5.9,5.9,5.9,5.9
="Somers School District",="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.5,2.5
="South Windsor School District",="Library/Media - Support Staff",="Non-Certified",8.0,8.0,8.0,7.5,8.0
="Southington School District",="Library/Media - Support Staff",="Non-Certified",7.0,7.0,7.0,6.8,6.8
="Sprague School District",="Library/Media - Support Staff",="Non-Certified",2.0,2.0,1.5,1.3,1.3
="Stafford School District",="Library/Media - Support Staff",="Non-Certified",6.0,6.0,7.0,6.0,6.0
="Stamford Academy District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Stamford School District",="Library/Media - Support Staff",="Non-Certified",26.0,23.0,20.0,21.0,22.0
="Sterling School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,0.0,0.0,0.0
="Stonington School District",="Library/Media - Support Staff",="Non-Certified",8.2,8.7,9.6,10.6,9.0
="Stratford School District",="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.5,2.0
="Suffield School District",="Library/Media - Support Staff",="Non-Certified",3.4,3.4,3.4,3.4,4.0
="The Bridge Academy District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="The Gilbert School District",="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,2.0,1.0
="Thomaston School District",="Library/Media - Support Staff",="Non-Certified",1.9,1.6,1.6,2.3,0.5
="Thompson School District",="Library/Media - Support Staff",="Non-Certified",2.2,2.2,3.0,3.0,2.0
="Tolland School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,1.0
="Torrington School District",="Library/Media - Support Staff",="Non-Certified",7.0,7.0,7.0,7.0,6.0
="Trailblazers Academy District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Trumbull School District",="Library/Media - Support Staff",="Non-Certified",2.0,0.0,0.0,0.0,2.0
="Unified School District #1",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Unified School District #2",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Union School District",="Library/Media - Support Staff",="Non-Certified",0.1,0.0,.,0.0,0.0
="Vernon School District",="Library/Media - Support Staff",="Non-Certified",9.0,8.0,7.0,8.0,9.0
="Voluntown School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Wallingford School District",="Library/Media - Support Staff",="Non-Certified",8.9,8.4,8.4,8.4,8.4
="Waterbury School District",="Library/Media - Support Staff",="Non-Certified",18.1,19.8,20.8,16.3,17.0
="Waterford School District",="Library/Media - Support Staff",="Non-Certified",6.0,6.0,5.0,5.0,5.0
="Watertown School District",="Library/Media - Support Staff",="Non-Certified",4.5,4.5,5.0,5.0,4.0
="West Hartford School District",="Library/Media - Support Staff",="Non-Certified",11.4,12.4,12.3,10.9,10.8
="West Haven School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Westbrook School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Weston School District",="Library/Media - Support Staff",="Non-Certified",3.0,4.1,4.1,4.1,4.1
="Westport School District",="Library/Media - Support Staff",="Non-Certified",7.5,7.5,7.0,7.0,9.5
="Wethersfield School District",="Library/Media - Support Staff",="Non-Certified",7.0,7.0,7.0,7.0,4.0
="Willington School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Wilton School District",="Library/Media - Support Staff",="Non-Certified",8.1,8.6,9.6,11.1,10.6
="Winchester School District",="Library/Media - Support Staff",="Non-Certified",3.0,2.5,1.0,0.0,0.0
="Windham School District",="Library/Media - Support Staff",="Non-Certified",3.0,3.1,4.0,6.0,5.0
="Windsor Locks School District",="Library/Media - Support Staff",="Non-Certified",3.3,3.3,3.3,3.3,3.9
="Windsor School District",="Library/Media - Support Staff",="Non-Certified",4.0,4.0,3.0,3.0,3.0
="Wolcott School District",="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
="Woodbridge School District",="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,.
"Woodstock Academy District","Library/Media - Support Staff","Non-Certified",1.0,1.0,1.0,1.0,1.0
="Woodstock School District",="Library/Media - Support Staff",="Non-Certified",2.0,2.0,1.0,1.0,1.0
="Brass City Charter School District",="Library/Media - Support Staff",="Non-Certified",.,.,.,0.0,0.0
="Elm City Montessori School District",="Library/Media - Support Staff",="Non-Certified",.,.,.,.,0.0
="Great Oaks Charter School District",="Library/Media - Support Staff",="Non-Certified",.,.,.,.,0.0

