"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Danbury School District",="School Nurses",="Non-Certified",20.6,19.6,19.6,21.4,22.4
="Darien School District",="School Nurses",="Non-Certified",12.0,12.0,12.0,12.0,12.0
="Deep River School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Derby School District",="School Nurses",="Non-Certified",4.0,4.3,4.3,4.3,4.3
="East Granby School District",="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="East Haddam School District",="School Nurses",="Non-Certified",3.5,3.5,3.5,3.5,3.5
="East Hampton School District",="School Nurses",="Non-Certified",5.0,4.0,4.0,4.0,4.0
="East Hartford School District",="School Nurses",="Non-Certified",17.2,18.2,18.2,19.2,19.2
="East Haven School District",="School Nurses",="Non-Certified",9.0,9.0,9.0,9.0,9.0
="East Lyme School District",="School Nurses",="Non-Certified",6.0,5.0,5.0,5.0,5.0
="East Windsor School District",="School Nurses",="Non-Certified",4.9,.,5.0,6.0,6.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="School Nurses",="Non-Certified",0.4,0.5,0.5,0.5,0.5
="Eastford School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Easton School District",="School Nurses",="Non-Certified",2.0,4.0,2.0,2.0,2.0
="EdAdvance",="School Nurses",="Non-Certified",1.4,0.4,0.4,0.0,0.0
="Ellington School District",="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
="Elm City College Preparatory School District",="School Nurses",="Non-Certified",0.5,0.5,0.5,1.0,1.0
="Enfield School District",="School Nurses",="Non-Certified",18.0,16.0,17.0,17.5,15.0
="Essex School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Explorations District",="School Nurses",="Non-Certified",0.5,0.5,1.0,1.0,1.0
="Fairfield School District",="School Nurses",="Non-Certified",19.2,19.2,19.7,19.7,20.4
="Farmington School District",="School Nurses",="Non-Certified",6.7,6.7,6.7,6.7,7.0
="Franklin School District",="School Nurses",="Non-Certified",0.4,.,1.0,.,1.0
="Glastonbury School District",="School Nurses",="Non-Certified",12.8,12.9,12.7,12.7,12.7
="Granby School District",="School Nurses",="Non-Certified",5.4,5.4,5.0,5.0,5.0
="Greenwich School District",="School Nurses",="Non-Certified",17.0,17.0,17.0,17.0,16.7
="Griswold School District",="School Nurses",="Non-Certified",3.5,3.0,3.0,3.0,3.0
="Groton School District",="School Nurses",="Non-Certified",11.0,11.0,10.0,10.0,10.0
="Guilford School District",="School Nurses",="Non-Certified",7.0,7.0,7.5,8.3,7.9
="Hamden School District",="School Nurses",="Non-Certified",13.0,13.0,13.0,13.0,12.0
="Hampton School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Hartford School District",="School Nurses",="Non-Certified",56.4,67.9,51.0,54.5,57.1
="Hartland School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Hebron School District",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Highville Charter School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Integrated Day Charter School District",="School Nurses",="Non-Certified",0.7,0.7,0.7,1.0,1.0
="Interdistrict School for Arts and Comm District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.2
="Jumoke Academy District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.5,2.0
="Kent School District",="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
="Killingly School District",="School Nurses",="Non-Certified",7.5,8.0,8.0,6.5,6.5
="Learn",="School Nurses",="Non-Certified",3.1,3.8,4.1,5.1,5.6
="Lebanon School District",="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Ledyard School District",="School Nurses",="Non-Certified",7.0,7.0,7.0,7.0,7.0
="Lisbon School District",="School Nurses",="Non-Certified",2.1,1.1,1.1,1.0,1.0
="Litchfield School District",="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Madison School District",="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
="Manchester School District",="School Nurses",="Non-Certified",16.0,17.0,16.8,18.4,17.4
="Mansfield School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.5
="Marlborough School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Meriden School District",="School Nurses",="Non-Certified",12.0,13.0,13.0,13.0,14.0
="Middletown School District",="School Nurses",="Non-Certified",16.6,16.6,16.5,19.9,17.5
="Milford School District",="School Nurses",="Non-Certified",17.0,16.5,16.5,16.5,16.5
="Monroe School District",="School Nurses",="Non-Certified",7.0,7.0,7.0,7.0,7.0
="Montville School District",="School Nurses",="Non-Certified",6.0,8.4,7.4,7.7,7.1
="Naugatuck School District",="School Nurses",="Non-Certified",13.5,13.5,13.0,13.0,13.0
="New Beginnings Inc Family Academy District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="New Britain School District",="School Nurses",="Non-Certified",19.0,23.0,27.0,23.0,25.0
="New Canaan School District",="School Nurses",="Non-Certified",8.0,8.0,8.0,8.0,8.0
="New Fairfield School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="New Hartford School District",="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="New Haven School District",="School Nurses",="Non-Certified",32.0,26.5,33.1,33.5,32.4
="New London School District",="School Nurses",="Non-Certified",6.0,6.0,5.0,4.0,6.0
="New Milford School District",="School Nurses",="Non-Certified",8.0,8.0,8.0,8.0,8.0
="Newington School District",="School Nurses",="Non-Certified",9.0,9.0,9.0,9.0,9.0
="Newtown School District",="School Nurses",="Non-Certified",9.5,9.0,9.0,10.0,10.0
="Norfolk School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="North Branford School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="North Canaan School District",="School Nurses",="Non-Certified",0.9,0.9,0.9,0.9,0.9
="North Haven School District",="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,5.9
="North Stonington School District",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Norwalk School District",="School Nurses",="Non-Certified",19.0,.,.,19.0,19.4
="Norwich Free Academy District",="School Nurses",="Non-Certified",2.8,3.0,4.5,4.5,4.5
="Norwich School District",="School Nurses",="Non-Certified",12.4,13.1,12.8,13.3,13.2
="Odyssey Community School District",="School Nurses",="Non-Certified",0.8,1.0,1.3,1.3,1.3
="Old Saybrook School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,5.0,4.0
="Orange School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,3.0
="Oxford School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Park City Prep Charter School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,0.5
="Plainfield School District",="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
="Plainville School District",="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
="Plymouth School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Pomfret School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Portland School District",="School Nurses",="Non-Certified",5.5,4.5,4.0,5.0,5.0
="Preston School District",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Putnam School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Redding School District",="School Nurses",="Non-Certified",3.0,6.0,3.0,3.0,3.0
="Regional School District 01",="School Nurses",="Non-Certified",0.9,0.9,0.9,0.9,0.9
="Regional School District 04",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Regional School District 05",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Regional School District 06",="School Nurses",="Non-Certified",4.0,.,4.0,4.0,4.0
="Regional School District 07",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Regional School District 08",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.1
="Regional School District 09",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,2.0
="Regional School District 10",="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
="Regional School District 11",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 12",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Regional School District 13",="School Nurses",="Non-Certified",6.0,5.0,6.0,6.0,6.0
="Regional School District 14",="School Nurses",="Non-Certified",3.9,3.9,3.9,3.9,4.0
="Regional School District 15",="School Nurses",="Non-Certified",11.1,11.1,11.3,11.3,10.8
="Regional School District 16",="School Nurses",="Non-Certified",5.5,5.0,5.0,4.7,4.9
="Regional School District 17",="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
="Regional School District 18",="School Nurses",="Non-Certified",5.4,5.4,5.4,5.4,4.5
="Regional School District 19",="School Nurses",="Non-Certified",3.0,2.0,2.0,2.0,2.0
="Ridgefield School District",="School Nurses",="Non-Certified",13.0,14.0,13.6,16.0,10.0
="Rocky Hill School District",="School Nurses",="Non-Certified",6.0,5.0,5.0,5.0,6.0
="Salem School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Salisbury School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Scotland School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Seymour School District",="School Nurses",="Non-Certified",5.0,5.0,4.0,4.0,4.0
="Sharon School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Shelton School District",="School Nurses",="Non-Certified",11.5,12.0,12.0,12.0,12.0
="Sherman School District",="School Nurses",="Non-Certified",0.9,0.9,1.0,1.0,1.0
="Side By Side Charter School District",="School Nurses",="Non-Certified",1.0,.,1.0,1.0,1.0
="Simsbury School District",="School Nurses",="Non-Certified",10.2,10.2,10.2,10.2,10.2
="Somers School District",="School Nurses",="Non-Certified",3.6,3.0,3.0,3.4,4.0
="South Windsor School District",="School Nurses",="Non-Certified",9.0,9.0,9.0,9.0,9.0
="Southington School District",="School Nurses",="Non-Certified",19.1,18.5,18.5,19.3,19.3
="Sprague School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Stafford School District",="School Nurses",="Non-Certified",7.0,8.0,8.0,7.0,6.5
="Stamford Academy District",="School Nurses",="Non-Certified",0.5,0.5,0.3,0.3,0.3
="Stamford School District",="School Nurses",="Non-Certified",22.0,23.0,21.0,22.0,23.0
="Sterling School District",="School Nurses",="Non-Certified",1.0,1.0,3.0,1.0,2.0
="Stonington School District",="School Nurses",="Non-Certified",8.6,8.9,8.9,8.9,8.9
="Stratford School District",="School Nurses",="Non-Certified",15.0,15.0,15.0,13.0,13.5
="Suffield School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="The Bridge Academy District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="The Gilbert School District",="School Nurses",="Non-Certified",1.0,1.0,2.0,4.0,2.0
="Thomaston School District",="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Thompson School District",="School Nurses",="Non-Certified",3.5,3.5,4.0,4.0,3.3
="Tolland School District",="School Nurses",="Non-Certified",7.3,7.3,7.3,7.3,7.3
="Torrington School District",="School Nurses",="Non-Certified",10.2,10.0,10.0,10.4,10.3
="Trailblazers Academy District",="School Nurses",="Non-Certified",1.0,1.0,1.0,0.8,0.8
="Trumbull School District",="School Nurses",="Non-Certified",11.5,11.5,11.4,11.4,11.0
="Unified School District #1",="School Nurses",="Non-Certified",0.2,0.2,0.2,0.2,0.1
="Unified School District #2",="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Union School District",="School Nurses",="Non-Certified",1.0,1.0,.,1.0,1.0
="Vernon School District",="School Nurses",="Non-Certified",7.9,7.9,7.9,7.9,7.9
="Voluntown School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Wallingford School District",="School Nurses",="Non-Certified",15.7,15.1,15.0,15.3,15.1
="Waterbury School District",="School Nurses",="Non-Certified",27.3,26.8,27.8,26.8,27.2
="Waterford School District",="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
="Watertown School District",="School Nurses",="Non-Certified",7.5,7.5,5.5,8.0,5.6
="West Hartford School District",="School Nurses",="Non-Certified",21.4,21.9,22.4,22.4,21.4
="West Haven School District",="School Nurses",="Non-Certified",16.0,16.0,16.0,16.0,17.2
="Westbrook School District",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Weston School District",="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
="Westport School District",="School Nurses",="Non-Certified",11.3,12.0,12.0,12.0,12.0
="Wethersfield School District",="School Nurses",="Non-Certified",9.0,9.0,9.0,9.0,6.0
="Willington School District",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Wilton School District",="School Nurses",="Non-Certified",7.5,7.5,7.5,8.0,8.0
="Winchester School District",="School Nurses",="Non-Certified",3.0,3.0,4.0,3.0,3.0
="Windham School District",="School Nurses",="Non-Certified",6.0,8.0,8.5,8.5,10.0
="Windsor Locks School District",="School Nurses",="Non-Certified",4.7,5.7,5.9,5.0,4.9
="Windsor School District",="School Nurses",="Non-Certified",9.4,9.4,8.4,8.4,8.6
="Wolcott School District",="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
="Woodbridge School District",="School Nurses",="Non-Certified",1.5,1.5,1.8,1.8,.
"Woodstock Academy District","School Nurses","Non-Certified",1.0,2.0,2.0,2.0,2.0
="Woodstock School District",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Brass City Charter School District",="School Nurses",="Non-Certified",.,.,.,0.2,0.2
="Elm City Montessori School District",="School Nurses",="Non-Certified",.,.,.,.,0.1
="Great Oaks Charter School District",="School Nurses",="Non-Certified",.,.,.,.,0.5

